dataset,cluster_id,trough_to_peak_ms,tau_rise_ms,tau_decay_ms,tau_burst_ms,refrac_ms,acg_total_counts,acg_reliable,acg_fit_ok,celltype_acg3,celltype_width_rate2
dec3_dHPC,0,0.7,6.618,10.11,6.541,0.3,34558,True,True,Pyramidal Cell,pyramidal-like
dec3_dHPC,9,0.35,3.747,22.57,3.774,6.557,465469,True,True,Narrow Interneuron,interneuron-like
dec3_dHPC,21,0.45,5.726,6.19,2.881,0.3,79251,True,True,Wide Interneuron,interneuron-like
dec3_dHPC,23,0.8,0.424,7.88,0.537,2.931,20228,True,True,Wide Interneuron,pyramidal-like
dec3_dHPC,76,0.65,9.732,13.64,4.788,0.3,68002,True,True,Pyramidal Cell,pyramidal-like
dec3_dHPC,80,0.55,7.06,9.37,3.447,0.3,103495,True,True,Pyramidal Cell,pyramidal-like
dec3_dHPC,101,0.95,9.434,11.39,9.689,0.3,5764,True,True,Pyramidal Cell,pyramidal-like
dec3_dHPC,102,0.3,4.433,27.25,1.727,6.345,260972,True,True,Narrow Interneuron,interneuron-like
dec3_dHPC,110,0.8,3.274,5.67,1.649,4.818,3394,True,True,Wide Interneuron,pyramidal-like
dec3_dHPC,111,0.75,1.624,18.19,1.321,4.478,20959,True,True,Wide Interneuron,pyramidal-like
dec3_dHPC,112,0.3,3.51,50.81,10.38,8.0,130517,True,True,Narrow Interneuron,interneuron-like
dec3_dHPC,118,0.65,2.343,16.04,0.986,4.441,6826,True,True,Wide Interneuron,pyramidal-like
dec3_dHPC,119,0.8,2.08,7.8,1.532,4.209,7460,True,True,Wide Interneuron,pyramidal-like
dec3_dHPC,120,0.7,1.491,11.47,2.06,3.468,14491,True,True,Wide Interneuron,pyramidal-like
dec3_dHPC,157,0.65,17.517,23.66,6.914,0.3,8424,True,True,Pyramidal Cell,pyramidal-like
dec3_dHPC,158,0.4,9.821,367.17,3.315,0.3,77790,True,True,Narrow Interneuron,interneuron-like
dec3_dHPC,160,1.55,13.048,14.85,5.509,0.3,470,True,True,Pyramidal Cell,pyramidal-like
dec3_dHPC,168,0.75,1.159,36.98,7.377,8.0,5479,True,True,Wide Interneuron,pyramidal-like
dec3_dHPC,169,0.75,0.817,15.55,1.683,1.962,12800,True,True,Wide Interneuron,pyramidal-like
dec3_dHPC,173,0.3,3.373,46.28,15.832,0.3,83783,True,True,Narrow Interneuron,interneuron-like
dec3_dHPC,174,0.9,1.576,13.98,1.515,5.041,21808,True,True,Wide Interneuron,pyramidal-like
dec3_dHPC,175,0.7,3.251,17.18,0.548,5.422,4113,True,True,Wide Interneuron,pyramidal-like
dec3_dHPC,177,0.15,2.607,32.35,2.33,0.3,182004,True,True,Narrow Interneuron,interneuron-like
dec3_dHPC,178,0.25,10.525,12.61,1.832,0.3,21940,True,True,Narrow Interneuron,interneuron-like
dec3_dHPC,181,0.8,1.714,9.54,1.245,5.242,3422,True,True,Wide Interneuron,pyramidal-like
dec3_dHPC,182,0.55,37.704,48.08,5.939,0.3,2539,True,True,Pyramidal Cell,pyramidal-like
dec3_dHPC,183,0.7,1.832,11.38,1.546,5.109,9122,True,True,Wide Interneuron,pyramidal-like
dec3_dHPC,187,0.25,3.076,35.61,1.9,0.3,96134,True,True,Narrow Interneuron,interneuron-like
dec3_dHPC,191,0.25,4.843,52.48,10.747,0.3,137715,True,True,Narrow Interneuron,interneuron-like
dec4_dHPC,0,0.75,7.761,11.62,6.468,0.3,22209,True,True,Pyramidal Cell,pyramidal-like
dec4_dHPC,78,0.75,1.697,15.01,5.553,0.3,7888,True,True,Wide Interneuron,pyramidal-like
dec4_dHPC,82,0.65,13.943,20.67,9.121,0.3,23082,True,True,Pyramidal Cell,pyramidal-like
dec4_dHPC,86,0.95,2.93,22.74,0.523,5.687,12135,True,True,Wide Interneuron,pyramidal-like
dec4_dHPC,90,0.35,9.604,459.4,3.347,0.32,92158,True,True,Narrow Interneuron,interneuron-like
dec4_dHPC,104,0.25,2.715,52.49,1.726,0.331,183935,True,True,Narrow Interneuron,interneuron-like
dec4_dHPC,109,0.75,1.863,13.81,0.874,4.403,651,True,True,Wide Interneuron,pyramidal-like
dec4_dHPC,113,0.75,0.697,14.81,1.567,1.879,27773,True,True,Wide Interneuron,pyramidal-like
