dataset,third,quantity,n_units,mean,ci_lo,ci_hi
dec4_dHPC,early,ON_minus_baseline,15,1.2864,0.4058,2.1916
dec4_dHPC,early,OFF_minus_baseline,15,0.1673,-0.134,0.4951
dec4_dHPC,early,ON_minus_OFF,15,1.1192,0.2929,1.9748
dec4_dHPC,middle,ON_minus_baseline,15,0.8464,0.1422,1.548
dec4_dHPC,middle,OFF_minus_baseline,15,0.4134,-0.0078,0.7693
dec4_dHPC,middle,ON_minus_OFF,15,0.433,-0.1468,1.0516
dec4_dHPC,late,ON_minus_baseline,15,1.0429,0.1313,2.0079
dec4_dHPC,late,OFF_minus_baseline,15,0.2298,-0.1451,0.5503
dec4_dHPC,late,ON_minus_OFF,15,0.8131,0.0428,1.701
dec4_LEC,early,ON_minus_baseline,15,-0.351,-0.8902,0.1622
dec4_LEC,early,OFF_minus_baseline,15,-0.4234,-0.9244,-0.0401
dec4_LEC,early,ON_minus_OFF,15,0.0724,-0.335,0.4367
dec4_LEC,middle,ON_minus_baseline,15,-0.7547,-1.4601,-0.1351
dec4_LEC,middle,OFF_minus_baseline,15,-0.5789,-1.2291,-0.0464
dec4_LEC,middle,ON_minus_OFF,15,-0.1758,-0.5596,0.2027
dec4_LEC,late,ON_minus_baseline,15,-0.9936,-1.989,-0.072
dec4_LEC,late,OFF_minus_baseline,15,-0.9586,-1.8093,-0.2301
dec4_LEC,late,ON_minus_OFF,15,-0.035,-0.4333,0.4706
