dataset,quantity,condition,mean,ci_lo,ci_hi,n_units
dec3_dHPC,baseline_hz,(all),6.4612,4.1047,9.0886,29
dec3_dHPC,on_hz,(all),6.0119,3.9336,8.2864,29
dec3_dHPC,off_hz,(all),6.1518,4.0143,8.5174,29
dec3_dHPC,post_hz,(all),6.0787,3.8941,8.5103,29
dec3_dHPC,post_minus_baseline_hz,(all),-0.3826,-0.8749,0.0967,29
dec3_dHPC,off_minus_baseline_hz,(all),-0.3095,-0.6983,0.0553,29
dec3_dHPC,ON_minus_baseline_hz,amp100_freq26,-0.1554,-0.5347,0.2124,29
dec3_dHPC,OFF_minus_baseline_hz,amp100_freq26,-0.1904,-0.5969,0.2007,29
dec3_dHPC,ON_minus_baseline_hz,amp100_freq5,-0.4165,-0.8504,-0.0172,29
dec3_dHPC,OFF_minus_baseline_hz,amp100_freq5,-0.2951,-0.666,0.0536,29
dec3_dHPC,ON_minus_baseline_hz,amp180_freq26,-0.4975,-0.9052,-0.1292,29
dec3_dHPC,OFF_minus_baseline_hz,amp180_freq26,-0.3396,-0.7303,0.0242,29
dec3_dHPC,ON_minus_baseline_hz,amp180_freq5,-0.539,-0.9901,-0.1084,29
dec3_dHPC,OFF_minus_baseline_hz,amp180_freq5,-0.3887,-0.776,-0.0199,29
dec3_dHPC,ON_minus_baseline_hz,amp250_freq26,-0.4564,-0.8779,-0.0608,29
dec3_dHPC,OFF_minus_baseline_hz,amp250_freq26,-0.2601,-0.6345,0.1102,29
dec3_dHPC,ON_minus_baseline_hz,amp250_freq5,-0.6312,-1.0911,-0.2121,29
dec3_dHPC,OFF_minus_baseline_hz,amp250_freq5,-0.3829,-0.8158,0.0219,29
dec4_dHPC,baseline_hz,(all),5.5843,3.3414,7.8163,15
dec4_dHPC,on_hz,(all),5.7823,3.4878,8.0633,15
dec4_dHPC,off_hz,(all),5.7392,3.473,7.9878,15
dec4_dHPC,post_hz,(all),5.3875,3.1483,7.6934,15
dec4_dHPC,post_minus_baseline_hz,(all),-0.1968,-0.6802,0.1972,15
dec4_dHPC,off_minus_baseline_hz,(all),0.1549,-0.1152,0.3957,15
dec4_dHPC,ON_minus_baseline_hz,amp100_freq10,0.1553,-0.0935,0.3983,15
dec4_dHPC,OFF_minus_baseline_hz,amp100_freq10,0.2946,-0.0004,0.5647,15
dec4_dHPC,ON_minus_baseline_hz,amp100_freq26,0.0441,-0.257,0.2969,15
dec4_dHPC,OFF_minus_baseline_hz,amp100_freq26,0.13,-0.1542,0.3861,15
dec4_dHPC,ON_minus_baseline_hz,amp100_freq5,0.0356,-0.1855,0.2574,15
dec4_dHPC,OFF_minus_baseline_hz,amp100_freq5,0.0655,-0.1768,0.2968,15
dec4_dHPC,ON_minus_baseline_hz,amp100_freq50,0.0164,-0.271,0.2762,15
dec4_dHPC,OFF_minus_baseline_hz,amp100_freq50,0.134,-0.1691,0.402,15
dec4_dHPC,ON_minus_baseline_hz,amp180_freq10,0.195,-0.1601,0.5146,15
dec4_dHPC,OFF_minus_baseline_hz,amp180_freq10,0.2688,-0.0933,0.5867,15
dec4_dHPC,ON_minus_baseline_hz,amp180_freq26,0.1667,-0.1198,0.416,15
dec4_dHPC,OFF_minus_baseline_hz,amp180_freq26,0.1156,-0.1306,0.3481,15
dec4_dHPC,ON_minus_baseline_hz,amp180_freq5,0.2448,-0.0353,0.5174,15
dec4_dHPC,OFF_minus_baseline_hz,amp180_freq5,0.1015,-0.1915,0.3615,15
dec4_dHPC,ON_minus_baseline_hz,amp180_freq50,0.222,-0.16,0.6256,15
dec4_dHPC,OFF_minus_baseline_hz,amp180_freq50,0.2245,-0.0423,0.4701,15
dec4_dHPC,ON_minus_baseline_hz,amp250_freq10,0.3497,0.0308,0.6491,15
dec4_dHPC,OFF_minus_baseline_hz,amp250_freq10,0.1647,-0.0517,0.3797,15
dec4_dHPC,ON_minus_baseline_hz,amp250_freq26,-0.1082,-0.4245,0.2032,15
dec4_dHPC,OFF_minus_baseline_hz,amp250_freq26,0.1394,-0.1811,0.3978,15
dec4_dHPC,ON_minus_baseline_hz,amp250_freq5,-0.004,-0.2867,0.2569,15
dec4_dHPC,OFF_minus_baseline_hz,amp250_freq5,-0.0494,-0.3599,0.2443,15
dec4_dHPC,ON_minus_baseline_hz,amp250_freq50,1.0584,0.2881,1.8843,15
dec4_dHPC,OFF_minus_baseline_hz,amp250_freq50,0.2697,-0.0365,0.5356,15
dec4_LEC,baseline_hz,(all),3.987,1.712,7.145,15
dec4_LEC,on_hz,(all),3.3765,1.3383,6.499,15
dec4_LEC,off_hz,(all),3.3834,1.354,6.4995,15
dec4_LEC,post_hz,(all),2.9613,1.2625,5.3108,15
dec4_LEC,post_minus_baseline_hz,(all),-1.0258,-2.0416,-0.1999,15
dec4_LEC,off_minus_baseline_hz,(all),-0.6036,-1.1846,-0.1297,15
dec4_LEC,ON_minus_baseline_hz,amp100_freq10,-0.6117,-1.1882,-0.1439,15
dec4_LEC,OFF_minus_baseline_hz,amp100_freq10,-0.5578,-1.1477,-0.0822,15
dec4_LEC,ON_minus_baseline_hz,amp100_freq26,-0.6789,-1.3165,-0.1455,15
dec4_LEC,OFF_minus_baseline_hz,amp100_freq26,-0.5926,-1.1802,-0.1134,15
dec4_LEC,ON_minus_baseline_hz,amp100_freq5,-0.532,-1.1027,-0.0975,15
dec4_LEC,OFF_minus_baseline_hz,amp100_freq5,-0.665,-1.2519,-0.1843,15
dec4_LEC,ON_minus_baseline_hz,amp100_freq50,-0.571,-1.1789,-0.0649,15
dec4_LEC,OFF_minus_baseline_hz,amp100_freq50,-0.5858,-1.1955,-0.1075,15
dec4_LEC,ON_minus_baseline_hz,amp180_freq10,-0.5587,-1.1583,-0.0852,15
dec4_LEC,OFF_minus_baseline_hz,amp180_freq10,-0.6255,-1.2421,-0.1353,15
dec4_LEC,ON_minus_baseline_hz,amp180_freq26,-0.6899,-1.2945,-0.1814,15
dec4_LEC,OFF_minus_baseline_hz,amp180_freq26,-0.6111,-1.2192,-0.1045,15
dec4_LEC,ON_minus_baseline_hz,amp180_freq5,-0.5349,-1.1016,-0.0714,15
dec4_LEC,OFF_minus_baseline_hz,amp180_freq5,-0.5787,-1.1562,-0.098,15
dec4_LEC,ON_minus_baseline_hz,amp180_freq50,-0.7473,-1.4308,-0.1372,15
dec4_LEC,OFF_minus_baseline_hz,amp180_freq50,-0.5459,-1.1102,-0.092,15
dec4_LEC,ON_minus_baseline_hz,amp250_freq10,-0.5205,-1.0725,-0.0592,15
dec4_LEC,OFF_minus_baseline_hz,amp250_freq10,-0.6851,-1.2737,-0.1789,15
dec4_LEC,ON_minus_baseline_hz,amp250_freq26,-0.6433,-1.2587,-0.1189,15
dec4_LEC,OFF_minus_baseline_hz,amp250_freq26,-0.4655,-1.0657,0.0219,15
dec4_LEC,ON_minus_baseline_hz,amp250_freq5,-0.536,-1.1264,-0.066,15
dec4_LEC,OFF_minus_baseline_hz,amp250_freq5,-0.6736,-1.3074,-0.1671,15
dec4_LEC,ON_minus_baseline_hz,amp250_freq50,-0.7027,-1.3929,-0.0385,15
dec4_LEC,OFF_minus_baseline_hz,amp250_freq50,-0.6567,-1.2795,-0.1363,15
