dataset,cluster_id,comparison,condition,ref_hz,test_hz,delta_hz,p_value,q_value_bh
dec3_dHPC,0,ON_all_vs_baseline,(all),9.6446,8.0719,-1.5726,1.1569413717458674e-42,1.1183766593543384e-41
dec3_dHPC,0,OFF_all_vs_baseline,(all),9.6446,7.805,-1.8396,8.473134014401932e-56,8.190696213921867e-55
dec3_dHPC,0,post_vs_baseline,(all),9.6446,7.4311,-2.2135,2.909473743325945e-55,2.1093684639113101e-54
dec3_dHPC,0,ON_vs_baseline,amp100_freq26,9.6446,7.9117,-1.7329,2.216206405971685e-21,2.9663070356851785e-20
dec3_dHPC,0,OFF_vs_baseline,amp100_freq26,9.6446,7.6517,-1.9929,8.681799346841371e-27,1.5106330863503987e-25
dec3_dHPC,0,ON_vs_baseline,amp100_freq5,9.6446,8.0667,-1.5779,3.2401211850270115e-19,3.1321171455261107e-18
dec3_dHPC,0,OFF_vs_baseline,amp100_freq5,9.6446,7.825,-1.8196,9.284540681819605e-24,1.242700060489701e-22
dec3_dHPC,0,ON_vs_baseline,amp180_freq26,9.6446,8.2067,-1.4379,3.1094833813157526e-16,2.0038892901812625e-15
dec3_dHPC,0,OFF_vs_baseline,amp180_freq26,9.6446,7.7883,-1.8562,1.7022494152098923e-23,1.9746093216434751e-22
dec3_dHPC,0,ON_vs_baseline,amp180_freq5,9.6446,8.19,-1.4546,2.4257026041301644e-15,1.4069075103954954e-14
dec3_dHPC,0,OFF_vs_baseline,amp180_freq5,9.6446,8.0283,-1.6162,4.1476128684737963e-19,3.7983402058654765e-18
dec3_dHPC,0,ON_vs_baseline,amp250_freq26,9.6446,7.9933,-1.6512,1.0958720494741667e-19,1.2712115773900333e-18
dec3_dHPC,0,OFF_vs_baseline,amp250_freq26,9.6446,7.8567,-1.7879,3.0621320760899247e-23,3.330068632747793e-22
dec3_dHPC,0,ON_vs_baseline,amp250_freq5,9.6446,8.0633,-1.5812,2.379294557376698e-19,2.587482831147159e-18
dec3_dHPC,0,OFF_vs_baseline,amp250_freq5,9.6446,7.68,-1.9646,1.789510877865692e-27,3.459721030540338e-26
dec3_dHPC,9,ON_all_vs_baseline,(all),26.5314,22.885,-3.6464,2.766724742959711e-29,1.146214536369023e-28
dec3_dHPC,9,OFF_all_vs_baseline,(all),26.5314,23.7822,-2.7492,1.3064189885804911e-18,5.412307238404892e-18
dec3_dHPC,9,post_vs_baseline,(all),26.5314,23.9864,-2.545,2.688682357842548e-14,7.088344397948536e-14
dec3_dHPC,9,ON_vs_baseline,amp100_freq26,26.5314,24.3467,-2.1847,1.2802777089067654e-06,4.546292272444432e-06
dec3_dHPC,9,OFF_vs_baseline,amp100_freq26,26.5314,23.8833,-2.6481,3.477298805920077e-08,1.4405952195954604e-07
dec3_dHPC,9,ON_vs_baseline,amp100_freq5,26.5314,22.3767,-4.1547,3.6853398784688605e-15,2.0685456092051023e-14
dec3_dHPC,9,OFF_vs_baseline,amp100_freq5,26.5314,24.0033,-2.5281,2.478445818884437e-08,1.0518282255753463e-07
dec3_dHPC,9,ON_vs_baseline,amp180_freq26,26.5314,22.62,-3.9114,6.830405076033454e-16,4.098243045620072e-15
dec3_dHPC,9,OFF_vs_baseline,amp180_freq26,26.5314,23.1717,-3.3597,8.678567105239961e-11,4.1946407675326475e-10
dec3_dHPC,9,ON_vs_baseline,amp180_freq5,26.5314,22.51,-4.0214,3.158732166006324e-14,1.616527637897354e-13
dec3_dHPC,9,OFF_vs_baseline,amp180_freq5,26.5314,24.1633,-2.3681,1.7204491200299188e-07,6.803594247391043e-07
dec3_dHPC,9,ON_vs_baseline,amp250_freq26,26.5314,23.06,-3.4714,1.741265014738541e-11,7.574502814112652e-11
dec3_dHPC,9,OFF_vs_baseline,amp250_freq26,26.5314,24.2033,-2.3281,1.2959204855716687e-06,4.5098032897894076e-06
dec3_dHPC,9,ON_vs_baseline,amp250_freq5,26.5314,22.3967,-4.1347,6.558629037312228e-16,4.0757194731868844e-15
dec3_dHPC,9,OFF_vs_baseline,amp250_freq5,26.5314,23.2683,-3.2631,5.811043991735715e-10,2.6608464593737224e-09
dec3_dHPC,21,ON_all_vs_baseline,(all),10.4099,9.1036,-1.3063,2.3500307866596864e-07,4.543392854208727e-07
dec3_dHPC,21,OFF_all_vs_baseline,(all),10.4099,9.0972,-1.3127,1.3164049236634379e-06,2.7268387704456928e-06
dec3_dHPC,21,post_vs_baseline,(all),10.4099,7.9463,-2.4637,7.171663239164676e-15,2.079782339357756e-14
dec3_dHPC,21,ON_vs_baseline,amp100_freq26,10.4099,10.025,-0.3849,0.0989499085009196,0.12753543762340747
dec3_dHPC,21,OFF_vs_baseline,amp100_freq26,10.4099,9.4633,-0.9466,0.004060716304554921,0.008411483773720908
dec3_dHPC,21,ON_vs_baseline,amp100_freq5,10.4099,9.0733,-1.3366,0.0006868406522266534,0.001406003217499267
dec3_dHPC,21,OFF_vs_baseline,amp100_freq5,10.4099,8.975,-1.4349,0.002761531969529655,0.006006332033727
dec3_dHPC,21,ON_vs_baseline,amp180_freq26,10.4099,8.8983,-1.5116,0.0007833272715877939,0.0015848714564683272
dec3_dHPC,21,OFF_vs_baseline,amp180_freq26,10.4099,9.3283,-1.0816,0.05062699220212514,0.0793612310195475
dec3_dHPC,21,ON_vs_baseline,amp180_freq5,10.4099,9.0117,-1.3983,0.00016465033447032122,0.00040002941185833486
dec3_dHPC,21,OFF_vs_baseline,amp180_freq5,10.4099,8.6317,-1.7783,1.3854043607798772e-05,4.3046492638517613e-05
dec3_dHPC,21,ON_vs_baseline,amp250_freq26,10.4099,9.1883,-1.2216,0.002546371362044517,0.004615298093705688
dec3_dHPC,21,OFF_vs_baseline,amp250_freq26,10.4099,9.2667,-1.1433,0.00793311439532318,0.01500393374767645
dec3_dHPC,21,ON_vs_baseline,amp250_freq5,10.4099,8.425,-1.9849,2.896231978033513e-06,9.5083842297704e-06
dec3_dHPC,21,OFF_vs_baseline,amp250_freq5,10.4099,8.9183,-1.4916,0.00016436160649476892,0.000446858117657653
dec3_dHPC,23,ON_all_vs_baseline,(all),0.0587,1.3939,1.3352,1.5315275883724448e-74,4.44143000628009e-73
dec3_dHPC,23,OFF_all_vs_baseline,(all),0.0587,1.6322,1.5736,5.212262938448419e-78,1.5115562521500414e-76
dec3_dHPC,23,post_vs_baseline,(all),0.0587,1.3507,1.292,4.0044504059377913e-66,3.870968725739865e-65
dec3_dHPC,23,ON_vs_baseline,amp100_freq26,0.0587,1.6967,1.638,1.855059742700797e-46,1.6139019761496935e-44
dec3_dHPC,23,OFF_vs_baseline,amp100_freq26,0.0587,2.4083,2.3497,2.2230500317245872e-42,9.670267638001954e-41
dec3_dHPC,23,ON_vs_baseline,amp100_freq5,0.0587,1.4833,1.4247,7.584605605596617e-38,2.1995356256230188e-36
dec3_dHPC,23,OFF_vs_baseline,amp100_freq5,0.0587,1.4967,1.438,2.2104351545060335e-45,1.2820523896134995e-43
dec3_dHPC,23,ON_vs_baseline,amp180_freq26,0.0587,0.9683,0.9097,5.033692238268881e-41,1.7517248989175707e-39
dec3_dHPC,23,OFF_vs_baseline,amp180_freq26,0.0587,1.465,1.4063,3.7420653828544025e-39,1.0851989610277768e-37
dec3_dHPC,23,ON_vs_baseline,amp180_freq5,0.0587,1.46,1.4013,5.498865622506274e-51,9.568026183160916e-49
dec3_dHPC,23,OFF_vs_baseline,amp180_freq5,0.0587,1.195,1.1363,9.73865914605539e-57,1.6945266914136378e-54
dec3_dHPC,23,ON_vs_baseline,amp250_freq26,0.0587,1.6533,1.5947,6.391980365519084e-44,3.707348612001068e-42
dec3_dHPC,23,OFF_vs_baseline,amp250_freq26,0.0587,1.5917,1.533,2.5788978162392242e-51,2.2436411001281252e-49
dec3_dHPC,23,ON_vs_baseline,amp250_freq5,0.0587,1.1017,1.043,1.4963521848399428e-43,6.509132004053751e-42
dec3_dHPC,23,OFF_vs_baseline,amp250_freq5,0.0587,1.6367,1.578,2.9804659592611355e-41,1.037202153822875e-39
dec3_dHPC,76,ON_all_vs_baseline,(all),10.6273,10.0456,-0.5818,0.0007771808370503634,0.0010732497273552638
dec3_dHPC,76,OFF_all_vs_baseline,(all),10.6273,10.2608,-0.3665,0.023049318397308123,0.03342151167609678
dec3_dHPC,76,post_vs_baseline,(all),10.6273,9.8377,-0.7897,0.000310426102634358,0.0004501178488198191
dec3_dHPC,76,ON_vs_baseline,amp100_freq26,10.6273,10.1817,-0.4457,0.03260469320510945,0.04767408922427768
dec3_dHPC,76,OFF_vs_baseline,amp100_freq26,10.6273,10.6833,0.056,0.8762924961717737,0.9106154519006903
dec3_dHPC,76,ON_vs_baseline,amp100_freq5,10.6273,10.0267,-0.6007,0.061838444483270194,0.08472353811093712
dec3_dHPC,76,OFF_vs_baseline,amp100_freq5,10.6273,10.105,-0.5223,0.07000864957008143,0.10592613065386235
