dataset,cluster_id,baseline_hz,baseline_sd_hz,post_hz,on_all_hz,off_all_hz,off_minus_baseline_hz,on_minus_baseline_hz,post_minus_baseline_hz,drift_post_vs_base_pct,n_baseline_epochs,n_post_epochs
dec3_dHPC,0,9.6446,2.0996,7.4311,8.0719,7.805,-1.8396,-1.5726,-2.2135,-23.0,483,614
dec3_dHPC,9,26.5314,6.1547,23.9864,22.885,23.7822,-2.7492,-3.6464,-2.545,-9.6,483,614
dec3_dHPC,21,10.4099,7.111,7.9463,9.1036,9.0972,-1.3127,-1.3063,-2.4637,-23.7,483,614
dec3_dHPC,23,0.0587,0.1822,1.3507,1.3939,1.6322,1.5736,1.3352,1.292,2202.6,483,614
dec3_dHPC,76,10.6273,3.5654,9.8377,10.0456,10.2608,-0.3665,-0.5818,-0.7897,-7.4,483,614
dec3_dHPC,80,11.8537,2.8538,13.8675,12.8422,12.8631,1.0094,0.9885,2.0138,17.0,483,614
dec3_dHPC,101,1.3071,1.3589,2.7177,1.7167,1.7864,0.4793,0.4096,1.4106,107.9,483,614
dec3_dHPC,102,20.7522,4.2367,19.715,18.0256,18.2567,-2.4956,-2.7267,-1.0373,-5.0,483,614
dec3_dHPC,110,0.256,0.4342,0.4457,0.4275,0.4489,0.1929,0.1715,0.1897,74.1,483,614
dec3_dHPC,111,1.8758,2.7095,1.7839,2.1192,1.9589,0.0831,0.2434,-0.0918,-4.9,483,614
dec3_dHPC,112,10.8219,4.6437,10.0147,10.2461,10.7806,-0.0414,-0.5758,-0.8073,-7.5,483,614
dec3_dHPC,118,0.6218,1.2145,1.051,0.94,0.8567,0.2349,0.3182,0.4292,69.0,483,614
dec3_dHPC,119,0.637,1.0001,1.3246,1.1986,1.2058,0.5688,0.5616,0.6877,108.0,483,614
dec3_dHPC,120,2.0152,1.6229,1.6781,2.5781,2.5403,0.5251,0.5629,-0.3371,-16.7,483,614
dec3_dHPC,157,5.922,1.8976,2.7731,4.2972,4.1825,-1.7395,-1.6248,-3.1489,-53.2,483,614
dec3_dHPC,158,14.2277,3.8975,12.4446,12.7922,12.7947,-1.433,-1.4355,-1.7831,-12.5,483,614
dec3_dHPC,160,0.3375,0.9317,0.2915,0.2278,0.2589,-0.0786,-0.1097,-0.0459,-13.6,483,614
dec3_dHPC,168,1.0048,2.3985,0.4935,0.8142,0.8581,-0.1468,-0.1907,-0.5113,-50.9,483,614
dec3_dHPC,169,1.0076,2.0273,0.462,0.5583,0.6072,-0.4004,-0.4493,-0.5456,-54.1,483,614
dec3_dHPC,173,9.2733,3.5736,8.0385,8.1714,8.5786,-0.6947,-1.1019,-1.2347,-13.3,483,614
dec3_dHPC,174,0.3989,0.6925,2.0483,1.8144,1.9919,1.593,1.4155,1.6494,413.5,483,614
dec3_dHPC,175,0.8316,0.9271,0.8062,0.83,0.8236,-0.008,-0.0016,-0.0254,-3.1,483,614
dec3_dHPC,177,14.3023,5.0852,14.8963,13.9125,14.6319,0.3297,-0.3898,0.594,4.2,483,614
dec3_dHPC,178,6.2374,2.3073,3.3664,4.6331,4.8514,-1.386,-1.6043,-2.871,-46.0,483,614
dec3_dHPC,181,0.7391,1.2638,0.3936,0.4497,0.4736,-0.2655,-0.2894,-0.3455,-46.7,483,614
dec3_dHPC,182,2.3934,1.4939,2.3855,2.2714,2.1872,-0.2062,-0.122,-0.0079,-0.3,483,614
dec3_dHPC,183,1.0566,1.5641,1.0098,1.1647,1.2422,0.1856,0.1081,-0.0468,-4.4,483,614
dec3_dHPC,187,9.7281,3.5576,10.4175,9.2008,9.6019,-0.1261,-0.5273,0.6894,7.1,483,614
dec3_dHPC,191,12.5024,4.0085,13.304,11.6133,12.0425,-0.4599,-0.8891,0.8016,6.4,483,614
dec4_dHPC,0,4.1923,1.4244,3.1824,4.9908,5.1878,0.9955,0.7986,-1.0098,-24.1,898,296
dec4_dHPC,78,0.7743,1.4067,0.3671,0.5064,0.6038,-0.1706,-0.2679,-0.4072,-52.6,898,296
dec4_dHPC,82,5.399,1.8407,5.0586,5.5915,5.589,0.19,0.1925,-0.3405,-6.3,898,296
dec4_dHPC,86,0.9662,1.2057,1.205,1.9364,1.5897,0.6235,0.9702,0.2387,24.7,898,296
dec4_dHPC,90,11.9001,3.2928,9.0023,10.7069,10.5913,-1.3089,-1.1932,-2.8979,-24.4,898,296
