unit_set,cluster_id,condition,n_trials,mean_on_hz,mean_off_hz,mean_delta_hz,sem_delta_hz,median_delta_hz,t_stat,p_value,q_value_bh_within_unit_set,direction,responsive_q05_within_unit_set,KSLabel,ContamPct,Amplitude,review_category,review_priority,best_raw_channel,best_channel_shank
dec4_dHPC,0,amp100_freq10,200,5.126666666666668,5.155,-0.02833333333333332,0.1372087036745207,0.0,-0.20649807610269513,0.8366129903569324,0.898611874569757,ON<OFF,False,good,5.9,10.1,high_confidence_ks_good,1,1,1
dec4_dHPC,78,amp100_freq10,200,0.5416666666666667,0.7733333333333334,-0.23166666666666663,0.16658620335753715,0.0,-1.3906713881308042,0.1658782653108832,0.5147946164820513,ON<OFF,False,good,2.3,46.7,high_confidence_ks_good,6,15,1
dec4_dHPC,82,amp100_freq10,200,5.666666666666668,5.285,0.3816666666666666,0.16196720411669838,0.33333333333333304,2.356444125513665,0.01942264213321149,0.13984302335912274,ON>OFF,False,good,1.8,8.9,high_confidence_ks_good,7,113,4
dec4_dHPC,86,amp100_freq10,200,1.8783333333333332,1.7916666666666665,0.08666666666666673,0.15990016427413922,0.0,0.5420048632225415,0.5884215332504208,0.8023929998869375,ON>OFF,False,good,10.0,14.6,high_confidence_ks_good,8,81,3
dec4_dHPC,90,amp100_freq10,200,10.926666666666668,10.788333333333334,0.13833333333333336,0.20432615211407537,0.0,0.6770221623715686,0.4991781381462675,0.7587773624721666,ON>OFF,False,good,4.2,17.0,high_confidence_ks_good,10,115,4
dec4_dHPC,104,amp100_freq10,200,8.611666666666665,9.401666666666666,-0.79,0.5110521110315835,-0.3333333333333339,-1.545830616774768,0.12373426550703094,0.45646461096495855,ON<OFF,False,good,16.0,17.2,manual_review,11,84,3
dec4_dHPC,109,amp100_freq10,200,0.15833333333333333,0.15666666666666668,0.0016666666666666663,0.027808218942595952,0.0,0.05993431906254546,0.9522680920494893,0.9657167504586782,ON>OFF,False,good,0.0,16.3,high_confidence_ks_good,13,119,4
dec4_dHPC,113,amp100_freq10,200,0.8633333333333333,1.0066666666666666,-0.14333333333333337,0.14137219370310702,0.0,-1.0138721737199954,0.31187486862763636,0.7017184544121818,ON<OFF,False,good,0.2,25.5,high_confidence_ks_good,15,119,4
dec4_dHPC,125,amp100_freq10,200,1.42,1.5133333333333332,-0.09333333333333335,0.12751457367360985,0.0,-0.7319424803335198,0.4650647851778019,0.7587773624721666,ON<OFF,False,mua,23.1,12.2,manual_review,27,120,4
dec4_dHPC,126,amp100_freq10,200,12.843333333333332,12.978333333333335,-0.1349999999999999,0.4397609719508367,-0.3333333333333339,-0.30698495003120074,0.7591758221108191,0.8904327930898798,ON<OFF,False,good,0.2,29.2,high_confidence_ks_good,16,120,4
dec4_dHPC,130,amp100_freq10,200,0.11333333333333333,0.09166666666666666,0.021666666666666664,0.023520130489578274,0.0,0.9211967032354316,0.35806315357808266,0.7082567872973065,ON>OFF,False,good,0.0,37.6,high_confidence_ks_good,17,122,4
dec4_dHPC,135,amp100_freq10,200,7.696666666666666,8.16,-0.46333333333333315,0.3782529855132579,-0.3333333333333339,-1.2249297456426635,0.22204963137351486,0.5783272070357341,ON<OFF,False,good,18.0,13.2,manual_review,19,122,4
dec4_dHPC,137,amp100_freq10,200,10.611666666666668,10.856666666666666,-0.24500000000000013,0.4798245392828985,-0.666666666666667,-0.5106033142159727,0.6101947963999789,0.8058614737672704,ON<OFF,False,good,3.9,23.1,high_confidence_ks_good,20,123,4
dec4_dHPC,139,amp100_freq10,200,9.53,9.698333333333334,-0.16833333333333328,0.224055776686171,-0.33333333333333215,-0.7513010189829353,0.4533590730291954,0.7587773624721666,ON<OFF,False,mua,23.2,9.9,manual_review,31,58,2
dec4_dHPC,149,amp100_freq10,200,10.105,10.526666666666666,-0.42166666666666663,0.44441114999523734,-0.6666666666666661,-0.9488210785692159,0.34386244313536596,0.7078372393757477,ON<OFF,False,good,6.0,13.3,high_confidence_ks_good,21,124,4
dec4_dHPC,0,amp100_freq26,200,5.211666666666666,5.268333333333333,-0.05666666666666661,0.12492566187080291,0.0,-0.4536030933762097,0.6506087887003951,0.8189481256368609,ON<OFF,False,good,5.9,10.1,high_confidence_ks_good,1,1,1
dec4_dHPC,78,amp100_freq26,200,0.5733333333333333,0.5433333333333333,0.03,0.10792675929212805,0.0,0.27796628191900263,0.781326826661092,0.8904327930898798,ON>OFF,False,good,2.3,46.7,high_confidence_ks_good,6,15,1
dec4_dHPC,82,amp100_freq26,200,5.588333333333333,5.491666666666667,0.09666666666666672,0.1479732799155168,0.33333333333333304,0.6532710954427525,0.5143355850667404,0.7651273166282089,ON>OFF,False,good,1.8,8.9,high_confidence_ks_good,7,113,4
dec4_dHPC,86,amp100_freq26,200,1.3666666666666665,1.48,-0.11333333333333336,0.11935617347839066,0.0,-0.9495389306683184,0.3434983161478547,0.7078372393757477,ON<OFF,False,good,10.0,14.6,high_confidence_ks_good,8,81,3
dec4_dHPC,90,amp100_freq26,200,10.306666666666667,10.47,-0.16333333333333339,0.20711776024965103,0.0,-0.7886012920208207,0.4312835215539053,0.7587773624721666,ON<OFF,False,good,4.2,17.0,high_confidence_ks_good,10,115,4
dec4_dHPC,104,amp100_freq26,200,8.515,8.818333333333333,-0.30333333333333334,0.4303219030642523,-0.5,-0.704898661149586,0.4816974939871777,0.7587773624721666,ON<OFF,False,good,16.0,17.2,manual_review,11,84,3
dec4_dHPC,109,amp100_freq26,200,0.1383333333333333,0.17,-0.03166666666666667,0.029663805783047094,0.0,-1.0675186757312245,0.28703100517619323,0.6855753641960863,ON<OFF,False,good,0.0,16.3,high_confidence_ks_good,13,119,4
dec4_dHPC,113,amp100_freq26,200,0.8116666666666665,0.8583333333333334,-0.04666666666666666,0.18066877436389153,0.0,-0.25829956964601775,0.7964426649303925,0.8904327930898798,ON<OFF,False,good,0.2,25.5,high_confidence_ks_good,15,119,4
dec4_dHPC,125,amp100_freq26,200,1.593333333333333,1.8,-0.20666666666666664,0.1340133413360702,-0.3333333333333333,-1.5421350188441387,0.12462945737694671,0.45646461096495855,ON<OFF,False,mua,23.1,12.2,manual_review,27,120,4
dec4_dHPC,126,amp100_freq26,200,12.575,13.048333333333336,-0.4733333333333335,0.3942450325985645,-0.3333333333333339,-1.2006069682437819,0.23133088281429368,0.5783272070357341,ON<OFF,False,good,0.2,29.2,high_confidence_ks_good,16,120,4
dec4_dHPC,130,amp100_freq26,200,0.095,0.075,0.019999999999999997,0.021087147350015142,0.0,0.9484450252103747,0.344053293450029,0.7078372393757477,ON>OFF,False,good,0.0,37.6,high_confidence_ks_good,17,122,4
dec4_dHPC,135,amp100_freq26,200,7.666666666666668,7.781666666666667,-0.11500000000000005,0.32627020603764967,0.0,-0.3524685915904001,0.7248598825615168,0.8663973513519664,ON<OFF,False,good,18.0,13.2,manual_review,19,122,4
dec4_dHPC,137,amp100_freq26,200,10.515,10.33,0.185,0.39755462385728463,0.0,0.46534485803493475,0.642193353215868,0.8189481256368609,ON>OFF,False,good,3.9,23.1,high_confidence_ks_good,20,123,4
dec4_dHPC,139,amp100_freq26,200,9.633333333333333,9.438333333333333,0.19500000000000003,0.23709904001043391,0.0,0.8224411199278527,0.41181026016900424,0.7587773624721666,ON>OFF,False,mua,23.2,9.9,manual_review,31,58,2
dec4_dHPC,149,amp100_freq26,200,9.835,10.14,-0.30499999999999994,0.397625402052412,-0.3333333333333339,-0.7670536098189148,0.44395871017525684,0.7587773624721666,ON<OFF,False,good,6.0,13.3,high_confidence_ks_good,21,124,4
dec4_dHPC,0,amp100_freq5,200,5.211666666666668,5.058333333333334,0.15333333333333332,0.1225278145019863,0.0,1.2514165371883592,0.21225162977515996,0.574656149305242,ON>OFF,False,good,5.9,10.1,high_confidence_ks_good,1,1,1
dec4_dHPC,78,amp100_freq5,200,0.49833333333333335,0.5516666666666666,-0.05333333333333336,0.10824316567143101,0.0,-0.4927177896406425,0.622755209269965,0.8058614737672704,ON<OFF,False,good,2.3,46.7,high_confidence_ks_good,6,15,1
dec4_dHPC,82,amp100_freq5,200,5.628333333333333,5.593333333333333,0.035,0.17172227555512817,0.0,0.20381747147744914,0.8387044162651065,0.898611874569757,ON>OFF,False,good,1.8,8.9,high_confidence_ks_good,7,113,4
dec4_dHPC,86,amp100_freq5,200,1.4866666666666668,1.59,-0.10333333333333333,0.12797852800082285,0.0,-0.807427112559608,0.420384489063594,0.7587773624721666,ON<OFF,False,good,10.0,14.6,high_confidence_ks_good,8,81,3
dec4_dHPC,90,amp100_freq5,200,10.985,10.876666666666667,0.10833333333333334,0.2180433969375677,0.0,0.4968429902252551,0.619848204751561,0.8058614737672704,ON>OFF,False,good,4.2,17.0,high_confidence_ks_good,10,115,4
dec4_dHPC,104,amp100_freq5,200,8.325,8.368333333333334,-0.04333333333333322,0.46920409700411764,-0.6666666666666661,-0.09235497645910994,0.9265089168785465,0.9529806002179336,ON<OFF,False,good,16.0,17.2,manual_review,11,84,3
dec4_dHPC,109,amp100_freq5,200,0.1433333333333333,0.135,0.008333333333333333,0.034923342709377775,0.0,0.23861786091557693,0.8116474581773768,0.8908325760483403,ON>OFF,False,good,0.0,16.3,high_confidence_ks_good,13,119,4
dec4_dHPC,113,amp100_freq5,200,1.0666666666666667,1.2216666666666667,-0.15499999999999997,0.22224022470351815,0.0,-0.6974434992890208,0.4863393153552612,0.7587773624721666,ON<OFF,False,good,0.2,25.5,high_confidence_ks_good,15,119,4
dec4_dHPC,125,amp100_freq5,200,1.6,1.5566666666666669,0.04333333333333331,0.13847518508535062,0.0,0.312932120701802,0.7546599436411028,0.8904327930898798,ON>OFF,False,mua,23.1,12.2,manual_review,27,120,4
dec4_dHPC,126,amp100_freq5,200,12.453333333333335,12.391666666666667,0.061666666666666606,0.4854331301440285,-0.6666666666666661,0.12703431809108298,0.8990415047899336,0.9409814707201016,ON>OFF,False,good,0.2,29.2,high_confidence_ks_good,16,120,4
dec4_dHPC,130,amp100_freq5,200,0.095,0.09333333333333334,0.0016666666666666653,0.025173601604765332,0.0,0.06620692155353596,0.9472795527427014,0.9657167504586782,ON>OFF,False,good,0.0,37.6,high_confidence_ks_good,17,122,4
dec4_dHPC,135,amp100_freq5,200,7.561666666666667,7.461666666666668,0.1,0.3794483050325452,-0.3333333333333339,0.2635405104561556,0.7924066916166834,0.8904327930898798,ON>OFF,False,good,18.0,13.2,manual_review,19,122,4
dec4_dHPC,137,amp100_freq5,200,9.973333333333334,10.24,-0.2666666666666666,0.45522587517802904,-0.8333333333333326,-0.5857897830662175,0.5586805501423808,0.7856445236377231,ON<OFF,False,good,3.9,23.1,high_confidence_ks_good,20,123,4
dec4_dHPC,139,amp100_freq5,200,9.555,9.705,-0.15000000000000008,0.24091244288495162,-0.33333333333333304,-0.6226328462064243,0.5342386440120416,0.7783135037140985,ON<OFF,False,mua,23.2,9.9,manual_review,31,58,2
dec4_dHPC,149,amp100_freq5,200,9.715,9.903333333333332,-0.18833333333333324,0.4463361454933594,-0.8333333333333335,-0.4219540255364222,0.6735140603096166,0.8345840272775664,ON<OFF,False,good,6.0,13.3,high_confidence_ks_good,21,124,4
dec4_dHPC,0,amp100_freq50,200,5.1,5.173333333333334,-0.07333333333333333,0.12097593099206547,0.0,-0.6061811860587633,0.5450852801838866,0.7849228034647966,ON<OFF,False,good,5.9,10.1,high_confidence_ks_good,1,1,1
dec4_dHPC,78,amp100_freq50,200,0.39666666666666667,0.34,0.056666666666666664,0.06098530271176275,0.0,0.9291856258300885,0.35391861968787386,0.7078372393757477,ON>OFF,False,good,2.3,46.7,high_confidence_ks_good,6,15,1
dec4_dHPC,82,amp100_freq50,200,5.73,5.598333333333333,0.13166666666666668,0.16526880292248286,0.3333333333333337,0.796681916601182,0.42658523000684806,0.7587773624721666,ON>OFF,False,good,1.8,8.9,high_confidence_ks_good,7,113,4
dec4_dHPC,86,amp100_freq50,200,1.71,1.6616666666666668,0.04833333333333334,0.13167726777075528,0.0,0.3670590539399685,0.7139649953013979,0.8625080480151115,ON>OFF,False,good,10.0,14.6,high_confidence_ks_good,8,81,3
dec4_dHPC,90,amp100_freq50,200,10.661666666666667,10.471666666666666,0.19000000000000003,0.20286212803956652,0.3333333333333339,0.9365967015930254,0.35010128826294684,0.7078372393757477,ON>OFF,False,good,4.2,17.0,high_confidence_ks_good,10,115,4
dec4_dHPC,104,amp100_freq50,200,8.255,8.88,-0.6250000000000001,0.4130880661780978,-1.0,-1.5129945674357466,0.13186755427876581,0.45646461096495855,ON<OFF,False,good,16.0,17.2,manual_review,11,84,3
dec4_dHPC,109,amp100_freq50,200,0.10333333333333332,0.115,-0.011666666666666664,0.020650707081338416,0.0,-0.564952406748802,0.5727424514505329,0.7869743607717247,ON<OFF,False,good,0.0,16.3,high_confidence_ks_good,13,119,4
dec4_dHPC,113,amp100_freq50,200,0.8066666666666665,0.7316666666666666,0.075,0.12102847697534924,0.0,0.6196888688872437,0.5361715247808234,0.7783135037140985,ON>OFF,False,good,0.2,25.5,high_confidence_ks_good,15,119,4
dec4_dHPC,125,amp100_freq50,200,1.3066666666666666,1.7666666666666668,-0.46,0.11625459651821782,-0.3333333333333333,-3.9568327943739856,0.0001056162646078909,0.0013579234021014544,ON<OFF,True,mua,23.1,12.2,manual_review,27,120,4
dec4_dHPC,126,amp100_freq50,200,13.021666666666668,12.643333333333333,0.3783333333333333,0.4708278078862274,-0.33333333333333304,0.8035492530312807,0.4226161141269733,0.7587773624721666,ON>OFF,False,good,0.2,29.2,high_confidence_ks_good,16,120,4
dec4_dHPC,130,amp100_freq50,200,0.07,0.09166666666666666,-0.021666666666666664,0.01737642819568378,0.0,-1.2468999050131926,0.2138997889080623,0.574656149305242,ON<OFF,False,good,0.0,37.6,high_confidence_ks_good,17,122,4
dec4_dHPC,135,amp100_freq50,200,7.28,7.945,-0.665,0.33175924400067514,-0.6666666666666667,-2.004465623868635,0.04637575025439035,0.23850385845115035,ON<OFF,False,good,18.0,13.2,manual_review,19,122,4
dec4_dHPC,137,amp100_freq50,200,9.963333333333333,10.766666666666666,-0.8033333333333335,0.37057600749522346,-1.0,-2.1677963955712594,0.03136121871999376,0.18172544585601685,ON<OFF,False,good,3.9,23.1,high_confidence_ks_good,20,123,4
dec4_dHPC,139,amp100_freq50,200,10.063333333333334,9.49,0.5733333333333335,0.2200472006621829,0.33333333333333304,2.6055015996932247,0.00986723731239644,0.0772218572274504,ON>OFF,False,mua,23.2,9.9,manual_review,31,58,2
dec4_dHPC,149,amp100_freq50,200,9.541666666666668,10.098333333333334,-0.5566666666666668,0.38011804273123756,-0.666666666666667,-1.4644573634728988,0.14464699338871861,0.49125393981074245,ON<OFF,False,good,6.0,13.3,high_confidence_ks_good,21,124,4
dec4_dHPC,0,amp180_freq10,200,5.363333333333333,5.29,0.07333333333333338,0.13845199850693354,0.0,0.5296661234518829,0.5969338529167691,0.8041226299067539,ON>OFF,False,good,5.9,10.1,high_confidence_ks_good,1,1,1
dec4_dHPC,78,amp180_freq10,200,0.4783333333333333,0.6416666666666667,-0.16333333333333333,0.11334688065646328,0.0,-1.4410042198547235,0.15115511257661954,0.5038503752553984,ON<OFF,False,good,2.3,46.7,high_confidence_ks_good,6,15,1
dec4_dHPC,82,amp180_freq10,200,5.673333333333333,5.413333333333332,0.26000000000000006,0.17049473123237888,0.33333333333333304,1.5249738107486053,0.12885330134404507,0.45646461096495855,ON>OFF,False,good,1.8,8.9,high_confidence_ks_good,7,113,4
dec4_dHPC,86,amp180_freq10,200,1.72,1.825,-0.105,0.14026332219551255,0.0,-0.7485919936620414,0.4549870152580523,0.7587773624721666,ON<OFF,False,good,10.0,14.6,high_confidence_ks_good,8,81,3
dec4_dHPC,90,amp180_freq10,200,10.216666666666667,10.278333333333332,-0.06166666666666663,0.23307089213231308,0.0,-0.2645833038286857,0.7916043156777574,0.8904327930898798,ON<OFF,False,good,4.2,17.0,high_confidence_ks_good,10,115,4
dec4_dHPC,104,amp180_freq10,200,9.239999999999998,9.350000000000001,-0.10999999999999993,0.47826056269479894,-0.16666666666666607,-0.2300001475768685,0.8183279039623189,0.8927213497770752,ON<OFF,False,good,16.0,17.2,manual_review,11,84,3
dec4_dHPC,109,amp180_freq10,200,0.145,0.10833333333333332,0.03666666666666666,0.026290266502760156,0.0,1.3946860014833669,0.1646654275137737,0.5147946164820513,ON>OFF,False,good,0.0,16.3,high_confidence_ks_good,13,119,4
dec4_dHPC,113,amp180_freq10,200,1.0333333333333332,1.185,-0.15166666666666667,0.17265292139853394,0.0,-0.878448307958689,0.3807598878596482,0.7369546216638352,ON<OFF,False,good,0.2,25.5,high_confidence_ks_good,15,119,4
dec4_dHPC,125,amp180_freq10,200,1.7133333333333332,1.5216666666666663,0.19166666666666665,0.13730348629168293,0.33333333333333326,1.3959344503423343,0.16428963870312696,0.5147946164820513,ON>OFF,False,mua,23.1,12.2,manual_review,27,120,4
