dataset,model,coef,estimate,boot_mean,ci_lo,ci_hi,model_r2
dec4_dHPC,no_drift,state[ON],0.0529,0.0513,-0.008,0.1177,0.0016
dec4_dHPC,no_drift,freq50,0.1702,0.1692,0.0753,0.2646,0.0016
dec4_dHPC,no_drift,state[ON]:freq50,0.1699,0.1616,-0.1235,0.4952,0.0016
dec4_dHPC,no_drift,freq26,0.0891,0.0888,-0.0016,0.1912,0.0016
dec4_dHPC,no_drift,state[ON]:freq26,-0.147,-0.1481,-0.2977,0.0077,0.0016
dec4_dHPC,with_drift,state[ON],0.0529,0.054,-0.0011,0.1191,0.0048
dec4_dHPC,with_drift,freq50,0.1642,0.1633,0.065,0.2672,0.0048
dec4_dHPC,with_drift,state[ON]:freq50,0.1699,0.1652,-0.1158,0.463,0.0048
dec4_dHPC,with_drift,freq26,0.0898,0.0908,-0.0039,0.2094,0.0048
dec4_dHPC,with_drift,state[ON]:freq26,-0.147,-0.1497,-0.2929,-0.0039,0.0048
dec4_LEC,no_drift,state[ON],0.1048,0.1054,0.0019,0.2311,0.0004
dec4_LEC,no_drift,freq50,0.043,0.0435,-0.0026,0.0936,0.0004
dec4_LEC,no_drift,state[ON]:freq50,-0.1823,-0.1816,-0.4644,0.0796,0.0004
dec4_LEC,no_drift,freq26,0.0827,0.0822,0.0109,0.1967,0.0004
dec4_LEC,no_drift,state[ON]:freq26,-0.2191,-0.2184,-0.4881,-0.0514,0.0004
dec4_LEC,with_drift,state[ON],0.1048,0.106,0.0006,0.2224,0.0067
dec4_LEC,with_drift,freq50,0.0499,0.0497,0.0031,0.1085,0.0067
dec4_LEC,with_drift,state[ON]:freq50,-0.1823,-0.174,-0.439,0.0855,0.0067
dec4_LEC,with_drift,freq26,0.0707,0.0707,0.0077,0.1501,0.0067
dec4_LEC,with_drift,state[ON]:freq26,-0.2191,-0.2159,-0.4622,-0.0519,0.0067
