channel,probe,group,kcoord,x_um_provisional,y_um_provisional,is_bad,connected,exclude_auto,fiftyhz_on_minus_off,bad,shank_group,region
0,dHPC,A_dHPC_0-31,1,60.0,0.0,False,True,False,0.47936125520402584,False,1,dHPC
1,dHPC,A_dHPC_0-31,1,60.0,20.0,False,True,False,0.11021072123440945,False,1,dHPC
2,dHPC,A_dHPC_0-31,1,60.0,40.0,False,True,False,-0.7548887862968741,False,1,dHPC
3,dHPC,A_dHPC_0-31,1,60.0,60.0,False,True,False,-1.6567334149800672,False,1,dHPC
4,dHPC,A_dHPC_0-31,1,60.0,80.0,False,True,False,-3.0645339681460086,False,1,dHPC
5,dHPC,A_dHPC_0-31,1,60.0,100.0,False,True,False,-4.802997130453264,False,1,dHPC
6,dHPC,A_dHPC_0-31,1,60.0,120.0,False,True,False,-6.1805790958429725,False,1,dHPC
7,dHPC,A_dHPC_0-31,1,60.0,140.0,False,True,False,-6.704417320161781,False,1,dHPC
8,dHPC,A_dHPC_0-31,1,60.0,160.0,False,True,False,-5.149475460874726,False,1,dHPC
9,dHPC,A_dHPC_0-31,1,60.0,180.0,False,True,False,-1.9818592108321411,False,1,dHPC
10,dHPC,A_dHPC_0-31,1,60.0,200.0,False,True,False,0.4492356378462432,False,1,dHPC
11,dHPC,A_dHPC_0-31,1,60.0,220.0,False,True,False,-0.34408399455284666,False,1,dHPC
12,dHPC,A_dHPC_0-31,1,60.0,240.0,False,True,False,-1.6006656567390962,False,1,dHPC
13,dHPC,A_dHPC_0-31,1,60.0,260.0,False,True,False,-1.6112697469557418,False,1,dHPC
14,dHPC,A_dHPC_0-31,1,60.0,280.0,False,True,False,-1.9235241593369778,False,1,dHPC
15,dHPC,A_dHPC_0-31,1,60.0,300.0,False,True,False,-2.733135117873502,False,1,dHPC
16,dHPC,A_dHPC_0-31,1,60.0,320.0,False,True,False,2.7829425808975827,False,1,dHPC
17,dHPC,A_dHPC_0-31,1,60.0,340.0,False,True,False,1.565689710303701,False,1,dHPC
18,dHPC,A_dHPC_0-31,1,60.0,360.0,False,True,False,0.48647170444863264,False,1,dHPC
19,dHPC,A_dHPC_0-31,1,60.0,380.0,False,True,False,-0.5879880776608388,False,1,dHPC
20,dHPC,A_dHPC_0-31,1,60.0,400.0,False,True,False,-1.4205171774973735,False,1,dHPC
21,dHPC,A_dHPC_0-31,1,60.0,420.0,False,True,False,-1.989983018799137,False,1,dHPC
22,dHPC,A_dHPC_0-31,1,60.0,440.0,False,True,False,-2.0950989420364294,False,1,dHPC
23,dHPC,A_dHPC_0-31,1,60.0,460.0,False,True,False,-1.556859440925649,False,1,dHPC
24,dHPC,A_dHPC_0-31,1,60.0,480.0,False,True,False,-0.17721294372952912,False,1,dHPC
25,dHPC,A_dHPC_0-31,1,60.0,500.0,False,True,False,-0.1934709063342268,False,1,dHPC
26,dHPC,A_dHPC_0-31,1,60.0,520.0,False,True,False,-0.1739970847844745,False,1,dHPC
27,dHPC,A_dHPC_0-31,1,60.0,540.0,False,True,False,-0.17879148339022777,False,1,dHPC
28,dHPC,A_dHPC_0-31,1,60.0,560.0,False,True,False,-0.1743049662921976,False,1,dHPC
29,dHPC,A_dHPC_0-31,1,60.0,580.0,False,True,False,0.6418091953200928,False,1,dHPC
30,dHPC,A_dHPC_0-31,1,60.0,600.0,False,True,False,0.7059928757619787,False,1,dHPC
31,dHPC,A_dHPC_0-31,1,60.0,620.0,False,True,False,0.666895510492509,False,1,dHPC
32,dHPC,A_dHPC_32-63,2,120.0,0.0,False,True,False,-8.03784589316109,False,2,dHPC
33,dHPC,A_dHPC_32-63,2,120.0,20.0,False,True,False,-7.531443015296361,False,2,dHPC
34,dHPC,A_dHPC_32-63,2,120.0,40.0,False,True,False,-6.101151397454146,False,2,dHPC
35,dHPC,A_dHPC_32-63,2,120.0,60.0,False,True,False,-4.6477952367501985,False,2,dHPC
36,dHPC,A_dHPC_32-63,2,120.0,80.0,False,True,False,-3.9323411161748822,False,2,dHPC
37,dHPC,A_dHPC_32-63,2,120.0,100.0,False,True,False,-3.3488659136446586,False,2,dHPC
38,dHPC,A_dHPC_32-63,2,120.0,120.0,False,True,False,-2.9479545940957337,False,2,dHPC
39,dHPC,A_dHPC_32-63,2,120.0,140.0,False,True,False,-2.8672717265750407,False,2,dHPC
40,dHPC,A_dHPC_32-63,2,120.0,160.0,False,True,False,-3.078980660293894,False,2,dHPC
