session,region,state,channel,slope,offset,n_windows
dec3,dHPC,baseline,0,-1.9573,6.7949,120
dec3,dHPC,baseline,1,-1.9431,6.7459,120
dec3,dHPC,baseline,2,-1.9324,6.7148,120
dec3,dHPC,baseline,3,-1.9246,6.7158,120
dec3,dHPC,baseline,4,-1.9266,6.7569,120
dec3,dHPC,baseline,8,-1.7179,6.3395,120
dec3,dHPC,baseline,9,-1.6091,6.0439,120
dec3,dHPC,baseline,10,-1.5355,5.8857,120
dec3,dHPC,baseline,11,-1.5795,6.0011,120
dec3,dHPC,baseline,12,-1.6955,6.2263,120
dec3,dHPC,baseline,13,-1.7837,6.379,120
dec3,dHPC,baseline,14,-1.8578,6.5206,120
dec3,dHPC,baseline,15,-1.9202,6.6512,120
dec3,dHPC,baseline,16,-1.8839,6.2923,120
dec3,dHPC,baseline,17,-1.8158,6.1374,120
dec3,dHPC,baseline,18,-1.7292,5.939,120
dec3,dHPC,baseline,19,-1.6517,5.7512,120
dec3,dHPC,baseline,20,-1.552,5.4921,120
dec3,dHPC,baseline,21,-1.4874,5.2812,120
dec3,dHPC,baseline,22,-1.5076,5.238,120
dec3,dHPC,baseline,23,-1.6551,5.4497,120
dec3,dHPC,baseline,24,-2.0467,6.5565,120
dec3,dHPC,baseline,25,-2.0465,6.5569,120
dec3,dHPC,baseline,26,-2.0469,6.5566,120
dec3,dHPC,baseline,27,-2.0443,6.5519,120
dec3,dHPC,baseline,28,-2.0472,6.5594,120
dec3,dHPC,baseline,29,-2.0487,6.9118,120
dec3,dHPC,baseline,30,-1.9983,6.888,120
dec3,dHPC,baseline,31,-1.9746,6.8398,120
dec3,dHPC,baseline,35,-1.9382,6.7929,120
dec3,dHPC,baseline,36,-1.9267,6.7266,120
dec3,dHPC,baseline,37,-1.9181,6.6662,120
dec3,dHPC,baseline,38,-1.921,6.6436,120
dec3,dHPC,baseline,39,-1.9306,6.6362,120
dec3,dHPC,baseline,40,-1.9484,6.6562,120
dec3,dHPC,baseline,41,-1.968,6.6908,120
dec3,dHPC,baseline,42,-1.9902,6.7388,120
dec3,dHPC,baseline,44,-1.9535,6.544,120
dec3,dHPC,baseline,45,-1.8235,6.0837,120
dec3,dHPC,baseline,46,-1.5374,5.3757,120
dec3,dHPC,baseline,47,-1.4172,5.1543,120
dec3,dHPC,baseline,48,-2.1993,6.9375,120
dec3,dHPC,baseline,49,-2.1337,6.7684,120
dec3,dHPC,baseline,50,-2.0848,6.6084,120
dec3,dHPC,baseline,51,-2.0354,6.4665,120
dec3,dHPC,baseline,52,-1.9922,6.3223,120
dec3,dHPC,baseline,53,-1.9434,6.1842,120
dec3,dHPC,baseline,54,-1.8807,6.0099,120
dec3,dHPC,baseline,55,-1.7826,5.7504,120
dec3,dHPC,baseline,56,-1.658,5.4456,120
dec3,dHPC,baseline,57,-1.5555,5.1788,120
dec3,dHPC,baseline,58,-1.5102,5.0341,120
dec3,dHPC,baseline,59,-1.6267,5.2161,120
dec3,dHPC,baseline,60,-1.8434,5.726,120
dec3,dHPC,baseline,61,-1.944,6.1475,120
dec3,dHPC,baseline,62,-1.9823,6.6243,120
dec3,dHPC,baseline,63,-1.9823,6.6236,120
dec3,dHPC,baseline,64,-1.9871,6.625,120
dec3,dHPC,baseline,65,-2.0039,6.8046,120
dec3,dHPC,baseline,68,-1.7071,5.264,120
dec3,dHPC,baseline,69,-1.9858,5.9101,120
dec3,dHPC,baseline,70,-1.9895,5.9336,120
dec3,dHPC,baseline,71,-1.6937,5.2089,120
dec3,dHPC,baseline,72,-1.9834,6.7099,120
dec3,dHPC,baseline,73,-1.7022,5.2236,120
dec3,dHPC,baseline,74,-2.0187,6.0053,120
dec3,dHPC,baseline,75,-2.0452,6.0573,120
dec3,dHPC,baseline,76,-1.8476,5.4911,120
dec3,dHPC,baseline,77,-2.0068,6.6668,120
dec3,dHPC,baseline,78,-1.9053,6.236,120
dec3,dHPC,baseline,79,-1.8545,5.5663,120
dec3,dHPC,baseline,80,-2.21,6.5181,120
dec3,dHPC,baseline,81,-2.2959,7.0723,120
dec3,dHPC,baseline,82,-2.2869,7.0502,120
dec3,dHPC,baseline,83,-2.2581,6.9969,120
dec3,dHPC,baseline,84,-2.1985,6.8756,120
dec3,dHPC,baseline,85,-2.1235,6.6775,120
dec3,dHPC,baseline,86,-2.0399,6.4439,120
dec3,dHPC,baseline,87,-2.001,6.2795,120
dec3,dHPC,baseline,88,-2.1712,6.4085,120
dec3,dHPC,baseline,89,-2.1539,6.4065,120
dec3,dHPC,baseline,90,-2.1412,6.3901,120
dec3,dHPC,baseline,91,-2.1191,6.3323,120
dec3,dHPC,baseline,92,-2.0553,6.1471,120
dec3,dHPC,baseline,93,-1.8373,5.5088,120
dec3,dHPC,baseline,94,-1.8832,5.7748,120
dec3,dHPC,baseline,95,-1.9919,6.2146,120
dec3,dHPC,baseline,96,-1.3537,4.6393,120
dec3,dHPC,baseline,97,-1.4103,4.7692,120
dec3,dHPC,baseline,98,-1.7216,5.45,120
dec3,dHPC,baseline,99,-1.8991,5.9149,120
dec3,dHPC,baseline,100,-2.0144,6.2537,120
dec3,dHPC,baseline,101,-2.0896,6.5122,120
dec3,dHPC,baseline,102,-2.1276,6.6676,120
dec3,dHPC,baseline,103,-2.138,6.6814,120
dec3,dHPC,baseline,104,-2.1381,6.6644,120
dec3,dHPC,baseline,105,-2.1364,6.6439,120
dec3,dHPC,baseline,106,-2.1002,6.5072,120
dec3,dHPC,baseline,107,-2.0488,6.3402,120
dec3,dHPC,baseline,108,-1.9696,6.1171,120
dec3,dHPC,baseline,109,-1.7701,5.6613,120
dec3,dHPC,baseline,110,-1.4485,5.0106,120
dec3,dHPC,baseline,111,-1.3084,4.7511,120
dec3,dHPC,baseline,112,-2.3063,7.0504,120
dec3,dHPC,baseline,113,-2.3018,7.0526,120
dec3,dHPC,baseline,114,-2.3172,6.9061,120
dec3,dHPC,baseline,115,-2.3122,7.0751,120
