session,region,state,quantity,mean,ci_lo,ci_hi,n_ch
dec3,dHPC,baseline,aperiodic_slope,-1.9298,-1.9701,-1.8872,119
dec3,dHPC,baseline,aperiodic_offset,6.2467,6.1322,6.3538,119
dec3,dHPC,ON,aperiodic_slope,-1.9294,-1.9708,-1.887,119
dec3,dHPC,ON,aperiodic_offset,6.2109,6.0978,6.3195,119
dec3,dHPC,OFF,aperiodic_slope,-1.9242,-1.9648,-1.8827,119
dec3,dHPC,OFF,aperiodic_offset,6.2324,6.1263,6.3409,119
dec3,dHPC,post,aperiodic_slope,-1.9427,-1.9825,-1.9018,119
dec3,dHPC,post,aperiodic_offset,6.2285,6.1175,6.3343,119
dec3,dHPC,baseline,residual_5hz_log10,-0.3388,-0.3675,-0.3082,119
dec3,dHPC,ON,residual_5hz_log10,-0.2887,-0.3168,-0.2588,119
dec3,dHPC,OFF,residual_5hz_log10,-0.3515,-0.3808,-0.3185,119
dec3,dHPC,post,residual_5hz_log10,-0.319,-0.3493,-0.2863,119
dec3,dHPC,baseline,residual_26hz_log10,0.0379,0.0301,0.0457,119
dec3,dHPC,ON,residual_26hz_log10,0.0319,0.024,0.0394,119
dec3,dHPC,OFF,residual_26hz_log10,0.0647,0.0573,0.0718,119
dec3,dHPC,post,residual_26hz_log10,0.0446,0.0367,0.0523,119
dec4,dHPC,baseline,aperiodic_slope,-1.9184,-1.9581,-1.8778,127
dec4,dHPC,baseline,aperiodic_offset,6.243,6.1404,6.3465,127
dec4,dHPC,ON,aperiodic_slope,-1.9133,-1.9546,-1.872,127
dec4,dHPC,ON,aperiodic_offset,6.2135,6.1094,6.3194,127
dec4,dHPC,OFF,aperiodic_slope,-1.9417,-1.9797,-1.9007,127
dec4,dHPC,OFF,aperiodic_offset,6.2975,6.1921,6.3945,127
dec4,dHPC,post,aperiodic_slope,-1.9443,-1.9861,-1.9042,127
dec4,dHPC,post,aperiodic_offset,6.2655,6.1671,6.3643,127
dec4,dHPC,baseline,residual_5hz_log10,-0.3854,-0.4111,-0.3589,127
dec4,dHPC,ON,residual_5hz_log10,-0.3352,-0.3633,-0.3063,127
dec4,dHPC,OFF,residual_5hz_log10,-0.3499,-0.3782,-0.3223,127
dec4,dHPC,post,residual_5hz_log10,-0.3014,-0.3301,-0.2717,127
dec4,dHPC,baseline,residual_10hz_log10,-0.0359,-0.0487,-0.0229,127
dec4,dHPC,ON,residual_10hz_log10,-0.0094,-0.0201,0.0012,127
dec4,dHPC,OFF,residual_10hz_log10,-0.0112,-0.0197,-0.0024,127
dec4,dHPC,post,residual_10hz_log10,0.0022,-0.0088,0.0133,127
dec4,dHPC,baseline,residual_26hz_log10,0.1045,0.0959,0.1137,127
dec4,dHPC,ON,residual_26hz_log10,0.0727,0.0648,0.0809,127
dec4,dHPC,OFF,residual_26hz_log10,0.0318,0.0233,0.0402,127
dec4,dHPC,post,residual_26hz_log10,0.022,0.0144,0.0293,127
dec4,dHPC,baseline,residual_50hz_log10,0.1657,0.1561,0.1752,127
dec4,dHPC,ON,residual_50hz_log10,0.1554,0.1472,0.1635,127
dec4,dHPC,OFF,residual_50hz_log10,0.1319,0.1245,0.139,127
dec4,dHPC,post,residual_50hz_log10,0.1361,0.1256,0.1462,127
dec4,LEC,baseline,aperiodic_slope,-1.4903,-1.519,-1.4612,82
dec4,LEC,baseline,aperiodic_offset,4.4134,4.3243,4.5061,82
dec4,LEC,ON,aperiodic_slope,-1.5025,-1.5298,-1.4748,82
dec4,LEC,ON,aperiodic_offset,4.43,4.3436,4.5254,82
dec4,LEC,OFF,aperiodic_slope,-1.5169,-1.5463,-1.4881,82
dec4,LEC,OFF,aperiodic_offset,4.4468,4.3592,4.5426,82
dec4,LEC,post,aperiodic_slope,-1.5011,-1.5298,-1.4705,82
dec4,LEC,post,aperiodic_offset,4.4148,4.326,4.5095,82
dec4,LEC,baseline,residual_5hz_log10,0.075,0.0405,0.1102,82
dec4,LEC,ON,residual_5hz_log10,0.1142,0.0834,0.1444,82
dec4,LEC,OFF,residual_5hz_log10,0.1008,0.071,0.1314,82
dec4,LEC,post,residual_5hz_log10,0.125,0.097,0.1526,82
dec4,LEC,baseline,residual_10hz_log10,-0.1564,-0.1767,-0.1363,82
dec4,LEC,ON,residual_10hz_log10,-0.1188,-0.1391,-0.0993,82
dec4,LEC,OFF,residual_10hz_log10,-0.138,-0.1584,-0.1186,82
dec4,LEC,post,residual_10hz_log10,-0.1279,-0.1482,-0.1076,82
dec4,LEC,baseline,residual_26hz_log10,-0.1239,-0.1327,-0.1155,82
dec4,LEC,ON,residual_26hz_log10,-0.1135,-0.1219,-0.1055,82
dec4,LEC,OFF,residual_26hz_log10,-0.1409,-0.1506,-0.131,82
dec4,LEC,post,residual_26hz_log10,-0.1338,-0.1423,-0.1254,82
dec4,LEC,baseline,residual_50hz_log10,0.1284,0.1062,0.1524,82
dec4,LEC,ON,residual_50hz_log10,0.3226,0.303,0.342,82
dec4,LEC,OFF,residual_50hz_log10,0.0975,0.0786,0.1184,82
dec4,LEC,post,residual_50hz_log10,0.125,0.1069,0.1441,82
