session,region,band,state,dB,ci_lo,ci_hi,n_ch
dec3,dHPC,broadband,ON,-0.226,-0.25,-0.201,119
dec3,dHPC,broadband,OFF,-0.159,-0.185,-0.132,119
dec3,dHPC,broadband,post,-0.247,-0.295,-0.199,119
dec3,dHPC,theta,ON,-0.446,-0.472,-0.42,119
dec3,dHPC,theta,OFF,-0.442,-0.483,-0.401,119
dec3,dHPC,theta,post,-0.878,-0.955,-0.8,119
dec3,dHPC,gamma,ON,-0.428,-0.455,-0.402,119
dec3,dHPC,gamma,OFF,-0.066,-0.089,-0.045,119
dec3,dHPC,gamma,post,-0.444,-0.476,-0.413,119
dec3,dHPC,driven_5hz,ON,-0.006,-0.04,0.029,119
dec3,dHPC,driven_5hz,OFF,-0.266,-0.311,-0.217,119
dec3,dHPC,driven_5hz,post,-0.22,-0.281,-0.158,119
dec3,dHPC,driven_26hz,ON,-0.076,-0.114,-0.04,119
dec3,dHPC,driven_26hz,OFF,0.142,0.112,0.173,119
dec3,dHPC,driven_26hz,post,-0.285,-0.32,-0.25,119
dec4,dHPC,broadband,ON,0.224,0.171,0.278,127
dec4,dHPC,broadband,OFF,0.432,0.385,0.48,127
dec4,dHPC,broadband,post,0.505,0.436,0.577,127
dec4,dHPC,theta,ON,-0.117,-0.179,-0.051,127
dec4,dHPC,theta,OFF,0.276,0.221,0.334,127
dec4,dHPC,theta,post,0.107,0.02,0.204,127
dec4,dHPC,gamma,ON,-0.15,-0.187,-0.112,127
dec4,dHPC,gamma,OFF,0.066,0.025,0.11,127
dec4,dHPC,gamma,post,-0.44,-0.498,-0.381,127
dec4,dHPC,driven_5hz,ON,0.366,0.298,0.441,127
dec4,dHPC,driven_5hz,OFF,0.628,0.57,0.683,127
dec4,dHPC,driven_5hz,post,0.581,0.494,0.674,127
dec4,dHPC,driven_10hz,ON,0.468,0.406,0.531,127
dec4,dHPC,driven_10hz,OFF,0.313,0.252,0.374,127
dec4,dHPC,driven_10hz,post,0.309,0.216,0.401,127
dec4,dHPC,driven_26hz,ON,-0.485,-0.557,-0.411,127
dec4,dHPC,driven_26hz,OFF,-0.275,-0.356,-0.193,127
dec4,dHPC,driven_26hz,post,-0.781,-0.868,-0.693,127
dec4,dHPC,driven_50hz,ON,-0.147,-0.201,-0.089,127
dec4,dHPC,driven_50hz,OFF,0.212,0.171,0.253,127
dec4,dHPC,driven_50hz,post,-0.287,-0.346,-0.226,127
dec4,LEC,broadband,ON,0.013,-0.041,0.065,82
dec4,LEC,broadband,OFF,0.008,-0.047,0.058,82
dec4,LEC,broadband,post,0.105,0.021,0.192,82
dec4,LEC,theta,ON,-0.096,-0.15,-0.043,82
dec4,LEC,theta,OFF,-0.05,-0.104,0.005,82
dec4,LEC,theta,post,-0.016,-0.086,0.051,82
dec4,LEC,gamma,ON,-0.045,-0.077,-0.01,82
dec4,LEC,gamma,OFF,-0.262,-0.301,-0.226,82
dec4,LEC,gamma,post,-0.735,-0.815,-0.662,82
dec4,LEC,driven_5hz,ON,0.047,-0.034,0.126,82
dec4,LEC,driven_5hz,OFF,0.111,0.062,0.166,82
dec4,LEC,driven_5hz,post,0.05,-0.058,0.155,82
dec4,LEC,driven_10hz,ON,0.118,0.068,0.166,82
dec4,LEC,driven_10hz,OFF,0.085,0.033,0.139,82
dec4,LEC,driven_10hz,post,0.077,0.019,0.136,82
dec4,LEC,driven_26hz,ON,0.104,0.029,0.178,82
dec4,LEC,driven_26hz,OFF,-0.076,-0.144,-0.011,82
dec4,LEC,driven_26hz,post,-0.153,-0.214,-0.094,82
dec4,LEC,driven_50hz,ON,1.111,1.04,1.178,82
dec4,LEC,driven_50hz,OFF,-0.368,-0.433,-0.307,82
dec4,LEC,driven_50hz,post,-0.856,-0.955,-0.763,82
