unit_set,condition,n_units,mean_unit_delta_hz,sem_unit_delta_hz,median_unit_delta_hz,n_units_on_gt_off,n_units_on_lt_off,n_responsive_q05_within_unit_set,dataset
dec3_dHPC,amp100_freq26,29,0.03499999999999999,0.058305881412893744,0.09833333333333336,19,10,0,dec3_dHPC
dec3_dHPC,amp100_freq5,29,-0.12137931034482756,0.07573653437633085,-0.07833333333333334,9,20,0,dec3_dHPC
dec3_dHPC,amp180_freq26,29,-0.15793103448275858,0.04765180099159207,-0.14499999999999993,8,21,0,dec3_dHPC
dec3_dHPC,amp180_freq5,29,-0.15028735632183904,0.07733091398906886,-0.03666666666666666,12,17,0,dec3_dHPC
dec3_dHPC,amp250_freq26,29,-0.19632183908045978,0.0827604437287804,-0.03500000000000001,12,17,0,dec3_dHPC
dec3_dHPC,amp250_freq5,29,-0.24827586206896549,0.062288749870401915,-0.18166666666666662,6,23,0,dec3_dHPC
dec4_dHPC,amp100_freq10,15,-0.13933333333333334,0.07199459856282431,-0.1349999999999999,5,10,0,dec4_dHPC
dec4_dHPC,amp100_freq26,15,-0.08588888888888889,0.047966827896821,-0.05666666666666661,5,10,0,dec4_dHPC
dec4_dHPC,amp100_freq5,15,-0.029888888888888885,0.03142113107375583,0.0016666666666666653,8,7,0,dec4_dHPC
dec4_dHPC,amp100_freq50,15,-0.11755555555555558,0.10544286382142795,-0.011666666666666664,7,8,1,dec4_dHPC
dec4_dHPC,amp180_freq10,15,-0.07388888888888887,0.0453238396532896,-0.105,5,10,0,dec4_dHPC
dec4_dHPC,amp180_freq26,15,0.05111111111111111,0.05970466703963713,0.028333333333333335,9,6,1,dec4_dHPC
dec4_dHPC,amp180_freq5,15,0.14333333333333334,0.061050980518106514,0.075,9,6,0,dec4_dHPC
dec4_dHPC,amp180_freq50,15,-0.002555555555555574,0.1616441537807635,-0.165,4,11,5,dec4_dHPC
dec4_dHPC,amp250_freq10,15,0.18500000000000003,0.10233129101938039,0.06833333333333332,10,5,0,dec4_dHPC
dec4_dHPC,amp250_freq26,15,-0.24755555555555558,0.1411599590493023,-0.14166666666666666,5,10,3,dec4_dHPC
dec4_dHPC,amp250_freq5,15,0.045333333333333316,0.041858984736548525,0.02666666666666666,8,7,0,dec4_dHPC
dec4_dHPC,amp250_freq50,15,0.7886666666666665,0.3825987855284314,0.4049999999999999,8,7,9,dec4_dHPC
dec4_LEC,amp100_freq10,15,-0.053888888888888896,0.0443306081829416,-0.031666666666666676,5,10,0,dec4_LEC
dec4_LEC,amp100_freq26,15,-0.08633333333333335,0.08213844938714673,-0.01333333333333333,6,9,1,dec4_LEC
dec4_LEC,amp100_freq5,15,0.13299999999999998,0.06621757467445628,0.006666666666666654,9,6,1,dec4_LEC
dec4_LEC,amp100_freq50,15,0.014777777777777768,0.08097273475837677,-0.0016666666666666653,7,8,1,dec4_LEC
dec4_LEC,amp180_freq10,15,0.06677777777777778,0.06762632049716952,0.026666666666666696,9,6,0,dec4_LEC
dec4_LEC,amp180_freq26,15,-0.07877777777777778,0.09478414165724229,-0.03833333333333333,6,9,2,dec4_LEC
dec4_LEC,amp180_freq5,15,0.04377777777777778,0.04311896508396064,0.03166666666666667,10,5,0,dec4_LEC
dec4_LEC,amp180_freq50,15,-0.20133333333333336,0.1991387673890965,-0.05666666666666667,4,11,4,dec4_LEC
dec4_LEC,amp250_freq10,15,0.16466666666666666,0.11447547737675053,0.004999999999999987,8,7,0,dec4_LEC
dec4_LEC,amp250_freq26,15,-0.17777777777777778,0.11429281834181441,-0.03833333333333336,5,10,1,dec4_LEC
dec4_LEC,amp250_freq5,15,0.13755555555555554,0.08136677471928387,0.03999999999999997,10,5,0,dec4_LEC
dec4_LEC,amp250_freq50,15,-0.04599999999999999,0.20493997056306887,-0.13000000000000003,5,10,3,dec4_LEC
