session,channel,shank_section,depth_um,ripple_band_rms,bad,is_detection_channel
dec3_dHPC,0,1,0.0,144.377,False,False
dec3_dHPC,1,1,20.0,143.236,False,False
dec3_dHPC,2,1,40.0,142.118,False,False
dec3_dHPC,3,1,60.0,147.38,False,False
dec3_dHPC,4,1,80.0,159.862,False,False
dec3_dHPC,5,1,100.0,179.519,True,False
dec3_dHPC,6,1,120.0,191.887,True,False
dec3_dHPC,7,1,140.0,197.226,True,False
dec3_dHPC,8,1,160.0,181.168,False,True
dec3_dHPC,9,1,180.0,159.348,False,False
dec3_dHPC,10,1,200.0,150.728,False,False
dec3_dHPC,11,1,220.0,150.158,False,False
dec3_dHPC,12,1,240.0,143.348,False,False
dec3_dHPC,13,1,260.0,135.675,False,False
dec3_dHPC,14,1,280.0,131.229,False,False
dec3_dHPC,15,1,300.0,129.018,False,False
dec3_dHPC,16,1,320.0,93.159,False,False
dec3_dHPC,17,1,340.0,92.373,False,False
dec3_dHPC,18,1,360.0,92.746,False,False
dec3_dHPC,19,1,380.0,93.601,False,False
dec3_dHPC,20,1,400.0,93.72,False,False
dec3_dHPC,21,1,420.0,93.883,False,False
dec3_dHPC,22,1,440.0,93.974,False,False
dec3_dHPC,23,1,460.0,93.742,False,False
dec3_dHPC,24,1,480.0,103.762,False,False
dec3_dHPC,25,1,500.0,103.818,False,False
dec3_dHPC,26,1,520.0,103.734,False,False
dec3_dHPC,27,1,540.0,103.706,False,False
dec3_dHPC,28,1,560.0,103.944,False,False
dec3_dHPC,29,1,580.0,128.205,False,False
dec3_dHPC,30,1,600.0,138.234,False,False
dec3_dHPC,31,1,620.0,141.008,False,False
dec3_dHPC,32,2,0.0,188.008,True,False
dec3_dHPC,33,2,20.0,191.538,True,False
dec3_dHPC,34,2,40.0,180.278,True,False
dec3_dHPC,35,2,60.0,171.398,False,False
dec3_dHPC,36,2,80.0,163.668,False,False
dec3_dHPC,37,2,100.0,157.451,False,False
dec3_dHPC,38,2,120.0,154.294,False,False
dec3_dHPC,39,2,140.0,152.013,False,False
dec3_dHPC,40,2,160.0,151.582,False,False
dec3_dHPC,41,2,180.0,153.397,False,False
dec3_dHPC,42,2,200.0,157.768,False,False
dec3_dHPC,43,2,220.0,160.679,True,False
dec3_dHPC,44,2,240.0,148.886,False,False
dec3_dHPC,45,2,260.0,125.782,False,False
dec3_dHPC,46,2,280.0,107.132,False,False
dec3_dHPC,47,2,300.0,98.364,False,False
dec3_dHPC,48,2,320.0,105.23,False,False
dec3_dHPC,49,2,340.0,104.012,False,False
dec3_dHPC,50,2,360.0,97.011,False,False
dec3_dHPC,51,2,380.0,91.669,False,False
dec3_dHPC,52,2,400.0,85.49,False,False
dec3_dHPC,53,2,420.0,82.766,False,False
dec3_dHPC,54,2,440.0,80.628,False,False
dec3_dHPC,55,2,460.0,79.992,False,False
dec3_dHPC,56,2,480.0,81.237,False,False
dec3_dHPC,57,2,500.0,83.441,False,False
dec3_dHPC,58,2,520.0,86.2,False,False
dec3_dHPC,59,2,540.0,92.721,False,False
dec3_dHPC,60,2,560.0,103.801,False,False
dec3_dHPC,61,2,580.0,121.06,False,False
dec3_dHPC,62,2,600.0,158.306,False,False
dec3_dHPC,63,2,620.0,158.205,False,False
dec3_dHPC,64,3,0.0,157.619,False,False
dec3_dHPC,65,3,20.0,174.131,False,False
dec3_dHPC,66,3,40.0,182.256,True,False
dec3_dHPC,67,3,60.0,180.968,True,False
dec3_dHPC,68,3,80.0,54.819,False,False
dec3_dHPC,69,3,100.0,27.735,False,False
dec3_dHPC,70,3,120.0,26.116,False,False
dec3_dHPC,71,3,140.0,46.342,False,False
dec3_dHPC,72,3,160.0,148.076,False,False
dec3_dHPC,73,3,180.0,45.408,False,False
dec3_dHPC,74,3,200.0,24.993,False,False
dec3_dHPC,75,3,220.0,25.156,False,False
dec3_dHPC,76,3,240.0,47.245,False,False
dec3_dHPC,77,3,260.0,152.289,False,False
dec3_dHPC,78,3,280.0,126.293,False,False
dec3_dHPC,79,3,300.0,40.809,False,False
dec3_dHPC,80,3,320.0,29.529,False,False
dec3_dHPC,81,3,340.0,69.15,False,False
dec3_dHPC,82,3,360.0,76.844,False,False
dec3_dHPC,83,3,380.0,87.113,False,False
dec3_dHPC,84,3,400.0,100.401,False,False
dec3_dHPC,85,3,420.0,100.097,False,False
dec3_dHPC,86,3,440.0,94.548,False,False
dec3_dHPC,87,3,460.0,84.761,False,False
dec3_dHPC,88,3,480.0,32.047,False,False
dec3_dHPC,89,3,500.0,20.775,False,False
dec3_dHPC,90,3,520.0,19.245,False,False
dec3_dHPC,91,3,540.0,19.296,False,False
dec3_dHPC,92,3,560.0,21.755,False,False
dec3_dHPC,93,3,580.0,36.104,False,False
dec3_dHPC,94,3,600.0,100.005,False,False
dec3_dHPC,95,3,620.0,120.027,False,False
dec3_dHPC,96,4,0.0,85.189,False,False
dec3_dHPC,97,4,20.0,92.374,False,False
dec3_dHPC,98,4,40.0,100.891,False,False
dec3_dHPC,99,4,60.0,109.728,False,False
dec3_dHPC,100,4,80.0,118.066,False,False
dec3_dHPC,101,4,100.0,127.043,False,False
dec3_dHPC,102,4,120.0,132.38,False,False
dec3_dHPC,103,4,140.0,132.269,False,False
dec3_dHPC,104,4,160.0,129.816,False,False
dec3_dHPC,105,4,180.0,127.218,False,False
dec3_dHPC,106,4,200.0,120.524,False,False
