region,cluster_id,shank_section,best_channel,best_channel_global,x_um,depth_um,cell_type,on_off_hz,responsive
dHPC,0,1,1,1,60.0,20.0,pyramidal-like,-0.9333,True
dHPC,78,1,15,15,60.0,300.0,pyramidal-like,-0.425,False
dHPC,82,4,113,113,0.0,340.0,pyramidal-like,-0.7983,True
dHPC,86,3,81,81,180.0,340.0,pyramidal-like,1.87,True
dHPC,90,4,115,115,0.0,380.0,interneuron-like,0.405,False
dHPC,104,3,84,84,180.0,400.0,interneuron-like,2.7683,True
dHPC,109,4,119,119,0.0,460.0,pyramidal-like,-0.05,False
dHPC,113,4,119,119,0.0,460.0,pyramidal-like,-0.1667,False
dHPC,125,4,120,120,0.0,480.0,pyramidal-like,-0.9533,True
dHPC,126,4,120,120,0.0,480.0,interneuron-like,3.9767,True
dHPC,130,4,122,122,0.0,520.0,pyramidal-like,-0.0183,False
dHPC,135,4,122,122,0.0,520.0,interneuron-like,0.7583,False
dHPC,137,4,123,123,0.0,540.0,interneuron-like,1.825,True
dHPC,139,2,58,58,120.0,520.0,pyramidal-like,1.6883,True
dHPC,149,4,124,124,0.0,560.0,interneuron-like,1.8833,True
LEC,38,6,86,214,1620.0,440.0,pyramidal-like,-0.1567,False
LEC,69,5,47,175,1560.0,940.0,pyramidal-like,0.1833,False
LEC,71,5,45,173,1560.0,900.0,pyramidal-like,-0.13,False
LEC,72,5,45,173,1560.0,900.0,pyramidal-like,-1.9767,True
LEC,73,5,46,174,1560.0,920.0,pyramidal-like,-0.1467,False
LEC,74,5,46,174,1560.0,920.0,pyramidal-like,-0.06,False
LEC,76,5,46,174,1560.0,920.0,pyramidal-like,-0.1617,True
LEC,77,5,47,175,1560.0,940.0,pyramidal-like,-0.17,False
LEC,80,5,48,176,1560.0,960.0,pyramidal-like,0.23,False
LEC,81,5,48,176,1560.0,960.0,pyramidal-like,-0.2533,False
LEC,82,5,50,178,1560.0,1000.0,interneuron-like,-0.2483,False
LEC,85,5,53,181,1560.0,1060.0,pyramidal-like,0.1133,False
LEC,87,5,53,181,1560.0,1060.0,interneuron-like,2.1417,True
LEC,88,5,53,181,1560.0,1060.0,pyramidal-like,0.0417,False
LEC,91,5,55,183,1560.0,1100.0,pyramidal-like,-0.0967,False
