condition,amplitude,frequency,channel,shank,n_trials,pre_abs_lfp,onset_abs_lfp,sustained_abs_lfp,offset_abs_lfp,recovery_abs_lfp,onset_minus_pre_abs_lfp,sustained_minus_pre_abs_lfp,offset_minus_pre_abs_lfp,recovery_minus_pre_abs_lfp
amp100_freq26,100,26,0,Section 4 (0-31),100,1519.1832275390625,1580.2159423828125,1551.6143798828125,1541.8634033203125,1563.7608642578125,61.03271484375,32.43115234375,22.68017578125,44.57763671875
amp100_freq26,100,26,1,Section 4 (0-31),100,1487.723876953125,1548.8211669921875,1518.16552734375,1514.7728271484375,1532.966796875,61.0972900390625,30.441650390625,27.0489501953125,45.242919921875
amp100_freq26,100,26,2,Section 4 (0-31),100,1484.30224609375,1545.0833740234375,1515.454833984375,1525.861572265625,1533.4222412109375,60.7811279296875,31.152587890625,41.559326171875,49.1199951171875
amp100_freq26,100,26,3,Section 4 (0-31),100,1537.8409423828125,1613.32763671875,1572.63134765625,1608.252197265625,1591.0126953125,75.4866943359375,34.7904052734375,70.4112548828125,53.1717529296875
amp100_freq26,100,26,4,Section 4 (0-31),100,1642.5655517578125,1745.194580078125,1681.754150390625,1749.5040283203125,1692.5167236328125,102.6290283203125,39.1885986328125,106.9384765625,49.951171875
amp100_freq26,100,26,5,Section 4 (0-31),100,1776.7764892578125,1915.4921875,1820.112060546875,1924.66357421875,1821.8572998046875,138.7156982421875,43.3355712890625,147.8870849609375,45.080810546875
amp100_freq26,100,26,6,Section 4 (0-31),100,1812.7060546875,1972.6131591796875,1860.406494140625,1985.297119140625,1859.002685546875,159.9071044921875,47.700439453125,172.591064453125,46.296630859375
amp100_freq26,100,26,7,Section 4 (0-31),100,1760.742919921875,1927.1793212890625,1808.790283203125,1942.7879638671875,1805.7232666015625,166.4364013671875,48.04736328125,182.0450439453125,44.9803466796875
amp100_freq26,100,26,8,Section 4 (0-31),100,1566.7733154296875,1725.8494873046875,1618.015869140625,1742.771240234375,1612.9666748046875,159.076171875,51.2425537109375,175.9979248046875,46.193359375
amp100_freq26,100,26,9,Section 4 (0-31),100,1317.3485107421875,1462.3331298828125,1371.382568359375,1477.6981201171875,1364.49462890625,144.984619140625,54.0340576171875,160.349609375,47.1461181640625
