condition,amplitude,frequency,analysis_group,n_trials,onset_delta_mean,onset_delta_ci_low,onset_delta_ci_high,sustained_delta_mean,sustained_delta_ci_low,sustained_delta_ci_high,offset_delta_mean,offset_delta_ci_low,offset_delta_ci_high,recovery_delta_mean,recovery_delta_ci_low,recovery_delta_ci_high,transition_index_mean,transition_index_ci_low,transition_index_ci_high
amp100_freq5,100,5,Group 0-31,200,-3.678802375793457,-13.65032126426697,6.714265573501563,3.3978774642944334,-2.794573959350586,9.808911427497861,6.692817916870117,-3.397528434753418,16.952584357261653,1.9442844009399414,-5.938406639099121,9.450590767860408,3.2949404525756836,-5.075205954551697,12.369942126274106
amp100_freq5,100,5,Group 32-63,200,-2.0867833518981933,-10.84183479785919,6.921459492206571,1.9557442855834961,-3.0985323858261107,7.24354582118988,5.718845901489257,-2.8194886293411257,14.741389372825612,0.013499832153320313,-6.201980088233947,6.669905930519104,3.7631016159057618,-3.5834705705642698,11.325350285530082
amp100_freq5,100,5,Group 64-95,200,-0.9071815681457519,-9.98301051902771,8.382346817493437,0.42450775146484376,-4.36500437450409,5.382559485435483,3.836004753112793,-3.393710292339325,11.015653793811792,-0.4731586456298828,-6.633078281402588,5.026557330131526,3.411497001647949,-4.029949546337127,10.20634778356552
amp100_freq5,100,5,Group 96-127,200,-3.286115665435791,-8.872130268096925,2.61088709783554,0.6111045837402344,-2.7089029293060305,3.672386863708494,3.4349711418151854,-1.8671397981643676,9.395653453826888,-0.8387849044799804,-4.4792603616714475,2.789468878746032,2.8238665580749513,-1.962659866333008,7.662554605484009
amp180_freq5,180,5,Group 0-31,200,-20.17569610595703,-30.294646216392515,-9.801533592224125,-1.1737831878662108,-7.451507682800293,5.1404095687866205,1.0028868865966798,-9.694654480934144,11.49971209812164,1.4979728698730468,-7.508461149215698,10.122287452697744,2.1766700744628906,-6.176802738189697,11.271893617630003
amp180_freq5,180,5,Group 32-63,200,-10.335328559875489,-18.107402213096616,-2.613347408294681,-1.0520961380004883,-6.622590953826904,4.4516607837677,1.385142593383789,-6.990865511894226,9.745462575912475,1.5115122985839844,-5.319236068725585,8.130474370002746,2.4372387313842774,-4.3005239381790155,9.473120817184444
amp180_freq5,180,5,Group 64-95,200,-11.015415859222411,-18.55202729845047,-3.0056439666748163,1.1875179672241212,-3.3827011985778808,5.724252076148985,2.9403135108947756,-5.161236941814423,11.155549692153928,4.859923782348633,-0.9725748424530029,11.013055191040035,1.7527955436706544,-4.9640693383216865,8.636604088783255
amp180_freq5,180,5,Group 96-127,200,-5.9926992034912105,-10.487247837543489,-1.398519040107732,-0.32351978302001955,-3.798290699005127,2.9956152629852273,3.5841189765930177,-1.9835404825210572,9.384993521690369,1.8301420974731446,-2.7474795446395874,6.506283248901366,3.9076387596130373,-0.8902161712646485,8.859892371177672
amp250_freq5,250,5,Group 0-31,200,-7.275648918151855,-18.088185458183286,4.030113988876325,0.23683780670166016,-6.772843550682068,6.672537496566765,-1.2680036926269531,-11.8174126663208,9.834506359100317,2.3890938186645507,-6.550198915481568,11.10072343921661,-1.5048414993286132,-10.710838090896607,7.262821016311645
amp250_freq5,250,5,Group 32-63,200,-11.286018447875977,-19.893759964466096,-2.451008217811594,2.4959124755859374,-2.5594599990844724,7.591617549896238,-3.279547538757324,-12.128019105911253,5.114736423492419,3.894420509338379,-3.6021594438552853,10.610272682189931,-5.7754600143432615,-12.680048671722412,1.1813167438507075
