channel,rms,mad,ptp,absmax,zero_fraction,saturation_fraction,rough_mad,rms_rz,mad_rz,ptp_rz,rough_mad_rz,absmax_rz,exclude_reasons,exclude_auto
0,1954.1897,1301.0,12357.5,8321.0,0.000325,0.0,53.0,1.3530708139201042,1.347330380806846,1.301847764607185,0.67448975,0.25972515651331307,,False
1,1947.1746,1276.0,12055.5,8912.0,0.000275,0.0,53.0,1.3422070214580248,1.2923597410350447,1.2214309053493881,0.67448975,0.3940775131867206,,False
2,2031.5079,1257.5,12225.0,10243.0,0.000425,0.0,52.5,1.4728075086258323,1.2516814676039119,1.266565533310304,0.5058673124999999,0.6966544788928211,,False
3,2229.5354,1329.5,13391.0,12368.0,0.00035,0.0,52.5,1.7794771255861543,1.4099969101466991,1.5770491687228583,0.5058673124999999,1.179731903479946,,False
4,2459.647,1376.5,14638.0,14718.0,0.000375,0.0,52.5,2.1358328837761285,1.5133417129176854,1.909101564399921,0.5058673124999999,1.7139587024351195,,False
5,2704.734,1440.5,15718.5,15563.0,0.00025,0.0,53.0,2.515379780193689,1.6540665507334964,2.1968181750888274,0.67448975,1.9060530195062353,,False
6,2754.8086,1496.5,16124.0,14766.0,0.0004,0.0,53.0,2.592926554632584,1.777200783822331,2.30479511690683,0.67448975,1.7248705689669699,,False
7,2670.5283,1486.75,15749.5,14778.0,0.0003,0.0,53.5,2.4624083001807406,1.7557622343113284,2.205072885807343,0.8431121875,1.7275985355999326,,False
8,2352.8252,1385.0,14155.0,12039.0,0.000375,0.0,53.0,1.9704063687958595,1.5320317304400979,1.7804878457856297,0.67448975,1.1049401516262218,,False
9,1965.5422,1226.5,12127.5,8287.0,0.0006,0.0,51.5,1.3706516014709735,1.1835178742868784,1.2406031366956178,0.1686224375,0.25199591771991914,,False
10,1590.6163,1043.5,9921.5,7164.0,0.000425,0.0,51.5,0.7900332378341195,0.7811327911572942,0.6531872707264114,0.1686224375,-0.003296293014829794,,False
11,1327.1204,874.0,8452.0,6271.0,0.00045,0.0,54.0,0.38197767659737636,0.40843185350448247,0.2618873545696802,1.0117346249999999,-0.20630247661779574,,False
12,1140.4126,718.0,7854.5,7483.0,0.0006,0.0,53.0,0.09283799523253485,0.06541506132844335,0.10278446249506515,0.67448975,0.06922215331142569,,False
13,1053.2815,631.0,7674.0,7654.0,0.00055,0.0,51.0,-0.0420951163425669,-0.12588276507742463,0.054720743634030795,0.0,0.10809567783114256,,False
14,1004.53735,604.5,7961.5,8051.0,0.0006,0.0,51.5,-0.11758134686420951,-0.18415164323553382,0.13127652852348992,0.1686224375,0.19834590727165488,,False
15,989.77576,602.25,8216.5,8506.0,0.00055,0.0,50.0,-0.14044147477995128,-0.18909900081499592,0.1991781812080537,-0.337244875,0.30178130877148635,,False
16,841.08203,468.0,5961.5,6012.0,0.0008,0.0,49.0,-0.3707117945103434,-0.48429133638956806,-0.4012854533162258,-0.67448975,-0.26518108977923827,,False
17,811.1896,475.5,5975.5,6417.0,0.00085,0.0,49.5,-0.4170038985390461,-0.46780014445802764,-0.39755751944334783,-0.5058673124999999,-0.17311221591675094,,False
18,810.2206,489.0,5918.5,6938.0,0.001125,0.0,50.0,-0.41850450382483967,-0.4381159989812551,-0.41273553592577966,-0.337244875,-0.05467299793562521,,False
19,809.1083,492.0,5810.0,7460.0,0.001075,0.0,49.0,-0.4202270429233722,-0.43151952220863893,-0.4416270234405843,-0.67448975,0.06399355059824738,,False
20,827.9474,487.75,5819.0,7845.0,0.0008,0.0,52.0,-0.39105238762524663,-0.4408645309698451,-0.4392304945223056,0.337244875,0.15151581340579712,,False
21,877.3135,520.5,5973.0,7770.0,0.000775,0.0,52.0,-0.31460299460283325,-0.36885299286878565,-0.39822322192064746,0.337244875,0.1344660219497809,,False
22,950.85815,567.0,6329.5,7296.0,0.000675,0.0,52.5,-0.2007101158708688,-0.26660760289323554,-0.30329404865771814,0.5058673124999999,0.026711339947758678,,False
23,1069.1196,631.5,6750.0,6528.0,0.000525,0.0,51.5,-0.017567838261114195,-0.12478335228198859,-0.1913228919759179,0.1686224375,-0.147878524561847,,False
24,1603.7384,1012.5,9621.5,7368.0,0.000675,0.0,31.0,0.8103543597542083,0.7129691978402608,0.573302973450454,-6.7448975,0.04307913974553421,,False
25,1604.2057,1009.0,9666.0,7348.0,0.00075,0.0,31.0,0.8110780076546893,0.7052733082722087,0.5851524775463877,-6.7448975,0.03853252869059656,,False
26,1604.8466,1015.25,9662.0,7341.0,0.00045,0.0,31.0,0.8120704714680448,0.7190159682151589,0.5840873535827082,-6.7448975,0.03694121482136838,,False
27,1598.8784,1010.25,9674.0,7348.0,0.0004,0.0,31.0,0.802828081315899,0.7080218402607987,0.5872827254737465,-6.7448975,0.03853252869059656,,False
28,1605.7112,1012.5,9646.5,7342.0,0.000325,0.0,31.0,0.8134094469328063,0.7129691978402608,0.5799599982234505,-6.7448975,0.037168545374115264,,False
29,2015.0918,1314.5,12383.5,8601.0,0.0003,0.0,52.5,1.4473851227050962,1.3770145262836184,1.3087710703711013,0.5058673124999999,0.3233777112824402,,False
30,2025.3738,1332.0,12787.0,8543.0,0.0004,0.0,53.0,1.463308023085846,1.4154939741238795,1.4162154502072641,0.67448975,0.310192539223121,,False
31,1967.3827,1306.5,12460.0,8170.0,0.0003,0.0,50.0,1.3735017685022042,1.3594239215566422,1.3291415661764707,-0.337244875,0.22539824304853387,,False
