channel,rms,mad,ptp,absmax,zero_fraction,saturation_fraction,rough_mad,rms_rz,mad_rz,ptp_rz,rough_mad_rz,absmax_rz,exclude_reasons,exclude_auto
0,1986.3125,1360.25,12154.5,9286.0,0.000275,0.0,52.0,1.372225390405241,1.6555120571366024,1.3815739591564982,0.337244875,0.3524191644071523,,False
1,1942.2754,1308.0,11856.5,9708.0,0.0004,0.0,52.0,1.3068871371827662,1.5320721641856392,1.3037130467024984,0.337244875,0.43585304232009375,,False
2,1933.8403,1279.0,11904.0,11485.0,0.000375,0.0,53.0,1.2943719652705579,1.4635600704903677,1.3161237626137905,0.67448975,0.7871847983658214,,False
3,2003.7794,1268.0,12505.0,14426.0,0.000375,0.0,52.0,1.3981412143378895,1.4375727246059544,1.4731519786703466,0.337244875,1.3686517058112269,,False
4,2158.9604,1345.25,14066.0,17615.0,0.0002,0.0,53.0,1.628384697509982,1.6200747672942206,1.8810072952498547,0.67448975,1.9991508448263227,,False
5,2352.9092,1381.5,15337.0,19580.0,0.00035,0.0,52.5,1.9161481643541252,1.70571488441331,2.213091925213054,0.5058673124999999,2.3876521957716546,,False
6,2416.0479,1392.75,14861.5,18548.0,0.000375,0.0,52.5,2.0098275767780818,1.7322928517950964,2.08885412698528,0.5058673124999999,2.1836148450461677,,False
7,2356.666,1351.5,14545.5,16536.0,0.000325,0.0,53.0,1.9217222154506537,1.6348403047285465,2.006290206396475,0.67448975,1.7858210953759344,,False
8,2094.3108,1209.0,13318.0,15967.0,0.000375,0.0,53.0,1.5324634211507242,1.2981860512259193,1.6855711794257215,0.67448975,1.673323757621281,,False
9,1739.9967,1033.0,10853.0,15356.0,0.00045,0.0,52.0,1.006764440004076,0.8823885170753065,1.0415203431871005,0.337244875,1.552522574197567,,False
10,1383.5995,865.0,9086.0,10981.0,0.00035,0.0,51.0,0.47797470041051304,0.48549087084063053,0.5798417112870424,0.0,0.687538650337095,,False
11,1108.1458,734.0,7186.0,10399.0,0.000575,0.0,53.0,0.06928152851730272,0.17600520621716287,0.08341307483536703,0.67448975,0.5724710746372563,,False
12,966.20215,621.25,6821.0,11720.0,0.000575,0.0,53.0,-0.14132146612610957,-0.09036508909807356,-0.01195347900929692,0.67448975,0.8336467919903268,,False
13,926.18616,592.25,6599.0,11836.0,0.000675,0.0,52.0,-0.20069355034771533,-0.158877182793345,-0.06995724600522951,0.337244875,0.8565812228858274,,False
14,906.5703,583.0,6799.0,12220.0,0.00065,0.0,52.0,-0.22979775469053024,-0.18073017819614712,-0.017701600062947898,0.337244875,0.9325020975743809,,False
15,925.28955,572.25,6870.0,12895.0,0.0008,0.0,50.0,-0.20202385335343417,-0.2061269025831874,0.0008491542465620763,-0.337244875,1.0659567601128535,,False
16,750.05707,456.25,5078.0,4330.0,0.00075,0.0,50.0,-0.4620178562224473,-0.4801752773642732,-0.4673614333962812,-0.337244875,-0.6274346245419903,,False
17,759.7434,451.5,5241.0,4132.0,0.000725,0.0,49.0,-0.447646146398718,-0.49139708581436076,-0.42477308195332175,-0.67448975,-0.6665813255532756,,False
18,775.31946,457.5,5391.5,4431.0,0.000975,0.0,50.0,-0.42453582192945777,-0.477222169877408,-0.3854507083817548,-0.337244875,-0.6074658528140114,,False
19,800.46387,469.5,5623.5,4421.0,0.00095,0.0,48.5,-0.3872288370381056,-0.4488723380035026,-0.3248341590887081,-0.8431121875,-0.6094429589256926,,False
20,848.8274,501.0,5905.5,4601.0,0.001,0.0,52.0,-0.315471441660602,-0.3744540293345009,-0.25115369831009104,0.337244875,-0.5738550489154332,,False
21,929.54944,536.5,6273.0,5123.0,0.00075,0.0,52.0,-0.1957034198625465,-0.2905857767075306,-0.15513394889114854,0.337244875,-0.4706501098856808,,False
22,1012.74805,591.0,6538.5,5498.0,0.000625,0.0,53.0,-0.07226090012303107,-0.16183029028021015,-0.08576457890276971,0.67448975,-0.3965086306976403,,False
23,1115.9146,704.75,7208.0,6117.0,0.000575,0.0,48.0,0.08080816485358014,0.10690249102451839,0.08916119588901801,-1.0117346249999999,-0.2741257623845816,,False
24,1593.8362,1101.0,9439.5,8405.0,0.000375,0.0,32.0,0.7899047649886344,1.0430375643607706,0.6722035654900252,-6.407652625,0.17823611596804922,,False
25,1593.7627,1099.5,9450.5,8437.0,0.000425,0.0,31.5,0.7897957326660417,1.0394938353765324,0.6750776260168507,-6.5762750625,0.18456285552542867,,False
26,1595.3232,1103.0,9440.0,8430.0,0.000425,0.0,32.0,0.7921111300282078,1.047762536339755,0.6723342046048809,-6.407652625,0.18317888124725196,,False
27,1590.5985,1095.5,9426.5,8404.0,0.000375,0.0,32.0,0.7851010037060366,1.030043891418564,0.6688069485037769,-6.407652625,0.17803840535688112,,False
28,1596.4214,1101.75,9430.0,8433.0,0.000375,0.0,31.5,0.7937404568953891,1.0448094288528895,0.6697214223077668,-6.5762750625,0.18377201308075625,,False
29,1993.1941,1385.75,11851.5,9086.0,0.00035,0.0,52.0,1.38243566973055,1.7157554498686514,1.3024066555539415,0.337244875,0.31287704217353074,,False
30,2033.277,1405.0,12287.5,9189.0,0.000275,0.0,53.0,1.4419070059667418,1.7612333051663747,1.4163239637081155,0.67448975,0.3332412351238458,,False
31,2003.9075,1382.5,12227.5,8920.0,0.000325,0.0,50.0,1.3983312058767592,1.708077370402802,1.400647269925431,-0.337244875,0.2800570807196248,,False
32,2365.2964,1477.0,15555.0,18672.0,0.000375,0.0,53.0,1.9345271742667627,1.9313322964098076,2.2700505792901415,0.67448975,2.2081309608310127,,False
33,2427.9238,1521.0,15770.5,18502.0,0.000475,0.0,53.0,2.0274480694697594,2.035281679947461,2.3263560377929497,0.67448975,2.1745201569324344,,False
34,2336.2617,1467.25,15168.5,16864.0,0.0003,0.0,53.0,1.8914481776001548,1.9082980580122593,2.1690665435066823,0.67448975,1.8506701758390738,,False
35,2231.4617,1424.0,14342.5,15190.0,0.00025,0.0,53.0,1.735955407406045,1.806120538966725,1.953250725765059,0.67448975,1.519702612743661,,False
36,2136.294,1373.25,13609.0,13845.0,0.000325,0.0,51.0,1.594754202845054,1.686224375,1.7616031442717415,0.0,1.253781840722556,,False
37,2063.1047,1351.5,12906.5,12997.0,0.00045,0.0,51.0,1.486162718580001,1.6348403047285465,1.578055187899477,0.0,1.0861232424520006,,False
38,2032.2063,1339.5,12739.5,13117.0,0.0003,0.0,51.0,1.4403184303829215,1.606490472854641,1.5344217235376718,0.0,1.1098485157921736,,False
39,2014.7361,1321.0,12721.0,13434.0,0.000225,0.0,51.0,1.41439771629627,1.5627844820490369,1.529588076288011,0.0,1.1725227795324638,,False
40,2026.5858,1320.75,12992.5,14206.0,0.0003,0.0,47.0,1.4319792688727362,1.5621938605516639,1.600525115654658,-1.3489795,1.325155371354243,,False
