cluster_id,KSLabel,ContamPct,Amplitude,group,is_ks_good,spike_count,firing_rate_hz,isi_violations_lt_2ms,isi_violation_fraction,best_local_channel_index,best_raw_channel,best_channel_x,best_channel_y,best_channel_shank,template_peak_to_peak,best_on_off_condition,best_on_off_delta_hz,max_abs_on_off_delta_hz,n_conditions_q05,review_category,review_priority
9,good,9.0,12.6,good,True,254465,23.905923743039065,1589,0.00624449823943662,7,10,0.0,200.0,1,6.226889610290527,amp180_freq5,-1.653333333333333,1.653333333333333,0,high_confidence_ks_good,1
177,good,0.1,27.8,good,True,153187,14.391278723694516,35,0.0002284804094368937,111,120,250.0,1120.0,2,25.6671142578125,amp250_freq26,-1.395,1.395,0,high_confidence_ks_good,2
191,good,3.8,22.6,good,True,129790,12.193228312770087,236,0.0018183359144457543,115,124,250.0,1200.0,2,12.841039657592773,amp250_freq26,-0.875,0.875,0,high_confidence_ks_good,3
112,good,4.1,18.8,good,True,111417,10.467161714491908,222,0.001992532490845121,75,84,250.0,400.0,2,12.79017162322998,amp180_freq26,-0.83,0.83,0,high_confidence_ks_good,4
187,good,11.5,12.3,good,True,102502,9.629634706183523,546,0.005326777299733661,115,124,250.0,1200.0,2,7.377203941345215,amp250_freq26,-0.815,0.815,0,manual_review,5
23,good,0.6,51.1,good,True,13614,1.278978428615856,7,0.0005142143539263939,12,15,0.0,300.0,1,33.917388916015625,amp100_freq26,-0.7116666666666666,0.7116666666666666,0,high_confidence_ks_good,6
173,good,13.9,13.9,good,True,89779,8.434362005487214,438,0.004878700795295061,112,121,250.0,1140.0,2,7.678129196166992,amp180_freq5,-0.6783333333333335,0.6783333333333335,0,manual_review,7
158,good,8.8,14.8,good,True,137851,12.950525588594417,345,0.00250272034820457,106,115,250.0,1020.0,2,7.868042945861816,amp100_freq26,-0.655,0.655,0,high_confidence_ks_good,8
21,good,16.4,13.4,good,True,96893,9.102692587327468,503,0.005191347066837304,11,14,0.0,280.0,1,6.918815612792969,amp100_freq26,0.5616666666666668,0.5616666666666668,0,manual_review,9
174,good,0.0,27.7,good,True,18202,1.7100018626168512,0,0.0,112,121,250.0,1140.0,2,11.702659606933594,amp250_freq5,-0.505,0.505,0,high_confidence_ks_good,10
102,good,12.6,10.2,good,True,200185,18.80654449334987,1500,0.007493106342165208,72,81,250.0,340.0,2,5.636592388153076,amp180_freq5,-0.4849999999999997,0.4849999999999997,0,manual_review,11
80,good,8.0,10.7,good,True,137067,12.87687206369102,311,0.0022689799074898224,54,61,0.0,1220.0,1,5.848459243774414,amp180_freq5,-0.4683333333333334,0.4683333333333334,0,high_confidence_ks_good,12
0,good,8.0,10.6,good,True,86111,8.089768728260612,131,0.0015213099523864824,0,0,0.0,0.0,1,4.447816848754883,amp180_freq26,0.4183333333333333,0.4183333333333333,0,high_confidence_ks_good,13
129,mua,49.2,16.5,mua,False,80212,7.535582320856108,6602,0.08230791287977958,82,91,250.0,540.0,2,3.5849976539611816,amp180_freq26,3.085,3.085,0,manual_review,14
120,good,13.3,21.8,good,True,24748,2.324971217231174,74,0.002990261445831818,77,86,250.0,440.0,2,19.82501220703125,amp100_freq5,0.3933333333333333,0.3933333333333333,0,manual_review,15
100,mua,30.6,10.1,mua,False,243061,22.834565582326913,8258,0.03397515016868263,72,81,250.0,340.0,2,6.061208248138428,amp250_freq26,-2.005,2.005,0,manual_review,16
119,good,5.6,26.5,good,True,12193,1.145481414728451,12,0.000984251968503937,77,86,250.0,440.0,2,22.803199768066406,amp250_freq26,0.3699999999999999,0.3699999999999999,0,high_confidence_ks_good,17
111,good,0.8,27.2,good,True,20840,1.9578309425851654,4,0.00019194779020106532,76,85,250.0,420.0,2,13.491351127624512,amp100_freq5,0.3649999999999999,0.3649999999999999,0,high_confidence_ks_good,18
101,good,19.2,11.3,good,True,19908,1.8702734359398019,49,0.002461445722610137,72,81,250.0,340.0,2,5.5127129554748535,amp100_freq26,0.36,0.36,0,manual_review,19
58,mua,48.2,10.6,mua,False,98506,9.254227199150398,2140,0.02172478554388102,42,49,0.0,980.0,1,5.567143440246582,amp250_freq5,-1.2983333333333338,1.2983333333333338,0,manual_review,20
11,mua,40.6,11.3,mua,False,170053,15.975768967343337,2480,0.01458377437489709,9,12,0.0,240.0,1,5.365173816680908,amp180_freq5,-0.9316666666666668,0.9316666666666668,0,manual_review,21
60,mua,45.4,19.4,mua,False,57480,5.400005881947951,696,0.012108770159536526,41,48,0.0,960.0,1,13.6965913772583,amp180_freq26,0.91,0.91,0,manual_review,22
157,good,1.4,8.9,good,True,44998,4.227374124493631,8,0.00017778963041980577,104,113,250.0,980.0,2,5.470282554626465,amp250_freq26,0.3266666666666666,0.3266666666666666,0,high_confidence_ks_good,23
168,good,2.7,15.3,good,True,8465,0.7952513881469974,8,0.000945179584120983,111,120,250.0,1120.0,2,6.049605369567871,amp100_freq5,0.29,0.29,0,high_confidence_ks_good,24
180,mua,48.6,10.5,mua,False,54352,5.1061433489150145,613,0.011278541333186141,114,123,250.0,1180.0,2,3.5394399166107178,amp250_freq26,-0.675,0.675,0,manual_review,25
172,mua,47.2,18.3,mua,False,41964,3.9423424987832956,615,0.014655768176727117,112,121,250.0,1140.0,2,11.271415710449219,amp100_freq26,0.5616666666666668,0.5616666666666668,0,manual_review,26
22,mua,49.6,10.5,mua,False,25584,2.403509924908775,260,0.010162998866434741,12,15,0.0,300.0,1,5.767289638519287,amp100_freq5,-0.5183333333333333,0.5183333333333333,0,manual_review,27
