kind,trial_number,expected_start_s,burst_index,detected_start_s,delta_s,note
matched_trial,1,1540,10,1539.4833,-0.5166999999999007,
matched_trial,2,1546,11,1545.4408,-0.5591999999999189,
matched_trial,3,1552,12,1552.1711,0.171100000000024,
matched_trial,5,1564,13,1563.4413,-0.5587000000000444,
matched_trial,6,1570,14,1569.6068,-0.3931999999999789,
matched_trial,7,1576,15,1575.48215,-0.5178499999999531,
matched_trial,8,1582,16,1581.6789,-0.3210999999998876,
matched_trial,9,1588,17,1588.4466,0.44659999999998945,
matched_trial,10,1594,18,1593.8196,-0.18039999999996326,
matched_trial,11,1600,19,1599.79585,-0.20415000000002692,
matched_trial,12,1606,20,1606.9848,0.9847999999999502,
matched_trial,13,1612,21,1612.1893,0.1893000000000029,
matched_trial,14,1618,22,1619.3065,1.3064999999999145,
matched_trial,15,1624,23,1624.1896,0.1895999999999276,
matched_trial,16,1630,24,1629.962,-0.038000000000010914,
matched_trial,17,1636,25,1636.70165,0.7016499999999724,
matched_trial,18,1642,26,1643.0949,1.0949000000000524,
matched_trial,19,1648,27,1647.71285,-0.2871500000001106,
matched_trial,20,1654,28,1653.713,-0.28700000000003456,
matched_trial,21,1660,29,1659.4479,-0.5521000000001095,
matched_trial,22,1666,30,1666.39765,0.3976500000001124,
matched_trial,23,1672,31,1671.61155,-0.3884499999999207,
matched_trial,24,1678,32,1677.4463,-0.5536999999999352,
matched_trial,25,1684,33,1682.7101,-1.2898999999999887,
matched_trial,26,1690,34,1690.33275,0.33275000000003274,
matched_trial,27,1696,35,1697.13795,1.1379500000000462,
matched_trial,28,1702,36,1702.046,0.04600000000004911,
matched_trial,30,1714,37,1713.5658,-0.4341999999999189,
matched_trial,32,1726,38,1725.8376,-0.16239999999993415,
matched_trial,33,1732,39,1731.52885,-0.47115000000007967,
matched_trial,34,1738,40,1737.83165,-0.1683499999999185,
matched_trial,35,1744,41,1744.2187,0.21869999999989886,
matched_trial,36,1750,42,1749.4482,-0.5517999999999574,
matched_trial,37,1756,43,1755.44835,-0.5516500000001088,
matched_trial,38,1762,44,1761.4485,-0.5515000000000327,
matched_trial,39,1768,45,1767.8106,-0.1893999999999778,
matched_trial,40,1774,46,1773.49875,-0.5012500000000273,
matched_trial,41,1780,47,1779.9607,-0.03929999999991196,
matched_trial,42,1786,48,1785.45225,-0.5477499999999509,
matched_trial,43,1792,49,1794.401,2.4010000000000673,
matched_trial,44,1798,50,1797.4567,-0.5433000000000447,
matched_trial,45,1804,51,1803.45065,-0.549350000000004,
matched_trial,46,1810,52,1809.45705,-0.5429500000000189,
matched_trial,47,1816,53,1815.7349,-0.26510000000007494,
matched_trial,48,1822,54,1821.45735,-0.5426500000000942,
matched_trial,49,1828,55,1827.5324,-0.4675999999999476,
matched_trial,50,1834,56,1834.23145,0.23144999999999527,
matched_trial,51,1840,57,1839.4609,-0.5390999999999622,
matched_trial,52,1846,58,1845.4673,-0.5326999999999771,
matched_trial,53,1852,59,1851.4768,-0.523200000000088,
matched_trial,54,1858,60,1857.47385,-0.526149999999916,
matched_trial,55,1864,61,1863.5645,-0.4355000000000473,
matched_trial,56,1870,62,1869.45855,-0.5414499999999407,
matched_trial,57,1876,63,1875.87055,-0.12944999999990614,
matched_trial,58,1882,64,1881.7865,-0.2135000000000673,
matched_trial,59,1888,65,1887.69615,-0.3038500000000113,
matched_trial,60,1894,66,1893.75245,-0.24755000000004657,
matched_trial,61,1900,67,1899.5373,-0.46270000000004075,
matched_trial,62,1906,68,1905.4657,-0.5343000000000302,
matched_trial,63,1912,69,1911.45755,-0.542449999999917,
matched_trial,64,1918,70,1917.4733,-0.5266999999998916,
matched_trial,65,1924,71,1923.45785,-0.5421499999999924,
matched_trial,66,1930,72,1929.45905,-0.5409500000000662,
matched_trial,67,1936,73,1935.46855,-0.5314499999999498,
