edge,sample
rising,1799365
rising,1808164
rising,2152758
rising,2283369
rising,7032302
rising,7090961
rising,13516073
rising,13588212
rising,24602651
rising,24610514
rising,26245689
rising,26246438
rising,26253926
rising,26254675
rising,26261498
rising,26261748
rising,26261873
rising,26269111
rising,26269486
rising,26274915
rising,26288332
rising,26359410
rising,26359597
rising,30789666
rising,30791164
rising,30799464
rising,30803520
rising,30811508
rising,30827358
rising,30843022
rising,30908816
rising,30910876
rising,30918988
rising,30922982
rising,30950939
rising,30958989
rising,30966977
rising,31043422
rising,31268826
rising,31392136
rising,31392823
rising,31404367
rising,31409796
rising,31419719
rising,31430577
rising,31509643
rising,31514386
rising,31519066
rising,31533606
rising,31541219
rising,31552078
rising,31562000
rising,31633578
rising,31636760
rising,31641191
rising,31662907
rising,31668961
rising,31768932
rising,31876392
rising,31882632
rising,31894052
rising,31895612
rising,31902477
rising,31909466
rising,31920325
rising,31924006
rising,31995917
rising,32012017
rising,32035918
rising,32139696
rising,32243786
rising,32275799
rising,32386130
rising,32389312
rising,32483792
rising,32514557
rising,32523793
rising,32599240
rising,32605293
rising,32620769
rising,32625387
rising,32629942
rising,32648352
rising,32734033
rising,32746139
rising,32861898
rising,32885924
rising,32954257
rising,32961932
rising,32963430
rising,32978095
rising,32986582
rising,32990326
rising,33074260
rising,33078878
rising,33080375
rising,33095727
rising,33105025
rising,33111141
rising,33126554
rising,33188958
rising,33231393
rising,33248866
rising,33327953
rising,33349358
rising,33432231
rising,33456381
rising,33468425
rising,33476225
rising,33548926
rising,33556103
rising,33559285
rising,33565463
rising,33573513
rising,33580316
rising,33589427
rising,33597477
rising,33654202
rising,33679413
rising,33683282
rising,33687027
rising,33687276
rising,33687900
rising,33692456
rising,33693953
rising,33704001
rising,33708618
rising,33709367
rising,33710865
rising,33711676
rising,33715420
rising,33717854
rising,33723283
rising,33727028
rising,33806655
rising,33838669
rising,33942759
rising,34040920
rising,34051716
rising,34057769
rising,34082481
rising,34088535
rising,34271316
rising,34295966
rising,34299149
rising,34319056
rising,34516752
rising,34525988
rising,34562868
rising,34630577
rising,34635132
rising,34638315
rising,34642870
rising,34655226
rising,34659844
rising,34664400
rising,34665898
rising,34670515
rising,34681374
rising,34685992
