condition,channel,n_trials,mean_abs_lfp,pre_abs_lfp,stim_abs_lfp,recovery_abs_lfp,stim_minus_pre_abs_lfp
amp100_freq26,0,50,1535.9505615234375,1491.349853515625,1544.0687255859375,1556.26123046875,52.7188720703125
amp100_freq26,1,50,1502.3018798828125,1458.7769775390625,1509.976806640625,1522.7740478515625,51.1998291015625
amp100_freq26,2,50,1498.022705078125,1449.2677001953125,1506.9708251953125,1519.938232421875,57.703125
amp100_freq26,3,50,1554.072509765625,1492.1160888671875,1566.8546142578125,1577.6688232421875,74.738525390625
amp100_freq26,4,50,1667.7965087890625,1593.9134521484375,1683.5750732421875,1694.309326171875,89.66162109375
amp100_freq26,5,50,1821.29638671875,1732.0936279296875,1840.036376953125,1854.2852783203125,107.9427490234375
amp100_freq26,6,50,1876.7220458984375,1782.3121337890625,1895.1746826171875,1915.8087158203125,112.862548828125
amp100_freq26,7,50,1832.9200439453125,1742.7274169921875,1850.1190185546875,1871.512451171875,107.3916015625
amp100_freq26,8,50,1639.520263671875,1558.08154296875,1655.0701904296875,1674.294921875,96.9886474609375
amp100_freq26,9,50,1384.1922607421875,1312.52685546875,1399.0311279296875,1411.3602294921875,86.5042724609375
amp100_freq26,10,50,1146.94091796875,1091.977783203125,1158.0484619140625,1168.566162109375,66.0706787109375
amp100_freq26,11,50,973.9493408203125,931.427978515625,982.7578735351562,990.051513671875,51.32989501953125
amp100_freq26,12,50,857.384033203125,829.7617797851562,862.4200439453125,869.9047241210938,32.65826416015625
amp100_freq26,13,50,807.781005859375,788.6826171875,811.3598022460938,816.114990234375,22.67718505859375
amp100_freq26,14,50,788.2882690429688,777.0494384765625,790.3323364257812,793.4068603515625,13.28289794921875
amp100_freq26,15,50,787.8927001953125,782.5049438476562,788.9091186523438,790.2271118164062,6.4041748046875
amp100_freq26,16,50,634.5769653320312,619.1498413085938,636.55322265625,644.0845947265625,17.40338134765625
amp100_freq26,17,50,635.115478515625,622.6309814453125,635.22412109375,647.2884521484375,12.5931396484375
amp100_freq26,18,50,652.75146484375,643.9857177734375,650.8942260742188,667.094482421875,6.90850830078125
amp100_freq26,19,50,669.38916015625,663.1357421875,666.3670654296875,684.6869506835938,3.2313232421875
amp100_freq26,20,50,698.362060546875,694.3121948242188,695.2977294921875,711.5907592773438,0.98553466796875
