condition,amplitude,frequency,channel,analysis_group,physical_shank,n_trials,pre_5hz_power,stim_5hz_power,five_hz_log2_power_change,pre_26hz_power,stim_26hz_power,twenty_six_hz_log2_power_change,driven_pre_power,driven_stim_power,driven_log2_power_change
amp100_freq26,100,26,0,Group 0-31,Physical Shank A (0-63),200,232014420613.14612,256068517032.00156,0.14231541084219687,13843553312.213789,14554499056.389515,0.07225088880705602,13843553312.213789,14554499056.389515,0.07225088880705602
amp100_freq26,100,26,1,Group 0-31,Physical Shank A (0-63),200,224696130102.387,247468084304.0858,0.13926719686617223,13485524148.872131,14131076342.282055,0.06745976107154616,13485524148.872131,14131076342.282055,0.06745976107154616
amp100_freq26,100,26,2,Group 0-31,Physical Shank A (0-63),200,226666287848.97775,249037481287.22156,0.13579305634967995,13921915605.041128,14525689121.58521,0.06124887453525529,13921915605.041128,14525689121.58521,0.06124887453525529
amp100_freq26,100,26,3,Group 0-31,Physical Shank A (0-63),200,251359095639.49326,276683691014.1715,0.13848771238859003,15413048729.300938,15923687050.76423,0.04702216563894047,15413048729.300938,15923687050.76423,0.04702216563894047
amp100_freq26,100,26,4,Group 0-31,Physical Shank A (0-63),200,300741435725.7105,333330944563.4087,0.1484316012598127,17308496360.33628,17613866207.52286,0.025231213518478204,17308496360.33628,17613866207.52286,0.025231213518478204
amp100_freq26,100,26,5,Group 0-31,Physical Shank A (0-63),200,368743984274.0213,412214622165.78644,0.16077616809014894,18894256465.42305,18884863980.049793,-0.0007173535110941595,18894256465.42305,18884863980.049793,-0.0007173535110941595
amp100_freq26,100,26,6,Group 0-31,Physical Shank A (0-63),200,392920937343.71893,441998129099.7723,0.16980121708026788,18210890925.00907,17928554053.473843,-0.02254236565556099,18210890925.00907,17928554053.473843,-0.02254236565556099
amp100_freq26,100,26,7,Group 0-31,Physical Shank A (0-63),200,372330930509.83215,420168330493.55084,0.17438195567011017,16125360404.34991,15775636816.72137,-0.0316331615586635,16125360404.34991,15775636816.72137,-0.0316331615586635
amp100_freq26,100,26,8,Group 0-31,Physical Shank A (0-63),200,289194722487.6873,326422886768.2339,0.17470098897393954,11791318996.030355,11727140197.349749,-0.007873871639151415,11791318996.030355,11727140197.349749,-0.007873871639151415
amp100_freq26,100,26,9,Group 0-31,Physical Shank A (0-63),200,196287185145.94693,221322809125.35733,0.1731861525917245,7883754901.378415,8114265371.598354,0.041577560658955966,7883754901.378415,8114265371.598354,0.041577560658955966
amp100_freq26,100,26,10,Group 0-31,Physical Shank A (0-63),200,129006337334.33368,143426439216.84024,0.15286905618583865,5699561289.245591,6075025931.023956,0.09203969143737312,5699561289.245591,6075025931.023956,0.09203969143737312
amp100_freq26,100,26,11,Group 0-31,Physical Shank A (0-63),200,86470591674.2336,93403912773.9175,0.11127342603163524,4896837240.578001,5241000317.303851,0.0979919512872052,4896837240.578001,5241000317.303851,0.0979919512872052
amp100_freq26,100,26,12,Group 0-31,Physical Shank A (0-63),200,62661655545.70051,65612746750.72772,0.0663932312230773,4564059459.160277,4868537080.133854,0.09317074321122484,4564059459.160277,4868537080.133854,0.09317074321122484
amp100_freq26,100,26,13,Group 0-31,Physical Shank A (0-63),200,54221317071.57864,55930389803.00638,0.04477222750643194,4401906051.912429,4646638447.640552,0.07805903920948588,4401906051.912429,4646638447.640552,0.07805903920948588
amp100_freq26,100,26,14,Group 0-31,Physical Shank A (0-63),200,51675300774.652466,52927946189.270134,0.03455479202329743,4445292499.357255,4618537278.109063,0.05515766151095854,4445292499.357255,4618537278.109063,0.05515766151095854
amp100_freq26,100,26,15,Group 0-31,Physical Shank A (0-63),200,52427264299.065025,53815733927.16549,0.037710763687477625,4619391426.270306,4725517444.108708,0.0327695142762147,4619391426.270306,4725517444.108708,0.0327695142762147
amp100_freq26,100,26,16,Group 0-31,Physical Shank A (0-63),200,34573662800.10902,39564502710.465775,0.19453317040864423,3630877871.0334997,3402243595.023515,-0.09383196488043932,3630877871.0334997,3402243595.023515,-0.09383196488043932
amp100_freq26,100,26,17,Group 0-31,Physical Shank A (0-63),200,36151598881.77464,41178268104.23423,0.18782369881062633,3810619011.1967764,3624865513.593312,-0.07209790294718287,3810619011.1967764,3624865513.593312,-0.07209790294718287
amp100_freq26,100,26,18,Group 0-31,Physical Shank A (0-63),200,40978739926.08777,46196036283.377686,0.17289344775165608,4087405778.9599004,3949369322.1159277,-0.049563188056093666,4087405778.9599004,3949369322.1159277,-0.049563188056093666
amp100_freq26,100,26,19,Group 0-31,Physical Shank A (0-63),200,45084169258.870056,50228507457.54224,0.15588546778219517,4255612840.524865,4160433606.483595,-0.03263300990750838,4255612840.524865,4160433606.483595,-0.03263300990750838
amp100_freq26,100,26,20,Group 0-31,Physical Shank A (0-63),200,51561787200.6851,56625506713.60447,0.13514978486888665,4454070878.7321,4418111068.340843,-0.011694828739452646,4454070878.7321,4418111068.340843,-0.011694828739452646
amp100_freq26,100,26,21,Group 0-31,Physical Shank A (0-63),200,59737402874.11474,65027443584.73053,0.12241419159033952,4632170092.185572,4686065315.160319,0.016688833146373552,4632170092.185572,4686065315.160319,0.016688833146373552
amp100_freq26,100,26,22,Group 0-31,Physical Shank A (0-63),200,68795698714.8378,74297970225.97276,0.11100443105835357,4867869428.209054,4987804885.019979,0.03511455945390733,4867869428.209054,4987804885.019979,0.03511455945390733
amp100_freq26,100,26,23,Group 0-31,Physical Shank A (0-63),200,81497404265.22229,87725121127.91747,0.10623592516702259,5261913653.972239,5460228094.81966,0.05337364473475046,5261913653.972239,5460228094.81966,0.05337364473475046
amp100_freq26,100,26,24,Group 0-31,Physical Shank A (0-63),200,150725197055.81903,165300399268.29474,0.13316959380060428,8927904905.346563,9345152903.072556,0.0658966086494698,8927904905.346563,9345152903.072556,0.0658966086494698
amp100_freq26,100,26,25,Group 0-31,Physical Shank A (0-63),200,150408424221.76816,164943193240.11935,0.13308386985541995,8942749624.101694,9358671805.057955,0.06558531061237907,8942749624.101694,9358671805.057955,0.06558531061237907
amp100_freq26,100,26,26,Group 0-31,Physical Shank A (0-63),200,150838051620.5295,165352577206.5018,0.13254511135538563,8914052176.590445,9334626438.39508,0.06651088302199988,8914052176.590445,9334626438.39508,0.06651088302199988
amp100_freq26,100,26,27,Group 0-31,Physical Shank A (0-63),200,149160716295.02243,163544631501.3335,0.13281677213734125,8921999365.283167,9338975657.944523,0.06589727166891399,8921999365.283167,9338975657.944523,0.06589727166891399
amp100_freq26,100,26,28,Group 0-31,Physical Shank A (0-63),200,151087677775.8659,165741199474.63556,0.13354626441569356,8961943809.70183,9379263140.032413,0.06566290422002623,8961943809.70183,9379263140.032413,0.06566290422002623
amp100_freq26,100,26,29,Group 0-31,Physical Shank A (0-63),200,232776555134.83926,258813305960.15753,0.1529660305085073,14118963220.318424,14814440212.52134,0.06936995984621692,14118963220.318424,14814440212.52134,0.06936995984621692
amp100_freq26,100,26,30,Group 0-31,Physical Shank A (0-63),200,240296771591.79718,267080663821.36633,0.15245826526176062,14711840473.056973,15451543490.084852,0.07077321826969489,14711840473.056973,15451543490.084852,0.07077321826969489
amp100_freq26,100,26,31,Group 0-31,Physical Shank A (0-63),200,233094099757.83142,258386352005.25098,0.14861738232284935,14167982689.398035,14908801922.12587,0.07352997216957084,14167982689.398035,14908801922.12587,0.07352997216957084
amp100_freq26,100,26,32,Group 32-63,Physical Shank A (0-63),200,385378096062.66034,426471298354.4279,0.14617407625634102,22090074798.586987,21176532768.87726,-0.06093190738807447,22090074798.586987,21176532768.87726,-0.06093190738807447
amp100_freq26,100,26,33,Group 32-63,Physical Shank A (0-63),200,400132719794.42633,440993757718.8468,0.14027962845466416,23532659769.54264,22687838252.93765,-0.05274523740657898,23532659769.54264,22687838252.93765,-0.05274523740657898
amp100_freq26,100,26,34,Group 32-63,Physical Shank A (0-63),200,376408733847.9452,413465450017.42236,0.1354666765645162,22021534760.664787,21360358974.954426,-0.04397912638537407,22021534760.664787,21360358974.954426,-0.04397912638537407
amp100_freq26,100,26,35,Group 32-63,Physical Shank A (0-63),200,344387628873.4758,377336426876.4201,0.13181806109873798,19806897384.32275,19383381884.817078,-0.031182604922015945,19806897384.32275,19383381884.817078,-0.031182604922015945
amp100_freq26,100,26,36,Group 32-63,Physical Shank A (0-63),200,314516716109.22797,343582453618.62,0.1275196651943782,17779580382.946476,17591144028.35595,-0.015371964854625863,17779580382.946476,17591144028.35595,-0.015371964854625863
amp100_freq26,100,26,37,Group 32-63,Physical Shank A (0-63),200,292110316198.0077,318906692587.0561,0.1266210649232632,16072730501.58528,16071912689.786245,-7.340899820085293e-05,16072730501.58528,16071912689.786245,-7.340899820085293e-05
amp100_freq26,100,26,38,Group 32-63,Physical Shank A (0-63),200,281692242369.5275,307284841747.6562,0.12545676772203462,15277593496.153315,15368705178.768764,0.008578312268485705,15277593496.153315,15368705178.768764,0.008578312268485705
amp100_freq26,100,26,39,Group 32-63,Physical Shank A (0-63),200,280077838440.4152,305673135221.2027,0.12616193064121495,14944512654.23433,15058235938.244202,0.010936918203786384,14944512654.23433,15058235938.244202,0.010936918203786384
amp100_freq26,100,26,40,Group 32-63,Physical Shank A (0-63),200,285396450905.60333,312143976103.58453,0.12924423022369574,15056866761.182035,15144498341.675676,0.008372204433369041,15056866761.182035,15144498341.675676,0.008372204433369041
amp100_freq26,100,26,41,Group 32-63,Physical Shank A (0-63),200,297009858900.9866,326072620077.6272,0.13468248439457167,15588760124.137545,15590936469.76214,0.00020140048736559714,15588760124.137545,15590936469.76214,0.00020140048736559714
amp100_freq26,100,26,42,Group 32-63,Physical Shank A (0-63),200,319865920112.3866,352772645171.57605,0.14127140551244416,16241582618.682806,16159841746.292439,-0.007279149217795569,16241582618.682806,16159841746.292439,-0.007279149217795569
amp100_freq26,100,26,43,Group 32-63,Physical Shank A (0-63),200,335415225753.24146,372452123665.8941,0.15110680856955477,16257138621.462166,16173134791.19949,-0.007474015334040677,16257138621.462166,16173134791.19949,-0.007474015334040677
amp100_freq26,100,26,44,Group 32-63,Physical Shank A (0-63),200,281734704670.31195,315271944818.39026,0.16225950542424067,13096836257.114641,13168944928.96331,0.007921415616991969,13096836257.114641,13168944928.96331,0.007921415616991969
amp100_freq26,100,26,45,Group 32-63,Physical Shank A (0-63),200,187126789158.63034,208831283802.23648,0.15832173960508145,8522390282.535074,8885655213.333406,0.060220040899534304,8522390282.535074,8885655213.333406,0.060220040899534304
amp100_freq26,100,26,46,Group 32-63,Physical Shank A (0-63),200,108450848739.32889,119632557362.18,0.14156872110298177,5004745908.283338,5480168565.906821,0.13092344502186865,5004745908.283338,5480168565.906821,0.13092344502186865
amp100_freq26,100,26,47,Group 32-63,Physical Shank A (0-63),200,66843817115.69715,72694602940.39232,0.12105413738644616,3258118467.0596366,3697321249.9034123,0.18244133867081302,3258118467.0596366,3697321249.9034123,0.18244133867081302
