condition,amplitude,frequency,analysis_group,n_channels,driven_log2_power_change,five_hz_log2_power_change,twenty_six_hz_log2_power_change
amp100_freq26,100,26,Group 0-31,32,0.03405608075190158,0.13468307387080272,0.03405608075190158
amp100_freq26,100,26,Group 32-63,32,-0.02932065339103597,0.14565047965605848,-0.02932065339103597
amp100_freq26,100,26,Group 64-95,32,-0.045065408503303005,0.15074955729279763,-0.045065408503303005
amp100_freq26,100,26,Group 96-127,32,-0.019268153996431562,0.14587081028203525,-0.019268153996431562
amp100_freq5,100,5,Group 0-31,32,-0.11153608449594442,-0.11153608449594442,-0.10993111907952925
amp100_freq5,100,5,Group 32-63,32,-0.0834918776679863,-0.0834918776679863,-0.1151225788763878
amp100_freq5,100,5,Group 64-95,32,-0.0649330798855146,-0.0649330798855146,-0.09936941387932709
amp100_freq5,100,5,Group 96-127,32,-0.07310887896674412,-0.07310887896674412,-0.10309936633159421
amp180_freq26,180,26,Group 0-31,32,-0.0028404795413708122,0.04846123229319962,-0.0028404795413708122
amp180_freq26,180,26,Group 32-63,32,-0.08204163259958219,0.04151727794569847,-0.08204163259958219
amp180_freq26,180,26,Group 64-95,32,-0.07731763205234111,0.023259878988702527,-0.07731763205234111
amp180_freq26,180,26,Group 96-127,32,-0.07486836963776003,0.02231615819159722,-0.07486836963776003
amp180_freq5,180,5,Group 0-31,32,0.1216196471953912,0.1216196471953912,-0.07532302724875424
amp180_freq5,180,5,Group 32-63,32,0.14670987342811498,0.14670987342811498,-0.07710747940678922
amp180_freq5,180,5,Group 64-95,32,0.12991067095745082,0.12991067095745082,-0.07364428366505724
amp180_freq5,180,5,Group 96-127,32,0.14138727459348688,0.14138727459348688,-0.0800279066412967
amp250_freq26,250,26,Group 0-31,32,-0.12834496439214926,0.007705407546121168,-0.12834496439214926
amp250_freq26,250,26,Group 32-63,32,-0.17865845730265537,0.07055345274281724,-0.17865845730265537
amp250_freq26,250,26,Group 64-95,32,-0.15106098677436045,0.07998216619719915,-0.15106098677436045
amp250_freq26,250,26,Group 96-127,32,-0.13038230976595686,0.061227821585945454,-0.13038230976595686
amp250_freq5,250,5,Group 0-31,32,-0.02228855884628482,-0.02228855884628482,-0.13963349136222966
amp250_freq5,250,5,Group 32-63,32,-0.0574397992206875,-0.0574397992206875,-0.18147092627996037
amp250_freq5,250,5,Group 64-95,32,-0.06401621527024719,-0.06401621527024719,-0.14618499124526868
amp250_freq5,250,5,Group 96-127,32,-0.08488995722868423,-0.08488995722868423,-0.20454256465469484
