cluster_id	KSLabel
0	good
1	mua
2	mua
3	mua
4	mua
5	mua
6	mua
7	mua
8	mua
9	good
10	mua
11	mua
12	mua
13	mua
14	mua
15	mua
16	mua
17	mua
18	mua
19	mua
20	good
21	good
22	mua
23	good
24	mua
25	mua
26	mua
27	mua
28	mua
29	mua
30	mua
31	mua
32	mua
33	mua
34	mua
35	mua
36	mua
37	mua
38	mua
39	mua
40	mua
41	mua
42	mua
43	mua
44	mua
45	mua
46	mua
47	mua
48	mua
49	mua
50	mua
51	mua
52	mua
53	mua
54	mua
55	mua
56	mua
57	mua
58	mua
59	mua
60	mua
61	mua
62	mua
63	mua
64	mua
65	mua
66	mua
67	mua
68	mua
69	mua
70	mua
71	mua
72	mua
73	mua
74	mua
75	mua
76	mua
77	mua
78	mua
79	mua
80	good
81	mua
82	mua
83	mua
84	mua
85	mua
86	mua
87	mua
88	mua
89	mua
90	mua
91	mua
92	mua
93	mua
94	mua
95	mua
96	mua
97	mua
98	mua
99	mua
100	mua
101	good
102	good
103	mua
104	mua
105	mua
106	mua
107	good
108	mua
109	mua
110	good
111	good
112	good
113	mua
114	mua
115	mua
116	mua
117	mua
118	good
119	good
120	good
121	mua
122	mua
123	mua
124	mua
125	mua
126	mua
127	mua
128	mua
129	mua
130	mua
131	mua
132	mua
133	mua
134	mua
135	mua
136	mua
137	mua
138	mua
139	mua
140	mua
141	mua
142	mua
143	mua
144	mua
145	mua
146	mua
147	mua
148	mua
149	mua
150	mua
151	mua
152	mua
153	mua
154	mua
155	mua
156	mua
157	good
158	good
159	mua
160	good
161	mua
162	mua
163	mua
164	mua
165	mua
166	mua
167	mua
168	good
169	good
170	mua
171	mua
172	mua
173	good
174	good
175	good
176	mua
177	good
178	mua
179	mua
180	mua
181	good
182	mua
183	good
184	mua
185	mua
186	mua
187	good
188	mua
189	mua
190	mua
191	good
192	mua
193	mua
