trial_number,condition,emg_on,emg_off,off_ttl_toggles,moving
1,amp180_freq5,0.5535825475786528,0.692004137572225,6,False
2,amp250_freq5,0.7029514712294094,0.7202714041402617,0,False
3,amp180_freq5,0.37230186020051037,0.36895010552934004,0,False
4,amp250_freq5,0.5680137101221402,0.6998823054832538,1,False
5,amp250_freq5,0.5431835134433651,0.6490790784049593,4,False
6,amp250_freq26,0.6419326260214935,0.45078325556865595,5,False
7,amp250_freq26,0.46712314702343166,0.31915768881975953,5,False
8,amp180_freq26,0.3467785488842798,0.3743523827932102,0,False
9,amp250_freq5,0.37451744712521534,0.3111286541772022,3,False
10,amp250_freq26,0.3728508878743475,0.40470603944418326,2,False
11,amp180_freq5,0.30271140192906204,0.2670612159594177,1,False
12,amp100_freq5,0.33757054861135144,0.31600666308191605,1,False
13,amp100_freq5,0.37327488371882905,0.3416435258438371,0,False
14,amp100_freq26,0.40242219962982145,0.35209479195911525,0,False
15,amp100_freq26,0.33202791547977745,0.3212784602839517,2,False
16,amp180_freq26,0.5166650166429878,0.3048341931504228,0,False
17,amp180_freq5,0.3266257287566499,0.3264760610849359,0,False
18,amp100_freq5,0.3405930828744514,0.3668137625279437,2,False
19,amp250_freq26,0.4922318076686674,0.5278738469414521,4,False
20,amp180_freq26,0.816078669590819,0.6583842303091157,1,False
21,amp100_freq5,0.591820050409633,0.6351618693878182,1,False
22,amp250_freq5,0.7105440496374581,0.43410057171633554,3,False
23,amp180_freq5,0.47105094465608216,0.5189486689776807,6,False
24,amp100_freq5,0.7151599506710155,0.7283812093010712,4,False
25,amp250_freq26,0.571457517427461,0.43808557858972935,0,False
26,amp100_freq5,0.43221678917575107,0.5089758737089318,0,False
27,amp100_freq5,0.5495607774864085,0.3655070659059359,0,False
28,amp180_freq26,0.34447625412671545,0.367132503229395,0,False
29,amp100_freq5,0.431047626695005,0.43523731892711526,1,False
30,amp180_freq26,0.3849364244473701,0.3553121599937364,0,False
31,amp100_freq5,0.39910014271997446,0.7914781564922938,2,True
32,amp100_freq26,0.4776598029321961,0.3859173045077184,6,False
33,amp180_freq26,0.38320678722049,0.31312822677940294,2,False
34,amp100_freq5,0.4617889620713566,0.49270758176051443,1,False
35,amp250_freq5,0.7105089736869158,0.6682540367773799,10,False
36,amp180_freq26,0.4382139532385491,0.3313932791094833,7,False
37,amp180_freq26,0.287832283343268,0.323049191030039,2,False
38,amp250_freq5,0.35141162844704077,0.34382132811832317,1,False
39,amp100_freq26,0.40758646703436335,0.7560579948931739,6,True
40,amp180_freq26,0.4639866253023019,0.36718599162877164,3,False
41,amp180_freq26,0.6848714102772777,0.6474663817486288,3,False
42,amp180_freq26,0.6473659537247997,0.3649829102144057,1,False
43,amp100_freq5,0.31538059436895743,0.3861956777404701,1,False
44,amp180_freq26,0.3297020901792954,0.2905611939623644,3,False
45,amp180_freq5,0.565590754388302,0.48904135457874914,3,False
46,amp100_freq5,0.7581635192237819,0.734804698525295,1,False
47,amp100_freq5,0.5728029342823631,0.6384214244576986,3,False
48,amp100_freq5,0.8342074520034785,0.723322208498951,2,False
49,amp100_freq5,0.5494934872215127,0.6622247916172193,0,False
50,amp250_freq5,0.7500051434296348,0.4932294112379361,5,False
51,amp180_freq26,0.6188036222310779,0.598561158656978,2,False
52,amp250_freq5,0.7053346274966844,0.7298320616286551,1,False
53,amp180_freq5,0.6018843358715459,0.7078206183507828,1,False
54,amp250_freq5,0.72598301021873,0.4743664127314035,11,False
55,amp250_freq26,0.4128560609299648,0.48422816121483075,10,False
56,amp180_freq26,0.632571009128435,0.6420187966579485,1,False
57,amp100_freq5,0.473351702239285,0.6322748041214276,3,False
58,amp100_freq26,0.7178835448143568,0.8231632695668029,1,True
59,amp100_freq5,0.5332192997852415,0.3025223958937722,1,False
60,amp180_freq5,0.25716527662351496,0.27660330180557396,6,False
61,amp180_freq26,0.6266665700487118,0.7048789219756175,4,False
62,amp250_freq5,0.5973369463948667,0.6046226003943547,4,False
63,amp180_freq5,0.5290133180312098,0.7323600456606786,1,False
64,amp100_freq26,0.5581231519441398,0.4558080725784543,4,False
65,amp250_freq5,0.8656757370695037,0.7158722510324188,2,False
66,amp180_freq5,0.6237640875375627,0.5725921842521594,4,False
67,amp250_freq5,0.633139755453958,0.6232900661173771,1,False
68,amp100_freq26,0.41276709804390516,0.697378879834504,1,False
69,amp100_freq26,0.5032880419873805,0.37235025205824973,2,False
70,amp250_freq5,0.28653693706768285,0.27157309265868756,0,False
71,amp100_freq26,0.2943213455862801,0.46746585033528526,13,False
72,amp250_freq26,0.36415294087191463,0.4691061973697388,4,False
73,amp250_freq5,0.38619053313612284,0.3885217992329563,1,False
74,amp100_freq26,0.26903087516345614,0.3924074198064979,3,False
75,amp180_freq26,0.3028106340219661,0.2628592563279984,3,False
76,amp100_freq26,0.24888598338099696,0.25268130964139374,3,False
77,amp100_freq26,0.5353048592658068,0.3409576976729491,3,False
78,amp180_freq5,0.5126110018339323,0.35474444265856125,1,False
79,amp100_freq26,0.2892562003236844,0.36201102338816554,7,False
80,amp180_freq26,0.30524601922025424,0.4848559191052995,3,False
81,amp250_freq5,0.40600283175031743,0.4284029382576275,4,False
82,amp180_freq26,0.4647425412019223,0.681655650217289,2,False
83,amp100_freq5,0.6741484179229061,0.5413813378904327,1,False
84,amp180_freq5,0.5718269284651885,0.49340647455880116,3,False
85,amp250_freq5,0.3955031649879383,0.5670021503766713,4,False
86,amp180_freq26,0.41479434073109744,0.29842876472462404,2,False
87,amp100_freq26,0.5844517954392746,0.4889499416108871,2,False
88,amp100_freq5,0.5048497446029178,0.4643698472389506,4,False
89,amp180_freq26,0.5283548046900212,0.6981928453257522,1,False
90,amp180_freq5,0.5179077484029312,0.620645008954052,9,False
