condition,amplitude,frequency,analysis_group,n_trials,on_delta_mean,on_delta_ci_low,on_delta_ci_high,off_delta_mean,off_delta_ci_low,off_delta_ci_high,on_minus_off_mean,on_minus_off_ci_low,on_minus_off_ci_high
amp100_freq5,100,5,Group 0-31,200,3.3978774642944334,-3.213258794784546,9.766498302459713,5.641344337463379,-1.4298614797592162,12.168359340667722,-2.2434668731689453,-7.90302190208435,3.7655679893493645
amp100_freq5,100,5,Group 32-63,200,1.9557442855834961,-3.424419490814209,7.008285901069639,2.6675090408325195,-2.8460734214782715,8.056880877494809,-0.7117647552490234,-4.945227937698364,3.7989436635971043
amp100_freq5,100,5,Group 64-95,200,0.42450775146484376,-4.364530690193177,5.042307923316955,0.976972541809082,-3.9648686399459843,6.07640695476532,-0.5524647903442382,-4.464623725891113,3.1870375614166258
amp100_freq5,100,5,Group 96-127,200,0.6111045837402344,-2.7877292823791504,3.938997637748717,1.8467676162719726,-1.4198551244735718,4.978469367980954,-1.2356630325317384,-3.7594836826324465,1.4451182670593243
amp180_freq5,180,5,Group 0-31,200,-1.1737831878662108,-8.393418083190918,5.272675231933593,0.7017589569091797,-6.424048473358154,8.320459068298337,-1.8755421447753906,-6.616183855056763,2.71935235786438
amp180_freq5,180,5,Group 32-63,200,-1.0520961380004883,-6.122405621528625,4.2727548589706394,0.6675313186645507,-5.013955074310303,6.5724430875778195,-1.7196274566650391,-5.856725004196167,2.2703205642700173
amp180_freq5,180,5,Group 64-95,200,1.1875180435180663,-3.494684548377991,5.5824801549911465,3.9498036193847654,-0.6221278553009034,8.647089003562925,-2.762285575866699,-5.995505771636963,0.503475037574768
amp180_freq5,180,5,Group 96-127,200,-0.32351978302001955,-3.69575984954834,3.0741827001571616,1.3732526779174805,-2.228459058761597,4.943790532112114,-1.6967724609375,-4.231175219535827,0.7692027893066392
amp250_freq5,250,5,Group 0-31,200,0.23683765411376953,-6.320723994255066,6.939854363441467,0.19682079315185547,-6.930756397247314,7.079715052604669,0.040016860961914064,-4.189565179824829,4.510496997833245
amp250_freq5,250,5,Group 32-63,200,2.4959124755859374,-2.816981739044189,7.5235763607025135,0.9110077285766601,-5.2389234409332275,6.987526044845577,1.5849047470092774,-2.2813709096908568,5.308747294425964
amp250_freq5,250,5,Group 64-95,200,0.1590994644165039,-4.463194733619689,4.617553067207333,1.0784138870239257,-4.04257602596283,5.780921523094176,-0.9193144226074219,-4.270698476791382,2.4774175348281813
amp250_freq5,250,5,Group 96-127,200,-0.5738524627685547,-3.6550040979385376,2.4703679218292223,0.4462756729125977,-2.9950125398635863,4.048719105720516,-1.0201281356811522,-3.361270357131958,1.3423247108459473
amp100_freq26,100,26,Group 0-31,200,5.361889114379883,-1.056340019226074,11.773814739227292,4.010203704833985,-3.2217128086090088,10.97050035285949,1.3516854095458983,-3.5435364456176757,6.536877927780149
amp100_freq26,100,26,Group 32-63,200,4.859096031188965,-0.14731365966796875,10.08164681148529,3.798117370605469,-1.806324465751648,9.367573828697203,1.060978660583496,-3.0723276357650757,5.225719286918641
amp100_freq26,100,26,Group 64-95,200,2.2973312377929687,-2.119354006767273,6.717814888000485,0.9730224609375,-3.737851449966431,5.7498199300765975,1.3243087768554687,-1.9913126249313355,4.6185631141662595
amp100_freq26,100,26,Group 96-127,200,0.5564120483398437,-2.8610900430679322,4.218619762420654,0.07500282287597657,-3.9470525150299074,3.8290064020156787,0.48140922546386716,-2.2354841661453246,3.1506883640289294
amp180_freq26,180,26,Group 0-31,200,10.12865333557129,4.764943033218384,15.382460792541503,12.710361099243164,7.07349358177185,18.668163370132437,-2.581707763671875,-7.049835489273072,2.234978574752807
amp180_freq26,180,26,Group 32-63,200,7.4674203491210935,2.890028462409973,11.794856683731078,10.58534481048584,6.075099117279053,14.922620195388792,-3.117924461364746,-6.724235166549683,0.339734667778015
amp180_freq26,180,26,Group 64-95,200,5.031173629760742,0.7897332668304443,9.430877701759337,6.061589393615723,1.4954708728790282,10.84088192081451,-1.0304157638549805,-4.456574232101441,2.427595809936523
amp180_freq26,180,26,Group 96-127,200,3.979777145385742,0.924276294708252,6.954067252159118,5.797168273925781,2.8392954883575436,8.866003457069397,-1.817391128540039,-4.36146656703949,0.6172251329421994
amp250_freq26,250,26,Group 0-31,200,0.9597353363037109,-5.197173398971558,6.903707563400254,2.263682556152344,-4.612945465087891,9.038279941558837,-1.3039472198486328,-6.45167721748352,3.615736618041991
amp250_freq26,250,26,Group 32-63,200,2.0293611526489257,-2.646745141983032,6.441469613075255,3.7150996780395507,-1.6905040349960325,9.150523957252501,-1.685738525390625,-5.64614925956726,2.3980976819992006
amp250_freq26,250,26,Group 64-95,200,0.7428691101074218,-3.7246461448669437,5.118775981903072,2.0458920669555662,-3.0091964979171757,6.831494737625122,-1.3030229568481446,-4.580680951118469,2.173061775207518
amp250_freq26,250,26,Group 96-127,200,0.19703433990478517,-2.8809988899230956,3.219250832557676,0.18200244903564453,-3.0027267360687255,3.3894127321243266,0.015031890869140625,-2.2937560243606567,2.3178546323776232
