condition,amplitude,frequency,analysis_group,reference_mode,n_trials,pre_plv,sustained_plv,offset_plv,sustained_minus_pre_plv,sustained_mean_phase_rad
amp100_freq5,100,5,Group 96-127,analysis_group_median,200,0.05097899661292191,0.04521224637865041,0.08340428752265565,-0.005766750234271506,-1.7264318992006522
amp100_freq5,100,5,Group 64-95,analysis_group_median,200,0.07152329636518846,0.055269923172989475,0.06583119946408529,-0.016253373192198987,-0.2958953811907487
amp100_freq5,100,5,Group 32-63,analysis_group_median,200,0.0791943599516853,0.04987186595639738,0.05517482195354999,-0.029322493995287927,0.004575417063829588
amp100_freq5,100,5,Group 0-31,analysis_group_median,200,0.06630414456451297,0.06509997594432769,0.06440039444835682,-0.0012041686201852836,2.2483286373210034
amp180_freq5,180,5,Group 96-127,analysis_group_median,200,0.053764729971330937,0.05800202230446395,0.04726992465154228,0.004237292333133011,2.40826475994987
amp180_freq5,180,5,Group 64-95,analysis_group_median,200,0.07415536191897742,0.062034175790079915,0.065913692390315,-0.01212118612889751,0.9180029527914604
amp180_freq5,180,5,Group 32-63,analysis_group_median,200,0.05106800592632663,0.05599970663660724,0.05053097975664723,0.004931700710280609,2.6803116680925374
amp180_freq5,180,5,Group 0-31,analysis_group_median,200,0.05305320664617137,0.07683017099564055,0.07459292194128275,0.023776964349469173,2.1071726417085106
amp250_freq5,250,5,Group 96-127,analysis_group_median,200,0.07409556426926592,0.061970111223235244,0.04462247687084661,-0.012125453046030674,-0.6628194866935153
amp250_freq5,250,5,Group 64-95,analysis_group_median,200,0.07273523649663892,0.05183146598203499,0.06856627217997831,-0.02090377051460393,1.4549645154201498
amp250_freq5,250,5,Group 32-63,analysis_group_median,200,0.03981354798592652,0.06629782711890259,0.053972819608672576,0.026484279132976067,1.7829417952233526
amp250_freq5,250,5,Group 0-31,analysis_group_median,200,0.05574399520155221,0.05984632736222432,0.08265596055537763,0.004102332160672108,0.5031368134379377
amp100_freq26,100,26,Group 96-127,analysis_group_median,200,0.0686016187297398,0.03762260665970923,0.0315887058067747,-0.030979012070030572,2.770704965072259
amp100_freq26,100,26,Group 64-95,analysis_group_median,200,0.05944080368273314,0.07100311773809156,0.04391422990158422,0.011562314055358423,-0.4359287567535857
amp100_freq26,100,26,Group 32-63,analysis_group_median,200,0.06810912928363128,0.06994670519422719,0.04659643468215554,0.0018375759105959122,-1.4635046302533044
amp100_freq26,100,26,Group 0-31,analysis_group_median,200,0.04743476299874219,0.04832332980673587,0.07538551117393755,0.0008885668079936793,0.4521129452061446
amp180_freq26,180,26,Group 96-127,analysis_group_median,200,0.06061606142303602,0.06054026182172022,0.071295554816541,-7.57996013158041e-05,0.7742740639090367
amp180_freq26,180,26,Group 64-95,analysis_group_median,200,0.06177060122094592,0.05075794858557581,0.05519424673871724,-0.011012652635370115,-1.8476469377957185
amp180_freq26,180,26,Group 32-63,analysis_group_median,200,0.07447372553814689,0.06963972238724983,0.043773621023413346,-0.004834003150897062,-0.3305393147131058
amp180_freq26,180,26,Group 0-31,analysis_group_median,200,0.047724972801423064,0.060703748340537406,0.028891614401940286,0.012978775539114341,-0.6288693361188151
amp250_freq26,250,26,Group 96-127,analysis_group_median,200,0.08057760430340855,0.051811741285307925,0.04490632997231288,-0.02876586301810062,-2.911225064594628
amp250_freq26,250,26,Group 64-95,analysis_group_median,200,0.06912654796944556,0.058424225421218855,0.09447395603276694,-0.010702322548226707,1.7943104887454293
amp250_freq26,250,26,Group 32-63,analysis_group_median,200,0.05684945411043381,0.06546125067828357,0.0584477931869516,0.008611796567849758,1.5233718916777874
amp250_freq26,250,26,Group 0-31,analysis_group_median,200,0.06752615468309774,0.056386337276726595,0.09124337359700369,-0.011139817406371141,-2.832137457000156
