reference_mode,condition,amplitude,frequency,channel,analysis_group,physical_shank,n_trials,pre_power,stim_power,driven_log2_power_change
raw,amp100_freq26,100,26,0,Group 0-31,Physical Shank A (0-63),200,13843564544.0,14554500096.0,0.07224982134572824
raw,amp100_freq26,100,26,1,Group 0-31,Physical Shank A (0-63),200,13485522944.0,14131075072.0,0.06745976028208758
raw,amp100_freq26,100,26,2,Group 0-31,Physical Shank A (0-63),200,13921930240.0,14525680640.0,0.06124651555664197
raw,amp100_freq26,100,26,3,Group 0-31,Physical Shank A (0-63),200,15413052416.0,15923698688.0,0.04702287489564199
raw,amp100_freq26,100,26,4,Group 0-31,Physical Shank A (0-63),200,17308502016.0,17613864960.0,0.025230639927988092
raw,amp100_freq26,100,26,8,Group 0-31,Physical Shank A (0-63),200,11791312896.0,11727127552.0,-0.007874680941953753
raw,amp100_freq26,100,26,9,Group 0-31,Physical Shank A (0-63),200,7883759104.0,8114258944.0,0.04157564878599176
raw,amp100_freq26,100,26,10,Group 0-31,Physical Shank A (0-63),200,5699567104.0,6075025408.0,0.09203809537740207
raw,amp100_freq26,100,26,11,Group 0-31,Physical Shank A (0-63),200,4896834560.0,5240996864.0,0.09799179043872784
raw,amp100_freq26,100,26,12,Group 0-31,Physical Shank A (0-63),200,4564059648.0,4868537344.0,0.09317076171069323
raw,amp100_freq26,100,26,13,Group 0-31,Physical Shank A (0-63),200,4401905664.0,4646640640.0,0.07805984703195483
raw,amp100_freq26,100,26,14,Group 0-31,Physical Shank A (0-63),200,4445288448.0,4618539520.0,0.055159676657638955
raw,amp100_freq26,100,26,15,Group 0-31,Physical Shank A (0-63),200,4619393024.0,4725517824.0,0.032769131265246366
raw,amp100_freq26,100,26,16,Group 0-31,Physical Shank A (0-63),200,3630874880.0,3402244096.0,-0.0938305639858467
raw,amp100_freq26,100,26,17,Group 0-31,Physical Shank A (0-63),200,3810618368.0,3624866048.0,-0.07209744674012526
raw,amp100_freq26,100,26,18,Group 0-31,Physical Shank A (0-63),200,4087405824.0,3949371904.0,-0.049562260797809086
raw,amp100_freq26,100,26,19,Group 0-31,Physical Shank A (0-63),200,4255612416.0,4160435200.0,-0.032632313412869166
raw,amp100_freq26,100,26,20,Group 0-31,Physical Shank A (0-63),200,4454072832.0,4418112000.0,-0.011695157187193597
raw,amp100_freq26,100,26,21,Group 0-31,Physical Shank A (0-63),200,4632167936.0,4686066176.0,0.016689769719137465
raw,amp100_freq26,100,26,22,Group 0-31,Physical Shank A (0-63),200,4867868160.0,4987810304.0,0.03511650272348474
raw,amp100_freq26,100,26,23,Group 0-31,Physical Shank A (0-63),200,5261910528.0,5460222464.0,0.05337301403499325
raw,amp100_freq26,100,26,24,Group 0-31,Physical Shank A (0-63),200,8927905792.0,9345154048.0,0.06589664212438728
raw,amp100_freq26,100,26,25,Group 0-31,Physical Shank A (0-63),200,8942746624.0,9358676992.0,0.06558659420367612
raw,amp100_freq26,100,26,26,Group 0-31,Physical Shank A (0-63),200,8914051072.0,9334625280.0,0.06651088276097371
raw,amp100_freq26,100,26,27,Group 0-31,Physical Shank A (0-63),200,8921997312.0,9338973184.0,0.06589722150895123
