reference_mode,condition,amplitude,frequency,analysis_group,n_channels,driven_log2_power_change
analysis_group_median,amp100_freq26,100,26,Group 0-31,29,0.061563161166013784
analysis_group_median,amp100_freq26,100,26,Group 32-63,28,0.061152191330380634
analysis_group_median,amp100_freq26,100,26,Group 64-95,30,0.010299256844934872
analysis_group_median,amp100_freq26,100,26,Group 96-127,32,0.042367241876353066
analysis_group_median,amp100_freq5,100,5,Group 0-31,29,-0.12454961249504609
analysis_group_median,amp100_freq5,100,5,Group 32-63,28,-0.11090470581261398
analysis_group_median,amp100_freq5,100,5,Group 64-95,30,-0.08106658328313716
analysis_group_median,amp100_freq5,100,5,Group 96-127,32,-0.10270956358570714
analysis_group_median,amp180_freq26,180,26,Group 0-31,29,0.032743887498523756
analysis_group_median,amp180_freq26,180,26,Group 32-63,28,0.0098211035336987
analysis_group_median,amp180_freq26,180,26,Group 64-95,30,-0.04605044388961617
analysis_group_median,amp180_freq26,180,26,Group 96-127,32,-0.04871953504317575
analysis_group_median,amp180_freq5,180,5,Group 0-31,29,0.1525824076397833
analysis_group_median,amp180_freq5,180,5,Group 32-63,28,0.09068801154669952
analysis_group_median,amp180_freq5,180,5,Group 64-95,30,0.10395816270709195
analysis_group_median,amp180_freq5,180,5,Group 96-127,32,0.14785114951567593
analysis_group_median,amp250_freq26,250,26,Group 0-31,29,-0.1250759875480696
analysis_group_median,amp250_freq26,250,26,Group 32-63,28,-0.14557755971480577
analysis_group_median,amp250_freq26,250,26,Group 64-95,30,-0.11398832237563629
analysis_group_median,amp250_freq26,250,26,Group 96-127,32,-0.14531485915340694
analysis_group_median,amp250_freq5,250,5,Group 0-31,29,-0.032451086515949676
analysis_group_median,amp250_freq5,250,5,Group 32-63,28,-0.018475813317926755
analysis_group_median,amp250_freq5,250,5,Group 64-95,30,-0.026683079875724307
analysis_group_median,amp250_freq5,250,5,Group 96-127,32,-0.03986705008128383
physical_shank_median,amp100_freq26,100,26,Group 0-31,29,0.03498983373034177
physical_shank_median,amp100_freq26,100,26,Group 32-63,28,0.03961631735749886
physical_shank_median,amp100_freq26,100,26,Group 64-95,30,0.023532353231267844
physical_shank_median,amp100_freq26,100,26,Group 96-127,32,0.03489907755783755
physical_shank_median,amp100_freq5,100,5,Group 0-31,29,-0.12144642455333739
physical_shank_median,amp100_freq5,100,5,Group 32-63,28,-0.10785064399182798
physical_shank_median,amp100_freq5,100,5,Group 64-95,30,-0.0686411778557725
physical_shank_median,amp100_freq5,100,5,Group 96-127,32,-0.1041126520657149
physical_shank_median,amp180_freq26,180,26,Group 0-31,29,-0.011750982449450298
physical_shank_median,amp180_freq26,180,26,Group 32-63,28,-0.004894544224788201
physical_shank_median,amp180_freq26,180,26,Group 64-95,30,-0.07716595452462442
physical_shank_median,amp180_freq26,180,26,Group 96-127,32,-0.03387259768579358
physical_shank_median,amp180_freq5,180,5,Group 0-31,29,0.1296671826955576
physical_shank_median,amp180_freq5,180,5,Group 32-63,28,0.09874909728975308
physical_shank_median,amp180_freq5,180,5,Group 64-95,30,0.11101251016317847
physical_shank_median,amp180_freq5,180,5,Group 96-127,32,0.15987940827080394
physical_shank_median,amp250_freq26,250,26,Group 0-31,29,-0.13432077368931716
physical_shank_median,amp250_freq26,250,26,Group 32-63,28,-0.14751482137655675
physical_shank_median,amp250_freq26,250,26,Group 64-95,30,-0.12293751431104578
physical_shank_median,amp250_freq26,250,26,Group 96-127,32,-0.12236504040310743
physical_shank_median,amp250_freq5,250,5,Group 0-31,29,-0.025824998704343995
physical_shank_median,amp250_freq5,250,5,Group 32-63,28,-0.02017217275161381
physical_shank_median,amp250_freq5,250,5,Group 64-95,30,-0.02662813820183577
physical_shank_median,amp250_freq5,250,5,Group 96-127,32,-0.030328280151787512
raw,amp100_freq26,100,26,Group 0-31,29,0.03947201168276465
raw,amp100_freq26,100,26,Group 32-63,28,-0.027611885113295896
raw,amp100_freq26,100,26,Group 64-95,30,-0.04412062772112517
raw,amp100_freq26,100,26,Group 96-127,32,-0.019267872605294056
raw,amp100_freq5,100,5,Group 0-31,29,-0.11481516078157332
raw,amp100_freq5,100,5,Group 32-63,28,-0.0810979411907514
raw,amp100_freq5,100,5,Group 64-95,30,-0.062466678209563684
raw,amp100_freq5,100,5,Group 96-127,32,-0.07310895623881684
raw,amp180_freq26,180,26,Group 0-31,29,-0.005892946706095083
raw,amp180_freq26,180,26,Group 32-63,28,-0.08529723659881923
raw,amp180_freq26,180,26,Group 64-95,30,-0.07907357797973197
raw,amp180_freq26,180,26,Group 96-127,32,-0.07486832447480278
raw,amp180_freq5,180,5,Group 0-31,29,0.12448237215485888
raw,amp180_freq5,180,5,Group 32-63,28,0.1489804436891818
raw,amp180_freq5,180,5,Group 64-95,30,0.1296276387796554
raw,amp180_freq5,180,5,Group 96-127,32,0.14138709506386507
raw,amp250_freq26,250,26,Group 0-31,29,-0.12656669090641348
raw,amp250_freq26,250,26,Group 32-63,28,-0.17477487137882233
raw,amp250_freq26,250,26,Group 64-95,30,-0.1483543584234501
raw,amp250_freq26,250,26,Group 96-127,32,-0.13038226932610014
raw,amp250_freq5,250,5,Group 0-31,29,-0.02242677990076336
raw,amp250_freq5,250,5,Group 32-63,28,-0.06269349797339754
raw,amp250_freq5,250,5,Group 64-95,30,-0.06679376459508997
raw,amp250_freq5,250,5,Group 96-127,32,-0.08488993198854804
