cluster_id,group,KSLabel,ContamPct,Amplitude,is_ks_good
0,good,good,8.0,10.6,True
1,noise,mua,129.1,11.4,False
2,noise,mua,189.1,9.7,False
3,noise,mua,107.0,10.1,False
4,noise,mua,171.8,10.0,False
5,noise,mua,249.8,9.0,False
6,noise,mua,171.8,9.9,False
7,noise,mua,105.0,10.6,False
8,noise,mua,275.9,10.6,False
9,good,good,9.0,12.6,True
10,noise,mua,176.6,11.8,False
11,mua,mua,40.6,11.3,False
12,mua,mua,24.2,11.5,False
13,mua,mua,49.3,10.7,False
14,noise,mua,241.3,10.0,False
15,noise,mua,308.0,11.4,False
16,mua,mua,41.2,9.5,False
17,noise,mua,186.4,10.3,False
18,noise,mua,98.8,9.6,False
19,mua,mua,46.8,10.6,False
20,mua,good,0.0,26.6,True
21,good,good,16.4,13.4,True
22,mua,mua,49.6,10.5,False
23,good,good,0.6,51.1,True
24,noise,mua,229.7,9.8,False
25,noise,mua,177.2,9.9,False
26,noise,mua,118.9,9.9,False
27,noise,mua,138.6,9.9,False
28,noise,mua,185.5,10.0,False
29,noise,mua,94.4,10.2,False
30,noise,mua,172.6,10.0,False
31,noise,mua,56.8,9.1,False
32,noise,mua,212.9,9.9,False
33,noise,mua,54.9,9.9,False
34,noise,mua,113.2,10.0,False
35,noise,mua,137.2,9.5,False
36,noise,mua,151.8,9.9,False
37,noise,mua,179.9,9.5,False
38,noise,mua,150.2,9.6,False
39,noise,mua,141.9,9.3,False
40,noise,mua,134.3,9.2,False
41,noise,mua,118.8,10.3,False
42,noise,mua,131.9,9.2,False
43,noise,mua,50.4,9.3,False
44,noise,mua,168.0,9.6,False
45,noise,mua,151.6,9.6,False
46,noise,mua,150.3,9.9,False
47,noise,mua,168.6,9.6,False
48,noise,mua,197.1,9.4,False
49,noise,mua,212.5,9.4,False
50,noise,mua,164.8,9.9,False
51,noise,mua,185.6,9.5,False
52,noise,mua,165.6,9.6,False
53,noise,mua,89.6,10.3,False
54,noise,mua,228.2,9.7,False
55,noise,mua,168.7,9.8,False
56,noise,mua,151.8,9.6,False
57,noise,mua,152.5,9.8,False
58,mua,mua,48.2,10.6,False
59,noise,mua,233.1,10.8,False
60,mua,mua,45.4,19.4,False
61,noise,mua,105.3,12.2,False
62,noise,mua,103.6,11.0,False
63,noise,mua,264.3,10.6,False
64,noise,mua,200.0,10.9,False
65,noise,mua,94.1,11.8,False
66,noise,mua,151.7,9.8,False
67,noise,mua,81.6,10.7,False
68,noise,mua,265.6,10.0,False
69,noise,mua,88.8,10.4,False
70,noise,mua,203.4,9.8,False
71,noise,mua,130.3,9.7,False
72,mua,mua,48.0,12.8,False
73,noise,mua,105.2,10.2,False
74,noise,mua,213.8,10.0,False
75,noise,mua,146.3,10.1,False
76,good,mua,21.0,11.4,False
77,mua,mua,36.5,10.8,False
78,noise,mua,163.2,10.8,False
79,noise,mua,108.1,9.7,False
80,good,good,8.0,10.7,True
81,noise,mua,105.1,10.3,False
82,noise,mua,110.5,10.1,False
83,mua,mua,44.6,9.7,False
84,noise,mua,67.1,9.7,False
85,noise,mua,115.3,10.0,False
86,noise,mua,72.5,9.7,False
87,noise,mua,75.7,9.6,False
88,noise,mua,125.0,9.0,False
89,noise,mua,61.4,10.2,False
90,noise,mua,115.9,21.2,False
91,,mua,187.2,10.1,False
92,,mua,86.9,19.9,False
93,noise,mua,95.8,12.2,False
94,noise,mua,179.4,9.6,False
95,noise,mua,93.4,11.4,False
96,noise,mua,227.6,9.4,False
97,,mua,64.4,25.5,False
98,noise,mua,242.7,9.8,False
99,noise,mua,158.2,20.6,False
100,mua,mua,30.6,10.1,False
