reference_mode,condition,amplitude,frequency,channel,analysis_group,physical_shank,n_trials,pre_power,stim_power,driven_log2_power_change
raw,amp100_freq26,100,26,0,Group 0-31,Physical Shank A (0-63),200,13843553312.213789,14554499056.389515,0.07225088880705602
raw,amp100_freq26,100,26,1,Group 0-31,Physical Shank A (0-63),200,13485524148.872131,14131076342.282055,0.06745976107154616
raw,amp100_freq26,100,26,2,Group 0-31,Physical Shank A (0-63),200,13921915605.041128,14525689121.58521,0.06124887453525529
raw,amp100_freq26,100,26,3,Group 0-31,Physical Shank A (0-63),200,15413048729.300938,15923687050.76423,0.04702216563894047
raw,amp100_freq26,100,26,4,Group 0-31,Physical Shank A (0-63),200,17308496360.33628,17613866207.52286,0.025231213518478204
raw,amp100_freq26,100,26,8,Group 0-31,Physical Shank A (0-63),200,11791318996.030355,11727140197.349749,-0.007873871639151415
raw,amp100_freq26,100,26,9,Group 0-31,Physical Shank A (0-63),200,7883754901.378415,8114265371.598354,0.041577560658955966
raw,amp100_freq26,100,26,10,Group 0-31,Physical Shank A (0-63),200,5699561289.245591,6075025931.023956,0.09203969143737312
raw,amp100_freq26,100,26,11,Group 0-31,Physical Shank A (0-63),200,4896837240.578001,5241000317.303851,0.0979919512872052
raw,amp100_freq26,100,26,12,Group 0-31,Physical Shank A (0-63),200,4564059459.160277,4868537080.133854,0.09317074321122484
raw,amp100_freq26,100,26,13,Group 0-31,Physical Shank A (0-63),200,4401906051.912429,4646638447.640552,0.07805903920948588
raw,amp100_freq26,100,26,14,Group 0-31,Physical Shank A (0-63),200,4445292499.357255,4618537278.109063,0.05515766151095854
raw,amp100_freq26,100,26,15,Group 0-31,Physical Shank A (0-63),200,4619391426.270306,4725517444.108708,0.0327695142762147
raw,amp100_freq26,100,26,16,Group 0-31,Physical Shank A (0-63),200,3630877871.0334997,3402243595.023515,-0.09383196488043932
raw,amp100_freq26,100,26,17,Group 0-31,Physical Shank A (0-63),200,3810619011.1967764,3624865513.593312,-0.07209790294718287
raw,amp100_freq26,100,26,18,Group 0-31,Physical Shank A (0-63),200,4087405778.9599004,3949369322.1159277,-0.049563188056093666
raw,amp100_freq26,100,26,19,Group 0-31,Physical Shank A (0-63),200,4255612840.524865,4160433606.483595,-0.03263300990750838
raw,amp100_freq26,100,26,20,Group 0-31,Physical Shank A (0-63),200,4454070878.7321,4418111068.340843,-0.011694828739452646
raw,amp100_freq26,100,26,21,Group 0-31,Physical Shank A (0-63),200,4632170092.185572,4686065315.160319,0.016688833146373552
raw,amp100_freq26,100,26,22,Group 0-31,Physical Shank A (0-63),200,4867869428.209054,4987804885.019979,0.03511455945390733
raw,amp100_freq26,100,26,23,Group 0-31,Physical Shank A (0-63),200,5261913653.972239,5460228094.81966,0.05337364473475046
raw,amp100_freq26,100,26,24,Group 0-31,Physical Shank A (0-63),200,8927904905.346563,9345152903.072556,0.0658966086494698
raw,amp100_freq26,100,26,25,Group 0-31,Physical Shank A (0-63),200,8942749624.101694,9358671805.057955,0.06558531061237907
raw,amp100_freq26,100,26,26,Group 0-31,Physical Shank A (0-63),200,8914052176.590445,9334626438.39508,0.06651088302199988
raw,amp100_freq26,100,26,27,Group 0-31,Physical Shank A (0-63),200,8921999365.283167,9338975657.944523,0.06589727166891399
raw,amp100_freq26,100,26,28,Group 0-31,Physical Shank A (0-63),200,8961943809.70183,9379263140.032413,0.06566290422002623
raw,amp100_freq26,100,26,29,Group 0-31,Physical Shank A (0-63),200,14118963220.318424,14814440212.52134,0.06936995984621692
raw,amp100_freq26,100,26,30,Group 0-31,Physical Shank A (0-63),200,14711840473.056973,15451543490.084852,0.07077321826969489
raw,amp100_freq26,100,26,31,Group 0-31,Physical Shank A (0-63),200,14167982689.398035,14908801922.12587,0.07352997216957084
raw,amp100_freq26,100,26,35,Group 32-63,Physical Shank A (0-63),200,19806897384.32275,19383381884.817078,-0.031182604922015945
raw,amp100_freq26,100,26,36,Group 32-63,Physical Shank A (0-63),200,17779580382.946476,17591144028.35595,-0.015371964854625863
raw,amp100_freq26,100,26,37,Group 32-63,Physical Shank A (0-63),200,16072730501.58528,16071912689.786245,-7.340899820085293e-05
raw,amp100_freq26,100,26,38,Group 32-63,Physical Shank A (0-63),200,15277593496.153315,15368705178.768764,0.008578312268485705
raw,amp100_freq26,100,26,39,Group 32-63,Physical Shank A (0-63),200,14944512654.23433,15058235938.244202,0.010936918203786384
raw,amp100_freq26,100,26,40,Group 32-63,Physical Shank A (0-63),200,15056866761.182035,15144498341.675676,0.008372204433369041
raw,amp100_freq26,100,26,41,Group 32-63,Physical Shank A (0-63),200,15588760124.137545,15590936469.76214,0.00020140048736559714
raw,amp100_freq26,100,26,42,Group 32-63,Physical Shank A (0-63),200,16241582618.682806,16159841746.292439,-0.007279149217795569
raw,amp100_freq26,100,26,44,Group 32-63,Physical Shank A (0-63),200,13096836257.114641,13168944928.96331,0.007921415616991969
raw,amp100_freq26,100,26,45,Group 32-63,Physical Shank A (0-63),200,8522390282.535074,8885655213.333406,0.060220040899534304
raw,amp100_freq26,100,26,46,Group 32-63,Physical Shank A (0-63),200,5004745908.283338,5480168565.906821,0.13092344502186865
raw,amp100_freq26,100,26,47,Group 32-63,Physical Shank A (0-63),200,3258118467.0596366,3697321249.9034123,0.18244133867081302
raw,amp100_freq26,100,26,48,Group 32-63,Physical Shank A (0-63),200,2671771560.3176737,2618466420.9794874,-0.029074557032653575
raw,amp100_freq26,100,26,49,Group 32-63,Physical Shank A (0-63),200,2277885456.9742923,2230531802.1781673,-0.03030748550869491
raw,amp100_freq26,100,26,50,Group 32-63,Physical Shank A (0-63),200,2118960344.4074087,2021115034.4276643,-0.06820515149042268
raw,amp100_freq26,100,26,51,Group 32-63,Physical Shank A (0-63),200,2176905134.412715,2019198858.9792087,-0.10849553866949982
raw,amp100_freq26,100,26,52,Group 32-63,Physical Shank A (0-63),200,2282842121.8521385,2085453285.6986704,-0.1304700921363142
raw,amp100_freq26,100,26,53,Group 32-63,Physical Shank A (0-63),200,2407065550.5873075,2191471959.1440325,-0.13537521158722413
raw,amp100_freq26,100,26,54,Group 32-63,Physical Shank A (0-63),200,2567057396.3073287,2370116678.55695,-0.1151574698386167
raw,amp100_freq26,100,26,55,Group 32-63,Physical Shank A (0-63),200,2842076466.704704,2667504643.1951637,-0.09145458885575224
raw,amp100_freq26,100,26,56,Group 32-63,Physical Shank A (0-63),200,3203109940.777122,3054020023.8482814,-0.06876379550584022
raw,amp100_freq26,100,26,57,Group 32-63,Physical Shank A (0-63),200,3628280983.6203175,3503342334.4157023,-0.05055421612578363
raw,amp100_freq26,100,26,58,Group 32-63,Physical Shank A (0-63),200,4186931640.7012916,4063593340.032197,-0.04313733054571908
raw,amp100_freq26,100,26,59,Group 32-63,Physical Shank A (0-63),200,5201032159.8081045,5061037393.027913,-0.03936482504077164
raw,amp100_freq26,100,26,60,Group 32-63,Physical Shank A (0-63),200,6808016761.533632,6610638536.259025,-0.042444957403085196
raw,amp100_freq26,100,26,61,Group 32-63,Physical Shank A (0-63),200,9211557707.615324,8916624579.491339,-0.04694746581780507
raw,amp100_freq26,100,26,62,Group 32-63,Physical Shank A (0-63),200,15055864243.226038,14395498100.605661,-0.06470781598965944
raw,amp100_freq26,100,26,63,Group 32-63,Physical Shank A (0-63),200,15027724072.557096,14372075941.561863,-0.06435806806081673
raw,amp100_freq26,100,26,64,Group 64-95,Physical Shank B (64-127),200,14936411039.221622,14274593632.797703,-0.06538385942116609
raw,amp100_freq26,100,26,65,Group 64-95,Physical Shank B (64-127),200,18771612938.93721,17802626664.654022,-0.0764625007517156
raw,amp100_freq26,100,26,68,Group 64-95,Physical Shank B (64-127),200,2280498756.3528028,2216630455.899199,-0.040981111147512364
raw,amp100_freq26,100,26,69,Group 64-95,Physical Shank B (64-127),200,486519034.13350385,462479184.6570113,-0.07310781479220398
raw,amp100_freq26,100,26,70,Group 64-95,Physical Shank B (64-127),200,416748403.3001072,403888307.89345485,-0.045220289517062036
raw,amp100_freq26,100,26,71,Group 64-95,Physical Shank B (64-127),200,1623790975.241552,1609118763.1708484,-0.013095121507893603
raw,amp100_freq26,100,26,72,Group 64-95,Physical Shank B (64-127),200,15279795316.951635,15157989531.162163,-0.011546802243112662
raw,amp100_freq26,100,26,73,Group 64-95,Physical Shank B (64-127),200,1568425679.088969,1558989278.0978322,-0.008706161743641845
raw,amp100_freq26,100,26,74,Group 64-95,Physical Shank B (64-127),200,360917920.3617358,353796048.57071906,-0.028752842826362656
raw,amp100_freq26,100,26,75,Group 64-95,Physical Shank B (64-127),200,346140464.9307632,340952256.8961707,-0.021787872370202164
raw,amp100_freq26,100,26,76,Group 64-95,Physical Shank B (64-127),200,1503484560.6130402,1515736039.1642282,0.011708481562714227
raw,amp100_freq26,100,26,77,Group 64-95,Physical Shank B (64-127),200,13982651979.686031,13988360681.810318,0.0005888893947921386
raw,amp100_freq26,100,26,78,Group 64-95,Physical Shank B (64-127),200,8911821566.337894,9231835045.150602,0.050897098935452786
raw,amp100_freq26,100,26,79,Group 64-95,Physical Shank B (64-127),200,877851520.0062362,879070695.6553265,0.0020022502186601548
raw,amp100_freq26,100,26,80,Group 64-95,Physical Shank B (64-127),200,323546538.58519125,306674412.4803493,-0.07726544313574152
raw,amp100_freq26,100,26,81,Group 64-95,Physical Shank B (64-127),200,2915651692.438961,2820336342.817234,-0.04795116039767522
raw,amp100_freq26,100,26,82,Group 64-95,Physical Shank B (64-127),200,2757575642.4433007,2682162595.337932,-0.04000376311827778
raw,amp100_freq26,100,26,83,Group 64-95,Physical Shank B (64-127),200,2586377302.1721187,2538500096.1921816,-0.026956436926819233
raw,amp100_freq26,100,26,84,Group 64-95,Physical Shank B (64-127),200,2312113482.470542,2284917349.8447614,-0.017070228524665484
raw,amp100_freq26,100,26,85,Group 64-95,Physical Shank B (64-127),200,1996301836.895102,1946169528.618365,-0.03669248268817823
raw,amp100_freq26,100,26,86,Group 64-95,Physical Shank B (64-127),200,1968314556.447986,1856819146.1260133,-0.08412749240798162
raw,amp100_freq26,100,26,87,Group 64-95,Physical Shank B (64-127),200,2090275151.594403,1896130814.495279,-0.14063436321490203
raw,amp100_freq26,100,26,88,Group 64-95,Physical Shank B (64-127),200,299858201.380406,276646136.929334,-0.11623865408564678
raw,amp100_freq26,100,26,89,Group 64-95,Physical Shank B (64-127),200,90062706.94505581,87679215.78662792,-0.03869494557983613
raw,amp100_freq26,100,26,90,Group 64-95,Physical Shank B (64-127),200,70002684.09393464,69672440.25894149,-0.006822145790779315
raw,amp100_freq26,100,26,91,Group 64-95,Physical Shank B (64-127),200,88800088.50105463,82314666.80960295,-0.109411601770228
raw,amp100_freq26,100,26,92,Group 64-95,Physical Shank B (64-127),200,193770118.9368794,183395402.29719752,-0.07938864041393824
raw,amp100_freq26,100,26,93,Group 64-95,Physical Shank B (64-127),200,855817129.4694377,823412571.0530684,-0.055687080803920465
raw,amp100_freq26,100,26,94,Group 64-95,Physical Shank B (64-127),200,6703927691.284523,6408813265.888553,-0.06494935363289604
raw,amp100_freq26,100,26,95,Group 64-95,Physical Shank B (64-127),200,9201549159.555475,8815202394.489466,-0.06188307789086954
raw,amp100_freq26,100,26,96,Group 96-127,Physical Shank B (64-127),200,2806830881.597235,2782707505.50644,-0.012452867742690402
raw,amp100_freq26,100,26,97,Group 96-127,Physical Shank B (64-127),200,3952018421.2207494,3918013420.4774127,-0.012467332338514213
raw,amp100_freq26,100,26,98,Group 96-127,Physical Shank B (64-127),200,5467192205.513811,5421904162.8292,-0.012000483622843892
raw,amp100_freq26,100,26,99,Group 96-127,Physical Shank B (64-127),200,7143224409.985948,7076398223.13734,-0.013560207698070603
raw,amp100_freq26,100,26,100,Group 96-127,Physical Shank B (64-127),200,9033562988.49084,8953508586.031572,-0.012841985038470784
