reference_mode,condition,amplitude,frequency,n_channels,driven_log2_power_change
analysis_group_median,amp100_freq26,100,26,119,0.043380861146692457
analysis_group_median,amp100_freq5,100,5,119,-0.10450398368358212
analysis_group_median,amp180_freq26,180,26,119,-0.014419956316549213
analysis_group_median,amp180_freq5,180,5,119,0.12448853622332513
analysis_group_median,amp250_freq26,250,26,119,-0.13254706281585454
analysis_group_median,amp250_freq5,250,5,119,-0.029702876308716816
physical_shank_median,amp100_freq26,100,26,119,0.03316557263007325
physical_shank_median,amp100_freq5,100,5,119,-0.10027398777810101
physical_shank_median,amp180_freq26,180,26,119,-0.03257754194127946
physical_shank_median,amp180_freq5,180,5,119,0.12581377640206165
physical_shank_median,amp250_freq26,250,26,119,-0.13134053914087898
physical_shank_median,amp250_freq5,250,5,119,-0.025908360591457444
raw,amp100_freq26,100,26,119,-0.013181808398111556
raw,amp100_freq5,100,5,119,-0.08246948707509004
raw,amp180_freq26,180,26,119,-0.06157320841873398
raw,amp180_freq5,180,5,119,0.1360895581615239
raw,amp250_freq26,250,26,119,-0.14442851937841786
raw,amp250_freq5,250,5,119,-0.059883069931626086
