unit_set,condition,n_units,mean_unit_delta_hz,sem_unit_delta_hz,median_unit_delta_hz,n_units_on_gt_off,n_units_on_lt_off,n_responsive_q05_within_unit_set
curated_good_29,amp100_freq26,29,0.03499999999999999,0.058305881412893744,0.09833333333333336,19,10,0
curated_good_29,amp100_freq5,29,-0.12137931034482756,0.07573653437633085,-0.07833333333333334,9,20,0
curated_good_29,amp180_freq26,29,-0.15793103448275858,0.04765180099159207,-0.14499999999999993,8,21,0
curated_good_29,amp180_freq5,29,-0.15028735632183904,0.07733091398906886,-0.03666666666666666,12,17,0
curated_good_29,amp250_freq26,29,-0.19632183908045978,0.0827604437287804,-0.03500000000000001,12,17,0
curated_good_29,amp250_freq5,29,-0.24827586206896549,0.062288749870401915,-0.18166666666666662,6,23,0
high_confidence_19,amp100_freq26,19,0.012543859649122807,0.07282835709723914,0.03333333333333343,13,6,0
high_confidence_19,amp100_freq5,19,-0.11245614035087717,0.10808483783853494,-0.04333333333333333,7,12,0
high_confidence_19,amp180_freq26,19,-0.136140350877193,0.06943439139299282,-0.09166666666666665,7,12,0
high_confidence_19,amp180_freq5,19,-0.15877192982456143,0.10383022408628757,-0.035,8,11,0
high_confidence_19,amp250_freq26,19,-0.1794736842105263,0.11410919019830286,-0.033333333333333354,9,10,0
high_confidence_19,amp250_freq5,19,-0.23543859649122809,0.0909710307145098,-0.0566666666666667,5,14,0
