unit_set,cluster_id,condition,n_trials,mean_on_hz,mean_off_hz,mean_delta_hz,sem_delta_hz,median_delta_hz,t_stat,p_value,q_value_bh_within_unit_set,direction,responsive_q05_within_unit_set,KSLabel,ContamPct,Amplitude,review_category,review_priority,best_raw_channel,best_channel_shank
high_confidence_19,9,amp100_freq26,200,24.346666666666664,23.883333333333336,0.46333333333333326,0.650056004115706,-0.33333333333333215,0.7127591013694611,0.476829751300167,0.690272779355671,ON>OFF,False,good,9.0,12.6,high_confidence_ks_good,1,10,1
high_confidence_19,177,amp100_freq26,200,14.601666666666667,14.658333333333335,-0.05666666666666654,0.44350332379057616,-0.33333333333333215,-0.12777055689761807,0.8984595744555864,0.9856743851749378,ON<OFF,False,good,0.1,27.8,high_confidence_ks_good,2,120,2
high_confidence_19,191,amp100_freq26,200,12.545,12.223333333333334,0.32166666666666655,0.41623513667224005,0.0,0.772800367692071,0.4405574457232886,0.6767302763486215,ON>OFF,False,good,3.8,22.6,high_confidence_ks_good,3,124,2
high_confidence_19,112,amp100_freq26,200,11.265,11.231666666666667,0.03333333333333343,0.4654746681256313,0.0,0.0716114874039435,0.9429830166572281,0.9856743851749378,ON>OFF,False,good,4.1,18.8,high_confidence_ks_good,4,84,2
high_confidence_19,23,amp100_freq26,200,1.6966666666666665,2.408333333333333,-0.7116666666666666,0.4668800511190071,0.0,-1.5243030087941445,0.12902065249947173,0.41813209420466735,ON<OFF,False,good,0.6,51.1,high_confidence_ks_good,6,15,1
high_confidence_19,158,amp100_freq26,200,12.448333333333332,13.103333333333332,-0.655,0.24763963907885264,-0.3333333333333339,-2.64497235756121,0.0088219980999625,0.17571255967976332,ON<OFF,False,good,8.8,14.8,high_confidence_ks_good,8,115,2
high_confidence_19,174,amp100_freq26,200,2.0666666666666664,2.0416666666666665,0.025000000000000036,0.20622551797916114,0.0,0.12122651088468236,0.9036339447694636,0.9856743851749378,ON>OFF,False,good,0.0,27.7,high_confidence_ks_good,10,121,2
high_confidence_19,80,amp100_freq26,200,13.226666666666667,12.861666666666668,0.36499999999999994,0.2928574400261518,0.16666666666666607,1.2463401987240135,0.21410467672705588,0.504118323594804,ON>OFF,False,good,8.0,10.7,high_confidence_ks_good,12,61,1
high_confidence_19,0,amp100_freq26,200,7.911666666666667,7.651666666666667,0.26,0.15786048586750567,0.33333333333333304,1.6470239437766672,0.10113130802567798,0.3805528087837577,ON>OFF,False,good,8.0,10.6,high_confidence_ks_good,13,0,1
high_confidence_19,119,amp100_freq26,200,0.975,1.3083333333333331,-0.33333333333333337,0.14775445549224997,0.0,-2.2559951388458632,0.02515861690548438,0.2606258106225549,ON<OFF,False,good,5.6,26.5,high_confidence_ks_good,17,86,2
high_confidence_19,111,amp100_freq26,200,2.1633333333333336,1.8783333333333334,0.285,0.22303672270762626,0.0,1.277816480354224,0.2028027305562118,0.504118323594804,ON>OFF,False,good,0.8,27.2,high_confidence_ks_good,18,85,2
