cluster_id,condition,n_trials,mean_on_hz,mean_off_hz,mean_delta_hz,sem_delta_hz,median_delta_hz,t_stat,p_value,q_value_bh,KSLabel,ContamPct,Amplitude,is_ks_good,direction,responsive_q05
0,amp100_freq26,200,7.911666666666667,7.651666666666667,0.26,0.15786048586750567,0.33333333333333304,1.6470239437766672,0.10113130802567798,0.5075661933423895,good,8.0,10.6,True,ON>OFF,False
1,amp100_freq26,200,2.256666666666667,2.4733333333333336,-0.21666666666666665,0.4427828725799357,0.0,-0.48932937582754343,0.6251474474069559,0.8545138405645138,mua,129.1,11.4,False,ON<OFF,False
2,amp100_freq26,200,1.535,1.455,0.08000000000000002,0.09902483769890949,0.0,0.8078781228932124,0.42012539573094215,0.7645556008350626,mua,189.1,9.7,False,ON>OFF,False
3,amp100_freq26,200,1.7366666666666666,1.9416666666666667,-0.20499999999999996,0.17344149279738572,-0.16666666666666652,-1.181954771569459,0.23863408263582409,0.6535766404425865,mua,107.0,10.1,False,ON<OFF,False
4,amp100_freq26,200,1.765,1.7133333333333332,0.05166666666666668,0.10111322023066997,0.0,0.5109783522747996,0.6099326359902217,0.848123694900861,mua,171.8,10.0,False,ON>OFF,False
5,amp100_freq26,200,2.018333333333333,1.875,0.1433333333333333,0.12997250922661377,0.0,1.102797308340214,0.2714470655929474,0.6709352185706636,mua,249.8,9.0,False,ON>OFF,False
6,amp100_freq26,200,2.7783333333333338,2.6766666666666667,0.10166666666666668,0.12436769164350837,0.33333333333333304,0.8174684704938268,0.4146384081359998,0.7629458540531363,mua,171.8,9.9,False,ON>OFF,False
7,amp100_freq26,200,2.27,2.316666666666667,-0.046666666666666676,0.12996241349863322,0.0,-0.359078178146926,0.7199173062118605,0.8901900252217853,mua,105.0,10.6,False,ON<OFF,False
8,amp100_freq26,200,2.03,2.005,0.02499999999999991,0.12770659901790177,0.0,0.19576122293019046,0.8449968102510358,0.9462136149726551,mua,275.9,10.6,False,ON>OFF,False
9,amp100_freq26,200,24.346666666666664,23.883333333333336,0.46333333333333326,0.650056004115706,-0.33333333333333215,0.7127591013694611,0.476829751300167,0.7817855625681632,good,9.0,12.6,True,ON>OFF,False
