channel,intan_label,analysis_group,physical_shank,is_bad,connected,x_um_provisional,y_um_provisional,kcoord_provisional
0,A-000,Group 0-31,Physical Shank A (0-63),False,True,0.0,0.0,1
1,A-001,Group 0-31,Physical Shank A (0-63),False,True,0.0,20.0,1
2,A-002,Group 0-31,Physical Shank A (0-63),False,True,0.0,40.0,1
3,A-003,Group 0-31,Physical Shank A (0-63),False,True,0.0,60.0,1
4,A-004,Group 0-31,Physical Shank A (0-63),False,True,0.0,80.0,1
5,A-005,Group 0-31,Physical Shank A (0-63),True,False,0.0,100.0,1
6,A-006,Group 0-31,Physical Shank A (0-63),True,False,0.0,120.0,1
7,A-007,Group 0-31,Physical Shank A (0-63),True,False,0.0,140.0,1
8,A-008,Group 0-31,Physical Shank A (0-63),False,True,0.0,160.0,1
9,A-009,Group 0-31,Physical Shank A (0-63),False,True,0.0,180.0,1
10,A-010,Group 0-31,Physical Shank A (0-63),False,True,0.0,200.0,1
11,A-011,Group 0-31,Physical Shank A (0-63),False,True,0.0,220.0,1
12,A-012,Group 0-31,Physical Shank A (0-63),False,True,0.0,240.0,1
13,A-013,Group 0-31,Physical Shank A (0-63),False,True,0.0,260.0,1
14,A-014,Group 0-31,Physical Shank A (0-63),False,True,0.0,280.0,1
15,A-015,Group 0-31,Physical Shank A (0-63),False,True,0.0,300.0,1
16,A-016,Group 0-31,Physical Shank A (0-63),False,True,0.0,320.0,1
17,A-017,Group 0-31,Physical Shank A (0-63),False,True,0.0,340.0,1
18,A-018,Group 0-31,Physical Shank A (0-63),False,True,0.0,360.0,1
19,A-019,Group 0-31,Physical Shank A (0-63),False,True,0.0,380.0,1
20,A-020,Group 0-31,Physical Shank A (0-63),False,True,0.0,400.0,1
21,A-021,Group 0-31,Physical Shank A (0-63),False,True,0.0,420.0,1
22,A-022,Group 0-31,Physical Shank A (0-63),False,True,0.0,440.0,1
23,A-023,Group 0-31,Physical Shank A (0-63),False,True,0.0,460.0,1
24,A-024,Group 0-31,Physical Shank A (0-63),False,True,0.0,480.0,1
25,A-025,Group 0-31,Physical Shank A (0-63),False,True,0.0,500.0,1
26,A-026,Group 0-31,Physical Shank A (0-63),False,True,0.0,520.0,1
27,A-027,Group 0-31,Physical Shank A (0-63),False,True,0.0,540.0,1
28,A-028,Group 0-31,Physical Shank A (0-63),False,True,0.0,560.0,1
29,A-029,Group 0-31,Physical Shank A (0-63),False,True,0.0,580.0,1
30,A-030,Group 0-31,Physical Shank A (0-63),False,True,0.0,600.0,1
31,A-031,Group 0-31,Physical Shank A (0-63),False,True,0.0,620.0,1
32,A-032,Group 32-63,Physical Shank A (0-63),True,False,0.0,640.0,1
33,A-033,Group 32-63,Physical Shank A (0-63),True,False,0.0,660.0,1
34,A-034,Group 32-63,Physical Shank A (0-63),True,False,0.0,680.0,1
35,A-035,Group 32-63,Physical Shank A (0-63),False,True,0.0,700.0,1
36,A-036,Group 32-63,Physical Shank A (0-63),False,True,0.0,720.0,1
37,A-037,Group 32-63,Physical Shank A (0-63),False,True,0.0,740.0,1
38,A-038,Group 32-63,Physical Shank A (0-63),False,True,0.0,760.0,1
39,A-039,Group 32-63,Physical Shank A (0-63),False,True,0.0,780.0,1
40,A-040,Group 32-63,Physical Shank A (0-63),False,True,0.0,800.0,1
41,A-041,Group 32-63,Physical Shank A (0-63),False,True,0.0,820.0,1
42,A-042,Group 32-63,Physical Shank A (0-63),False,True,0.0,840.0,1
43,A-043,Group 32-63,Physical Shank A (0-63),True,False,0.0,860.0,1
44,A-044,Group 32-63,Physical Shank A (0-63),False,True,0.0,880.0,1
45,A-045,Group 32-63,Physical Shank A (0-63),False,True,0.0,900.0,1
46,A-046,Group 32-63,Physical Shank A (0-63),False,True,0.0,920.0,1
47,A-047,Group 32-63,Physical Shank A (0-63),False,True,0.0,940.0,1
48,A-048,Group 32-63,Physical Shank A (0-63),False,True,0.0,960.0,1
49,A-049,Group 32-63,Physical Shank A (0-63),False,True,0.0,980.0,1
50,A-050,Group 32-63,Physical Shank A (0-63),False,True,0.0,1000.0,1
51,A-051,Group 32-63,Physical Shank A (0-63),False,True,0.0,1020.0,1
52,A-052,Group 32-63,Physical Shank A (0-63),False,True,0.0,1040.0,1
53,A-053,Group 32-63,Physical Shank A (0-63),False,True,0.0,1060.0,1
54,A-054,Group 32-63,Physical Shank A (0-63),False,True,0.0,1080.0,1
55,A-055,Group 32-63,Physical Shank A (0-63),False,True,0.0,1100.0,1
56,A-056,Group 32-63,Physical Shank A (0-63),False,True,0.0,1120.0,1
57,A-057,Group 32-63,Physical Shank A (0-63),False,True,0.0,1140.0,1
58,A-058,Group 32-63,Physical Shank A (0-63),False,True,0.0,1160.0,1
59,A-059,Group 32-63,Physical Shank A (0-63),False,True,0.0,1180.0,1
60,A-060,Group 32-63,Physical Shank A (0-63),False,True,0.0,1200.0,1
61,A-061,Group 32-63,Physical Shank A (0-63),False,True,0.0,1220.0,1
62,A-062,Group 32-63,Physical Shank A (0-63),False,True,0.0,1240.0,1
63,A-063,Group 32-63,Physical Shank A (0-63),False,True,0.0,1260.0,1
64,A-064,Group 64-95,Physical Shank B (64-127),False,True,250.0,0.0,2
65,A-065,Group 64-95,Physical Shank B (64-127),False,True,250.0,20.0,2
66,A-066,Group 64-95,Physical Shank B (64-127),True,False,250.0,40.0,2
67,A-067,Group 64-95,Physical Shank B (64-127),True,False,250.0,60.0,2
68,A-068,Group 64-95,Physical Shank B (64-127),False,True,250.0,80.0,2
69,A-069,Group 64-95,Physical Shank B (64-127),False,True,250.0,100.0,2
70,A-070,Group 64-95,Physical Shank B (64-127),False,True,250.0,120.0,2
71,A-071,Group 64-95,Physical Shank B (64-127),False,True,250.0,140.0,2
72,A-072,Group 64-95,Physical Shank B (64-127),False,True,250.0,160.0,2
73,A-073,Group 64-95,Physical Shank B (64-127),False,True,250.0,180.0,2
74,A-074,Group 64-95,Physical Shank B (64-127),False,True,250.0,200.0,2
75,A-075,Group 64-95,Physical Shank B (64-127),False,True,250.0,220.0,2
76,A-076,Group 64-95,Physical Shank B (64-127),False,True,250.0,240.0,2
77,A-077,Group 64-95,Physical Shank B (64-127),False,True,250.0,260.0,2
78,A-078,Group 64-95,Physical Shank B (64-127),False,True,250.0,280.0,2
79,A-079,Group 64-95,Physical Shank B (64-127),False,True,250.0,300.0,2
80,A-080,Group 64-95,Physical Shank B (64-127),False,True,250.0,320.0,2
81,A-081,Group 64-95,Physical Shank B (64-127),False,True,250.0,340.0,2
82,A-082,Group 64-95,Physical Shank B (64-127),False,True,250.0,360.0,2
83,A-083,Group 64-95,Physical Shank B (64-127),False,True,250.0,380.0,2
84,A-084,Group 64-95,Physical Shank B (64-127),False,True,250.0,400.0,2
85,A-085,Group 64-95,Physical Shank B (64-127),False,True,250.0,420.0,2
86,A-086,Group 64-95,Physical Shank B (64-127),False,True,250.0,440.0,2
87,A-087,Group 64-95,Physical Shank B (64-127),False,True,250.0,460.0,2
88,A-088,Group 64-95,Physical Shank B (64-127),False,True,250.0,480.0,2
89,A-089,Group 64-95,Physical Shank B (64-127),False,True,250.0,500.0,2
90,A-090,Group 64-95,Physical Shank B (64-127),False,True,250.0,520.0,2
91,A-091,Group 64-95,Physical Shank B (64-127),False,True,250.0,540.0,2
92,A-092,Group 64-95,Physical Shank B (64-127),False,True,250.0,560.0,2
93,A-093,Group 64-95,Physical Shank B (64-127),False,True,250.0,580.0,2
94,A-094,Group 64-95,Physical Shank B (64-127),False,True,250.0,600.0,2
95,A-095,Group 64-95,Physical Shank B (64-127),False,True,250.0,620.0,2
96,A-096,Group 96-127,Physical Shank B (64-127),False,True,250.0,640.0,2
97,A-097,Group 96-127,Physical Shank B (64-127),False,True,250.0,660.0,2
98,A-098,Group 96-127,Physical Shank B (64-127),False,True,250.0,680.0,2
99,A-099,Group 96-127,Physical Shank B (64-127),False,True,250.0,700.0,2
100,A-100,Group 96-127,Physical Shank B (64-127),False,True,250.0,720.0,2
101,A-101,Group 96-127,Physical Shank B (64-127),False,True,250.0,740.0,2
102,A-102,Group 96-127,Physical Shank B (64-127),False,True,250.0,760.0,2
103,A-103,Group 96-127,Physical Shank B (64-127),False,True,250.0,780.0,2
104,A-104,Group 96-127,Physical Shank B (64-127),False,True,250.0,800.0,2
105,A-105,Group 96-127,Physical Shank B (64-127),False,True,250.0,820.0,2
106,A-106,Group 96-127,Physical Shank B (64-127),False,True,250.0,840.0,2
107,A-107,Group 96-127,Physical Shank B (64-127),False,True,250.0,860.0,2
108,A-108,Group 96-127,Physical Shank B (64-127),False,True,250.0,880.0,2
109,A-109,Group 96-127,Physical Shank B (64-127),False,True,250.0,900.0,2
110,A-110,Group 96-127,Physical Shank B (64-127),False,True,250.0,920.0,2
111,A-111,Group 96-127,Physical Shank B (64-127),False,True,250.0,940.0,2
112,A-112,Group 96-127,Physical Shank B (64-127),False,True,250.0,960.0,2
113,A-113,Group 96-127,Physical Shank B (64-127),False,True,250.0,980.0,2
114,A-114,Group 96-127,Physical Shank B (64-127),False,True,250.0,1000.0,2
115,A-115,Group 96-127,Physical Shank B (64-127),False,True,250.0,1020.0,2
116,A-116,Group 96-127,Physical Shank B (64-127),False,True,250.0,1040.0,2
117,A-117,Group 96-127,Physical Shank B (64-127),False,True,250.0,1060.0,2
118,A-118,Group 96-127,Physical Shank B (64-127),False,True,250.0,1080.0,2
119,A-119,Group 96-127,Physical Shank B (64-127),False,True,250.0,1100.0,2
120,A-120,Group 96-127,Physical Shank B (64-127),False,True,250.0,1120.0,2
121,A-121,Group 96-127,Physical Shank B (64-127),False,True,250.0,1140.0,2
122,A-122,Group 96-127,Physical Shank B (64-127),False,True,250.0,1160.0,2
123,A-123,Group 96-127,Physical Shank B (64-127),False,True,250.0,1180.0,2
124,A-124,Group 96-127,Physical Shank B (64-127),False,True,250.0,1200.0,2
125,A-125,Group 96-127,Physical Shank B (64-127),False,True,250.0,1220.0,2
126,A-126,Group 96-127,Physical Shank B (64-127),False,True,250.0,1240.0,2
127,A-127,Group 96-127,Physical Shank B (64-127),False,True,250.0,1260.0,2
