trial_number,condition,event,start_s,end_s
1,amp180_freq5,stim_onset_margin,1539.95,1540.1
1,amp180_freq5,stim_offset_margin,1542.9,1543.2
2,amp250_freq5,stim_onset_margin,1545.95,1546.1
2,amp250_freq5,stim_offset_margin,1548.9,1549.2
3,amp180_freq5,stim_onset_margin,1551.95,1552.1
3,amp180_freq5,stim_offset_margin,1554.9,1555.2
4,amp250_freq5,stim_onset_margin,1557.95,1558.1
4,amp250_freq5,stim_offset_margin,1560.9,1561.2
5,amp250_freq5,stim_onset_margin,1563.95,1564.1
5,amp250_freq5,stim_offset_margin,1566.9,1567.2
6,amp250_freq26,stim_onset_margin,1569.95,1570.1
6,amp250_freq26,stim_offset_margin,1572.9,1573.2
7,amp250_freq26,stim_onset_margin,1575.95,1576.1
7,amp250_freq26,stim_offset_margin,1578.9,1579.2
8,amp180_freq26,stim_onset_margin,1581.95,1582.1
8,amp180_freq26,stim_offset_margin,1584.9,1585.2
9,amp250_freq5,stim_onset_margin,1587.95,1588.1
9,amp250_freq5,stim_offset_margin,1590.9,1591.2
10,amp250_freq26,stim_onset_margin,1593.95,1594.1
10,amp250_freq26,stim_offset_margin,1596.9,1597.2
11,amp180_freq5,stim_onset_margin,1599.95,1600.1
11,amp180_freq5,stim_offset_margin,1602.9,1603.2
12,amp100_freq5,stim_onset_margin,1605.95,1606.1
12,amp100_freq5,stim_offset_margin,1608.9,1609.2
13,amp100_freq5,stim_onset_margin,1611.95,1612.1
13,amp100_freq5,stim_offset_margin,1614.9,1615.2
14,amp100_freq26,stim_onset_margin,1617.95,1618.1
14,amp100_freq26,stim_offset_margin,1620.9,1621.2
15,amp100_freq26,stim_onset_margin,1623.95,1624.1
15,amp100_freq26,stim_offset_margin,1626.9,1627.2
16,amp180_freq26,stim_onset_margin,1629.95,1630.1
16,amp180_freq26,stim_offset_margin,1632.9,1633.2
17,amp180_freq5,stim_onset_margin,1635.95,1636.1
17,amp180_freq5,stim_offset_margin,1638.9,1639.2
18,amp100_freq5,stim_onset_margin,1641.95,1642.1
18,amp100_freq5,stim_offset_margin,1644.9,1645.2
19,amp250_freq26,stim_onset_margin,1647.95,1648.1
19,amp250_freq26,stim_offset_margin,1650.9,1651.2
20,amp180_freq26,stim_onset_margin,1653.95,1654.1
20,amp180_freq26,stim_offset_margin,1656.9,1657.2
21,amp100_freq5,stim_onset_margin,1659.95,1660.1
21,amp100_freq5,stim_offset_margin,1662.9,1663.2
22,amp250_freq5,stim_onset_margin,1665.95,1666.1
22,amp250_freq5,stim_offset_margin,1668.9,1669.2
23,amp180_freq5,stim_onset_margin,1671.95,1672.1
23,amp180_freq5,stim_offset_margin,1674.9,1675.2
24,amp100_freq5,stim_onset_margin,1677.95,1678.1
24,amp100_freq5,stim_offset_margin,1680.9,1681.2
25,amp250_freq26,stim_onset_margin,1683.95,1684.1
25,amp250_freq26,stim_offset_margin,1686.9,1687.2
26,amp100_freq5,stim_onset_margin,1689.95,1690.1
26,amp100_freq5,stim_offset_margin,1692.9,1693.2
27,amp100_freq5,stim_onset_margin,1695.95,1696.1
27,amp100_freq5,stim_offset_margin,1698.9,1699.2
28,amp180_freq26,stim_onset_margin,1701.95,1702.1
28,amp180_freq26,stim_offset_margin,1704.9,1705.2
29,amp100_freq5,stim_onset_margin,1707.95,1708.1
29,amp100_freq5,stim_offset_margin,1710.9,1711.2
30,amp180_freq26,stim_onset_margin,1713.95,1714.1
30,amp180_freq26,stim_offset_margin,1716.9,1717.2
31,amp100_freq5,stim_onset_margin,1719.95,1720.1
31,amp100_freq5,stim_offset_margin,1722.9,1723.2
32,amp100_freq26,stim_onset_margin,1725.95,1726.1
32,amp100_freq26,stim_offset_margin,1728.9,1729.2
33,amp180_freq26,stim_onset_margin,1731.95,1732.1
33,amp180_freq26,stim_offset_margin,1734.9,1735.2
34,amp100_freq5,stim_onset_margin,1737.95,1738.1
34,amp100_freq5,stim_offset_margin,1740.9,1741.2
35,amp250_freq5,stim_onset_margin,1743.95,1744.1
35,amp250_freq5,stim_offset_margin,1746.9,1747.2
36,amp180_freq26,stim_onset_margin,1749.95,1750.1
36,amp180_freq26,stim_offset_margin,1752.9,1753.2
37,amp180_freq26,stim_onset_margin,1755.95,1756.1
37,amp180_freq26,stim_offset_margin,1758.9,1759.2
38,amp250_freq5,stim_onset_margin,1761.95,1762.1
38,amp250_freq5,stim_offset_margin,1764.9,1765.2
39,amp100_freq26,stim_onset_margin,1767.95,1768.1
39,amp100_freq26,stim_offset_margin,1770.9,1771.2
40,amp180_freq26,stim_onset_margin,1773.95,1774.1
40,amp180_freq26,stim_offset_margin,1776.9,1777.2
41,amp180_freq26,stim_onset_margin,1779.95,1780.1
41,amp180_freq26,stim_offset_margin,1782.9,1783.2
42,amp180_freq26,stim_onset_margin,1785.95,1786.1
42,amp180_freq26,stim_offset_margin,1788.9,1789.2
43,amp100_freq5,stim_onset_margin,1791.95,1792.1
43,amp100_freq5,stim_offset_margin,1794.9,1795.2
44,amp180_freq26,stim_onset_margin,1797.95,1798.1
44,amp180_freq26,stim_offset_margin,1800.9,1801.2
45,amp180_freq5,stim_onset_margin,1803.95,1804.1
45,amp180_freq5,stim_offset_margin,1806.9,1807.2
46,amp100_freq5,stim_onset_margin,1809.95,1810.1
46,amp100_freq5,stim_offset_margin,1812.9,1813.2
47,amp100_freq5,stim_onset_margin,1815.95,1816.1
47,amp100_freq5,stim_offset_margin,1818.9,1819.2
48,amp100_freq5,stim_onset_margin,1821.95,1822.1
48,amp100_freq5,stim_offset_margin,1824.9,1825.2
49,amp100_freq5,stim_onset_margin,1827.95,1828.1
49,amp100_freq5,stim_offset_margin,1830.9,1831.2
50,amp250_freq5,stim_onset_margin,1833.95,1834.1
50,amp250_freq5,stim_offset_margin,1836.9,1837.2
51,amp180_freq26,stim_onset_margin,1839.95,1840.1
51,amp180_freq26,stim_offset_margin,1842.9,1843.2
52,amp250_freq5,stim_onset_margin,1845.95,1846.1
52,amp250_freq5,stim_offset_margin,1848.9,1849.2
53,amp180_freq5,stim_onset_margin,1851.95,1852.1
53,amp180_freq5,stim_offset_margin,1854.9,1855.2
54,amp250_freq5,stim_onset_margin,1857.95,1858.1
54,amp250_freq5,stim_offset_margin,1860.9,1861.2
55,amp250_freq26,stim_onset_margin,1863.95,1864.1
55,amp250_freq26,stim_offset_margin,1866.9,1867.2
56,amp180_freq26,stim_onset_margin,1869.95,1870.1
56,amp180_freq26,stim_offset_margin,1872.9,1873.2
57,amp100_freq5,stim_onset_margin,1875.95,1876.1
57,amp100_freq5,stim_offset_margin,1878.9,1879.2
58,amp100_freq26,stim_onset_margin,1881.95,1882.1
58,amp100_freq26,stim_offset_margin,1884.9,1885.2
