burst_index,start_sample,end_sample,start_time_s,end_time_s,duration_s,pulse_count,estimated_freq_hz,config_index,amplitude,expected_freq_hz,pin,expected_start_time_s,start_time_error_s
0,1799365,1828009,89.96825,91.40045,1.4322,2,2.2729855665416525,0,180,5,12,900.0,-810.03175
1,2152758,2152821,107.6379,107.64105,0.00315,1,,1,250,5,12,906.0,-798.3621
2,2283369,3249443,114.16845,162.47215,48.3037,1,,2,180,5,12,912.0,-797.83155
3,7032302,7037918,351.6151,351.8959,0.2808,1,,3,250,5,12,918.0,-566.3849
4,7090961,13488365,354.54805,674.41825,319.8702,1,,4,250,5,12,924.0,-569.45195
5,13516073,13588149,675.80365,679.40745,3.6038,1,,5,250,26,12,930.0,-254.19635000000005
6,13588212,24555224,679.4106,1227.7612,548.3506,1,,6,250,26,12,936.0,-256.58939999999996
7,24602651,26244441,1230.13255,1312.22205,82.0895,2,2.543558438255119,7,180,26,12,942.0,288.13255000000004
8,26245689,26342998,1312.28445,1317.1499,4.86545,11,6.474587245063127,8,250,5,12,948.0,364.2844500000001
9,26359410,30789105,1317.9705,1539.45525,221.48475,2,106.951871657754,9,250,26,12,954.0,363.9704999999999
10,30789666,30847515,1539.4833,1542.37575,2.89245,7,2.455795677799607,10,180,5,12,960.0,579.4833000000001
11,30908816,30967040,1545.4408,1548.352,2.9112,7,2.494076568150642,11,100,5,12,966.0,579.4408000000001
12,31043422,31059273,1552.1711,1552.96365,0.79255,1,,12,100,5,12,972.0,580.1711
13,31268826,31388766,1563.4413,1569.4383,5.997,1,,13,100,26,12,978.0,585.4413
14,31392136,31438190,1569.6068,1571.9095,2.3027,6,2.015519500151164,14,100,26,12,984.0,585.6068
15,31509643,31628773,1575.48215,1581.43865,5.9565,7,2.281151981750784,15,180,26,12,990.0,585.48215
16,31633578,31764938,1581.6789,1588.2469,6.568,5,3.814973772055317,16,180,5,12,996.0,585.6789000000001
17,31768932,31874957,1588.4466,1593.74785,5.30125,1,,17,100,5,12,1002.0,586.4466
18,31876392,31988927,1593.8196,1599.44635,5.62675,8,2.9133284777858703,18,250,26,12,1008.0,585.8196
19,31995917,32108806,1599.79585,1605.4403,5.64445,3,0.9999750006249845,19,180,26,12,1014.0,585.79585
20,32139696,32235548,1606.9848,1611.7774,4.7926,1,,20,100,5,12,1020.0,586.9848
21,32243786,32364600,1612.1893,1618.23,6.0407,2,0.6247461968575266,21,250,5,12,1026.0,586.1893
22,32386130,32395365,1619.3065,1619.76825,0.46175,2,6.285355122564425,22,180,5,12,1032.0,587.3064999999999
23,32483792,32591439,1624.1896,1629.57195,5.38235,3,0.9999750006249845,23,100,5,12,1038.0,586.1895999999999
24,32599240,32730039,1629.962,1636.50195,6.53995,6,3.3041467041136627,24,250,26,12,1044.0,585.962
25,32734033,32750133,1636.70165,1637.50665,0.805,2,1.6520733520568314,25,100,5,12,1050.0,586.70165
26,32861898,32952759,1643.0949,1647.63795,4.54305,2,0.8324315325064513,26,100,5,12,1056.0,587.0949
27,32954257,32998876,1647.71285,1649.9438,2.23095,6,2.6058631921824107,27,180,26,12,1062.0,585.7128499999999
28,33074260,33128052,1653.713,1656.4026,2.6896,7,2.595043466978072,28,100,5,12,1068.0,585.713
29,33188958,33308982,1659.4479,1665.4491,6.0012,3,0.6676904587033451,29,180,26,12,1074.0,585.4478999999999
30,33327953,33428923,1666.39765,1671.44615,5.0485,2,0.934361130576968,30,100,5,12,1080.0,586.3976500000001
31,33432231,33488894,1671.61155,1674.4447,2.83315,4,1.6605778811026237,31,100,26,12,1086.0,585.6115500000001
32,33548926,33632922,1677.4463,1681.6461,4.1998,8,2.786679671171799,32,180,26,12,1092.0,585.4463000000001
33,33654202,33727090,1682.7101,1686.3545,3.6444,17,5.341167044999333,33,100,5,12,1098.0,584.7101
34,33806655,33926658,1690.33275,1696.3329,6.00015,2,0.6247266820765914,34,250,5,12,1104.0,586.33275
35,33942759,33966659,1697.13795,1698.33295,1.195,1,,35,180,26,12,1110.0,587.13795
36,34040920,34174528,1702.046,1708.7264,6.6804,5,2.373887240356083,36,180,26,12,1116.0,586.046
37,34271316,34325296,1713.5658,1716.2648,2.699,4,1.0046717235143416,37,250,5,12,1122.0,591.5658000000001
38,34516752,34565989,1725.8376,1728.29945,2.46185,3,0.8673779165582444,38,100,26,12,1128.0,597.8376000000001
39,34630577,34756571,1731.52885,1737.82855,6.2997,11,4.360623569170391,39,180,26,12,1134.0,597.5288499999999
40,34756633,34869148,1737.83165,1743.4574,5.62575,2,0.6235191420376606,40,180,26,12,1140.0,597.8316500000001
41,34884374,34928369,1744.2187,1746.41845,2.19975,3,2.484317744239488,41,180,26,12,1146.0,598.2186999999999
42,34988964,35047936,1749.4482,1752.3968,2.9486,16,6.283380458686773,42,100,5,12,1152.0,597.4482
43,35108967,35167128,1755.44835,1758.3564,2.90805,13,4.39029744265174,43,180,26,12,1158.0,597.4483499999999
