trial_number,config_index,expected_start_time_s,expected_end_time_s,amplitude,freq,condition,pin,on_time_s,off_time_s,recording_start_time_s,recording_end_time_s
1,0,900.0,903.0,180,5,amp180_freq5,12,3.0,3.0,1540.0,1543.0
2,1,906.0,909.0,250,5,amp250_freq5,12,3.0,3.0,1546.0,1549.0
3,2,912.0,915.0,180,5,amp180_freq5,12,3.0,3.0,1552.0,1555.0
4,3,918.0,921.0,250,5,amp250_freq5,12,3.0,3.0,1558.0,1561.0
5,4,924.0,927.0,250,5,amp250_freq5,12,3.0,3.0,1564.0,1567.0
6,5,930.0,933.0,250,26,amp250_freq26,12,3.0,3.0,1570.0,1573.0
7,6,936.0,939.0,250,26,amp250_freq26,12,3.0,3.0,1576.0,1579.0
8,7,942.0,945.0,180,26,amp180_freq26,12,3.0,3.0,1582.0,1585.0
9,8,948.0,951.0,250,5,amp250_freq5,12,3.0,3.0,1588.0,1591.0
10,9,954.0,957.0,250,26,amp250_freq26,12,3.0,3.0,1594.0,1597.0
11,10,960.0,963.0,180,5,amp180_freq5,12,3.0,3.0,1600.0,1603.0
12,11,966.0,969.0,100,5,amp100_freq5,12,3.0,3.0,1606.0,1609.0
13,12,972.0,975.0,100,5,amp100_freq5,12,3.0,3.0,1612.0,1615.0
14,13,978.0,981.0,100,26,amp100_freq26,12,3.0,3.0,1618.0,1621.0
15,14,984.0,987.0,100,26,amp100_freq26,12,3.0,3.0,1624.0,1627.0
16,15,990.0,993.0,180,26,amp180_freq26,12,3.0,3.0,1630.0,1633.0
17,16,996.0,999.0,180,5,amp180_freq5,12,3.0,3.0,1636.0,1639.0
18,17,1002.0,1005.0,100,5,amp100_freq5,12,3.0,3.0,1642.0,1645.0
19,18,1008.0,1011.0,250,26,amp250_freq26,12,3.0,3.0,1648.0,1651.0
20,19,1014.0,1017.0,180,26,amp180_freq26,12,3.0,3.0,1654.0,1657.0
21,20,1020.0,1023.0,100,5,amp100_freq5,12,3.0,3.0,1660.0,1663.0
22,21,1026.0,1029.0,250,5,amp250_freq5,12,3.0,3.0,1666.0,1669.0
23,22,1032.0,1035.0,180,5,amp180_freq5,12,3.0,3.0,1672.0,1675.0
24,23,1038.0,1041.0,100,5,amp100_freq5,12,3.0,3.0,1678.0,1681.0
25,24,1044.0,1047.0,250,26,amp250_freq26,12,3.0,3.0,1684.0,1687.0
26,25,1050.0,1053.0,100,5,amp100_freq5,12,3.0,3.0,1690.0,1693.0
27,26,1056.0,1059.0,100,5,amp100_freq5,12,3.0,3.0,1696.0,1699.0
28,27,1062.0,1065.0,180,26,amp180_freq26,12,3.0,3.0,1702.0,1705.0
29,28,1068.0,1071.0,100,5,amp100_freq5,12,3.0,3.0,1708.0,1711.0
30,29,1074.0,1077.0,180,26,amp180_freq26,12,3.0,3.0,1714.0,1717.0
31,30,1080.0,1083.0,100,5,amp100_freq5,12,3.0,3.0,1720.0,1723.0
32,31,1086.0,1089.0,100,26,amp100_freq26,12,3.0,3.0,1726.0,1729.0
33,32,1092.0,1095.0,180,26,amp180_freq26,12,3.0,3.0,1732.0,1735.0
34,33,1098.0,1101.0,100,5,amp100_freq5,12,3.0,3.0,1738.0,1741.0
35,34,1104.0,1107.0,250,5,amp250_freq5,12,3.0,3.0,1744.0,1747.0
36,35,1110.0,1113.0,180,26,amp180_freq26,12,3.0,3.0,1750.0,1753.0
37,36,1116.0,1119.0,180,26,amp180_freq26,12,3.0,3.0,1756.0,1759.0
38,37,1122.0,1125.0,250,5,amp250_freq5,12,3.0,3.0,1762.0,1765.0
39,38,1128.0,1131.0,100,26,amp100_freq26,12,3.0,3.0,1768.0,1771.0
40,39,1134.0,1137.0,180,26,amp180_freq26,12,3.0,3.0,1774.0,1777.0
41,40,1140.0,1143.0,180,26,amp180_freq26,12,3.0,3.0,1780.0,1783.0
42,41,1146.0,1149.0,180,26,amp180_freq26,12,3.0,3.0,1786.0,1789.0
43,42,1152.0,1155.0,100,5,amp100_freq5,12,3.0,3.0,1792.0,1795.0
44,43,1158.0,1161.0,180,26,amp180_freq26,12,3.0,3.0,1798.0,1801.0
45,44,1164.0,1167.0,180,5,amp180_freq5,12,3.0,3.0,1804.0,1807.0
46,45,1170.0,1173.0,100,5,amp100_freq5,12,3.0,3.0,1810.0,1813.0
47,46,1176.0,1179.0,100,5,amp100_freq5,12,3.0,3.0,1816.0,1819.0
48,47,1182.0,1185.0,100,5,amp100_freq5,12,3.0,3.0,1822.0,1825.0
49,48,1188.0,1191.0,100,5,amp100_freq5,12,3.0,3.0,1828.0,1831.0
50,49,1194.0,1197.0,250,5,amp250_freq5,12,3.0,3.0,1834.0,1837.0
51,50,1200.0,1203.0,180,26,amp180_freq26,12,3.0,3.0,1840.0,1843.0
52,51,1206.0,1209.0,250,5,amp250_freq5,12,3.0,3.0,1846.0,1849.0
53,52,1212.0,1215.0,180,5,amp180_freq5,12,3.0,3.0,1852.0,1855.0
54,53,1218.0,1221.0,250,5,amp250_freq5,12,3.0,3.0,1858.0,1861.0
55,54,1224.0,1227.0,250,26,amp250_freq26,12,3.0,3.0,1864.0,1867.0
56,55,1230.0,1233.0,180,26,amp180_freq26,12,3.0,3.0,1870.0,1873.0
57,56,1236.0,1239.0,100,5,amp100_freq5,12,3.0,3.0,1876.0,1879.0
58,57,1242.0,1245.0,100,26,amp100_freq26,12,3.0,3.0,1882.0,1885.0
59,58,1248.0,1251.0,100,5,amp100_freq5,12,3.0,3.0,1888.0,1891.0
60,59,1254.0,1257.0,180,5,amp180_freq5,12,3.0,3.0,1894.0,1897.0
61,60,1260.0,1263.0,180,26,amp180_freq26,12,3.0,3.0,1900.0,1903.0
62,61,1266.0,1269.0,250,5,amp250_freq5,12,3.0,3.0,1906.0,1909.0
63,62,1272.0,1275.0,180,5,amp180_freq5,12,3.0,3.0,1912.0,1915.0
64,63,1278.0,1281.0,100,26,amp100_freq26,12,3.0,3.0,1918.0,1921.0
65,64,1284.0,1287.0,250,5,amp250_freq5,12,3.0,3.0,1924.0,1927.0
66,65,1290.0,1293.0,180,5,amp180_freq5,12,3.0,3.0,1930.0,1933.0
67,66,1296.0,1299.0,250,5,amp250_freq5,12,3.0,3.0,1936.0,1939.0
68,67,1302.0,1305.0,100,26,amp100_freq26,12,3.0,3.0,1942.0,1945.0
69,68,1308.0,1311.0,100,26,amp100_freq26,12,3.0,3.0,1948.0,1951.0
70,69,1314.0,1317.0,250,5,amp250_freq5,12,3.0,3.0,1954.0,1957.0
71,70,1320.0,1323.0,100,26,amp100_freq26,12,3.0,3.0,1960.0,1963.0
72,71,1326.0,1329.0,250,26,amp250_freq26,12,3.0,3.0,1966.0,1969.0
73,72,1332.0,1335.0,250,5,amp250_freq5,12,3.0,3.0,1972.0,1975.0
74,73,1338.0,1341.0,100,26,amp100_freq26,12,3.0,3.0,1978.0,1981.0
75,74,1344.0,1347.0,180,26,amp180_freq26,12,3.0,3.0,1984.0,1987.0
76,75,1350.0,1353.0,100,26,amp100_freq26,12,3.0,3.0,1990.0,1993.0
77,76,1356.0,1359.0,100,26,amp100_freq26,12,3.0,3.0,1996.0,1999.0
78,77,1362.0,1365.0,180,5,amp180_freq5,12,3.0,3.0,2002.0,2005.0
79,78,1368.0,1371.0,100,26,amp100_freq26,12,3.0,3.0,2008.0,2011.0
80,79,1374.0,1377.0,180,26,amp180_freq26,12,3.0,3.0,2014.0,2017.0
81,80,1380.0,1383.0,250,5,amp250_freq5,12,3.0,3.0,2020.0,2023.0
82,81,1386.0,1389.0,180,26,amp180_freq26,12,3.0,3.0,2026.0,2029.0
83,82,1392.0,1395.0,100,5,amp100_freq5,12,3.0,3.0,2032.0,2035.0
84,83,1398.0,1401.0,180,5,amp180_freq5,12,3.0,3.0,2038.0,2041.0
85,84,1404.0,1407.0,250,5,amp250_freq5,12,3.0,3.0,2044.0,2047.0
86,85,1410.0,1413.0,180,26,amp180_freq26,12,3.0,3.0,2050.0,2053.0
87,86,1416.0,1419.0,100,26,amp100_freq26,12,3.0,3.0,2056.0,2059.0
88,87,1422.0,1425.0,100,5,amp100_freq5,12,3.0,3.0,2062.0,2065.0
89,88,1428.0,1431.0,180,26,amp180_freq26,12,3.0,3.0,2068.0,2071.0
90,89,1434.0,1437.0,180,5,amp180_freq5,12,3.0,3.0,2074.0,2077.0
91,90,1440.0,1443.0,180,26,amp180_freq26,12,3.0,3.0,2080.0,2083.0
92,91,1446.0,1449.0,100,26,amp100_freq26,12,3.0,3.0,2086.0,2089.0
93,92,1452.0,1455.0,180,26,amp180_freq26,12,3.0,3.0,2092.0,2095.0
94,93,1458.0,1461.0,250,5,amp250_freq5,12,3.0,3.0,2098.0,2101.0
95,94,1464.0,1467.0,100,5,amp100_freq5,12,3.0,3.0,2104.0,2107.0
96,95,1470.0,1473.0,100,26,amp100_freq26,12,3.0,3.0,2110.0,2113.0
97,96,1476.0,1479.0,250,5,amp250_freq5,12,3.0,3.0,2116.0,2119.0
98,97,1482.0,1485.0,250,5,amp250_freq5,12,3.0,3.0,2122.0,2125.0
99,98,1488.0,1491.0,100,5,amp100_freq5,12,3.0,3.0,2128.0,2131.0
100,99,1494.0,1497.0,250,5,amp250_freq5,12,3.0,3.0,2134.0,2137.0
101,100,1500.0,1503.0,180,26,amp180_freq26,12,3.0,3.0,2140.0,2143.0
102,101,1506.0,1509.0,100,5,amp100_freq5,12,3.0,3.0,2146.0,2149.0
103,102,1512.0,1515.0,100,26,amp100_freq26,12,3.0,3.0,2152.0,2155.0
104,103,1518.0,1521.0,100,26,amp100_freq26,12,3.0,3.0,2158.0,2161.0
105,104,1524.0,1527.0,100,26,amp100_freq26,12,3.0,3.0,2164.0,2167.0
106,105,1530.0,1533.0,180,26,amp180_freq26,12,3.0,3.0,2170.0,2173.0
107,106,1536.0,1539.0,250,5,amp250_freq5,12,3.0,3.0,2176.0,2179.0
108,107,1542.0,1545.0,180,5,amp180_freq5,12,3.0,3.0,2182.0,2185.0
109,108,1548.0,1551.0,250,5,amp250_freq5,12,3.0,3.0,2188.0,2191.0
110,109,1554.0,1557.0,100,26,amp100_freq26,12,3.0,3.0,2194.0,2197.0
111,110,1560.0,1563.0,250,5,amp250_freq5,12,3.0,3.0,2200.0,2203.0
112,111,1566.0,1569.0,250,5,amp250_freq5,12,3.0,3.0,2206.0,2209.0
113,112,1572.0,1575.0,100,5,amp100_freq5,12,3.0,3.0,2212.0,2215.0
114,113,1578.0,1581.0,250,5,amp250_freq5,12,3.0,3.0,2218.0,2221.0
115,114,1584.0,1587.0,250,5,amp250_freq5,12,3.0,3.0,2224.0,2227.0
116,115,1590.0,1593.0,100,26,amp100_freq26,12,3.0,3.0,2230.0,2233.0
117,116,1596.0,1599.0,100,5,amp100_freq5,12,3.0,3.0,2236.0,2239.0
118,117,1602.0,1605.0,250,26,amp250_freq26,12,3.0,3.0,2242.0,2245.0
