condition,amplitude,frequency,analysis_group,n_trials,baseline_driven_log2_power,onset_driven_log2_power,sustained_driven_log2_power,offset_driven_log2_power
amp100_freq26,100,26,Group 96-127,200,-0.00045742653287129953,-0.025722360531682503,0.1259091300248433,0.27195376016546646
amp100_freq26,100,26,Group 64-95,200,-0.02964412743989596,-0.0007018531763758006,0.10711622706841341,0.303954893352889
amp100_freq26,100,26,Group 32-63,200,-0.0371921757406805,0.01530156404060486,0.08774926783974309,0.2683270674725616
amp100_freq26,100,26,Group 0-31,200,-0.0019602146498028314,-4.221174250801374e-05,0.044022089359556434,0.21763150288734281
amp100_freq5,100,5,Group 96-127,200,-0.041168406422801354,-0.16268431201924705,-0.056425437318370124,-0.05315708725965374
amp100_freq5,100,5,Group 64-95,200,-0.030507085379453416,-0.11136993938122641,-0.04512028064186476,-0.055464714677164385
amp100_freq5,100,5,Group 32-63,200,-0.036947014276899115,-0.1162929389115126,-0.0611152183854185,-0.06877047067734286
amp100_freq5,100,5,Group 0-31,200,-0.022239557576326695,-0.052904272925005505,-0.021276264532265127,-0.024689372447837588
amp180_freq26,180,26,Group 96-127,200,-0.0473480915496855,-0.07382368007183993,-0.05576934955940482,0.13266598274819325
amp180_freq26,180,26,Group 64-95,200,-0.051781204883940855,-0.0657612089108563,-0.034117502872261625,0.16348079861782036
amp180_freq26,180,26,Group 32-63,200,-0.03004364151086691,-0.0547182746369317,-0.02154325746634585,0.1687258306777303
amp180_freq26,180,26,Group 0-31,200,-0.023027361525897794,-0.15993156177842402,-0.06101305119588774,0.10234226243352472
amp180_freq5,180,5,Group 96-127,200,0.08691358931774121,-0.09221976689259272,0.08985958480286563,0.1342348439843894
amp180_freq5,180,5,Group 64-95,200,0.05613805911234908,-0.07147504002336039,0.08895646542336168,0.13779639873882107
amp180_freq5,180,5,Group 32-63,200,0.02938675515313875,-0.1160896533418019,0.060392107536841835,0.09741050015328497
amp180_freq5,180,5,Group 0-31,200,-0.03207004610337122,-0.16856670203808863,0.018709233307190452,0.058971917330726646
amp250_freq26,250,26,Group 96-127,200,-0.0036832900600594354,-0.3774700423758959,-0.309247727263983,-0.0896572632582667
amp250_freq26,250,26,Group 64-95,200,-0.031659895787088506,-0.35455608813555517,-0.3012386291094376,-0.08580563883392389
amp250_freq26,250,26,Group 32-63,200,-0.02657394018202152,-0.3419215543074085,-0.2947492262655089,-0.0829021982553281
amp250_freq26,250,26,Group 0-31,200,-0.009266543532149518,-0.3239118897964052,-0.29568732165021583,-0.18265994296203722
amp250_freq5,250,5,Group 96-127,200,-0.02031923407797874,-0.24718616104608693,0.00020458968821123103,0.04579831821657381
amp250_freq5,250,5,Group 64-95,200,-0.015856786434072605,-0.1389055541948066,0.02660497380804492,0.04438078425434451
amp250_freq5,250,5,Group 32-63,200,-0.015415331281559749,-0.10084937925442633,0.05355775219220309,0.052345522318962695
amp250_freq5,250,5,Group 0-31,200,-0.021291396391850452,-0.026738798645007535,0.09446009365283262,0.08287728058249683
