trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,sustained_broadband_delta,offset_broadband_delta,driven_power_log2_delta
1,amp180_freq5,180,5,Group 96-127,32,7.5864105224609375,-22.673500061035156,3.0867424913132617
1,amp180_freq5,180,5,Group 64-95,30,-13.860931396484375,-37.26325225830078,1.276902827635048
1,amp180_freq5,180,5,Group 32-63,28,-19.764305114746094,-5.191917419433594,-0.2137601576879543
1,amp180_freq5,180,5,Group 0-31,29,-24.801910400390625,-20.907974243164062,1.525046030331317
2,amp250_freq5,250,5,Group 96-127,32,-9.793441772460938,-14.028755187988281,-0.7514319817534783
2,amp250_freq5,250,5,Group 64-95,30,-1.8508758544921875,-15.559478759765625,-1.0170818824266212
2,amp250_freq5,250,5,Group 32-63,28,8.308036804199219,-24.30731201171875,0.563205770968391
2,amp250_freq5,250,5,Group 0-31,29,-21.394317626953125,-49.83598327636719,2.9938659080128405
3,amp180_freq5,180,5,Group 96-127,32,0.36754608154296875,-51.465110778808594,2.346720702621866
3,amp180_freq5,180,5,Group 64-95,30,-38.64685821533203,-19.033241271972656,-2.2755109553256316
3,amp180_freq5,180,5,Group 32-63,28,13.103713989257812,-7.502967834472656,1.8722508720769184
3,amp180_freq5,180,5,Group 0-31,29,-27.748397827148438,-36.264373779296875,3.650943034843712
4,amp250_freq5,250,5,Group 96-127,32,-18.51728057861328,-1.2304229736328125,0.016809375870050547
4,amp250_freq5,250,5,Group 64-95,30,4.562164306640625,-1.6401824951171875,1.4067000473493179
4,amp250_freq5,250,5,Group 32-63,28,4.2982025146484375,1.28826904296875,1.3124703928588082
4,amp250_freq5,250,5,Group 0-31,29,7.5545806884765625,-21.769073486328125,0.5555583182630072
5,amp250_freq5,250,5,Group 96-127,32,-9.510589599609375,13.279029846191406,-0.5160847744696618
5,amp250_freq5,250,5,Group 64-95,30,-12.05181884765625,19.828475952148438,-0.1508802080724177
5,amp250_freq5,250,5,Group 32-63,28,11.547164916992188,-11.094284057617188,0.18649756366354034
5,amp250_freq5,250,5,Group 0-31,29,-23.832229614257812,47.45295715332031,0.3185601544753793
6,amp250_freq26,250,26,Group 96-127,32,6.24163818359375,15.103713989257812,0.04266305238507069
6,amp250_freq26,250,26,Group 64-95,30,-9.487152099609375,25.1824951171875,0.023507050742633245
6,amp250_freq26,250,26,Group 32-63,28,5.182098388671875,57.899627685546875,-1.0133178603758184
6,amp250_freq26,250,26,Group 0-31,29,13.72894287109375,62.76072692871094,-0.831533727835143
7,amp250_freq26,250,26,Group 96-127,32,-4.659278869628906,-13.779197692871094,-1.3255932238612842
7,amp250_freq26,250,26,Group 64-95,30,25.994064331054688,-4.452445983886719,0.9449950096376687
7,amp250_freq26,250,26,Group 32-63,28,20.169281005859375,73.38685607910156,0.1901604309517564
7,amp250_freq26,250,26,Group 0-31,29,21.853546142578125,52.74891662597656,0.9559465462480611
8,amp180_freq26,180,26,Group 96-127,32,8.593238830566406,51.87036895751953,-1.0471128812013777
8,amp180_freq26,180,26,Group 64-95,30,30.3056640625,211.17138671875,1.0820308083059884
8,amp180_freq26,180,26,Group 32-63,28,33.86256408691406,140.12982177734375,2.059526405491064
8,amp180_freq26,180,26,Group 0-31,29,64.42041015625,90.45799255371094,-0.10537150105091382
9,amp250_freq5,250,5,Group 96-127,32,-12.018234252929688,-8.651252746582031,0.21058187759116712
9,amp250_freq5,250,5,Group 64-95,30,-1.93157958984375,-36.6512451171875,-0.43080377612055426
9,amp250_freq5,250,5,Group 32-63,28,29.09740447998047,22.421852111816406,-0.1106850138043058
9,amp250_freq5,250,5,Group 0-31,29,22.070663452148438,18.496047973632812,-1.2926426271921103
10,amp250_freq26,250,26,Group 96-127,32,0.5631866455078125,8.60784912109375,-0.7245247375466636
10,amp250_freq26,250,26,Group 64-95,30,2.4319610595703125,9.565505981445312,0.4993127956043609
10,amp250_freq26,250,26,Group 32-63,28,12.039291381835938,-15.06182861328125,0.6921802126223577
