trial_number,condition,amplitude,frequency,on_start_s,on_end_s,off_start_s,off_end_s,on_rising_edges,off_rising_edges,on_falling_edges,off_falling_edges
1,amp180_freq5,180,5,1540.0,1543.0,1543.0,1546.0,4,3,5,3
2,amp250_freq5,250,5,1546.0,1549.0,1549.0,1552.0,4,0,4,0
3,amp180_freq5,180,5,1552.0,1555.0,1555.0,1558.0,1,0,1,0
4,amp250_freq5,250,5,1558.0,1561.0,1561.0,1564.0,0,1,0,0
5,amp250_freq5,250,5,1564.0,1567.0,1567.0,1570.0,0,2,0,2
6,amp250_freq26,250,26,1570.0,1573.0,1573.0,1576.0,4,3,5,2
7,amp250_freq26,250,26,1576.0,1579.0,1579.0,1582.0,4,2,4,3
8,amp180_freq26,180,26,1582.0,1585.0,1585.0,1588.0,3,0,2,0
9,amp250_freq5,250,5,1588.0,1591.0,1591.0,1594.0,1,1,1,2
10,amp250_freq26,250,26,1594.0,1597.0,1597.0,1600.0,7,1,6,1
11,amp180_freq5,180,5,1600.0,1603.0,1603.0,1606.0,2,0,2,1
12,amp100_freq5,100,5,1606.0,1609.0,1609.0,1612.0,1,0,0,1
13,amp100_freq5,100,5,1612.0,1615.0,1615.0,1618.0,2,0,1,0
14,amp100_freq26,100,26,1618.0,1621.0,1621.0,1624.0,2,0,3,0
15,amp100_freq26,100,26,1624.0,1627.0,1627.0,1630.0,3,1,2,1
16,amp180_freq26,180,26,1630.0,1633.0,1633.0,1636.0,5,0,5,0
17,amp180_freq5,180,5,1636.0,1639.0,1639.0,1642.0,2,0,3,0
18,amp100_freq5,100,5,1642.0,1645.0,1645.0,1648.0,2,1,1,1
19,amp250_freq26,250,26,1648.0,1651.0,1651.0,1654.0,5,2,6,2
20,amp180_freq26,180,26,1654.0,1657.0,1657.0,1660.0,5,1,5,0
21,amp100_freq5,100,5,1660.0,1663.0,1663.0,1666.0,2,0,2,1
22,amp250_freq5,250,5,1666.0,1669.0,1669.0,1672.0,2,1,1,2
23,amp180_freq5,180,5,1672.0,1675.0,1675.0,1678.0,3,3,3,3
24,amp100_freq5,100,5,1678.0,1681.0,1681.0,1684.0,5,2,4,2
25,amp250_freq26,250,26,1684.0,1687.0,1687.0,1690.0,15,0,16,0
26,amp100_freq5,100,5,1690.0,1693.0,1693.0,1696.0,2,0,1,0
27,amp100_freq5,100,5,1696.0,1699.0,1699.0,1702.0,1,0,2,0
28,amp180_freq26,180,26,1702.0,1705.0,1705.0,1708.0,5,0,4,0
29,amp100_freq5,100,5,1708.0,1711.0,1711.0,1714.0,0,1,1,0
30,amp180_freq26,180,26,1714.0,1717.0,1717.0,1720.0,3,0,4,0
31,amp100_freq5,100,5,1720.0,1723.0,1723.0,1726.0,0,1,0,1
32,amp100_freq26,100,26,1726.0,1729.0,1729.0,1732.0,2,3,2,3
33,amp180_freq26,180,26,1732.0,1735.0,1735.0,1738.0,8,1,7,1
34,amp100_freq5,100,5,1738.0,1741.0,1741.0,1744.0,1,0,1,1
35,amp250_freq5,250,5,1744.0,1747.0,1747.0,1750.0,3,5,3,5
36,amp180_freq26,180,26,1750.0,1753.0,1753.0,1756.0,11,4,11,3
37,amp180_freq26,180,26,1756.0,1759.0,1759.0,1762.0,9,1,10,1
38,amp250_freq5,250,5,1762.0,1765.0,1765.0,1768.0,3,1,3,0
39,amp100_freq26,100,26,1768.0,1771.0,1771.0,1774.0,4,3,4,3
40,amp180_freq26,180,26,1774.0,1777.0,1777.0,1780.0,10,1,10,2
41,amp180_freq26,180,26,1780.0,1783.0,1783.0,1786.0,8,2,8,1
42,amp180_freq26,180,26,1786.0,1789.0,1789.0,1792.0,7,0,7,1
43,amp100_freq5,100,5,1792.0,1795.0,1795.0,1798.0,1,1,1,0
44,amp180_freq26,180,26,1798.0,1801.0,1801.0,1804.0,10,2,11,1
45,amp180_freq5,180,5,1804.0,1807.0,1807.0,1810.0,1,2,2,1
46,amp100_freq5,100,5,1810.0,1813.0,1813.0,1816.0,3,1,4,0
47,amp100_freq5,100,5,1816.0,1819.0,1819.0,1822.0,2,2,3,1
48,amp100_freq5,100,5,1822.0,1825.0,1825.0,1828.0,2,1,3,1
49,amp100_freq5,100,5,1828.0,1831.0,1831.0,1834.0,5,0,4,0
50,amp250_freq5,250,5,1834.0,1837.0,1837.0,1840.0,2,3,3,2
51,amp180_freq26,180,26,1840.0,1843.0,1843.0,1846.0,9,1,10,1
52,amp250_freq5,250,5,1846.0,1849.0,1849.0,1852.0,5,1,5,0
53,amp180_freq5,180,5,1852.0,1855.0,1855.0,1858.0,2,1,3,0
54,amp250_freq5,250,5,1858.0,1861.0,1861.0,1864.0,3,6,4,5
55,amp250_freq26,250,26,1864.0,1867.0,1867.0,1870.0,25,5,25,5
56,amp180_freq26,180,26,1870.0,1873.0,1873.0,1876.0,11,1,12,0
57,amp100_freq5,100,5,1876.0,1879.0,1879.0,1882.0,5,2,6,1
58,amp100_freq26,100,26,1882.0,1885.0,1885.0,1888.0,3,1,4,0
59,amp100_freq5,100,5,1888.0,1891.0,1891.0,1894.0,3,1,4,0
60,amp180_freq5,180,5,1894.0,1897.0,1897.0,1900.0,3,3,4,3
61,amp180_freq26,180,26,1900.0,1903.0,1903.0,1906.0,13,2,12,2
62,amp250_freq5,250,5,1906.0,1909.0,1909.0,1912.0,3,2,4,2
63,amp180_freq5,180,5,1912.0,1915.0,1915.0,1918.0,4,1,4,0
64,amp100_freq26,100,26,1918.0,1921.0,1921.0,1924.0,4,2,5,2
65,amp250_freq5,250,5,1924.0,1927.0,1927.0,1930.0,2,1,2,1
66,amp180_freq5,180,5,1930.0,1933.0,1933.0,1936.0,4,2,4,2
67,amp250_freq5,250,5,1936.0,1939.0,1939.0,1942.0,2,0,1,1
68,amp100_freq26,100,26,1942.0,1945.0,1945.0,1948.0,4,0,3,1
69,amp100_freq26,100,26,1948.0,1951.0,1951.0,1954.0,5,1,4,1
70,amp250_freq5,250,5,1954.0,1957.0,1957.0,1960.0,4,0,5,0
71,amp100_freq26,100,26,1960.0,1963.0,1963.0,1966.0,5,7,5,6
72,amp250_freq26,250,26,1966.0,1969.0,1969.0,1972.0,24,2,25,2
73,amp250_freq5,250,5,1972.0,1975.0,1975.0,1978.0,3,1,3,0
74,amp100_freq26,100,26,1978.0,1981.0,1981.0,1984.0,5,1,5,2
75,amp180_freq26,180,26,1984.0,1987.0,1987.0,1990.0,12,2,12,1
76,amp100_freq26,100,26,1990.0,1993.0,1993.0,1996.0,4,1,4,2
77,amp100_freq26,100,26,1996.0,1999.0,1999.0,2002.0,7,2,7,1
78,amp180_freq5,180,5,2002.0,2005.0,2005.0,2008.0,5,0,5,1
79,amp100_freq26,100,26,2008.0,2011.0,2011.0,2014.0,4,3,3,4
80,amp180_freq26,180,26,2014.0,2017.0,2017.0,2020.0,9,2,9,1
81,amp250_freq5,250,5,2020.0,2023.0,2023.0,2026.0,2,2,3,2
82,amp180_freq26,180,26,2026.0,2029.0,2029.0,2032.0,10,1,9,1
83,amp100_freq5,100,5,2032.0,2035.0,2035.0,2038.0,2,1,3,0
84,amp180_freq5,180,5,2038.0,2041.0,2041.0,2044.0,1,1,1,2
85,amp250_freq5,250,5,2044.0,2047.0,2047.0,2050.0,3,2,2,2
86,amp180_freq26,180,26,2050.0,2053.0,2053.0,2056.0,8,1,9,1
87,amp100_freq26,100,26,2056.0,2059.0,2059.0,2062.0,3,1,3,1
88,amp100_freq5,100,5,2062.0,2065.0,2065.0,2068.0,4,2,3,2
89,amp180_freq26,180,26,2068.0,2071.0,2071.0,2074.0,8,1,9,0
90,amp180_freq5,180,5,2074.0,2077.0,2077.0,2080.0,3,4,3,5
91,amp180_freq26,180,26,2080.0,2083.0,2083.0,2086.0,13,2,12,3
92,amp100_freq26,100,26,2086.0,2089.0,2089.0,2092.0,3,2,2,2
93,amp180_freq26,180,26,2092.0,2095.0,2095.0,2098.0,7,2,8,1
94,amp250_freq5,250,5,2098.0,2101.0,2101.0,2104.0,1,1,2,0
95,amp100_freq5,100,5,2104.0,2107.0,2107.0,2110.0,1,1,2,0
96,amp100_freq26,100,26,2110.0,2113.0,2113.0,2116.0,2,1,3,1
97,amp250_freq5,250,5,2116.0,2119.0,2119.0,2122.0,2,1,2,0
98,amp250_freq5,250,5,2122.0,2125.0,2125.0,2128.0,2,1,2,2
99,amp100_freq5,100,5,2128.0,2131.0,2131.0,2134.0,2,2,2,2
100,amp250_freq5,250,5,2134.0,2137.0,2137.0,2140.0,1,3,1,3
101,amp180_freq26,180,26,2140.0,2143.0,2143.0,2146.0,7,0,6,0
102,amp100_freq5,100,5,2146.0,2149.0,2149.0,2152.0,0,0,1,0
103,amp100_freq26,100,26,2152.0,2155.0,2155.0,2158.0,20,10,19,10
