condition,subset,n_trials,median_first_edge_ms,median_n_all_on,sustained_broadband_delta_mean,sustained_broadband_delta_ci_low,sustained_broadband_delta_ci_high,offset_broadband_delta_mean,offset_broadband_delta_ci_low,offset_broadband_delta_ci_high,driven_power_log2_delta_mean,driven_power_log2_delta_ci_low,driven_power_log2_delta_ci_high
amp100_freq26,all,200,225.5000000000109,8.0,3.268682107925415,-1.0477934696674347,7.841590468406674,1.3266290092468263,-5.415827070116997,7.798612460732459,1.64827088386461,1.514350893666981,1.7897244925882159
amp100_freq26,has_edge,199,225.5000000000109,8.0,3.16867545621479,-1.130033791364737,7.50627099497234,1.3899660493860293,-4.993361826038839,8.096951697100339,1.6495733677499367,1.5137785530137076,1.784452340676517
amp100_freq26,good_first_edge_le_500ms,155,172.099999999773,9.0,2.702390879969443,-2.3794363895539314,7.7376794418211885,0.5703327978810956,-6.826388783762532,8.869610682456726,1.6710308271013445,1.5241578915324012,1.8201960211218464
amp100_freq26,tight_first_edge_le_200ms,87,101.0999999998603,9.0,1.5241610209147136,-5.77787197266502,8.709986738774964,1.5178521803055687,-9.038769671834748,11.315041937773245,1.6396325694926628,1.4344280739885453,1.868780223723769
amp100_freq26,high_edge_count_ge_condition_p75,53,146.74999999988358,13.0,3.0130223688089623,-5.311347530472953,10.98830799606611,-1.5407020820761628,-15.296510767037015,13.684847400323397,1.6190058415705724,1.3566190361085813,1.8679971666903938
amp100_freq5,all,200,325.8499999992637,5.0,1.5973085212707518,-3.011354521274567,6.214761077880858,4.920659928321839,-2.125620640039444,11.713008522748945,1.7246186996959572,1.5661334085824032,1.8813254894482034
amp100_freq5,has_edge,191,325.8499999992637,5.0,1.8121250911532896,-2.9538930433582884,6.236458703235802,4.198300915862878,-3.0158615646562024,10.940253587917507,1.7386895509952434,1.5746122264516051,1.9031197858182924
amp100_freq5,good_first_edge_le_500ms,122,171.77499999979773,7.0,3.120327308529713,-2.5418048671034517,8.544017862101068,5.319263770932057,-3.055927364357182,13.68041135346302,1.7169984496536985,1.516583689830434,1.92087952602824
amp100_freq5,tight_first_edge_le_200ms,65,99.6500000001106,8.0,2.3019544748159557,-5.647032104638907,9.788683867087727,-0.08743454859806941,-10.859455615923956,10.949487117253808,1.630635972949541,1.3068805057080615,1.9406568083014466
amp100_freq5,high_edge_count_ge_condition_p75,50,147.52499999985957,11.5,-0.990807113647461,-10.372099442481995,8.886766017913818,4.502190456390381,-10.831207480907441,21.19595106124877,1.5478121748210456,1.1853121741835964,1.9123267034952596
