condition,amplitude,frequency,epoch,n_trials,on_delta_mean,on_delta_ci_low,on_delta_ci_high,off_delta_mean,off_delta_ci_low,off_delta_ci_high,on_minus_off_mean,on_minus_off_ci_low,on_minus_off_ci_high
amp100_freq10,100,10,early,67,6.313346013500915,1.4450750437541977,11.329623837020268,5.615661113416378,0.9078885302614808,10.275244330766778,0.6976849000845384,-2.5442236418747783,4.146777671605199
amp100_freq10,100,10,middle,66,3.473555165107804,-2.787936068664898,9.520978494846458,2.3362851624536995,-3.823791418894372,8.610796053240998,1.1372700026541047,-3.443776259277806,6.064034556620045
amp100_freq10,100,10,late,67,-0.07537242547789548,-6.11312015246396,5.764730729392509,5.059767542786857,-2.149022013275184,12.544058212118955,-5.135139968264754,-11.225316790917619,1.0864560786764355
amp100_freq26,100,26,early,67,2.9522774729562635,-3.2128674424109764,8.793190284985208,2.487650838064317,-3.392094022836258,8.19638088235807,0.4646266348919466,-3.6025104093314404,4.760261439802633
amp100_freq26,100,26,middle,66,1.0281312056262084,-5.045789126193884,7.204515384303196,4.218576864762739,-2.2782796933193397,10.853565502046326,-3.1904456591365316,-7.859697795636727,1.677793860194655
amp100_freq26,100,26,late,67,-0.6586671278844425,-7.305991112296261,6.157277527140144,1.2624383186226458,-5.524754166721705,7.707548558296849,-1.9211054465070883,-7.613983042085941,3.7350825262306833
amp100_freq5,100,5,early,67,2.0739534387541054,-3.097143895827715,7.394503611948946,3.833611867914152,-2.6796746378514302,10.354305374325802,-1.7596584291600472,-6.075770504794903,2.5786863457504188
amp100_freq5,100,5,middle,66,-0.5000184377034502,-5.648999645011593,4.978330001927383,-2.643539910364633,-9.09863224944683,3.7603965176476337,2.1435214726611824,-3.006748195128007,7.871244809603447
amp100_freq5,100,5,late,67,0.8783866730495472,-6.4040986023138995,8.10396422046927,0.4864375460800243,-6.899359232276233,8.099671599283734,0.39194912696952283,-5.341080163604584,6.4176246522077856
amp100_freq50,100,50,early,67,3.929156412532673,-0.8208423099707607,8.69232876348258,9.129934472231128,3.2902088452334435,14.83932290907523,-5.200778059698456,-9.399748769684217,-1.3406499162835268
amp100_freq50,100,50,middle,66,0.684325478293679,-4.385957035151395,5.886762892597852,9.675479262766213,4.378896282658432,15.012089217552028,-8.991153784472534,-13.658800248184587,-4.425392889494849
amp100_freq50,100,50,late,67,-10.140457817571077,-17.44371256389428,-3.125217757652066,2.3099803734774613,-5.064741483256591,9.343682656596549,-12.450438191048542,-17.605216591631002,-7.139506998346812
amp180_freq10,180,10,early,67,0.7459941266187978,-6.050323385385732,6.863195990685794,-2.804837359717829,-9.56878960844296,3.887924627047865,3.5508314863366275,-0.7195056836996503,7.594688917511135
amp180_freq10,180,10,middle,66,11.639957047472098,6.183519115953735,16.995332384350316,14.394706393733168,7.687310128139727,20.72323044984027,-2.754749346261072,-7.775651351129166,2.7839642613825166
amp180_freq10,180,10,late,67,5.207826557444103,-1.8498708703624676,12.337534353507687,5.709063069737374,-1.194345008793162,12.379500859531001,-0.5012365122932696,-5.909439996937613,5.043526692651393
amp180_freq26,180,26,early,67,0.9731862319642635,-3.459382995562767,5.6783112062150565,1.5658913655067557,-3.543014584370514,6.955051768122621,-0.592705133542493,-4.5998883847573495,3.3069106654741254
amp180_freq26,180,26,middle,66,-8.745484236514931,-13.75649545553959,-3.6279878252684474,-2.6876251047307793,-8.143629118408821,2.8409952349132968,-6.05785913178415,-9.176127671954609,-2.9104398197597927
amp180_freq26,180,26,late,67,-5.056727262278694,-11.408183266511605,1.6190800912344623,0.9810025941080128,-5.557567276053168,7.156451452430799,-6.037729856386708,-11.281027226424333,-1.2721456373508908
amp180_freq5,180,5,early,67,-2.8412791626963454,-8.377631058384528,2.238115330715082,-3.1663138308928387,-9.63147958226465,2.5704872203703433,0.3250346681964933,-4.642125294813468,4.86155783264198
amp180_freq5,180,5,middle,66,8.209693976122924,3.3787959857420486,12.91606103506955,10.776195699518377,5.7968248085542164,15.786892766663517,-2.566501723395453,-7.369237882681567,2.085406388176811
amp180_freq5,180,5,late,67,2.910595291289524,-3.153905292885813,9.29167687975945,1.830247926474804,-4.548358106731775,8.834906589569734,1.0803473648147202,-4.7283298385677055,7.055685249489924
amp180_freq50,180,50,early,67,-14.014199157259357,-20.414076029008893,-8.214567069390524,-6.356696731415553,-12.229552736329795,-0.5562077874567984,-7.657502425843805,-11.538566624940332,-3.612339692329293
amp180_freq50,180,50,middle,66,-11.242221755210801,-16.95088958908813,-5.16492286234191,-2.3655292626583218,-8.338991983249933,3.766966092466091,-8.876692492552479,-12.600360943813518,-5.265430770498336
amp180_freq50,180,50,late,67,-16.525914941854143,-23.45633124818849,-10.043857390133304,-3.8633093051056355,-11.054878859852082,3.4241035964358506,-12.662605636748506,-17.22759745631052,-8.191257140648307
amp250_freq10,250,10,early,67,-2.3857905164879947,-8.12746383621918,2.8988374587908297,-5.70967385780752,-11.641838421750426,0.5131771436378122,3.3238833413195255,-0.9775233342279842,7.522841146336263
amp250_freq10,250,10,middle,66,1.413085243918679,-4.293786714052913,7.509471529902832,-0.10721937333694587,-5.902412442366281,5.176047922264447,1.5203046172556256,-2.620688795802569,5.937159940811118
amp250_freq10,250,10,late,67,-0.9075262249998785,-7.0245808717623275,5.242772873361311,-0.10833973196608475,-7.048094278781568,6.746541736256423,-0.7991864930337934,-6.467289774690695,5.140287835087938
amp250_freq26,250,26,early,67,-9.078307607280674,-15.205759430761951,-2.7784250859597477,-4.223092885752817,-10.365424818541873,1.4283799808416766,-4.855214721527858,-7.675923983493253,-2.2049216780496472
amp250_freq26,250,26,middle,66,-3.2258836669151223,-8.118452541274255,1.4531933611089511,7.214217503865558,1.026828956242764,13.565836422371135,-10.440101170780682,-14.734266836233815,-6.11360537548258
amp250_freq26,250,26,late,67,-13.596216291930544,-20.32183120962399,-6.5286510026277,-1.2523875592359854,-8.199653182219508,5.542594606010473,-12.34382873269456,-16.23072835390841,-8.64085178351521
amp250_freq5,250,5,early,67,1.2496477620518627,-5.1118508445682815,7.2654773085864575,0.8936095451241115,-5.101981090906248,7.008045814879487,0.3560382169277518,-3.7451358640964947,4.6721404786133585
