condition,amplitude,frequency,trial_number,on_delta,off_delta,on_minus_off,condition_repeat_index,condition_repeat_fraction,epoch
amp250_freq10,250,10,1,-32.36380132039388,-35.31028048197428,2.946479161580404,1,0.0,early
amp100_freq10,100,10,2,11.30186398824056,20.740418752034504,-9.438554763793945,1,0.0,early
amp180_freq26,180,26,3,9.71603012084961,20.828413645426433,-11.112383524576822,1,0.0,early
amp180_freq10,180,10,4,-24.098843892415363,-32.62498919169108,8.526145299275717,1,0.0,early
amp180_freq5,180,5,5,1.4442354838053386,-9.284746170043945,10.728981653849283,1,0.0,early
amp250_freq26,250,26,6,3.7981694539388022,2.6562512715657554,1.1419181823730469,1,0.0,early
amp250_freq26,250,26,7,8.605111440022787,33.984368642171226,-25.379257202148438,2,0.005025125628140704,early
amp100_freq5,100,5,8,-9.366863250732422,-2.7039852142333984,-6.662878036499023,1,0.0,early
amp250_freq5,250,5,9,2.865507125854492,20.752286911010742,-17.88677978515625,1,0.0,early
amp100_freq5,100,5,10,-19.05237642923991,-20.97570546468099,1.9233290354410808,2,0.005025125628140704,early
amp100_freq26,100,26,11,-20.406747817993164,-31.12125015258789,10.714502334594727,1,0.0,early
amp100_freq5,100,5,12,28.747756958007812,15.581197738647461,13.166559219360352,3,0.010050251256281407,early
amp250_freq50,250,50,13,-23.524899164835613,-0.870574951171875,-22.654324213663738,1,0.0,early
amp100_freq10,100,10,14,-0.370246887207031,14.008857091267904,-14.379103978474935,2,0.005025125628140704,early
amp100_freq26,100,26,15,0.1567408243815104,0.6523189544677734,-0.495578130086263,2,0.005025125628140704,early
amp180_freq10,180,10,16,-8.411148071289062,-9.366039911905924,0.9548918406168619,2,0.005025125628140704,early
amp180_freq10,180,10,17,30.179805755615234,5.0362911224365225,25.14351463317871,3,0.010050251256281407,early
amp180_freq10,180,10,18,-1.8568941752115886,-7.927725474039714,6.070831298828125,4,0.01507537688442211,early
amp100_freq5,100,5,19,16.0307133992513,12.227314631144205,3.803398768107096,4,0.01507537688442211,early
amp250_freq10,250,10,20,-6.604250590006511,-11.177912394205729,4.573661804199219,2,0.005025125628140704,early
amp180_freq10,180,10,21,6.102904001871745,18.151467005411785,-12.048563003540039,5,0.020100502512562814,early
amp100_freq50,100,50,22,-10.216972351074219,-14.716206232706705,4.499233881632487,1,0.0,early
amp100_freq50,100,50,23,-13.816215515136719,-16.23046875,2.4142532348632812,2,0.005025125628140704,early
amp180_freq5,180,5,24,15.928317387898764,18.69957097371419,-2.77125358581543,2,0.005025125628140704,early
amp250_freq10,250,10,25,-35.83223088582357,-24.269903818766277,-11.562327067057291,3,0.010050251256281407,early
amp100_freq5,100,5,26,-0.5861047108968093,4.8467458089192705,-5.432850519816081,5,0.020100502512562814,early
amp100_freq10,100,10,27,25.16664759318034,13.968251546223959,11.19839604695638,3,0.010050251256281407,early
amp100_freq50,100,50,28,-21.14790217081706,-24.484406153361004,3.3365039825439453,3,0.010050251256281407,early
amp180_freq50,180,50,29,-22.35847536722819,-31.637415568033855,9.278940200805664,1,0.0,early
amp250_freq10,250,10,30,-20.834667205810547,-23.96352259318034,3.1288553873697915,4,0.01507537688442211,early
amp100_freq10,100,10,31,3.257749557495117,0.46363194783528644,2.7941176096598306,4,0.01507537688442211,early
amp250_freq50,250,50,32,-7.57850456237793,7.340258280436198,-14.918762842814127,2,0.005025125628140704,early
amp250_freq26,250,26,33,32.7037156422933,16.927851994832356,15.775863647460938,3,0.010050251256281407,early
amp180_freq50,180,50,34,-9.596454620361328,7.090927759806315,-16.687382380167644,2,0.005025125628140704,early
amp180_freq26,180,26,35,-15.489855448404947,-6.652619043986003,-8.837236404418945,2,0.005025125628140704,early
amp100_freq10,100,10,36,-1.6580111185709636,-10.799132664998373,9.141121546427408,5,0.020100502512562814,early
amp100_freq50,100,50,37,-5.142525355021159,-8.07979965209961,2.9372742970784507,4,0.01507537688442211,early
amp180_freq5,180,5,38,18.513020197550457,7.958080927530925,10.554939270019531,3,0.010050251256281407,early
amp100_freq26,100,26,39,13.87019157409668,17.582456588745117,-3.7122650146484375,3,0.010050251256281407,early
amp180_freq26,180,26,40,-3.1254348754882812,-18.942081451416016,15.816646575927734,3,0.010050251256281407,early
amp100_freq26,100,26,41,23.082305272420246,8.697214126586914,14.385091145833334,4,0.01507537688442211,early
amp180_freq10,180,10,42,6.864451090494792,7.2033131917317705,-0.3388621012369792,6,0.02512562814070352,early
amp100_freq5,100,5,43,-3.0209458669026694,-1.662162144978841,-1.3587837219238281,6,0.02512562814070352,early
amp250_freq10,250,10,44,13.918548583984375,27.61790657043457,-13.699357986450195,5,0.020100502512562814,early
