condition,amplitude,frequency,n_trials,onset_delta_mean,onset_delta_ci_low,onset_delta_ci_high,sustained_delta_mean,sustained_delta_ci_low,sustained_delta_ci_high,offset_delta_mean,offset_delta_ci_low,offset_delta_ci_high,recovery_delta_mean,recovery_delta_ci_low,recovery_delta_ci_high,transition_index_mean,transition_index_ci_low,transition_index_ci_high
amp100_freq5,100,5,200,-0.31226271152496293,-6.419503372788429,5.569870553294818,0.8240278530120848,-2.694193043788274,4.255793784578636,3.8531530777613323,-2.090770039161047,9.890932197610532,-0.3990251620610554,-4.929693609992664,4.426014231959976,3.029125224749247,-2.2004140788316735,8.221474518259365
amp180_freq5,180,5,200,2.2400026178359984,-3.9096212271054585,8.905335222125046,2.7324199151992796,-0.5837571190992992,5.927903831760088,8.556584105491638,2.295670172333717,14.859843678116798,3.8296354484558104,-0.46146778003374694,8.248679275870323,5.824164190292358,0.8553857926925021,11.050470193107923
amp250_freq5,250,5,200,3.6025918292999264,-2.8639744695027667,10.343253449002887,-1.4266475168863932,-5.216058697183927,2.3297588003079057,1.472253098487854,-4.231043264110882,7.165054627299309,-1.3205348046620689,-6.341261267105739,3.4300902674595477,2.898900615374247,-1.8765245412190759,7.494833491722742
amp100_freq10,100,10,200,5.363844564755759,-0.8403064603805543,11.752405947724975,3.235994350115458,-0.013190119544664715,6.381184141079585,3.2376686429977406,-1.975437429229419,8.634248980800312,5.6860500208536795,1.424363656282425,9.94913317966461,0.001674292882283055,-4.599479666670163,4.858682337800655
amp180_freq10,180,10,200,-2.062217642466227,-7.950306056896846,3.8028254542748106,5.835715754826864,2.039582735498746,9.295867640693983,11.243847587903343,4.226844849864642,18.016073808670043,5.905519315401713,0.9792527290582655,10.449650240222612,5.408131833076477,0.03025909396012658,11.267190337578452
amp250_freq10,250,10,200,8.328233834902445,1.574213380495707,15.210068198760347,-0.6369429779052729,-4.221211068669954,2.6772950427134767,3.5633477497100836,-2.6369097055991495,9.801762193799018,-3.7734812561670936,-8.282252175529798,0.6125570809841127,4.200290727615356,-0.9865208179553356,9.710136297901464
amp100_freq26,100,26,200,0.3519503434499103,-6.187387512365977,6.827313778241459,1.107642763455709,-2.610279092152913,4.686556249658267,5.188924566904704,-0.937356185475985,11.398401299476626,2.912574230829874,-1.3846520088116325,7.2221951678991285,4.081281803448994,-1.16092383770148,9.156543538610139
amp180_freq26,180,26,200,4.755688457489013,-1.4492036256392797,11.20231741813818,-4.2539960432052615,-7.597190247694652,-1.0014284919897731,5.597744642893474,-0.48839904761314457,11.305720048944151,2.668243352572123,-1.330557896097501,6.797536441842714,9.851740686098735,4.758966708342235,14.988536478439967
amp250_freq26,250,26,200,2.8256002966562908,-4.115169522126515,10.232199558774628,-8.66050712108612,-12.348038832902906,-5.160474852522215,2.585362935066222,-2.8444294823010763,8.149403554519017,0.8645949204762776,-3.5910265690485637,5.005881312449766,11.245870056152343,6.432086954514186,16.194965780536325
amp100_freq50,100,50,200,6.130956533749896,-0.32877286187807686,13.227047869682304,-1.854958562850952,-5.264716044783592,1.6513351759115835,7.194554115931193,1.5605195535421372,13.323602539579074,8.189064625104269,4.076980500141779,12.487949999809265,9.049512678782145,3.57638858616352,14.610507924675938
amp180_freq50,180,50,200,4.235112945238749,-2.7109548338651654,11.539539909760157,-13.940871402422585,-17.444163235545158,-10.34077306588491,-7.851787840525309,-13.326342255393664,-2.3009674434661855,-5.161432828903198,-9.6023891629378,-0.9385388167301817,6.089083561897278,1.6030128023624421,10.808661234537759
amp250_freq50,250,50,200,10.125797600746155,3.1754614992141725,17.084766414721802,-15.377896463076272,-18.393956168254217,-12.304897396723431,-15.425318999290466,-20.032177510857583,-10.583573090950647,-10.498968857129414,-14.630210249741872,-6.227837965210281,-0.047422536214192734,-3.942629730502764,4.079326025962828
