trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,onset_delta,sustained_delta,offset_delta,recovery_delta,transition_index
1,amp250_freq10,250,10,A_dHPC_0-31,32,-67.66925048828125,-71.02717590332031,-112.80262756347656,-36.000701904296875,-41.77545166015625
1,amp250_freq10,250,10,A_dHPC_32-63,32,-16.641510009765625,-72.06756591796875,-85.08175659179688,-25.014404296875,-13.014190673828125
1,amp250_freq10,250,10,A_dHPC_64-95,32,-30.70062255859375,-7.641326904296875,-58.040435791015625,6.07489013671875,-50.39910888671875
1,amp250_freq10,250,10,A_dHPC_96-127,31,-15.485931396484375,-29.172279357910156,-9.32464599609375,-13.73809814453125,19.847633361816406
1,amp250_freq10,250,10,B_LEC_128-191,51,-10.413536071777344,-12.9744873046875,6.4707794189453125,-0.36162567138671875,19.445266723632812
1,amp250_freq10,250,10,B_LEC_192-255,32,66.13475036621094,-1.2999725341796875,-6.350250244140625,-5.938526153564453,-5.0502777099609375
2,amp100_freq10,100,10,A_dHPC_0-31,32,-37.007354736328125,30.282867431640625,70.46258544921875,58.69105529785156,40.179718017578125
2,amp100_freq10,100,10,A_dHPC_32-63,32,-18.928924560546875,34.67219543457031,33.51683044433594,44.47386169433594,-1.155364990234375
2,amp100_freq10,100,10,A_dHPC_64-95,32,-16.124839782714844,22.710403442382812,-48.36559295654297,30.915740966796875,-71.07599639892578
2,amp100_freq10,100,10,A_dHPC_96-127,31,25.00383758544922,-7.166481018066406,-1.0574493408203125,-18.094589233398438,6.109031677246094
2,amp100_freq10,100,10,B_LEC_128-191,51,-49.222599029541016,-5.449012756347656,-2.1911468505859375,0.6569290161132812,3.2578659057617188
2,amp100_freq10,100,10,B_LEC_192-255,32,-34.15872573852539,-7.238788604736328,19.894023895263672,-0.8156700134277344,27.1328125
3,amp180_freq26,180,26,A_dHPC_0-31,32,-85.16263580322266,5.6542816162109375,-71.793701171875,-15.194625854492188,-77.44798278808594
3,amp180_freq26,180,26,A_dHPC_32-63,32,-93.99859619140625,30.379745483398438,-10.536590576171875,-20.507064819335938,-40.91633605957031
3,amp180_freq26,180,26,A_dHPC_64-95,32,-30.99920654296875,-2.1157379150390625,-22.784332275390625,-33.29704284667969,-20.668594360351562
3,amp180_freq26,180,26,A_dHPC_96-127,31,-39.40575408935547,-0.7725372314453125,-2.9556961059570312,-12.539398193359375,-2.1831588745117188
3,amp180_freq26,180,26,B_LEC_128-191,51,-1.1942062377929688,16.444137573242188,37.612388610839844,22.65308380126953,21.168251037597656
3,amp180_freq26,180,26,B_LEC_192-255,32,9.858524322509766,8.706291198730469,5.250774383544922,11.243831634521484,-3.455516815185547
4,amp180_freq10,180,10,A_dHPC_0-31,32,-107.88674926757812,-47.29408264160156,-79.47274780273438,-64.50047302246094,-32.17866516113281
4,amp180_freq10,180,10,A_dHPC_32-63,32,-46.914337158203125,-22.843032836914062,5.679656982421875,-51.01496887207031,28.522689819335938
4,amp180_freq10,180,10,A_dHPC_64-95,32,-63.97016906738281,-17.980621337890625,43.0333251953125,-62.76910400390625,61.013946533203125
4,amp180_freq10,180,10,A_dHPC_96-127,31,-43.446311950683594,-56.10088348388672,-22.823211669921875,-82.90596008300781,33.277671813964844
4,amp180_freq10,180,10,B_LEC_128-191,51,-8.862884521484375,0.3853912353515625,9.276962280273438,9.3111572265625,8.891571044921875
4,amp180_freq10,180,10,B_LEC_192-255,32,-15.750600814819336,-0.7598342895507812,4.4208984375,-2.585296630859375,5.180732727050781
5,amp180_freq5,180,5,A_dHPC_0-31,32,-36.03706359863281,-9.0211181640625,-38.68656921386719,-40.721099853515625,-29.665451049804688
5,amp180_freq5,180,5,A_dHPC_32-63,32,9.711196899414062,28.044876098632812,38.2572021484375,-5.43548583984375,10.212326049804688
5,amp180_freq5,180,5,A_dHPC_64-95,32,110.01895141601562,-9.924819946289062,11.741455078125,-15.98858642578125,21.666275024414062
5,amp180_freq5,180,5,A_dHPC_96-127,31,-5.6207275390625,14.016098022460938,33.0172119140625,9.106101989746094,19.001113891601562
5,amp180_freq5,180,5,B_LEC_128-191,51,-3.9960098266601562,3.9629135131835938,24.494728088378906,14.555450439453125,20.531814575195312
5,amp180_freq5,180,5,B_LEC_192-255,32,-19.921573638916016,-18.41253662109375,-23.380510330200195,-11.121517181396484,-4.967973709106445
6,amp250_freq26,250,26,A_dHPC_0-31,32,-5.9538726806640625,-20.09088134765625,-2.706878662109375,7.3749237060546875,17.384002685546875
6,amp250_freq26,250,26,A_dHPC_32-63,32,43.952880859375,16.307815551757812,20.23638916015625,3.1504974365234375,3.9285736083984375
6,amp250_freq26,250,26,A_dHPC_64-95,32,81.21597290039062,12.251754760742188,-50.89814758300781,28.650711059570312,-63.14990234375
6,amp250_freq26,250,26,A_dHPC_96-127,31,-6.845451354980469,16.49211883544922,45.39350128173828,-15.913505554199219,28.901382446289062
6,amp250_freq26,250,26,B_LEC_128-191,51,-20.61028289794922,-6.596504211425781,16.982498168945312,-12.926185607910156,23.579002380371094
6,amp250_freq26,250,26,B_LEC_192-255,32,-5.496826171875,4.424713134765625,-3.35357666015625,-2.999492645263672,-7.778289794921875
7,amp250_freq26,250,26,A_dHPC_0-31,32,-80.806396484375,7.3531036376953125,12.160858154296875,70.00233459472656,4.8077545166015625
7,amp250_freq26,250,26,A_dHPC_32-63,32,-53.14997100830078,53.02708435058594,51.47865295410156,106.13325500488281,-1.548431396484375
7,amp250_freq26,250,26,A_dHPC_64-95,32,-69.19439697265625,12.635772705078125,49.28010559082031,125.14616394042969,36.64433288574219
7,amp250_freq26,250,26,A_dHPC_96-127,31,-1.6490478515625,-5.1209259033203125,0.7112274169921875,55.49961853027344,5.8321533203125
7,amp250_freq26,250,26,B_LEC_128-191,51,-29.118038177490234,-6.0168304443359375,-5.212242126464844,-8.596542358398438,0.8045883178710938
7,amp250_freq26,250,26,B_LEC_192-255,32,29.838470458984375,-10.247535705566406,-16.57177734375,-5.463222503662109,-6.324241638183594
8,amp100_freq5,100,5,A_dHPC_0-31,32,2.87359619140625,-22.595123291015625,80.08195495605469,-56.95603942871094,102.67707824707031
8,amp100_freq5,100,5,A_dHPC_32-63,32,-34.59222412109375,-18.139007568359375,153.29954528808594,-50.37397003173828,171.4385528564453
8,amp100_freq5,100,5,A_dHPC_64-95,32,-1.091033935546875,8.622268676757812,13.2857666015625,33.63435363769531,4.6634979248046875
8,amp100_freq5,100,5,A_dHPC_96-127,31,-20.66724395751953,-18.98914337158203,20.839500427246094,-3.6276931762695312,39.828643798828125
8,amp100_freq5,100,5,B_LEC_128-191,51,-13.279327392578125,-2.398834228515625,5.0565185546875,9.073471069335938,7.455352783203125
8,amp100_freq5,100,5,B_LEC_192-255,32,-14.364250183105469,-2.7013397216796875,11.004627227783203,-5.307830810546875,13.70596694946289
9,amp250_freq5,250,5,A_dHPC_0-31,32,2.2042999267578125,17.277923583984375,-74.69595336914062,49.88026428222656,-91.973876953125
9,amp250_freq5,250,5,A_dHPC_32-63,32,-65.15164184570312,-9.982742309570312,-105.37782287597656,35.16526794433594,-95.39508056640625
9,amp250_freq5,250,5,A_dHPC_64-95,32,-6.90228271484375,29.857757568359375,-37.645530700683594,46.64091491699219,-67.50328826904297
9,amp250_freq5,250,5,A_dHPC_96-127,31,6.8362274169921875,-12.19842529296875,-56.77253723144531,24.835342407226562,-44.57411193847656
9,amp250_freq5,250,5,B_LEC_128-191,51,-21.518321990966797,-3.9139328002929688,-7.468994140625,-25.98876953125,-3.5550613403320312
9,amp250_freq5,250,5,B_LEC_192-255,32,9.421550750732422,-3.8475379943847656,14.66567611694336,13.274467468261719,18.513214111328125
10,amp100_freq5,100,5,A_dHPC_0-31,32,13.027130126953125,-6.9259490966796875,-31.943862915039062,-4.6884918212890625,-25.017913818359375
10,amp100_freq5,100,5,A_dHPC_32-63,32,78.27694702148438,-63.30694580078125,-143.09255981445312,-48.01092529296875,-79.78561401367188
10,amp100_freq5,100,5,A_dHPC_64-95,32,-97.33285522460938,-8.318618774414062,-109.92835235595703,-53.13154602050781,-101.60973358154297
10,amp100_freq5,100,5,A_dHPC_96-127,31,27.416091918945312,1.0357818603515625,-40.47113037109375,11.13818359375,-41.50691223144531
10,amp100_freq5,100,5,B_LEC_128-191,51,-24.860519409179688,-9.122123718261719,16.315406799316406,2.1324615478515625,25.437530517578125
10,amp100_freq5,100,5,B_LEC_192-255,32,-40.809898376464844,-27.676403045654297,-32.7225227355957,-31.31641387939453,-5.046119689941406
11,amp100_freq26,100,26,A_dHPC_0-31,32,-101.76414489746094,-58.73515319824219,15.771728515625,-63.94764709472656,74.50688171386719
11,amp100_freq26,100,26,A_dHPC_32-63,32,-104.80664825439453,-35.031341552734375,44.97547912597656,-25.859786987304688,80.00682067871094
11,amp100_freq26,100,26,A_dHPC_64-95,32,-102.86927032470703,-35.38026428222656,-6.91314697265625,-51.01249694824219,28.467117309570312
11,amp100_freq26,100,26,A_dHPC_96-127,31,-34.20884704589844,-11.000999450683594,-37.337486267089844,-6.04302978515625,-26.33648681640625
11,amp100_freq26,100,26,B_LEC_128-191,51,78.00110626220703,-2.730926513671875,8.296279907226562,-2.6910171508789062,11.027206420898438
11,amp100_freq26,100,26,B_LEC_192-255,32,-0.0061492919921875,20.43819808959961,32.85447692871094,19.414905548095703,12.416278839111328
