channel,rms,mad,ptp,absmax,zero_fraction,saturation_fraction,rough_mad,common_corr,rms_rz,mad_rz,ptp_rz,rough_mad_rz,absmax_rz,exclude_reasons,exclude_auto
0,1880.9878,1237.0,13106.0,9579.0,0.0003125,0.0,55.0,0.39079416,1.2995041597502628,1.3425109845248475,0.848308137443649,2.0234692499999998,0.7080540757794755,,False
1,1838.7971,1208.5,12905.5,9260.0,0.0003125,0.0,52.0,0.40639126,1.2326381644599513,1.2754736423278117,0.8196186238133121,0.0,0.619199138653727,,False
2,1860.2954,1208.0,13613.0,9836.0,0.000325,0.0,52.0,0.4528604,1.266709778027626,1.2742975486050567,0.9208546881198622,0.0,0.7796394013008466,,False
3,1932.7363,1234.5,14429.5,11158.0,0.0003375,0.0,53.0,0.4880144,1.3815178489585638,1.3366305159110725,1.0376875453725802,0.67448975,1.147872087445798,,False
4,2077.503,1299.0,15161.5,13915.0,0.00024375,0.0,54.0,0.5275849,1.6109515744097629,1.488346606146469,1.1424293108459296,1.3489795,1.915812719595292,,False
5,2235.91,1371.5,17196.0,16342.0,0.0002875,0.0,54.0,0.54302186,1.8620031501350367,1.658880195945946,1.4335455975338105,1.3489795,2.591834451269874,,False
6,2332.3677,1415.5,18549.0,17530.0,0.000275,0.0,54.0,0.5510494,2.0148742832026145,1.762376443548387,1.6271461558472553,1.3489795,2.9227424929795585,,False
7,2277.2896,1387.0,17982.5,16504.0,0.00029375,0.0,54.0,0.5539664,1.9275836723523734,1.6953391013513512,1.546085759480244,1.3489795,2.636958275139376,,False
8,2109.8,1301.0,16998.0,15493.0,0.0003125,0.0,53.0,0.553388,1.662137524154403,1.493050981037489,1.405213808512331,0.67448975,2.3553521891389635,,False
9,1861.5188,1150.0,14685.0,12119.0,0.0003875,0.0,53.0,0.54189193,1.2686486853848913,1.1378706767654752,1.0742470003977724,0.67448975,1.4155510673136484,,False
10,1544.9688,965.5,12166.5,9578.0,0.00040625,0.0,54.0,0.50337654,0.7669639347372837,0.7038920930688753,0.7138752294351631,1.3489795,0.7077755336568242,,False
11,1254.4122,769.0,10151.5,8007.0,0.00046875,0.0,54.0,0.4162805,0.3064748637531841,0.2416872600261552,0.425549194696367,1.3489795,0.2701858589717117,,False
12,1069.9001,673.0,9657.0,7548.0,0.0005875,0.0,53.0,0.31275374,0.01405058044891488,0.015877265257192675,0.3547912670644391,0.67448975,0.1423350246747883,,False
13,1010.01733,638.5,9252.5,8009.0,0.00059375,0.0,51.0,0.24823081,-0.08085471898415436,-0.06527320161290323,0.2969114253513657,-0.67448975,0.2707429432170142,,False
14,977.6085,611.5,9339.5,8329.0,0.00053125,0.0,53.0,0.18519169,-0.1322179026749795,-0.12878226264167394,0.3093602417395916,0.67448975,0.3598764224654139,,False
15,964.6508,594.0,9859.5,8620.0,0.00066875,0.0,49.0,0.10514982,-0.1527539332972083,-0.16994554293809938,0.3837669603818615,-2.0234692499999998,0.4409321801569275,,False
16,799.39246,485.5,7756.5,8120.0,0.00076875,0.0,51.0,0.37800336,-0.41466386567862534,-0.4251578807759372,0.0828490194112967,-0.67448975,0.3016611188313029,,False
17,795.56366,475.0,8036.5,8808.0,0.00073125,0.0,52.0,0.45572066,-0.42073194520249063,-0.4498558489537925,0.1229141756032882,0.0,0.4932980992153624,,False
18,806.194,487.0,8515.5,9286.0,0.0007625,0.0,51.5,0.50313133,-0.403884434628492,-0.4216295996076722,0.1914542106603023,-0.337244875,0.6264412338426595,,False
19,819.8255,495.0,8965.0,9838.0,0.00083125,0.0,51.0,0.5427346,-0.3822805310478479,-0.40281210004359197,0.2557730953328029,-0.67448975,0.7801964855461491,,False
20,847.60486,522.0,8924.5,10206.0,0.000725,0.0,52.0,0.5909326,-0.33825436995244396,-0.33930303901482123,0.2499779566693184,0.0,0.8826999866818088,,False
21,897.92004,555.0,8905.5,10100.0,0.00065625,0.0,53.0,0.6135591,-0.25851228013380717,-0.2616808533129904,0.2472592496420047,0.67448975,0.8531745216807763,,False
22,959.4724,597.5,8927.0,9520.0,0.00061875,0.0,52.0,0.63603884,-0.16096092844095677,-0.1617128868788143,0.2503356812781755,0.0,0.6916200905430517,,False
23,1057.8691,670.5,8679.5,8516.0,0.00058125,0.0,51.0,0.62417185,-0.005016768263899706,0.009996796643417611,0.2149209450013259,-0.67448975,0.4119637994011976,,False
24,1486.5227,976.0,10504.0,7850.0,0.0003875,0.0,31.5,0.48588896,0.6743355439464918,0.7285900612467306,0.4759883645452135,-13.827039875,0.2264547457154656,,False
25,1485.9103,975.5,10497.0,7881.0,0.0004125,0.0,31.5,0.48483992,0.6733649808717909,0.7274139675239756,0.4749867356404137,-13.827039875,0.2350895515176543,,False
26,1486.7173,976.0,10521.5,7793.0,0.00034375,0.0,31.5,0.48635772,0.6746439560535081,0.7285900612467306,0.4784924368072129,-13.827039875,0.2105778447243444,,False
27,1482.4177,973.0,10406.0,7802.0,0.0003375,0.0,32.0,0.48473138,0.6678297284310647,0.7215334989102005,0.4619655598780164,-13.489795,0.2130847238282056,,False
28,1488.9774,978.25,10523.0,7860.0,0.0004375,0.0,31.5,0.48484772,0.6782258789880798,0.7338824829991282,0.4787070715725271,-13.827039875,0.2292401669419781,,False
29,1907.4838,1267.25,13500.0,10249.0,0.0003,0.0,52.0,0.385926,1.341496385790885,1.4136646547515257,0.9046855357995226,0.0,0.8946772979558125,,False
30,1933.3533,1273.0,13823.5,10314.0,0.00031875,0.0,52.0,0.37644678,1.3824957023502855,1.4271897325632084,0.9509751001856273,0.0,0.9127825359281436,,False
31,1892.0029,1246.0,13438.0,9898.0,0.00034375,0.0,50.0,0.3741784,1.3169614577975173,1.3636806715344376,0.8958139654998674,-1.3489795,0.796909012905224,,False
32,2249.56,1405.0,16046.5,14203.0,0.00028125,0.0,53.0,0.58448493,1.8836363734689172,1.7376784753705319,1.269063822381331,0.67448975,1.996032850918852,,False
33,2306.2788,1441.5,16260.5,14529.0,0.0002375,0.0,53.0,0.5757803,1.9735272502183459,1.823533317131648,1.2996850488994962,0.67448975,2.086837582903159,,False
34,2210.3818,1403.5,15812.0,13602.0,0.00026875,0.0,52.0,0.5687911,1.82154474340156,1.7341501942022668,1.2355092540705384,0.0,1.8286290352054513,,False
35,2082.3584,1330.5,15214.5,12683.0,0.0002625,0.0,53.0,0.5596473,1.6186466625105191,1.562440510680035,1.1500130725536992,0.67448975,1.5726488244889532,,False
36,1998.1394,1269.0,14358.0,12059.0,0.000275,0.0,52.0,0.5522002,1.4851720518177662,1.4177809827811683,1.027456621559268,0.0,1.3988385399545735,,False
37,1925.7351,1231.0,13710.0,11337.0,0.0003125,0.0,51.0,0.5502074,1.3704219864526912,1.3283978598517874,0.9347344029435164,-0.67448975,1.1977311274003717,,False
38,1887.4818,1207.5,13442.0,11210.0,0.0003625,0.0,53.0,0.5524252,1.3097961855620004,1.2731214548823016,0.8963863248740387,0.67448975,1.162356277823663,,False
39,1879.2422,1193.0,13387.5,11216.0,0.0003,0.0,51.0,0.56015325,1.2967376429259678,1.2390147369224063,0.8885879284009548,-0.67448975,1.1640275305595706,,False
40,1894.7333,1197.0,13541.5,11444.0,0.000275,0.0,49.0,0.5694324,1.3212887364049042,1.2484234867044464,0.91062376430655,-2.0234692499999998,1.2275351345240553,,False
41,1926.1868,1214.0,13822.0,12511.0,0.000375,0.0,50.5,0.578005,1.3711378638871168,1.2884106732781169,0.950760465420313,-1.0117346249999999,1.524739579392938,,False
42,2012.7095,1259.0,14204.5,13577.0,0.00029375,0.0,53.0,0.58464897,1.5082634970409874,1.394259108326068,1.0054923305754442,0.67448975,1.82166548213917,,False
43,2073.9138,1290.0,14658.5,14603.0,0.0002875,0.0,53.0,0.5887755,1.6052632253115966,1.4671769191368786,1.0704551195438876,0.67448975,2.1074496999793517,,False
