cluster_a,cluster_b,n_spikes_a,n_spikes_b,template_similarity,n_coincident_1lag,expected_by_chance,coincidence_ratio,coincident_frac_of_smaller,flag
2,5,2601,71650,0.4967480003833771,1976,20.55,96.15,0.7597,strong_merge
2,13,2601,142000,0.1659194678068161,1714,40.73,42.08,0.659,separate
2,10,2601,46471,0.1909288614988327,1402,13.33,105.18,0.539,separate
1,2,63676,2601,0.9721789956092834,1400,18.26,76.65,0.5383,strong_merge
52,55,3471,98271,0.25775936245918274,1610,37.62,42.8,0.4638,separate
52,56,3471,120242,0.18594671785831451,1419,46.03,30.83,0.4088,separate
47,56,101773,120242,0.07581828534603119,37265,1349.54,27.61,0.3662,separate
5,10,71650,46471,0.20150981843471527,16557,367.19,45.09,0.3563,separate
0,5,10886,71650,0.5240837335586548,3789,86.02,44.05,0.3481,possible_merge
0,1,10886,63676,0.4677030146121979,3495,76.44,45.72,0.3211,possible_merge
70,79,24410,201637,0.41669994592666626,6940,542.79,12.79,0.2843,possible_merge
2,11,2601,40471,0.12388744205236435,709,11.61,61.08,0.2726,separate
0,2,10886,2601,0.48290038108825684,704,3.12,225.46,0.2707,possible_merge
1,10,63676,46471,0.29278960824012756,12148,326.33,37.23,0.2614,separate
22,32,27385,67856,0.14269056916236877,6877,204.93,33.56,0.2511,separate
46,52,68094,3471,0.12529416382312775,836,26.07,32.07,0.2409,separate
27,32,19630,67856,0.30031996965408325,4677,146.89,31.84,0.2383,possible_merge
1,9,63676,18270,0.3078063726425171,4324,128.3,33.7,0.2367,possible_merge
27,33,19630,80643,0.2880343198776245,4635,174.58,26.55,0.2361,separate
32,40,67856,143487,0.6154556274414062,15493,1073.74,14.43,0.2283,possible_merge
2,9,2601,18270,0.1667705774307251,571,5.24,108.96,0.2195,separate
0,10,10886,46471,0.48761609196662903,2362,55.79,42.34,0.217,possible_merge
50,56,6548,120242,0.15774638950824738,1376,86.83,15.85,0.2101,separate
22,33,27385,80643,0.28266817331314087,5644,243.54,23.17,0.2061,separate
40,43,143487,47164,0.4435925781726837,8264,746.31,11.07,0.1752,separate
55,56,98271,120242,0.5196292400360107,15988,1303.1,12.27,0.1627,separate
1,13,63676,142000,0.3537554144859314,10282,997.15,10.31,0.1615,separate
39,43,91896,47164,0.3631516098976135,7438,477.97,15.56,0.1577,separate
24,32,128965,67856,0.27243635058403015,10631,965.07,11.02,0.1567,separate
0,13,10886,142000,0.27742159366607666,1703,170.47,9.99,0.1564,separate
40,46,143487,68094,0.37710607051849365,10624,1077.5,9.86,0.156,separate
55,57,98271,21743,0.27093344926834106,3285,235.64,13.94,0.1511,separate
56,58,120242,21886,0.233888640999794,3177,290.21,10.95,0.1452,separate
33,40,80643,143487,0.3936924934387207,11330,1276.08,8.88,0.1405,separate
60,68,19235,13317,0.10455691814422607,1838,28.25,65.07,0.138,separate
79,84,201637,115873,0.41087618470191956,15675,2576.62,6.08,0.1353,separate
43,47,47164,101773,0.6141146421432495,6147,529.35,11.61,0.1303,separate
26,39,21031,91896,0.1938871592283249,2726,213.13,12.79,0.1296,separate
2,6,2601,26024,0.18419934809207916,337,7.46,45.15,0.1296,separate
43,46,47164,68094,0.7322506308555603,6059,354.17,17.11,0.1285,separate
39,46,91896,68094,0.1832638829946518,8583,690.09,12.44,0.126,separate
3,5,9513,71650,0.1921035349369049,1173,75.17,15.61,0.1233,separate
70,78,24410,111507,0.7558975219726562,2992,300.17,9.97,0.1226,separate
4,15,15202,35284,0.19225946068763733,1668,59.15,28.2,0.1097,separate
50,55,6548,98271,0.2814647853374481,718,70.96,10.12,0.1097,separate
40,47,143487,101773,0.22782528400421143,11143,1610.43,6.92,0.1095,separate
2,4,2601,15202,0.1774587780237198,282,4.36,64.67,0.1084,separate
4,5,15202,71650,0.19964590668678284,1613,120.12,13.43,0.1061,separate
5,13,71650,142000,0.11376320570707321,7529,1122.02,6.71,0.1051,separate
92,95,101024,232384,0.3470210134983063,10518,2588.98,4.06,0.1041,separate
24,33,128965,80643,0.1877993941307068,8241,1146.93,7.19,0.1022,separate
26,32,21031,67856,0.34609872102737427,2129,157.38,13.53,0.1012,separate
42,47,30083,101773,0.09714604914188385,3025,337.64,8.96,0.1006,separate
90,92,22872,101024,0.5608274936676025,2295,254.82,9.01,0.1003,separate
78,79,111507,201637,0.5368015170097351,10960,2479.53,4.42,0.0983,separate
47,50,101773,6548,0.10052809864282608,641,73.49,8.72,0.0979,separate
53,56,16051,120242,0.18122421205043793,1528,212.84,7.18,0.0952,separate
19,31,16539,41107,0.2932718098163605,1570,74.98,20.94,0.0949,separate
20,29,15082,39473,0.28816577792167664,1422,65.65,21.66,0.0943,separate
32,39,67856,91896,0.3788068890571594,6300,687.67,9.16,0.0928,separate
1,5,63676,71650,0.46734175086021423,5907,503.14,11.74,0.0928,separate
5,6,71650,26024,0.1705600917339325,2398,205.63,11.66,0.0921,separate
56,57,120242,21743,0.46025145053863525,1941,288.32,6.73,0.0893,separate
41,47,29275,101773,0.18039622902870178,2611,328.57,7.95,0.0892,separate
54,55,18995,98271,0.21275094151496887,1692,205.86,8.22,0.0891,separate
41,46,29275,68094,0.11538325250148773,2596,219.84,11.81,0.0887,separate
95,100,232384,21765,0.027884917333722115,1874,557.78,3.36,0.0861,separate
1,3,63676,9513,0.19689713418483734,810,66.8,12.13,0.0851,separate
