cluster_id,KSLabel,ContamPct,Amplitude,group,is_ks_good,spike_count,firing_rate_hz,isi_violations_lt_2ms,isi_violation_fraction,best_local_channel_index,best_raw_channel,best_channel_x,best_channel_y,best_channel_shank,template_peak_to_peak,max_abs_on_off_delta_hz,best_on_off_condition,best_on_off_delta_hz,n_conditions_q05,review_category,review_priority
0,good,5.9,10.1,good,True,88023,4.853595083871657,63,0.0007157301583694985,1,1,60.0,20.0,1,4.946262359619141,,,,0,high_confidence_ks_good,1
45,good,0.0,61.4,good,True,582,0.03209152538328964,0,0.0,11,11,60.0,220.0,1,47.116397857666016,,,,0,manual_review,2
46,good,0.0,42.4,good,True,680,0.03749525302514941,0,0.0,11,11,60.0,220.0,1,30.02140998840332,,,,0,manual_review,3
47,good,0.0,60.0,good,True,548,0.030216762732032172,0,0.0,11,11,60.0,220.0,1,46.0559196472168,,,,0,manual_review,4
73,good,0.0,31.9,good,True,758,0.04179617910744596,0,0.0,15,15,60.0,300.0,1,13.949487686157227,,,,0,manual_review,5
78,good,2.3,46.7,good,True,10453,0.5763792351057159,10,0.0009567546880979717,15,15,60.0,300.0,1,31.619909286499023,,,,0,high_confidence_ks_good,6
82,good,1.8,8.9,good,True,100350,5.533306825108446,41,0.00040857407647310886,113,113,0.0,340.0,4,5.639308929443359,,,,0,high_confidence_ks_good,7
86,good,10.0,14.6,good,True,29234,1.6119650396135556,69,0.0023603461841070024,81,81,180.0,340.0,3,7.315723896026611,,,,0,high_confidence_ks_good,8
87,good,11.2,11.5,good,True,432101,23.8260828344413,4419,0.010226799352001851,81,81,180.0,340.0,3,7.056731700897217,,,,0,manual_review,9
90,good,4.2,17.0,good,True,195198,10.76323294118105,162,0.0008299307878707153,115,115,0.0,380.0,4,9.323357582092285,,,,0,high_confidence_ks_good,10
104,good,16.0,17.2,good,True,159259,8.781553678723926,1200,0.0075349432995516705,84,84,180.0,400.0,3,11.527604103088379,,,,0,manual_review,11
108,good,0.0,42.5,good,True,603,0.03324946702083102,0,0.0,86,86,180.0,440.0,3,23.977827072143555,,,,0,manual_review,12
109,good,0.0,16.3,good,True,2688,0.1482165296052965,0,0.0,119,119,0.0,460.0,4,8.908353805541992,,,,0,high_confidence_ks_good,13
112,good,14.7,37.1,good,True,2310,0.12737358012955166,5,0.0021654395842356,86,86,180.0,440.0,3,27.979095458984375,,,,0,manual_review,14
113,good,0.2,25.5,good,True,18131,0.9997447538220352,6,0.0003309431880860452,119,119,0.0,460.0,4,12.77029800415039,,,,0,high_confidence_ks_good,15
126,good,0.2,29.2,good,True,235905,13.007820095438046,74,0.00031368692349430276,120,120,0.0,480.0,4,28.24209213256836,,,,0,high_confidence_ks_good,16
130,good,0.0,37.6,good,True,1367,0.07537648659614594,0,0.0,121,122,0.0,520.0,4,24.67095375061035,,,,0,high_confidence_ks_good,17
131,good,12.9,40.9,good,True,6527,0.3598992889634562,18,0.0027581979773214833,121,122,0.0,520.0,4,31.253549575805664,,,,0,manual_review,18
135,good,18.0,13.2,good,True,139512,7.692702558889183,859,0.006157220577588864,121,122,0.0,520.0,4,9.937776565551758,,,,0,manual_review,19
137,good,3.9,23.1,good,True,189446,10.44606721265067,326,0.0017208160679880705,122,123,0.0,540.0,4,13.755617141723633,,,,0,high_confidence_ks_good,20
149,good,6.0,13.3,good,True,180389,9.946663526402466,466,0.0025833203982526553,123,124,0.0,560.0,4,7.912055969238281,,,,0,high_confidence_ks_good,21
11,mua,38.0,9.6,mua,False,327648,18.06653626938846,6358,0.01940503041382952,98,98,0.0,40.0,4,4.787103176116943,,,,0,manual_review,22
48,mua,30.7,11.8,mua,False,219239,12.088855555854018,2751,0.012548007188534833,10,10,60.0,200.0,1,5.5588507652282715,,,,0,manual_review,23
59,mua,37.2,11.2,mua,False,72978,4.024012610690226,527,0.0072214533346122755,12,12,60.0,240.0,1,5.926216125488281,,,,0,manual_review,24
66,mua,31.0,12.1,mua,False,18854,1.0396110302002455,54,0.002864265634116586,12,12,60.0,240.0,1,6.0186004638671875,,,,0,manual_review,25
83,mua,40.9,10.4,mua,False,253011,13.951046269332467,7177,0.02836646772854828,81,81,180.0,340.0,3,5.942346096038818,,,,0,manual_review,26
125,mua,23.1,12.2,mua,False,26456,1.4587859029902246,87,0.0032886032886032886,120,120,0.0,480.0,4,6.60372257232666,,,,0,manual_review,27
127,mua,33.8,10.6,mua,False,115376,6.3618416368082915,1011,0.00876273022751896,121,122,0.0,520.0,4,8.666816711425781,,,,0,manual_review,28
129,mua,25.7,12.5,mua,False,7380,0.4069337754788274,32,0.004336630979807562,122,123,0.0,540.0,4,7.5676445960998535,,,,0,manual_review,29
