cluster_a,cluster_b,n_spikes_a,n_spikes_b,template_similarity,n_coincident_1lag,expected_by_chance,coincidence_ratio,coincident_frac_of_smaller,flag
47,56,548,218288,0.7092645168304443,300,13.19,22.74,0.5474,strong_merge
43,79,99464,69672,0.06374084204435349,35959,764.23,47.05,0.5161,separate
45,56,582,218288,0.675818920135498,289,14.01,20.63,0.4966,possible_merge
107,140,25505,250282,0.058512527495622635,10919,703.97,15.51,0.4281,separate
55,79,73253,69672,0.13177768886089325,27139,562.83,48.22,0.3895,separate
26,43,62952,99464,0.13686193525791168,21428,690.51,31.03,0.3404,separate
27,43,71609,99464,0.22993957996368408,23785,785.47,30.28,0.3322,separate
55,68,73253,55993,0.09594832360744476,18282,452.33,40.42,0.3265,separate
54,68,63398,55993,0.1598963439464569,17870,391.48,45.65,0.3191,separate
54,79,63398,69672,0.08282969146966934,19510,487.11,40.05,0.3077,separate
44,68,70066,55993,0.08890021592378616,16870,432.65,38.99,0.3013,separate
93,116,4566,220295,0.19706127047538757,1311,110.93,11.82,0.2871,separate
35,55,107608,73253,0.0633007138967514,20000,869.3,23.01,0.273,separate
80,88,16249,511850,0.14251305162906647,4268,917.21,4.65,0.2627,separate
91,106,11403,342956,0.2651442289352417,2898,431.28,6.72,0.2541,separate
34,55,56168,73253,0.09556560963392258,13810,453.74,30.44,0.2459,separate
87,104,432101,159259,0.10551760345697403,38608,7589.04,5.09,0.2424,separate
109,126,2688,235905,0.5953832268714905,650,69.93,9.3,0.2418,possible_merge
35,54,107608,63398,0.10997773706912994,14469,752.35,19.23,0.2282,separate
26,44,62952,70066,0.2560725808143616,13816,486.42,28.4,0.2195,separate
46,56,680,218288,0.7710179686546326,148,16.37,9.04,0.2176,possible_merge
83,87,253011,432101,0.5983594655990601,54277,12056.52,4.5,0.2145,possible_merge
91,115,11403,199902,0.060711730271577835,2443,251.38,9.72,0.2142,separate
27,44,71609,70066,0.141481414437294,14232,553.31,25.72,0.2031,separate
129,137,7380,189446,0.9735449552536011,1488,154.18,9.65,0.2016,possible_merge
43,68,99464,55993,0.054093487560749054,11006,614.18,17.92,0.1966,separate
140,141,250282,249981,0.5838050842285156,48611,6899.76,7.05,0.1945,separate
141,148,249981,16985,0.8476128578186035,3163,468.24,6.76,0.1862,separate
47,48,548,219239,0.3054881989955902,101,13.25,7.62,0.1843,separate
122,141,12206,249981,0.04142278432846069,2239,336.49,6.65,0.1834,separate
87,91,432101,11403,0.4955017864704132,2078,543.38,3.82,0.1822,separate
91,104,11403,159259,0.2597235143184662,2071,200.27,10.34,0.1816,separate
83,88,253011,511850,0.07964031398296356,45519,14281.69,3.19,0.1799,separate
106,108,342956,603,0.26335814595222473,106,22.81,4.65,0.1758,separate
43,54,99464,63398,0.4657895565032959,11140,695.41,16.02,0.1757,separate
106,107,342956,25505,0.1515689641237259,4459,964.63,4.62,0.1748,separate
48,67,219239,149821,0.3502739369869232,25975,3622.33,7.17,0.1734,separate
85,88,116843,511850,0.04191457852721214,20018,6595.42,3.04,0.1713,separate
88,89,511850,27146,0.3270927667617798,4580,1532.31,2.99,0.1687,separate
83,104,253011,159259,0.4614371657371521,26623,4443.66,5.99,0.1672,separate
51,56,1119,218288,0.7659623026847839,186,26.94,6.9,0.1662,separate
126,135,235905,139512,0.1516108363866806,23186,3629.49,6.39,0.1662,separate
81,106,45206,342956,0.19578199088573456,7501,1709.75,4.39,0.1659,separate
130,136,1367,89125,0.7855568528175354,225,13.44,16.75,0.1646,separate
80,83,16249,253011,0.285579651594162,2662,453.38,5.87,0.1638,separate
87,88,432101,511850,0.12558254599571228,69705,24390.76,2.86,0.1613,separate
108,115,603,199902,0.6418681144714355,96,13.29,7.22,0.1592,separate
140,147,250282,19315,0.8768068552017212,3070,533.12,5.76,0.1589,separate
61,74,67705,20725,0.7545437216758728,3290,154.74,21.26,0.1587,separate
121,158,82542,18414,0.0651053786277771,2911,167.62,17.37,0.1581,separate
116,126,220295,235905,0.385588675737381,34817,5731.12,6.08,0.158,separate
48,66,219239,18854,0.2857315242290497,2969,455.85,6.51,0.1575,separate
77,88,27388,511850,0.109273262321949,4308,1545.97,2.79,0.1573,separate
116,135,220295,139512,0.17554312944412231,21819,3389.33,6.44,0.1564,separate
140,148,250282,16985,0.49095419049263,2631,468.81,5.61,0.1549,separate
56,59,218288,72978,0.30009570717811584,11027,1756.79,6.28,0.1511,separate
87,96,432101,95367,0.2550135850906372,14391,4544.44,3.17,0.1509,separate
106,112,342956,2310,0.334439218044281,347,87.37,3.97,0.1502,separate
42,56,69557,218288,0.4062880575656891,10429,1674.43,6.23,0.1499,separate
88,101,511850,272519,0.14917294681072235,39765,15382.85,2.59,0.1459,separate
104,106,159259,342956,0.7539092302322388,23187,6023.37,3.85,0.1456,separate
27,35,71609,107608,0.5271632075309753,10341,849.79,12.17,0.1444,separate
112,115,2310,199902,0.6025707125663757,330,50.92,6.48,0.1429,separate
106,115,342956,199902,0.2626986801624298,28459,7560.54,3.76,0.1424,separate
84,101,36943,272519,0.13719531893730164,5183,1110.26,4.67,0.1403,separate
45,48,582,219239,0.3098723590373993,81,14.07,5.76,0.1392,separate
108,117,603,233872,0.7623142600059509,82,15.55,5.27,0.136,separate
80,87,16249,432101,0.5441476702690125,2180,774.3,2.82,0.1342,separate
33,48,51648,219239,0.23873035609722137,6924,1248.73,5.54,0.1341,separate
42,48,69557,219239,0.6092764139175415,9321,1681.73,5.54,0.134,separate
43,55,99464,73253,0.8049653768539429,9803,803.51,12.2,0.1338,separate
46,67,680,149821,0.5655928254127502,90,11.24,8.01,0.1324,separate
83,106,253011,342956,0.267600953578949,33363,9569.19,3.49,0.1319,separate
141,147,249981,19315,0.49513235688209534,2526,532.47,4.74,0.1308,separate
112,117,2310,233872,0.87601637840271,299,59.58,5.02,0.1294,separate
26,27,62952,71609,0.5842418074607849,8123,497.14,16.34,0.129,separate
88,98,511850,232377,0.6151905059814453,29983,13116.96,2.29,0.129,separate
123,141,33738,249981,0.520477831363678,4327,930.09,4.65,0.1283,separate
123,140,33738,250282,0.9017454981803894,4326,931.21,4.65,0.1282,separate
56,67,218288,149821,0.7793352007865906,19136,3606.62,5.31,0.1277,separate
81,83,45206,253011,0.6160391569137573,5775,1261.34,4.58,0.1277,separate
83,91,253011,11403,0.42623260617256165,1449,318.17,4.55,0.1271,separate
125,126,26456,235905,0.38301584124565125,3338,688.27,4.85,0.1262,separate
137,149,189446,180389,0.8913295269012451,22375,3768.71,5.94,0.124,separate
111,116,19594,220295,0.03352783992886543,2414,476.02,5.07,0.1232,separate
95,97,66477,70455,0.6081559658050537,8170,516.51,15.82,0.1229,separate
121,155,82542,24691,0.03852037712931633,3015,224.76,13.41,0.1221,separate
127,129,115376,7380,0.3839763104915619,898,93.9,9.56,0.1217,separate
81,87,45206,432101,0.6562597155570984,5474,2154.16,2.54,0.1211,separate
95,99,66477,35481,0.060474175959825516,4276,260.11,16.44,0.1205,separate
127,137,115376,189446,0.3666413724422455,13884,2410.45,5.76,0.1203,separate
44,54,70066,63398,0.7826545238494873,7596,489.87,15.51,0.1198,separate
140,153,250282,81316,0.059038031846284866,9665,2244.41,4.31,0.1189,separate
104,115,159259,199902,0.1084258183836937,18799,3510.9,5.35,0.118,separate
130,138,1367,95215,0.847042441368103,161,14.35,11.22,0.1178,separate
59,67,72978,149821,0.3174925446510315,8549,1205.76,7.09,0.1171,separate
129,151,7380,211845,0.4906676411628723,858,172.41,4.98,0.1163,separate
84,88,36943,511850,0.49894773960113525,4273,2085.32,2.05,0.1157,separate
36,48,47247,219239,0.198104590177536,5453,1142.32,4.77,0.1154,separate
68,79,55993,69672,0.5957226753234863,6433,430.22,14.95,0.1149,separate
48,56,219239,218288,0.474579781293869,24979,5277.7,4.73,0.1144,separate
89,101,27146,272519,0.3429253399372101,3089,815.83,3.79,0.1138,separate
51,67,1119,149821,0.5796861052513123,127,18.49,6.87,0.1135,separate
46,48,680,219239,0.29204481840133667,77,16.44,4.68,0.1132,separate
53,61,25121,67705,0.8033020496368408,2809,187.57,14.98,0.1118,separate
26,35,62952,107608,0.8811025619506836,6977,747.05,9.34,0.1108,separate
11,30,327648,38075,0.07530096918344498,4092,1375.77,2.97,0.1075,separate
120,141,28580,249981,0.9138531684875488,3072,787.89,3.9,0.1075,separate
56,66,218288,18854,0.2142680287361145,1997,453.87,4.4,0.1059,separate
47,53,548,25121,0.2466185986995697,57,1.52,37.55,0.104,separate
54,55,63398,73253,0.5929645895957947,6573,512.15,12.83,0.1037,separate
98,110,232377,31035,0.1214170902967453,3193,795.32,4.01,0.1029,separate
81,104,45206,159259,0.25438761711120605,4525,793.96,5.7,0.1001,separate
99,121,35481,82542,0.08971706032752991,3548,322.97,10.99,0.1,separate
93,102,4566,239643,0.6722592711448669,456,120.67,3.78,0.0999,separate
121,122,82542,12206,0.059106502681970596,1217,111.11,10.95,0.0997,separate
127,130,115376,1367,0.6670424342155457,136,17.39,7.82,0.0995,separate
48,51,219239,1119,0.2742339074611664,111,27.05,4.1,0.0992,separate
84,85,36943,116843,0.07346466928720474,3661,476.03,7.69,0.0991,separate
120,140,28580,250282,0.524376392364502,2820,788.84,3.57,0.0987,separate
26,31,62952,15129,0.08255433291196823,1455,105.03,13.85,0.0962,separate
44,55,70066,73253,0.45819783210754395,6735,566.02,11.9,0.0961,separate
106,117,342956,233872,0.619423508644104,22350,8845.33,2.53,0.0956,separate
89,91,27146,11403,0.18305334448814392,1089,34.14,31.9,0.0955,separate
107,115,25505,199902,0.3551322817802429,2419,562.26,4.3,0.0948,separate
91,117,11403,233872,0.1553531438112259,1081,294.1,3.68,0.0948,separate
5,10,39391,416,0.1073383092880249,39,1.81,21.58,0.0938,separate
83,86,253011,29234,0.3760141134262085,2710,815.69,3.32,0.0927,separate
96,106,95367,342956,0.5963398218154907,8826,3606.9,2.45,0.0925,separate
83,96,253011,95367,0.5918311476707458,8718,2660.94,3.28,0.0914,separate
84,98,36943,232377,0.3982471227645874,3343,946.72,3.53,0.0905,separate
86,106,29234,342956,0.055297717452049255,2636,1105.67,2.38,0.0902,separate
