condition,amplitude,frequency,probe,sustained_broadband_mean,sustained_broadband_ci_low,offset_broadband_mean,offset_broadband_ci_low,driven_log2,residual_above_1f_on,itpc,itpc_null_floor,rayleigh_p05,itpc_above_floor,peak_above_1f,interpretation
amp100_freq5,100,5,LEC,0.3958106327056885,-0.3630225138664245,-1.4613547658920287,-3.3811448917388915,0.0505495677676297,-0.0111,0.0868,0.0626,0.1224,True,False,weak/no sustained broadband response; near-zero driven-frequency power; ITPC marginally above floor (not Rayleigh-significant)
amp180_freq5,180,5,LEC,1.6834958219528198,1.138965585708618,0.7645730924606322,-0.972416124343872,-0.0713288325864066,-0.05,0.0692,0.0626,0.1224,True,False,reliable sustained broadband response; near-zero driven-frequency power; ITPC marginally above floor (not Rayleigh-significant)
amp250_freq5,250,5,LEC,0.43325464248657225,-0.121130612373352,0.02444722652435305,-2.3619566597938535,0.0454722696105206,-0.023,0.0808,0.0626,0.1224,True,False,weak/no sustained broadband response; near-zero driven-frequency power; ITPC marginally above floor (not Rayleigh-significant)
amp100_freq10,100,10,LEC,1.765144591331482,0.7638788795471192,2.7616642713546753,0.0449604268074035,-0.07557027112527501,-0.2584,0.0634,0.0626,0.1224,True,False,reliable sustained broadband response; reliable offset/transition response; near-zero driven-frequency power; ITPC marginally above floor (not Rayleigh-significant)
amp180_freq10,180,10,LEC,1.4066416072845458,0.4028597273826599,1.541970820426941,-0.2568544104099273,0.03800344991957155,-0.2257,0.0469,0.0626,0.1224,False,False,reliable sustained broadband response; near-zero driven-frequency power; no phase locking (ITPC at/below chance)
amp250_freq10,250,10,LEC,0.9734393882751464,-0.2775031249523162,0.9314321279525757,-0.5315318708419801,-0.03215782056629405,-0.2772,0.0589,0.0626,0.1224,False,False,weak/no sustained broadband response; near-zero driven-frequency power; no phase locking (ITPC at/below chance)
amp100_freq26,100,26,LEC,0.7119058752059936,0.1362651138305664,0.26233745098114014,-1.7873302209377289,-0.01986002666602115,-0.1747,0.0757,0.0626,0.1224,True,False,reliable sustained broadband response; near-zero driven-frequency power; ITPC marginally above floor (not Rayleigh-significant)
amp180_freq26,180,26,LEC,-0.019638581275939954,-1.516878099679947,-0.33960092067718506,-2.7067631855010985,0.031100446975636197,-0.1313,0.0618,0.0626,0.1224,False,False,weak/no sustained broadband response; near-zero driven-frequency power; no phase locking (ITPC at/below chance)
amp250_freq26,250,26,LEC,0.32114668846130373,-0.3498317704200744,1.1854165410995483,-0.4505917546749114,0.11815578071172769,-0.1002,0.0537,0.0626,0.1224,False,False,weak/no sustained broadband response; positive driven-frequency power trend; no phase locking (ITPC at/below chance)
amp100_freq50,100,50,LEC,0.3845979595184326,-0.4105213108062743,-0.7172217559814452,-2.3837978744506834,0.27885543855527245,0.3538,0.0522,0.0626,0.1224,False,True,weak/no sustained broadband response; narrowband peak above 1/f at driven freq (real oscillation); no phase locking (ITPC at/below chance)
amp180_freq50,180,50,LEC,0.8221196985244751,0.63483806681633,-0.39031548500061025,-1.6226620028018952,0.714353855912832,0.4753,0.0688,0.0626,0.1224,True,True,reliable sustained broadband response; narrowband peak above 1/f at driven freq (real oscillation); ITPC marginally above floor (not Rayleigh-significant)
amp250_freq50,250,50,LEC,1.540169463157654,2.6111727941036222,0.3992164468765258,0.6049078526496887,1.2739830718076988,0.6375,0.0804,0.0626,0.1224,True,True,reliable sustained broadband response; narrowband peak above 1/f at driven freq (real oscillation); ITPC marginally above floor (not Rayleigh-significant)
amp100_freq5,100,5,dHPC,1.0381364631652832,-3.3431001453399656,6.510407047271729,3.3577191972732545,0.05672059221652283,-0.2542,0.0488,0.0626,0.1224,False,False,weak/no sustained broadband response; reliable offset/transition response; near-zero driven-frequency power; no phase locking (ITPC at/below chance)
amp180_freq5,180,5,dHPC,3.2568819618225096,0.0045438299179077,12.452589678764344,3.883968335151672,-0.020933809989242352,-0.2562,0.0605,0.0626,0.1224,False,False,reliable sustained broadband response; reliable offset/transition response; near-zero driven-frequency power; no phase locking (ITPC at/below chance)
amp250_freq5,250,5,dHPC,-2.3565986061096194,-3.655351716995239,2.196156010627747,1.097112386226654,-0.0869535877693146,-0.2487,0.0475,0.0626,0.1224,False,False,weak/no sustained broadband response; reliable offset/transition response; driven-frequency power decrease; no phase locking (ITPC at/below chance)
amp100_freq10,100,10,dHPC,3.97141923904419,0.7667438526153565,3.475670862197876,0.9686160016059876,-0.08673626672325993,0.0033,0.08,0.0626,0.1224,True,False,reliable sustained broadband response; driven-frequency power decrease; ITPC marginally above floor (not Rayleigh-significant)
amp180_freq10,180,10,dHPC,8.050252828598023,4.31230747795105,16.09478591442108,9.339780010223388,0.12663275139549143,0.0295,0.0783,0.0626,0.1224,True,False,reliable sustained broadband response; reliable offset/transition response; positive driven-frequency power trend; ITPC marginally above floor (not Rayleigh-significant)
amp250_freq10,250,10,dHPC,-1.4421341609954832,-3.7250936374664305,4.879305520057678,0.3869194250106811,-0.08360500728486023,-0.0372,0.0641,0.0626,0.1224,True,False,weak/no sustained broadband response; reliable offset/transition response; driven-frequency power decrease; ITPC marginally above floor (not Rayleigh-significant)
amp100_freq26,100,26,dHPC,1.3055112075805664,-1.5669767389297484,7.652218136787415,-0.7247110748291016,-0.054054719335014476,0.006,0.0692,0.0626,0.1224,True,False,weak/no sustained broadband response; near-zero driven-frequency power; ITPC marginally above floor (not Rayleigh-significant)
amp180_freq26,180,26,dHPC,-6.371174774169922,-6.01163219165802,8.566417450904847,1.7020387144088749,-0.1044632113883753,0.02,0.0657,0.0626,0.1224,True,False,weak/no sustained broadband response; reliable offset/transition response; driven-frequency power decrease; ITPC marginally above floor (not Rayleigh-significant)
amp250_freq26,250,26,dHPC,-13.151334018707276,-10.461003540039062,3.2853361320495607,-1.3032303075790406,-0.18665685574407725,0.0529,0.0642,0.0626,0.1224,True,True,weak/no sustained broadband response; driven-frequency power decrease; ITPC marginally above floor (not Rayleigh-significant)
amp100_freq50,100,50,dHPC,-2.974736824035644,-5.308490286827087,11.150442066192626,5.626119912147522,-0.22513718963234494,0.1468,0.0737,0.0626,0.1224,True,True,weak/no sustained broadband response; reliable offset/transition response; driven-frequency power decrease; ITPC marginally above floor (not Rayleigh-significant)
amp180_freq50,180,50,dHPC,-21.322366952896118,-16.671524775505066,-11.582524042129517,-12.571923617362977,-0.26267488044223114,0.182,0.0671,0.0626,0.1224,True,True,weak/no sustained broadband response; driven-frequency power decrease; ITPC marginally above floor (not Rayleigh-significant)
amp250_freq50,250,50,dHPC,-23.836929426193237,-14.667140241622924,-23.33758675098419,-15.207549189090727,-0.1372675839656306,0.1795,0.0543,0.0626,0.1224,False,True,weak/no sustained broadband response; driven-frequency power decrease; no phase locking (ITPC at/below chance)
