trial_number,condition,amplitude,freq,expected_start_time_s,expected_end_time_s,recording_start_time_s,recording_end_time_s,on_time_s,off_time_s
1,amp250_freq10,250,10,900.0,903.0,2786.780025,2789.780025,3.0,3.0
2,amp100_freq10,100,10,906.0,909.0,2792.780025,2795.780025,3.0,3.0
3,amp180_freq26,180,26,912.0,915.0,2798.780025,2801.780025,3.0,3.0
4,amp180_freq10,180,10,918.0,921.0,2804.780025,2807.780025,3.0,3.0
5,amp180_freq5,180,5,924.0,927.0,2810.780025,2813.780025,3.0,3.0
6,amp250_freq26,250,26,930.0,933.0,2816.780025,2819.780025,3.0,3.0
7,amp250_freq26,250,26,936.0,939.0,2822.780025,2825.780025,3.0,3.0
8,amp100_freq5,100,5,942.0,945.0,2828.780025,2831.780025,3.0,3.0
9,amp250_freq5,250,5,948.0,951.0,2834.780025,2837.780025,3.0,3.0
10,amp100_freq5,100,5,954.0,957.0,2840.780025,2843.780025,3.0,3.0
11,amp100_freq26,100,26,960.0,963.0,2846.780025,2849.780025,3.0,3.0
12,amp100_freq5,100,5,966.0,969.0,2852.780025,2855.780025,3.0,3.0
13,amp250_freq50,250,50,972.0,975.0,2858.780025,2861.780025,3.0,3.0
14,amp100_freq10,100,10,978.0,981.0,2864.780025,2867.780025,3.0,3.0
15,amp100_freq26,100,26,984.0,987.0,2870.780025,2873.780025,3.0,3.0
16,amp180_freq10,180,10,990.0,993.0,2876.780025,2879.780025,3.0,3.0
17,amp180_freq10,180,10,996.0,999.0,2882.780025,2885.780025,3.0,3.0
18,amp180_freq10,180,10,1002.0,1005.0,2888.780025,2891.780025,3.0,3.0
19,amp100_freq5,100,5,1008.0,1011.0,2894.780025,2897.780025,3.0,3.0
20,amp250_freq10,250,10,1014.0,1017.0,2900.780025,2903.780025,3.0,3.0
21,amp180_freq10,180,10,1020.0,1023.0,2906.780025,2909.780025,3.0,3.0
22,amp100_freq50,100,50,1026.0,1029.0,2912.780025,2915.780025,3.0,3.0
23,amp100_freq50,100,50,1032.0,1035.0,2918.780025,2921.780025,3.0,3.0
24,amp180_freq5,180,5,1038.0,1041.0,2924.780025,2927.780025,3.0,3.0
25,amp250_freq10,250,10,1044.0,1047.0,2930.780025,2933.780025,3.0,3.0
26,amp100_freq5,100,5,1050.0,1053.0,2936.780025,2939.780025,3.0,3.0
27,amp100_freq10,100,10,1056.0,1059.0,2942.780025,2945.780025,3.0,3.0
28,amp100_freq50,100,50,1062.0,1065.0,2948.780025,2951.780025,3.0,3.0
29,amp180_freq50,180,50,1068.0,1071.0,2954.780025,2957.780025,3.0,3.0
30,amp250_freq10,250,10,1074.0,1077.0,2960.780025,2963.780025,3.0,3.0
31,amp100_freq10,100,10,1080.0,1083.0,2966.780025,2969.780025,3.0,3.0
32,amp250_freq50,250,50,1086.0,1089.0,2972.780025,2975.780025,3.0,3.0
33,amp250_freq26,250,26,1092.0,1095.0,2978.780025,2981.780025,3.0,3.0
34,amp180_freq50,180,50,1098.0,1101.0,2984.780025,2987.780025,3.0,3.0
35,amp180_freq26,180,26,1104.0,1107.0,2990.780025,2993.780025,3.0,3.0
36,amp100_freq10,100,10,1110.0,1113.0,2996.780025,2999.780025,3.0,3.0
37,amp100_freq50,100,50,1116.0,1119.0,3002.780025,3005.780025,3.0,3.0
38,amp180_freq5,180,5,1122.0,1125.0,3008.780025,3011.780025,3.0,3.0
39,amp100_freq26,100,26,1128.0,1131.0,3014.780025,3017.780025,3.0,3.0
40,amp180_freq26,180,26,1134.0,1137.0,3020.780025,3023.780025,3.0,3.0
41,amp100_freq26,100,26,1140.0,1143.0,3026.780025,3029.780025,3.0,3.0
42,amp180_freq10,180,10,1146.0,1149.0,3032.780025,3035.780025,3.0,3.0
