condition,amplitude,frequency,physical_shank,n_channels,driven_log2_power_change,five_hz_log2_power_change,twenty_six_hz_log2_power_change
amp100_freq10,100,10,A_dHPC_0-127,128,-0.0074203046757426545,-0.019686786036795884,-0.0074203046757426545
amp100_freq10,100,10,B_LEC_128-255,128,0.0032708061164083853,-0.10337902020382185,0.0032708061164083853
amp100_freq26,100,26,A_dHPC_0-127,128,-0.09475402828776024,0.01460326665385747,-0.09475402828776024
amp100_freq26,100,26,B_LEC_128-255,128,-0.010027206102472859,-0.018656169723816455,-0.010027206102472859
amp100_freq5,100,5,A_dHPC_0-127,128,0.05357185986570656,0.05357185986570656,-0.17915510921058814
amp100_freq5,100,5,B_LEC_128-255,128,0.039239129911770844,0.039239129911770844,-0.046666200725587914
amp100_freq50,100,50,A_dHPC_0-127,128,-0.3178535792093934,-0.1713821166201739,-0.3178535792093934
amp100_freq50,100,50,B_LEC_128-255,128,-0.0349355064004723,-0.06308004809934546,-0.0349355064004723
amp180_freq10,180,10,A_dHPC_0-127,128,0.049334616278828035,-0.052631662337528196,0.049334616278828035
amp180_freq10,180,10,B_LEC_128-255,128,0.008952423976452333,0.016890265814571825,0.008952423976452333
amp180_freq26,180,26,A_dHPC_0-127,128,-0.0889430654735066,-0.3015583415486519,-0.0889430654735066
amp180_freq26,180,26,B_LEC_128-255,128,0.021729370382152568,-0.006395677766180937,0.021729370382152568
amp180_freq5,180,5,A_dHPC_0-127,128,0.026462835341187922,0.026462835341187922,0.08559227780053624
amp180_freq5,180,5,B_LEC_128-255,128,-0.05819856395443815,-0.05819856395443815,-0.01600926048413469
amp180_freq50,180,50,A_dHPC_0-127,128,-0.11729327549585805,-0.6629074866027201,-0.11729327549585805
amp180_freq50,180,50,B_LEC_128-255,128,0.025027631625294443,-0.14261941745875556,0.025027631625294443
amp250_freq10,250,10,A_dHPC_0-127,128,-0.08230785068977123,0.07715673403776399,-0.08230785068977123
amp250_freq10,250,10,B_LEC_128-255,128,0.003326948077350572,0.010869036313855726,0.003326948077350572
amp250_freq26,250,26,A_dHPC_0-127,128,-0.17830236107674852,-0.3939070124516555,-0.17830236107674852
amp250_freq26,250,26,B_LEC_128-255,128,0.07736599291569549,-0.11929477788662325,0.07736599291569549
amp250_freq5,250,5,A_dHPC_0-127,128,-0.10797476568238275,-0.10797476568238275,-0.12768419506089587
amp250_freq5,250,5,B_LEC_128-255,128,0.03586552261979125,0.03586552261979125,-0.002806547294304929
amp250_freq50,250,50,A_dHPC_0-127,128,0.06404515382553949,-0.7112175651323351,0.06404515382553949
amp250_freq50,250,50,B_LEC_128-255,128,0.04364959166409948,-0.2193055989821426,0.04364959166409948
