session,region,state,event_type,time_s,amplitude_z
dec4,dHPC,baseline,positive_slow_deflection,0.092,2.759545765714725
dec4,dHPC,baseline,negative_slow_deflection,1.004,-2.371924703688477
dec4,dHPC,baseline,positive_slow_deflection,1.312,2.076312475845645
dec4,dHPC,baseline,negative_slow_deflection,1.472,-2.3152029142411097
dec4,dHPC,baseline,positive_slow_deflection,2.248,2.3143856067784685
dec4,dHPC,baseline,negative_slow_deflection,2.528,-1.8854434748498863
dec4,dHPC,baseline,negative_slow_deflection,4.296,-2.8627833371272953
dec4,dHPC,baseline,positive_slow_deflection,4.452,1.5619345273340832
dec4,dHPC,baseline,negative_slow_deflection,5.968,-1.8236827328785086
dec4,dHPC,baseline,negative_slow_deflection,6.292,-1.7254157569338964
dec4,dHPC,baseline,negative_slow_deflection,6.848,-2.290692434996049
dec4,dHPC,baseline,positive_slow_deflection,7.208,1.6535141901164492
dec4,dHPC,baseline,positive_slow_deflection,7.556,1.616071820719229
dec4,dHPC,baseline,negative_slow_deflection,7.736,-1.7750971049375186
dec4,dHPC,baseline,positive_slow_deflection,8.296,1.78245484247483
dec4,dHPC,baseline,negative_slow_deflection,8.476,-2.1972996395197204
dec4,dHPC,baseline,negative_slow_deflection,9.344,-1.7609041258147082
dec4,dHPC,baseline,positive_slow_deflection,9.716,1.5755134964021908
dec4,dHPC,baseline,negative_slow_deflection,10.496,-2.315019696421694
dec4,dHPC,baseline,negative_slow_deflection,11.636,-2.8340406235516467
dec4,dHPC,baseline,negative_slow_deflection,12.168,-2.074746241065892
dec4,dHPC,baseline,positive_slow_deflection,12.412,3.8329595292078804
dec4,dHPC,baseline,negative_slow_deflection,12.584,-2.601563247886655
dec4,dHPC,baseline,positive_slow_deflection,12.724,1.7561162358359643
dec4,dHPC,baseline,negative_slow_deflection,12.868,-3.513122036309292
dec4,dHPC,baseline,positive_slow_deflection,13.024,2.193231572410044
dec4,dHPC,baseline,positive_slow_deflection,15.112,1.7753589825086808
dec4,dHPC,baseline,negative_slow_deflection,15.904,-3.041089779903878
dec4,dHPC,baseline,positive_slow_deflection,16.072,1.7828146076872677
dec4,dHPC,baseline,positive_slow_deflection,16.928,1.5442925686309605
dec4,dHPC,baseline,negative_slow_deflection,17.156,-3.5212026973804593
dec4,dHPC,baseline,positive_slow_deflection,17.9,1.5468180411628696
dec4,dHPC,baseline,negative_slow_deflection,18.196,-2.3920254575192836
dec4,dHPC,baseline,negative_slow_deflection,18.668,-3.299628732586968
dec4,dHPC,baseline,positive_slow_deflection,19.212,3.0478899601904166
dec4,dHPC,baseline,negative_slow_deflection,19.664,-3.5093304911930274
dec4,dHPC,baseline,negative_slow_deflection,20.232,-1.7722541021370464
dec4,dHPC,baseline,positive_slow_deflection,20.584,1.5936452090009448
dec4,dHPC,baseline,positive_slow_deflection,20.832,2.5811753407431044
dec4,dHPC,baseline,negative_slow_deflection,21.056,-2.8589414421266994
dec4,dHPC,baseline,positive_slow_deflection,21.632,1.7112153676958566
dec4,dHPC,baseline,positive_slow_deflection,24.304,1.9472974506553773
dec4,dHPC,baseline,negative_slow_deflection,24.456,-2.4497570113183227
dec4,dHPC,baseline,negative_slow_deflection,25.084,-1.7113788703495991
dec4,dHPC,baseline,positive_slow_deflection,25.464,2.4351148626187826
dec4,dHPC,baseline,negative_slow_deflection,25.992,-3.7852916043310634
