session,region,state,freq_hz,psd
dec4,dHPC,baseline,0.0,496.81317
dec4,dHPC,baseline,0.0625,1167.7036
dec4,dHPC,baseline,0.125,2250.9941
dec4,dHPC,baseline,0.1875,5606.208
dec4,dHPC,baseline,0.25,14147.082
dec4,dHPC,baseline,0.3125,23777.395
dec4,dHPC,baseline,0.375,26333.77
dec4,dHPC,baseline,0.4375,30009.361
dec4,dHPC,baseline,0.5,34938.188
dec4,dHPC,baseline,0.5625,43245.41
dec4,dHPC,baseline,0.625,49368.83
dec4,dHPC,baseline,0.6875,55410.133
dec4,dHPC,baseline,0.75,68149.84
dec4,dHPC,baseline,0.8125,75766.875
dec4,dHPC,baseline,0.875,73451.41
dec4,dHPC,baseline,0.9375,55630.273
dec4,dHPC,baseline,1.0,75036.04
dec4,dHPC,baseline,1.0625,84165.12
dec4,dHPC,baseline,1.125,59792.59
dec4,dHPC,baseline,1.1875,70709.98
dec4,dHPC,baseline,1.25,78542.086
dec4,dHPC,baseline,1.3125,80762.0
dec4,dHPC,baseline,1.375,81268.086
dec4,dHPC,baseline,1.4375,88396.95
dec4,dHPC,baseline,1.5,68013.61
dec4,dHPC,baseline,1.5625,68790.5
dec4,dHPC,baseline,1.625,71478.94
dec4,dHPC,baseline,1.6875,76939.35
dec4,dHPC,baseline,1.75,84964.59
dec4,dHPC,baseline,1.8125,80294.336
dec4,dHPC,baseline,1.875,64710.54
dec4,dHPC,baseline,1.9375,58242.258
dec4,dHPC,baseline,2.0,69290.984
dec4,dHPC,baseline,2.0625,69694.71
dec4,dHPC,baseline,2.125,66467.586
dec4,dHPC,baseline,2.1875,78085.11
dec4,dHPC,baseline,2.25,81860.055
dec4,dHPC,baseline,2.3125,66766.805
dec4,dHPC,baseline,2.375,69965.98
dec4,dHPC,baseline,2.4375,59609.42
dec4,dHPC,baseline,2.5,62377.734
dec4,dHPC,baseline,2.5625,71177.93
dec4,dHPC,baseline,2.625,70372.086
dec4,dHPC,baseline,2.6875,77707.38
dec4,dHPC,baseline,2.75,79586.36
dec4,dHPC,baseline,2.8125,80116.5
dec4,dHPC,baseline,2.875,77518.58
dec4,dHPC,baseline,2.9375,67548.88
dec4,dHPC,baseline,3.0,71914.03
dec4,dHPC,baseline,3.0625,72149.92
dec4,dHPC,baseline,3.125,77201.04
