trial_number,condition,amplitude,frequency,recording_start_time_s,movement
1,amp250_freq10,250,10,2786.780025,59.092906786519094
2,amp100_freq10,100,10,2792.780025,58.437208135456274
3,amp180_freq26,180,26,2798.780025,53.86367789582559
4,amp180_freq10,180,10,2804.780025,54.15952219666889
5,amp180_freq5,180,5,2810.780025,45.928707324855246
6,amp250_freq26,250,26,2816.780025,46.00928699398714
7,amp250_freq26,250,26,2822.780025,43.26518471528175
8,amp100_freq5,100,5,2828.780025,97.79506620958098
9,amp250_freq5,250,5,2834.780025,48.93323855831141
10,amp100_freq5,100,5,2840.780025,56.02930716290016
11,amp100_freq26,100,26,2846.780025,46.97354636344003
12,amp100_freq5,100,5,2852.780025,47.61955480306614
13,amp250_freq50,250,50,2858.780025,49.038843368259776
14,amp100_freq10,100,10,2864.780025,44.3554525641371
15,amp100_freq26,100,26,2870.780025,55.17033247123994
16,amp180_freq10,180,10,2876.780025,48.96390204882142
17,amp180_freq10,180,10,2882.780025,153.5558728875266
18,amp180_freq10,180,10,2888.780025,198.40582713226635
19,amp100_freq5,100,5,2894.780025,68.44442716242949
20,amp250_freq10,250,10,2900.780025,131.65097404532628
21,amp180_freq10,180,10,2906.780025,42.706637752130746
22,amp100_freq50,100,50,2912.780025,46.637870069005
23,amp100_freq50,100,50,2918.780025,80.97056036163728
24,amp180_freq5,180,5,2924.780025,51.32890161284466
25,amp250_freq10,250,10,2930.780025,119.70083350194369
26,amp100_freq5,100,5,2936.780025,43.545681711282114
27,amp100_freq10,100,10,2942.780025,52.2314875078778
28,amp100_freq50,100,50,2948.780025,51.461711630136314
29,amp180_freq50,180,50,2954.780025,52.88366130200718
30,amp250_freq10,250,10,2960.780025,56.12612036549895
31,amp100_freq10,100,10,2966.780025,55.24632154596954
32,amp250_freq50,250,50,2972.780025,50.74977003456386
33,amp250_freq26,250,26,2978.780025,53.9543954383847
34,amp180_freq50,180,50,2984.780025,46.65291062264217
35,amp180_freq26,180,26,2990.780025,47.526659059734236
36,amp100_freq10,100,10,2996.780025,49.70522991587305
37,amp100_freq50,100,50,3002.780025,56.51782363329566
38,amp180_freq5,180,5,3008.780025,50.137094483482024
39,amp100_freq26,100,26,3014.780025,50.11481455225016
40,amp180_freq26,180,26,3020.780025,48.44480481249786
41,amp100_freq26,100,26,3026.780025,119.72315500968095
42,amp180_freq10,180,10,3032.780025,43.67726731199839
43,amp100_freq5,100,5,3038.780025,44.01266958921352
44,amp250_freq10,250,10,3044.780025,51.045045797699736
45,amp100_freq5,100,5,3050.780025,57.49104277847938
46,amp100_freq10,100,10,3056.780025,51.521606456132425
47,amp250_freq10,250,10,3062.780025,57.39188930836006
48,amp100_freq26,100,26,3068.780025,49.5910474896168
49,amp100_freq10,100,10,3074.780025,151.80512214030125
50,amp100_freq5,100,5,3080.780025,50.38272423740067
51,amp100_freq10,100,10,3086.780025,59.8965379932512
52,amp250_freq26,250,26,3092.780025,53.02028824874894
53,amp180_freq50,180,50,3098.780025,54.433984955749274
54,amp100_freq50,100,50,3104.780025,51.681646297070095
55,amp250_freq5,250,5,3110.780025,47.78907091065327
56,amp180_freq26,180,26,3116.780025,49.90123415726388
57,amp250_freq50,250,50,3122.780025,52.72379795878039
58,amp100_freq26,100,26,3128.780025,46.71676561571555
59,amp100_freq5,100,5,3134.780025,50.629443809276225
60,amp180_freq50,180,50,3140.780025,45.117111323802156
61,amp100_freq26,100,26,3146.780025,53.045124984253256
62,amp180_freq50,180,50,3152.780025,52.09005419006984
63,amp100_freq10,100,10,3158.780025,51.50381827054046
64,amp100_freq10,100,10,3164.780025,49.27487599928585
65,amp100_freq10,100,10,3170.780025,46.857833814022186
66,amp180_freq5,180,5,3176.780025,48.47538832397105
67,amp180_freq10,180,10,3182.780025,46.74771524051373
68,amp180_freq26,180,26,3188.780025,51.54164824084716
69,amp250_freq50,250,50,3194.780025,51.50816131111334
70,amp250_freq10,250,10,3200.780025,47.3875858363774
71,amp180_freq5,180,5,3206.780025,52.253855651041064
72,amp250_freq50,250,50,3212.780025,45.366212245321435
73,amp180_freq5,180,5,3218.780025,114.90891007196126
74,amp180_freq10,180,10,3224.780025,46.368428042535456
75,amp100_freq50,100,50,3230.780025,47.88269051807052
76,amp180_freq50,180,50,3236.780025,52.76992202602465
77,amp100_freq26,100,26,3242.780025,50.770756423166695
78,amp180_freq5,180,5,3248.780025,49.35359179761755
79,amp180_freq5,180,5,3254.780025,47.63992461765538
80,amp100_freq10,100,10,3260.780025,51.096016225650914
81,amp250_freq10,250,10,3266.780025,48.98865328225284
82,amp180_freq26,180,26,3272.780025,54.14971941845291
83,amp180_freq5,180,5,3278.780025,50.102278450873506
84,amp180_freq10,180,10,3284.780025,52.79568398335126
85,amp180_freq50,180,50,3290.780025,50.415274992048964
86,amp180_freq10,180,10,3296.780025,56.78184183023378
87,amp250_freq26,250,26,3302.780025,48.99046828698529
88,amp100_freq26,100,26,3308.780025,49.649348264233744
89,amp100_freq10,100,10,3314.780025,44.033256671834245
90,amp100_freq26,100,26,3320.780025,51.69162675847918
91,amp250_freq5,250,5,3326.780025,47.060112763256576
92,amp180_freq26,180,26,3332.780025,52.26960679550668
93,amp100_freq10,100,10,3338.780025,43.606830511953454
94,amp250_freq50,250,50,3344.780025,61.70706172853988
95,amp250_freq10,250,10,3350.780025,81.04756921928397
96,amp100_freq26,100,26,3356.780025,53.41845535499557
97,amp100_freq5,100,5,3362.780025,46.189272129918066
98,amp250_freq26,250,26,3368.780025,43.585119355290196
99,amp100_freq26,100,26,3374.780025,49.1965236827791
100,amp100_freq50,100,50,3380.780025,50.53151500606331
101,amp250_freq26,250,26,3386.780025,45.89953198446845
102,amp250_freq5,250,5,3392.780025,49.96965144481094
103,amp250_freq10,250,10,3398.780025,49.59112412408783
104,amp100_freq50,100,50,3404.780025,49.16802838243041
105,amp100_freq5,100,5,3410.780025,44.08489074891128
106,amp250_freq26,250,26,3416.780025,44.16569557439479
107,amp180_freq50,180,50,3422.780025,70.44610745216289
108,amp180_freq26,180,26,3428.780025,64.85037115507461
109,amp250_freq26,250,26,3434.780025,46.478321977845894
110,amp180_freq5,180,5,3440.780025,48.69743387930755
111,amp100_freq5,100,5,3446.780025,47.8194438016126
112,amp180_freq5,180,5,3452.780025,84.5457080889985
113,amp180_freq5,180,5,3458.780025,47.05604470560164
114,amp250_freq26,250,26,3464.780025,51.609726534156934
115,amp180_freq10,180,10,3470.780025,56.13219901377076
116,amp180_freq10,180,10,3476.780025,51.6634476747658
117,amp180_freq5,180,5,3482.780025,43.97861874963989
118,amp180_freq26,180,26,3488.780025,40.56039084020391
119,amp180_freq5,180,5,3494.780025,46.676581803029556
120,amp180_freq50,180,50,3500.780025,47.27497825197906
121,amp100_freq5,100,5,3506.780025,42.552918013233906
122,amp100_freq10,100,10,3512.780025,45.84370738817498
123,amp250_freq10,250,10,3518.780025,46.78751245687727
124,amp100_freq50,100,50,3524.780025,48.927854032699145
125,amp250_freq10,250,10,3530.780025,51.33038829142526
126,amp250_freq5,250,5,3536.780025,46.4971894889388
127,amp250_freq26,250,26,3542.780025,45.11774232807871
128,amp100_freq50,100,50,3548.780025,47.79146355119019
129,amp100_freq26,100,26,3554.780025,51.48633589263692
130,amp180_freq50,180,50,3560.780025,44.809461008079616
131,amp100_freq5,100,5,3566.780025,113.7116201356277
132,amp250_freq5,250,5,3572.780025,44.220467463512364
133,amp250_freq5,250,5,3578.780025,47.96449167008152
134,amp100_freq50,100,50,3584.780025,60.36605542354291
135,amp180_freq10,180,10,3590.780025,49.974069020052276
136,amp100_freq10,100,10,3596.780025,49.475386819294044
137,amp100_freq26,100,26,3602.780025,48.999793546403204
138,amp180_freq26,180,26,3608.780025,89.61239397074941
139,amp100_freq5,100,5,3614.780025,49.83130983293472
140,amp180_freq5,180,5,3620.780025,45.205694249212925
141,amp250_freq5,250,5,3626.780025,86.87543739729773
142,amp180_freq5,180,5,3632.780025,69.02158527911452
143,amp250_freq5,250,5,3638.780025,56.331384388512426
144,amp100_freq50,100,50,3644.780025,52.73803002053883
145,amp250_freq26,250,26,3650.780025,54.200137219040435
146,amp100_freq50,100,50,3656.780025,47.370426962068535
147,amp100_freq26,100,26,3662.780025,49.87246973500025
148,amp180_freq5,180,5,3668.780025,44.3595834982462
149,amp180_freq10,180,10,3674.780025,53.0491832969861
150,amp100_freq26,100,26,3680.780025,49.19894116376823
151,amp250_freq5,250,5,3686.780025,54.99923806333726
152,amp250_freq10,250,10,3692.780025,51.87124979727225
153,amp180_freq5,180,5,3698.780025,50.03910984849475
154,amp100_freq5,100,5,3704.780025,46.27572916238495
155,amp250_freq26,250,26,3710.780025,54.69550380096638
156,amp100_freq5,100,5,3716.780025,50.68390865993455
157,amp180_freq10,180,10,3722.780025,49.06043426375827
158,amp180_freq50,180,50,3728.780025,49.59662803799035
159,amp100_freq50,100,50,3734.780025,45.91453619050624
160,amp100_freq5,100,5,3740.780025,78.03779891878116
161,amp180_freq5,180,5,3746.780025,102.94729418897438
162,amp180_freq26,180,26,3752.780025,77.2483519004004
163,amp250_freq5,250,5,3758.780025,126.42530343215378
