condition,probe,frequency,driven_full,driven_movement_excluded,n_full,n_kept
amp100_freq10,LEC,10,-0.12726293114267564,-0.16799024214183567,200,167
amp100_freq10,dHPC,10,-0.10236500199808109,0.0020057053174170753,200,167
amp100_freq26,LEC,26,0.010791032835884971,-0.013648821948010106,200,164
amp100_freq26,dHPC,26,-0.04832986675115256,-0.05665807424268172,200,164
amp100_freq5,LEC,5,0.08062335715585192,-0.022189470073743802,200,164
amp100_freq5,dHPC,5,0.05808499501691308,0.05297740977943652,200,164
amp100_freq50,LEC,50,0.16605776062466768,0.08817770269203108,200,154
amp100_freq50,dHPC,50,-0.18668349074686894,-0.22730977444289918,200,154
amp180_freq10,LEC,10,-0.012695962333884404,-0.039646618515936406,200,172
amp180_freq10,dHPC,10,0.16906237890266315,0.21892235683421465,200,172
amp180_freq26,LEC,26,0.0223568389781515,0.0010407381913892437,200,152
amp180_freq26,dHPC,26,-0.05053495055015909,-0.07953120786726818,200,152
amp180_freq5,LEC,5,-0.026646820678095,-0.1415770714968998,200,154
amp180_freq5,dHPC,5,-0.049073719428062115,-0.0420896138515789,200,154
amp180_freq50,LEC,50,0.28253139228629814,0.15018975276777527,200,121
amp180_freq50,dHPC,50,-0.3209288675936316,-0.42175518374087884,200,121
amp250_freq10,LEC,10,0.010164971582304354,-0.08632680162648826,200,153
amp250_freq10,dHPC,10,-8.484285970391525e-05,0.04749991674247067,200,153
amp250_freq26,LEC,26,0.14116846710049294,0.09883074807372369,200,163
amp250_freq26,dHPC,26,-0.2769686217426866,-0.3684474015052033,200,163
amp250_freq5,LEC,5,0.02978529391219705,-0.006801018608964769,200,164
amp250_freq5,dHPC,5,-0.02624575109203139,0.027701929120781458,200,164
amp250_freq50,LEC,50,0.6220154646675959,0.37897609958337775,200,72
amp250_freq50,dHPC,50,-0.20419311150662778,-0.45511611567204585,200,72
