condition,amplitude,frequency,n_trials,on_delta_mean,on_delta_ci_low,on_delta_ci_high,off_delta_mean,off_delta_ci_low,off_delta_ci_high,on_minus_off_mean,on_minus_off_ci_low,on_minus_off_ci_high
amp100_freq5,100,5,200,0.8240278530120848,-2.598106693108877,4.4248999001185085,0.5748483832677208,-3.374074048439662,4.538737388849258,0.24917946974436447,-2.8939906673828766,3.3812417015631957
amp180_freq5,180,5,200,2.7324199151992796,-0.6040925790866218,5.9105558177630035,3.108562502861023,-0.6346378458340961,6.794250069777169,-0.37614258766174286,-3.2969791804949447,2.6210174025694526
amp250_freq5,250,5,200,-1.4266475232442222,-5.196585622588794,2.342339023590088,-0.49935438950856537,-4.548773256977399,3.2856182806491847,-0.9272931337356567,-3.537286375522614,1.8076616520881639
amp100_freq10,100,10,200,3.235994356473287,-0.03179315149784064,6.45114483944575,4.3472427034378045,0.8824223246574404,7.957967475215592,-1.1112483469645185,-3.896755695740382,1.5944536564350114
amp180_freq10,180,10,200,5.835715754826864,2.0006586934328077,9.58668158094088,5.723168722788493,1.6050392640034365,9.46005143594741,0.11254703203837078,-2.8217089731693275,2.938282116095219
amp250_freq10,250,10,200,-0.6369429779052729,-3.8367631787459064,2.669459497531255,-1.9844169457753496,-5.548682534217835,1.6395515104134857,1.347473967870077,-1.6607295298576357,3.96302032693227
amp100_freq26,100,26,200,1.107642763455709,-2.555887525637945,4.616907476782795,2.648410232861836,-1.0776185270945235,6.253197430332501,-1.540767469406128,-4.4821630022525785,1.2513330317338296
amp180_freq26,180,26,200,-4.2539960432052615,-7.3943700822591785,-1.1348106361627583,-0.03370680809021025,-3.182486028790474,3.1953048385779046,-4.220289235115051,-6.523008082667986,-1.8308008623520546
amp250_freq26,250,26,200,-8.66050711631775,-12.2598462600708,-5.091081932902336,0.5464058272043857,-3.22879380496343,4.417797119259834,-9.206912943522134,-11.44542290218671,-6.979415059487026
amp100_freq50,100,50,200,-1.854958562850952,-5.103140418569247,1.3365639502604765,7.025279630025227,3.382146887461344,10.550956099947292,-8.880238192876181,-11.593217825253806,-6.2186372572580995
amp180_freq50,180,50,200,-13.940871402422585,-17.362312392115594,-10.257291355411214,-4.204326678911845,-7.8638601572513585,-0.5988242862621947,-9.736544723510741,-12.173949114561081,-7.456202664534253
amp250_freq50,250,50,200,-15.377896463076272,-18.50612700486183,-12.373640008727714,-4.360984034538268,-8.163214791178703,-0.6939642168680854,-11.016912428538003,-13.316944863716762,-8.682195483406383
