trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,pre_abs,on_abs,off_abs,on_delta,off_delta,on_minus_off
1,amp250_freq10,250,10,A_dHPC_0-31,32,238.6698760986328,167.6427001953125,155.45339965820312,-71.02717590332031,-83.21647644042969,12.189300537109375
1,amp250_freq10,250,10,A_dHPC_32-63,32,226.29006958007812,154.22250366210938,160.66000366210938,-72.06756591796875,-65.63006591796875,-6.4375
1,amp250_freq10,250,10,A_dHPC_64-95,32,168.3223114013672,160.6809844970703,139.96633911132812,-7.641326904296875,-28.355972290039062,20.714645385742188
1,amp250_freq10,250,10,A_dHPC_96-127,31,139.79212951660156,110.6198501586914,115.16414642333984,-29.172279357910156,-24.62798309326172,-4.5442962646484375
1,amp250_freq10,250,10,B_LEC_128-191,51,88.01063537597656,75.03614807128906,81.18533325195312,-12.9744873046875,-6.8253021240234375,-6.1491851806640625
1,amp250_freq10,250,10,B_LEC_192-255,32,47.62874984741211,46.32877731323242,44.42286682128906,-1.2999725341796875,-3.205883026123047,1.9059104919433594
2,amp100_freq10,100,10,A_dHPC_0-31,32,145.45391845703125,175.73678588867188,197.53839111328125,30.282867431640625,52.08447265625,-21.801605224609375
2,amp100_freq10,100,10,A_dHPC_32-63,32,141.5272979736328,176.19949340820312,176.65626525878906,34.67219543457031,35.12896728515625,-0.4567718505859375
2,amp100_freq10,100,10,A_dHPC_64-95,32,137.4395294189453,160.14993286132812,188.4791259765625,22.710403442382812,51.03959655761719,-28.329193115234375
2,amp100_freq10,100,10,A_dHPC_96-127,31,116.1493148803711,108.98283386230469,114.72130584716797,-7.166481018066406,-1.428009033203125,-5.738471984863281
2,amp100_freq10,100,10,B_LEC_128-191,51,82.65718841552734,77.20817565917969,81.48229217529297,-5.449012756347656,-1.174896240234375,-4.274116516113281
2,amp100_freq10,100,10,B_LEC_192-255,32,56.0639762878418,48.82518768310547,44.85635757446289,-7.238788604736328,-11.207618713378906,3.968830108642578
3,amp180_freq26,180,26,A_dHPC_0-31,32,180.0835723876953,185.73785400390625,201.94664001464844,5.6542816162109375,21.863067626953125,-16.208786010742188
3,amp180_freq26,180,26,A_dHPC_32-63,32,158.5084686279297,188.88821411132812,199.08200073242188,30.379745483398438,40.57353210449219,-10.19378662109375
3,amp180_freq26,180,26,A_dHPC_64-95,32,166.28245544433594,164.16671752929688,179.2017364501953,-2.1157379150390625,12.919281005859375,-15.035018920898438
3,amp180_freq26,180,26,A_dHPC_96-127,31,106.9896240234375,106.21708679199219,137.5052947998047,-0.7725372314453125,30.515670776367188,-31.2882080078125
3,amp180_freq26,180,26,B_LEC_128-191,51,69.9974136352539,86.4415512084961,84.88754272460938,16.444137573242188,14.890129089355469,1.5540084838867188
3,amp180_freq26,180,26,B_LEC_192-255,32,36.635475158691406,45.341766357421875,40.844276428222656,8.706291198730469,4.20880126953125,4.497489929199219
4,amp180_freq10,180,10,A_dHPC_0-31,32,237.4134979248047,190.11941528320312,187.50807189941406,-47.29408264160156,-49.905426025390625,2.6113433837890625
4,amp180_freq10,180,10,A_dHPC_32-63,32,206.53977966308594,183.69674682617188,167.00857543945312,-22.843032836914062,-39.53120422363281,16.68817138671875
4,amp180_freq10,180,10,A_dHPC_64-95,32,196.29110717773438,178.31048583984375,162.8944854736328,-17.980621337890625,-33.39662170410156,15.416000366210938
4,amp180_freq10,180,10,A_dHPC_96-127,31,170.2725067138672,114.17162322998047,95.4692153930664,-56.10088348388672,-74.80329132080078,18.702407836914062
4,amp180_freq10,180,10,B_LEC_128-191,51,70.41072845458984,70.7961196899414,69.31880187988281,0.3853912353515625,-1.0919265747070312,1.4773178100585938
4,amp180_freq10,180,10,B_LEC_192-255,32,38.77510070800781,38.01526641845703,41.75363540649414,-0.7598342895507812,2.978534698486328,-3.7383689880371094
5,amp180_freq5,180,5,A_dHPC_0-31,32,196.31344604492188,187.29232788085938,164.92596435546875,-9.0211181640625,-31.387481689453125,22.366363525390625
5,amp180_freq5,180,5,A_dHPC_32-63,32,141.346923828125,169.3917999267578,140.7096405029297,28.044876098632812,-0.6372833251953125,28.682159423828125
5,amp180_freq5,180,5,A_dHPC_64-95,32,166.63717651367188,156.7123565673828,139.7817840576172,-9.924819946289062,-26.855392456054688,16.930572509765625
5,amp180_freq5,180,5,A_dHPC_96-127,31,98.71723937988281,112.73333740234375,107.3027572631836,14.016098022460938,8.585517883300781,5.430580139160156
5,amp180_freq5,180,5,B_LEC_128-191,51,70.4750747680664,74.43798828125,79.23231506347656,3.9629135131835938,8.757240295410156,-4.7943267822265625
5,amp180_freq5,180,5,B_LEC_192-255,32,54.11738586425781,35.70484924316406,39.94630813598633,-18.41253662109375,-14.171077728271484,-4.241458892822266
6,amp250_freq26,250,26,A_dHPC_0-31,32,172.3573760986328,152.26649475097656,170.36346435546875,-20.09088134765625,-1.9939117431640625,-18.096969604492188
6,amp250_freq26,250,26,A_dHPC_32-63,32,133.49705505371094,149.80487060546875,145.46189880371094,16.307815551757812,11.96484375,4.3429718017578125
6,amp250_freq26,250,26,A_dHPC_64-95,32,134.1977081298828,146.449462890625,145.52870178222656,12.251754760742188,11.33099365234375,0.9207611083984375
6,amp250_freq26,250,26,A_dHPC_96-127,31,106.91024017333984,123.40235900878906,102.33037567138672,16.49211883544922,-4.579864501953125,21.071983337402344
6,amp250_freq26,250,26,B_LEC_128-191,51,85.26212310791016,78.66561889648438,80.62097930908203,-6.596504211425781,-4.641143798828125,-1.9553604125976562
6,amp250_freq26,250,26,B_LEC_192-255,32,37.120513916015625,41.54522705078125,40.97710418701172,4.424713134765625,3.8565902709960938,0.5681228637695312
7,amp250_freq26,250,26,A_dHPC_0-31,32,179.9522705078125,187.3053741455078,223.0323028564453,7.3531036376953125,43.08003234863281,-35.7269287109375
7,amp250_freq26,250,26,A_dHPC_32-63,32,139.995849609375,193.02293395996094,225.2409210205078,53.02708435058594,85.24507141113281,-32.217987060546875
7,amp250_freq26,250,26,A_dHPC_64-95,32,157.7992706298828,170.43504333496094,211.77879333496094,12.635772705078125,53.979522705078125,-41.34375
7,amp250_freq26,250,26,A_dHPC_96-127,31,112.42387390136719,107.30294799804688,143.7371826171875,-5.1209259033203125,31.313308715820312,-36.434234619140625
7,amp250_freq26,250,26,B_LEC_128-191,51,87.54078674316406,81.52395629882812,77.8126449584961,-6.0168304443359375,-9.728141784667969,3.7113113403320312
7,amp250_freq26,250,26,B_LEC_192-255,32,49.21440124511719,38.96686553955078,49.23081970214844,-10.247535705566406,0.01641845703125,-10.263954162597656
8,amp100_freq5,100,5,A_dHPC_0-31,32,194.62559509277344,172.0304718017578,168.1859130859375,-22.595123291015625,-26.439682006835938,3.8445587158203125
8,amp100_freq5,100,5,A_dHPC_32-63,32,174.2805938720703,156.14158630371094,164.82958984375,-18.139007568359375,-9.451004028320312,-8.688003540039062
8,amp100_freq5,100,5,A_dHPC_64-95,32,131.12847900390625,139.75074768066406,143.63796997070312,8.622268676757812,12.509490966796875,-3.8872222900390625
8,amp100_freq5,100,5,A_dHPC_96-127,31,116.15303802490234,97.16389465332031,118.0860366821289,-18.98914337158203,1.9329986572265625,-20.922142028808594
8,amp100_freq5,100,5,B_LEC_128-191,51,77.05258178710938,74.65374755859375,86.99649810791016,-2.398834228515625,9.943916320800781,-12.342750549316406
8,amp100_freq5,100,5,B_LEC_192-255,32,52.928749084472656,50.22740936279297,48.2091178894043,-2.7013397216796875,-4.719631195068359,2.018291473388672
9,amp250_freq5,250,5,A_dHPC_0-31,32,184.30157470703125,201.57949829101562,224.67327880859375,17.277923583984375,40.3717041015625,-23.093780517578125
9,amp250_freq5,250,5,A_dHPC_32-63,32,215.78594970703125,205.80320739746094,241.60971069335938,-9.982742309570312,25.823760986328125,-35.80650329589844
9,amp250_freq5,250,5,A_dHPC_64-95,32,142.22265625,172.08041381835938,184.34812927246094,29.857757568359375,42.12547302246094,-12.267715454101562
9,amp250_freq5,250,5,A_dHPC_96-127,31,129.7447967529297,117.54637145996094,137.8806915283203,-12.19842529296875,8.135894775390625,-20.334320068359375
9,amp250_freq5,250,5,B_LEC_128-191,51,80.63604736328125,76.72211456298828,75.96659851074219,-3.9139328002929688,-4.6694488525390625,0.7555160522460938
9,amp250_freq5,250,5,B_LEC_192-255,32,45.33720016479492,41.489662170410156,58.06353759765625,-3.8475379943847656,12.726337432861328,-16.573875427246094
10,amp100_freq5,100,5,A_dHPC_0-31,32,222.16380310058594,215.23785400390625,219.42095947265625,-6.9259490966796875,-2.7428436279296875,-4.18310546875
10,amp100_freq5,100,5,A_dHPC_32-63,32,260.7511901855469,197.44424438476562,200.28396606445312,-63.30694580078125,-60.46722412109375,-2.8397216796875
10,amp100_freq5,100,5,A_dHPC_64-95,32,191.38497924804688,183.0663604736328,163.58314514160156,-8.318618774414062,-27.801834106445312,19.48321533203125
10,amp100_freq5,100,5,A_dHPC_96-127,31,133.59861755371094,134.6343994140625,127.1344223022461,1.0357818603515625,-6.464195251464844,7.499977111816406
10,amp100_freq5,100,5,B_LEC_128-191,51,83.0580062866211,73.93588256835938,84.90001678466797,-9.122123718261719,1.842010498046875,-10.964134216308594
10,amp100_freq5,100,5,B_LEC_192-255,32,69.64058685302734,41.96418380737305,39.420440673828125,-27.676403045654297,-30.22014617919922,2.543743133544922
11,amp100_freq26,100,26,A_dHPC_0-31,32,243.58145141601562,184.84629821777344,169.65635681152344,-58.73515319824219,-73.92509460449219,15.18994140625
11,amp100_freq26,100,26,A_dHPC_32-63,32,203.6656494140625,168.63430786132812,159.22311401367188,-35.031341552734375,-44.442535400390625,9.41119384765625
11,amp100_freq26,100,26,A_dHPC_64-95,32,192.8710174560547,157.49075317382812,125.58895874023438,-35.38026428222656,-67.28205871582031,31.90179443359375
11,amp100_freq26,100,26,A_dHPC_96-127,31,128.22019958496094,117.21920013427734,106.47494506835938,-11.000999450683594,-21.745254516601562,10.744255065917969
11,amp100_freq26,100,26,B_LEC_128-191,51,75.35759735107422,72.62667083740234,81.92338562011719,-2.730926513671875,6.565788269042969,-9.296714782714844
11,amp100_freq26,100,26,B_LEC_192-255,32,36.74177551269531,57.17997360229492,50.84342956542969,20.43819808959961,14.101654052734375,6.336544036865234
12,amp100_freq5,100,5,A_dHPC_0-31,32,166.1990509033203,192.6265411376953,169.4147491455078,26.427490234375,3.2156982421875,23.2117919921875
12,amp100_freq5,100,5,A_dHPC_32-63,32,148.68890380859375,208.58120727539062,185.14788818359375,59.892303466796875,36.458984375,23.433319091796875
12,amp100_freq5,100,5,A_dHPC_64-95,32,103.74030303955078,175.13824462890625,155.60299682617188,71.39794158935547,51.862693786621094,19.535247802734375
12,amp100_freq5,100,5,A_dHPC_96-127,31,98.55290985107422,117.70044708251953,121.17405700683594,19.147537231445312,22.62114715576172,-3.4736099243164062
12,amp100_freq5,100,5,B_LEC_128-191,51,89.83954620361328,89.95904541015625,74.1612319946289,0.11949920654296875,-15.678314208984375,15.797813415527344
12,amp100_freq5,100,5,B_LEC_192-255,32,52.34926223754883,47.85103225708008,47.356239318847656,-4.49822998046875,-4.993022918701172,0.4947929382324219
