condition,amplitude,frequency,analysis_group,reference_mode,n_trials,pre_plv,sustained_plv,offset_plv,sustained_minus_pre_plv,sustained_mean_phase_rad
amp100_freq5,100,5,A_dHPC_0-31,analysis_group_median,200,0.04239266322522542,0.04868948128916287,0.04559207465704878,0.006296818063937448,2.2450633109202713
amp100_freq5,100,5,A_dHPC_32-63,analysis_group_median,200,0.041005567667163734,0.06428682862312504,0.048306807176723726,0.023281260955961308,-0.8573449699877407
amp100_freq5,100,5,A_dHPC_64-95,analysis_group_median,200,0.05203247357614529,0.05388674348278362,0.04441074049938341,0.0018542699066383325,1.3661250876420126
amp100_freq5,100,5,A_dHPC_96-127,analysis_group_median,200,0.04235049710733417,0.06974368641579828,0.04344381809462471,0.027393189308464114,2.983842460591616
amp100_freq5,100,5,B_LEC_128-191,analysis_group_median,200,0.03741837061722198,0.06087504135281128,0.04501293845209259,0.023456670735589297,-0.1344024768897723
amp100_freq5,100,5,B_LEC_192-255,analysis_group_median,200,0.04640458461891498,0.08719490443308017,0.09488468981944816,0.04079031981416519,-1.6275449770940849
amp180_freq5,180,5,A_dHPC_0-31,analysis_group_median,200,0.047338094394760014,0.06070838087200392,0.0612118484177015,0.013370286477243906,-3.0407194383970717
amp180_freq5,180,5,A_dHPC_32-63,analysis_group_median,200,0.05938958364210837,0.06837120809265648,0.04298374960311287,0.008981624450548113,1.1973015217445169
amp180_freq5,180,5,A_dHPC_64-95,analysis_group_median,200,0.08498361137747577,0.06139678551937609,0.05054789480650436,-0.02358682585809968,-2.5708154009514126
amp180_freq5,180,5,A_dHPC_96-127,analysis_group_median,200,0.04455149837825185,0.06126172294963203,0.03764591688213406,0.016710224571380182,1.4867651853526207
amp180_freq5,180,5,B_LEC_128-191,analysis_group_median,200,0.05785654690789629,0.04641754088637572,0.0498334581258698,-0.011439006021520565,0.7306817245474899
amp180_freq5,180,5,B_LEC_192-255,analysis_group_median,200,0.07382617742126783,0.06901827854657591,0.04216241149927386,-0.004807898874691921,1.4854523934621302
amp250_freq5,250,5,A_dHPC_0-31,analysis_group_median,200,0.03518338975685769,0.04750471744670185,0.044796716828377305,0.012321327689844161,2.816641214019508
amp250_freq5,250,5,A_dHPC_32-63,analysis_group_median,200,0.0634711159504063,0.05427001702302612,0.026849978190366594,-0.009201098927380184,2.5148495845296535
amp250_freq5,250,5,A_dHPC_64-95,analysis_group_median,200,0.054638061897281126,0.06104345166935876,0.035284604664695005,0.006405389772077635,2.4605068957310476
amp250_freq5,250,5,A_dHPC_96-127,analysis_group_median,200,0.08779249510549116,0.05294553870512853,0.06057059594221113,-0.03484695640036262,1.9089362087689898
amp250_freq5,250,5,B_LEC_128-191,analysis_group_median,200,0.05388294445209326,0.05999506476026358,0.05538155281477803,0.006112120308170321,-0.9115370704406139
amp250_freq5,250,5,B_LEC_192-255,analysis_group_median,200,0.05192840039972757,0.08087292302066083,0.05126001343521406,0.028944522620933263,1.295521030772783
amp100_freq10,100,10,A_dHPC_0-31,analysis_group_median,200,0.05796340158539213,0.07998594083143994,0.053907461601282236,0.022022539246047808,-1.0909113129724841
amp100_freq10,100,10,A_dHPC_32-63,analysis_group_median,200,0.06426554691865495,0.0715127676991199,0.07138080682426838,0.007247220780464955,-0.0679904156151876
amp100_freq10,100,10,A_dHPC_64-95,analysis_group_median,200,0.06507668544648645,0.09256875511344222,0.09126692158541119,0.027492069666955762,-2.0143442080185614
amp100_freq10,100,10,A_dHPC_96-127,analysis_group_median,200,0.06614081885835035,0.06429190667311883,0.03722307545841558,-0.0018489121852315188,-1.8354106527806453
amp100_freq10,100,10,B_LEC_128-191,analysis_group_median,200,0.10409182329813507,0.07402558881987664,0.047129182006361806,-0.03006623447825843,0.26443198879182744
amp100_freq10,100,10,B_LEC_192-255,analysis_group_median,200,0.06037871918771584,0.06339745047892038,0.06826871166055845,0.0030187312912045433,0.33173531389103095
amp180_freq10,180,10,A_dHPC_0-31,analysis_group_median,200,0.0594967223700263,0.07831885007043556,0.05636570945107668,0.018822127700409252,3.036947867947808
amp180_freq10,180,10,A_dHPC_32-63,analysis_group_median,200,0.04506486948525106,0.06525879131282361,0.046453490833900254,0.02019392182757255,2.1755018496576266
amp180_freq10,180,10,A_dHPC_64-95,analysis_group_median,200,0.03566940084643907,0.07136799301995451,0.062068445769206795,0.035698592173515446,-2.3115393320092026
amp180_freq10,180,10,A_dHPC_96-127,analysis_group_median,200,0.0645720891007344,0.08109284361272467,0.05424268182175092,0.016520754511990268,1.952774690687583
amp180_freq10,180,10,B_LEC_128-191,analysis_group_median,200,0.07965833177766132,0.050526628491399446,0.0523129578118857,-0.029131703286261877,1.6494013576137054
amp180_freq10,180,10,B_LEC_192-255,analysis_group_median,200,0.04495396335165995,0.046821872249698734,0.0481893364769107,0.0018679088980387837,0.43450196857376777
amp250_freq10,250,10,A_dHPC_0-31,analysis_group_median,200,0.10553131781996912,0.06426633647607488,0.0592685388856871,-0.04126498134389424,0.895087526937272
amp250_freq10,250,10,A_dHPC_32-63,analysis_group_median,200,0.13526875496675594,0.05984615882283324,0.04068862083456294,-0.0754225961439227,-1.290670177421889
amp250_freq10,250,10,A_dHPC_64-95,analysis_group_median,200,0.10371367407931707,0.059069507774480286,0.08279565102725334,-0.04464416630483679,-0.31087500128526907
amp250_freq10,250,10,A_dHPC_96-127,analysis_group_median,200,0.0980446442183282,0.062162102350724426,0.02673829514435001,-0.03588254186760378,1.5941624541901498
amp250_freq10,250,10,B_LEC_128-191,analysis_group_median,200,0.04965687518053366,0.040415325445832866,0.08472358562966766,-0.009241549734700795,2.843325872724043
amp250_freq10,250,10,B_LEC_192-255,analysis_group_median,200,0.06369538852861413,0.05890969048053357,0.027713449920664494,-0.004785698048080558,2.718316038321504
amp100_freq26,100,26,A_dHPC_0-31,analysis_group_median,200,0.08195800635026704,0.06908408736838062,0.04341081060072014,-0.012873918981886417,-1.4769906414556524
amp100_freq26,100,26,A_dHPC_32-63,analysis_group_median,200,0.06179582870884897,0.057819404646252584,0.0417259113002809,-0.003976424062596386,-1.3535631708835587
amp100_freq26,100,26,A_dHPC_64-95,analysis_group_median,200,0.07402138762016522,0.07146207569942617,0.10535312093158712,-0.002559311920739049,0.20938182154375204
amp100_freq26,100,26,A_dHPC_96-127,analysis_group_median,200,0.07777152436797254,0.06158653832217077,0.05366139709842192,-0.016184986045801764,-1.3626449535038385
amp100_freq26,100,26,B_LEC_128-191,analysis_group_median,200,0.07970453467281513,0.07574096667543953,0.06587076117308524,-0.0039635679973756,-1.883919353670029
amp100_freq26,100,26,B_LEC_192-255,analysis_group_median,200,0.05664031170499071,0.07576290226035226,0.0672768970681982,0.01912259055536155,1.4817584221823652
amp180_freq26,180,26,A_dHPC_0-31,analysis_group_median,200,0.05386378020993064,0.06578368066526302,0.03409514404144615,0.01191990045533238,0.20984606273150344
amp180_freq26,180,26,A_dHPC_32-63,analysis_group_median,200,0.080847893085757,0.04480393302865811,0.04256273233300596,-0.036043960057098895,-2.3866029173805576
amp180_freq26,180,26,A_dHPC_64-95,analysis_group_median,200,0.10931733476179996,0.04474739659931377,0.053183750952059176,-0.06456993816248618,0.3753939270670873
amp180_freq26,180,26,A_dHPC_96-127,analysis_group_median,200,0.07162412715165858,0.06663890922929128,0.07007795718871289,-0.004985217922367308,-0.49311635600060794
amp180_freq26,180,26,B_LEC_128-191,analysis_group_median,200,0.056548660143291206,0.052675938525355924,0.03201940144182242,-0.003872721617935282,2.138579198262094
amp180_freq26,180,26,B_LEC_192-255,analysis_group_median,200,0.06948112633907985,0.06189593976402209,0.03662228940082475,-0.007585186575057759,-0.4059160792870893
amp250_freq26,250,26,A_dHPC_0-31,analysis_group_median,200,0.06083541139765091,0.06423569206396641,0.08463141437727734,0.0034002806663155014,-1.2855256967935988
amp250_freq26,250,26,A_dHPC_32-63,analysis_group_median,200,0.10219590974923665,0.08260930260049246,0.07424200233717237,-0.01958660714874419,2.363509550744097
amp250_freq26,250,26,A_dHPC_64-95,analysis_group_median,200,0.0645997421528662,0.04889247925939506,0.10574786190674644,-0.015707262893471137,1.6274952800873774
amp250_freq26,250,26,A_dHPC_96-127,analysis_group_median,200,0.09352014719248528,0.0906968681693673,0.0913949277630169,-0.0028232790231179777,0.5349022757890192
amp250_freq26,250,26,B_LEC_128-191,analysis_group_median,200,0.06829194277576058,0.05592011265908448,0.06043339256739727,-0.012371830116676093,2.8908337741401398
amp250_freq26,250,26,B_LEC_192-255,analysis_group_median,200,0.06339071211847,0.053702848194186095,0.05740962185198892,-0.009687863924283904,2.4810430080557553
amp100_freq50,100,50,A_dHPC_0-31,analysis_group_median,200,0.061723880813823795,0.07376231617751616,0.07323162514269647,0.012038435363692368,-1.288160498853819
amp100_freq50,100,50,A_dHPC_32-63,analysis_group_median,200,0.059239313079081424,0.06555169029142197,0.05572017259574109,0.006312377212340542,3.1288225170666206
amp100_freq50,100,50,A_dHPC_64-95,analysis_group_median,200,0.08781158776315011,0.05676778040769203,0.033156322777141006,-0.03104380735545808,-3.009598134199725
amp100_freq50,100,50,A_dHPC_96-127,analysis_group_median,200,0.07138258638283357,0.07313775565356045,0.06257378180530739,0.0017551692707268862,-2.058375344118574
amp100_freq50,100,50,B_LEC_128-191,analysis_group_median,200,0.0859305885544252,0.062008571720400335,0.05087119172699933,-0.023922016834024867,1.1197748617031194
amp100_freq50,100,50,B_LEC_192-255,analysis_group_median,200,0.044363525221470815,0.052164006245109994,0.034588765659575964,0.007800481023639179,-0.7411273205609181
amp180_freq50,180,50,A_dHPC_0-31,analysis_group_median,200,0.06246942549938242,0.0671633035091349,0.03130101599521947,0.004693878009752475,0.7857410489301299
amp180_freq50,180,50,A_dHPC_32-63,analysis_group_median,200,0.05591473707890692,0.07691692604345189,0.05758784683752734,0.02100218896454497,1.202771587514048
amp180_freq50,180,50,A_dHPC_64-95,analysis_group_median,200,0.08700861962833058,0.04699629018291885,0.05476578358165046,-0.04001232944541173,0.6972494274551374
amp180_freq50,180,50,A_dHPC_96-127,analysis_group_median,200,0.09218752977082806,0.06556129116960302,0.056423586231660786,-0.02662623860122504,1.0332145819007448
amp180_freq50,180,50,B_LEC_128-191,analysis_group_median,200,0.07950965474552599,0.056318904106725964,0.031969460960327836,-0.023190750638800023,2.8113308814464575
amp180_freq50,180,50,B_LEC_192-255,analysis_group_median,200,0.08165924670028475,0.0687716102331531,0.06772395393960384,-0.012887636467131647,-1.3767093618148716
amp250_freq50,250,50,A_dHPC_0-31,analysis_group_median,200,0.06484070033413465,0.05439383422775034,0.07500013102837064,-0.01044686610638431,2.642885371347014
amp250_freq50,250,50,A_dHPC_32-63,analysis_group_median,200,0.04972078691275632,0.07803941533328015,0.06485867264711838,0.028318628420523836,-1.9453054672188215
amp250_freq50,250,50,A_dHPC_64-95,analysis_group_median,200,0.06818776745727066,0.07906089351792661,0.05003061255773219,0.01087312606065595,1.6342473744223036
amp250_freq50,250,50,A_dHPC_96-127,analysis_group_median,200,0.07877298334427724,0.06314127974626704,0.07913510002211747,-0.015631703598010194,1.3090035916074327
amp250_freq50,250,50,B_LEC_128-191,analysis_group_median,200,0.05075479119326551,0.09175117155291063,0.051107683440769006,0.04099638035964512,0.48307008658005374
amp250_freq50,250,50,B_LEC_192-255,analysis_group_median,200,0.05740267476679419,0.08032933371680698,0.05455393376774506,0.022926658950012786,2.7885334512967477
