reference_mode,condition,amplitude,frequency,n_channels,driven_log2_power_change
analysis_group_median,amp100_freq10,100,10,210,-0.07814298835057906
analysis_group_median,amp100_freq26,100,26,210,-0.03880417988907124
analysis_group_median,amp100_freq5,100,5,210,0.04861936471896983
analysis_group_median,amp100_freq50,100,50,210,-0.029026885211850168
analysis_group_median,amp180_freq10,180,10,210,0.09058036615491744
analysis_group_median,amp180_freq26,180,26,210,-0.05558652563689611
analysis_group_median,amp180_freq5,180,5,210,-0.04354481047170861
analysis_group_median,amp180_freq50,180,50,210,0.11647778724488558
analysis_group_median,amp250_freq10,250,10,210,-0.06337363032376184
analysis_group_median,amp250_freq26,250,26,210,-0.07468142163176578
analysis_group_median,amp250_freq5,250,5,210,-0.03543980576617637
analysis_group_median,amp250_freq50,250,50,210,0.4141035874790564
physical_shank_median,amp100_freq10,100,10,210,-0.08747624456966155
physical_shank_median,amp100_freq26,100,26,210,-0.07249020098381738
physical_shank_median,amp100_freq5,100,5,210,0.04818352318604066
physical_shank_median,amp100_freq50,100,50,210,-0.0061910461448225875
physical_shank_median,amp180_freq10,180,10,210,0.0977460853474501
physical_shank_median,amp180_freq26,180,26,210,-0.05886596666836884
physical_shank_median,amp180_freq5,180,5,210,-0.03007786484647967
physical_shank_median,amp180_freq50,180,50,210,0.17357128196761626
physical_shank_median,amp250_freq10,250,10,210,-0.06798262815715829
physical_shank_median,amp250_freq26,250,26,210,-0.07871071796032263
physical_shank_median,amp250_freq5,250,5,210,-0.03398043794816893
physical_shank_median,amp250_freq50,250,50,210,0.5110826301964783
raw,amp100_freq10,100,10,210,-0.07492793128697713
raw,amp100_freq26,100,26,210,-0.06512316497721365
raw,amp100_freq5,100,5,210,0.05114908609946569
raw,amp100_freq50,100,50,210,-0.05376922653940254
raw,amp180_freq10,180,10,210,0.07492435567039374
raw,amp180_freq26,180,26,210,-0.04427313600781048
raw,amp180_freq5,180,5,210,-0.007641927531597212
raw,amp180_freq50,180,50,210,0.16438466819670502
raw,amp250_freq10,250,10,210,-0.0633944510157932
raw,amp250_freq26,250,26,210,-0.07454871162330584
raw,amp250_freq5,250,5,210,-0.05061092606570983
raw,amp250_freq50,250,50,210,0.5192079037795617
