reference_mode,condition,amplitude,frequency,analysis_group,n_channels,driven_log2_power_change
analysis_group_median,amp100_freq10,100,10,A_dHPC_0-31,32,-0.1613154450551684
analysis_group_median,amp100_freq10,100,10,A_dHPC_32-63,32,-0.08939848817280584
analysis_group_median,amp100_freq10,100,10,A_dHPC_64-95,32,-0.05645610359613641
analysis_group_median,amp100_freq10,100,10,A_dHPC_96-127,31,-0.03977503006892911
analysis_group_median,amp100_freq10,100,10,B_LEC_128-191,50,-0.028079217260386348
analysis_group_median,amp100_freq10,100,10,B_LEC_192-255,32,-0.12306132499016378
analysis_group_median,amp100_freq26,100,26,A_dHPC_0-31,32,-0.0174503165205108
analysis_group_median,amp100_freq26,100,26,A_dHPC_32-63,32,-0.04455915587433008
analysis_group_median,amp100_freq26,100,26,A_dHPC_64-95,32,-0.1000222542470046
analysis_group_median,amp100_freq26,100,26,A_dHPC_96-127,31,-0.054187150698212505
analysis_group_median,amp100_freq26,100,26,B_LEC_128-191,50,-0.0072405363447450065
analysis_group_median,amp100_freq26,100,26,B_LEC_192-255,32,-0.03247951698729733
analysis_group_median,amp100_freq5,100,5,A_dHPC_0-31,32,0.08600196605342517
analysis_group_median,amp100_freq5,100,5,A_dHPC_32-63,32,0.03270885800770675
analysis_group_median,amp100_freq5,100,5,A_dHPC_64-95,32,0.04193375396215861
analysis_group_median,amp100_freq5,100,5,A_dHPC_96-127,31,0.06623779084280096
analysis_group_median,amp100_freq5,100,5,B_LEC_128-191,50,-0.006376818843850318
analysis_group_median,amp100_freq5,100,5,B_LEC_192-255,32,0.10747595437910976
analysis_group_median,amp100_freq50,100,50,A_dHPC_0-31,32,-0.20368076059359844
analysis_group_median,amp100_freq50,100,50,A_dHPC_32-63,32,-0.22800434351598675
analysis_group_median,amp100_freq50,100,50,A_dHPC_64-95,32,-0.2269534182892486
analysis_group_median,amp100_freq50,100,50,A_dHPC_96-127,31,-0.24191023613054613
analysis_group_median,amp100_freq50,100,50,B_LEC_128-191,50,0.2503996192715001
analysis_group_median,amp100_freq50,100,50,B_LEC_192-255,32,0.3073112578390448
analysis_group_median,amp180_freq10,180,10,A_dHPC_0-31,32,0.09669395496825764
analysis_group_median,amp180_freq10,180,10,A_dHPC_32-63,32,0.122571727494767
analysis_group_median,amp180_freq10,180,10,A_dHPC_64-95,32,0.12392546872986836
analysis_group_median,amp180_freq10,180,10,A_dHPC_96-127,31,0.16333985438907284
analysis_group_median,amp180_freq10,180,10,B_LEC_128-191,50,0.03912752880790007
analysis_group_median,amp180_freq10,180,10,B_LEC_192-255,32,0.03687937103124311
analysis_group_median,amp180_freq26,180,26,A_dHPC_0-31,32,-0.15879883357372204
analysis_group_median,amp180_freq26,180,26,A_dHPC_32-63,32,-0.1150398744831314
analysis_group_median,amp180_freq26,180,26,A_dHPC_64-95,32,-0.045878895044073484
analysis_group_median,amp180_freq26,180,26,A_dHPC_96-127,31,-0.09813524245257446
analysis_group_median,amp180_freq26,180,26,B_LEC_128-191,50,-0.020361016488487645
analysis_group_median,amp180_freq26,180,26,B_LEC_192-255,32,0.08256191043976006
analysis_group_median,amp180_freq5,180,5,A_dHPC_0-31,32,-0.07594860130693042
analysis_group_median,amp180_freq5,180,5,A_dHPC_32-63,32,-0.024726186867398026
analysis_group_median,amp180_freq5,180,5,A_dHPC_64-95,32,-0.0021561714115148098
analysis_group_median,amp180_freq5,180,5,A_dHPC_96-127,31,0.019095719628873874
analysis_group_median,amp180_freq5,180,5,B_LEC_128-191,50,-0.10328910234030259
analysis_group_median,amp180_freq5,180,5,B_LEC_192-255,32,-0.03936856283251074
analysis_group_median,amp180_freq50,180,50,A_dHPC_0-31,32,-0.24617071927279194
analysis_group_median,amp180_freq50,180,50,A_dHPC_32-63,32,-0.2339249519214431
analysis_group_median,amp180_freq50,180,50,A_dHPC_64-95,32,-0.21439986389397775
analysis_group_median,amp180_freq50,180,50,A_dHPC_96-127,31,-0.35620398668071196
analysis_group_median,amp180_freq50,180,50,B_LEC_128-191,50,0.6651416975236358
analysis_group_median,amp180_freq50,180,50,B_LEC_192-255,32,0.7635660143020282
analysis_group_median,amp250_freq10,250,10,A_dHPC_0-31,32,-0.09583959207976023
analysis_group_median,amp250_freq10,250,10,A_dHPC_32-63,32,-0.08080750126580535
analysis_group_median,amp250_freq10,250,10,A_dHPC_64-95,32,-0.07352864938312798
analysis_group_median,amp250_freq10,250,10,A_dHPC_96-127,31,-0.08424428641074753
analysis_group_median,amp250_freq10,250,10,B_LEC_128-191,50,-0.029050038770352518
analysis_group_median,amp250_freq10,250,10,B_LEC_192-255,32,-0.035265602362235686
analysis_group_median,amp250_freq26,250,26,A_dHPC_0-31,32,-0.22136223906459773
analysis_group_median,amp250_freq26,250,26,A_dHPC_32-63,32,-0.18809058193672779
analysis_group_median,amp250_freq26,250,26,A_dHPC_64-95,32,-0.19803522490479367
analysis_group_median,amp250_freq26,250,26,A_dHPC_96-127,31,-0.13913937707019
analysis_group_median,amp250_freq26,250,26,B_LEC_128-191,50,0.03917362861641075
analysis_group_median,amp250_freq26,250,26,B_LEC_192-255,32,0.19713793280704478
analysis_group_median,amp250_freq5,250,5,A_dHPC_0-31,32,-0.10818495722966195
analysis_group_median,amp250_freq5,250,5,A_dHPC_32-63,32,-0.07640384643447387
analysis_group_median,amp250_freq5,250,5,A_dHPC_64-95,32,-0.07273532832043517
analysis_group_median,amp250_freq5,250,5,A_dHPC_96-127,31,-0.09049021909268769
analysis_group_median,amp250_freq5,250,5,B_LEC_128-191,50,0.03780034988814293
analysis_group_median,amp250_freq5,250,5,B_LEC_192-255,32,0.05314418933289839
analysis_group_median,amp250_freq50,250,50,A_dHPC_0-31,32,-0.16086506744310522
analysis_group_median,amp250_freq50,250,50,A_dHPC_32-63,32,-0.14761429776966367
analysis_group_median,amp250_freq50,250,50,A_dHPC_64-95,32,0.0014096083742519009
analysis_group_median,amp250_freq50,250,50,A_dHPC_96-127,31,-0.2420005790240055
analysis_group_median,amp250_freq50,250,50,B_LEC_128-191,50,1.2526870072640268
analysis_group_median,amp250_freq50,250,50,B_LEC_192-255,32,1.2952791363513703
physical_shank_median,amp100_freq10,100,10,A_dHPC_0-31,32,-0.16728826204886388
physical_shank_median,amp100_freq10,100,10,A_dHPC_32-63,32,-0.08274555968329766
physical_shank_median,amp100_freq10,100,10,A_dHPC_64-95,32,-0.04840020042297238
physical_shank_median,amp100_freq10,100,10,A_dHPC_96-127,31,-0.06646854381736839
physical_shank_median,amp100_freq10,100,10,B_LEC_128-191,50,-0.06881186643614216
physical_shank_median,amp100_freq10,100,10,B_LEC_192-255,32,-0.10033352346777716
physical_shank_median,amp100_freq26,100,26,A_dHPC_0-31,32,-0.06071714884142751
physical_shank_median,amp100_freq26,100,26,A_dHPC_32-63,32,-0.07851944552051478
physical_shank_median,amp100_freq26,100,26,A_dHPC_64-95,32,-0.0946840531874811
physical_shank_median,amp100_freq26,100,26,A_dHPC_96-127,31,-0.0723990056074201
physical_shank_median,amp100_freq26,100,26,B_LEC_128-191,50,-0.08043946408089277
physical_shank_median,amp100_freq26,100,26,B_LEC_192-255,32,-0.04214791200143856
physical_shank_median,amp100_freq5,100,5,A_dHPC_0-31,32,0.07439625318853982
physical_shank_median,amp100_freq5,100,5,A_dHPC_32-63,32,0.013492922881915717
physical_shank_median,amp100_freq5,100,5,A_dHPC_64-95,32,0.03639648838676107
physical_shank_median,amp100_freq5,100,5,A_dHPC_96-127,31,0.07430816797830422
physical_shank_median,amp100_freq5,100,5,B_LEC_128-191,50,0.01438572862862275
physical_shank_median,amp100_freq5,100,5,B_LEC_192-255,32,0.09700301433612388
physical_shank_median,amp100_freq50,100,50,A_dHPC_0-31,32,-0.2110634609170733
physical_shank_median,amp100_freq50,100,50,A_dHPC_32-63,32,-0.23732446671248328
physical_shank_median,amp100_freq50,100,50,A_dHPC_64-95,32,-0.1986365379537247
physical_shank_median,amp100_freq50,100,50,A_dHPC_96-127,31,-0.2347602679802275
physical_shank_median,amp100_freq50,100,50,B_LEC_128-191,50,0.31531767675899847
physical_shank_median,amp100_freq50,100,50,B_LEC_192-255,32,0.33434066576786636
physical_shank_median,amp180_freq10,180,10,A_dHPC_0-31,32,0.11096835173038601
physical_shank_median,amp180_freq10,180,10,A_dHPC_32-63,32,0.13594156405529229
physical_shank_median,amp180_freq10,180,10,A_dHPC_64-95,32,0.1522177539719125
physical_shank_median,amp180_freq10,180,10,A_dHPC_96-127,31,0.14696495416495664
physical_shank_median,amp180_freq10,180,10,B_LEC_128-191,50,0.04638059302562205
physical_shank_median,amp180_freq10,180,10,B_LEC_192-255,32,0.027755886596804787
physical_shank_median,amp180_freq26,180,26,A_dHPC_0-31,32,-0.11949808788263698
physical_shank_median,amp180_freq26,180,26,A_dHPC_32-63,32,-0.12295961232712327
physical_shank_median,amp180_freq26,180,26,A_dHPC_64-95,32,-0.08249877727744977
physical_shank_median,amp180_freq26,180,26,A_dHPC_96-127,31,-0.09498116788440028
physical_shank_median,amp180_freq26,180,26,B_LEC_128-191,50,0.011483811042204117
physical_shank_median,amp180_freq26,180,26,B_LEC_192-255,32,0.020267966235421687
physical_shank_median,amp180_freq5,180,5,A_dHPC_0-31,32,-0.00013768653075727638
physical_shank_median,amp180_freq5,180,5,A_dHPC_32-63,32,0.00953648175486895
physical_shank_median,amp180_freq5,180,5,A_dHPC_64-95,32,-0.0029387726523518167
physical_shank_median,amp180_freq5,180,5,A_dHPC_96-127,31,0.004475496067448628
physical_shank_median,amp180_freq5,180,5,B_LEC_128-191,50,-0.09355993215204127
physical_shank_median,amp180_freq5,180,5,B_LEC_192-255,32,-0.05840765384492797
physical_shank_median,amp180_freq50,180,50,A_dHPC_0-31,32,-0.1832459671316599
physical_shank_median,amp180_freq50,180,50,A_dHPC_32-63,32,-0.24110896729750328
physical_shank_median,amp180_freq50,180,50,A_dHPC_64-95,32,-0.12570799793125864
physical_shank_median,amp180_freq50,180,50,A_dHPC_96-127,31,-0.3314194716450983
physical_shank_median,amp180_freq50,180,50,B_LEC_128-191,50,0.8247574522530937
physical_shank_median,amp180_freq50,180,50,B_LEC_192-255,32,0.7049292995066583
physical_shank_median,amp250_freq10,250,10,A_dHPC_0-31,32,-0.12387730586298606
